rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,7:58.66,,Stephen CHERONO,15 OCT 1982,KEN,3,Bruxelles (BEL),24 AUG 2001,1264,3000-metres-steeplechase,middlelong,male,u20
2,8:01.16,,Conseslus KIPRUTO,08 DEC 1994,KEN,1,"Shanghai Stadium, Shanghai (CHN)",18 MAY 2013,1253,3000-metres-steeplechase,middlelong,male,u20
3,8:01.36,,Lamecha GIRMA,26 NOV 2000,ETH,2,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1252,3000-metres-steeplechase,middlelong,male,u20
4,8:03.49,,Conseslus KIPRUTO,08 DEC 1994,KEN,1,"Stade Louis II, Monaco (MON)",20 JUL 2012,1242,3000-metres-steeplechase,middlelong,male,u20
5,8:03.59,,Conseslus KIPRUTO,08 DEC 1994,KEN,1,"Hayward Field, Eugene, OR (USA)",01 JUN 2013,1241,3000-metres-steeplechase,middlelong,male,u20
6,8:03.70,,Conseslus KIPRUTO,08 DEC 1994,KEN,2,"Boudewijnstadion, Bruxelles (BEL)",07 SEP 2012,1241,3000-metres-steeplechase,middlelong,male,u20
7,8:03.74,,Raymond Kipkorir YATOR,07 APR 1981,KEN,3,"Stade Louis II, Monaco (MON)",18 AUG 2000,1241,3000-metres-steeplechase,middlelong,male,u20
8,8:04.00,,Edmund SEREM,27 DEC 2007,KEN,3,"Stade Louis II, Monaco (MON)",11 JUL 2025,1239,3000-metres-steeplechase,middlelong,male,u20
9,8:04.48,,Conseslus KIPRUTO,08 DEC 1994,KEN,1,"Bislett Stadion, Oslo (NOR)",13 JUN 2013,1237,3000-metres-steeplechase,middlelong,male,u20
10,8:05.21,,Getnet WALE,16 JUL 2000,ETH,4,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1234,3000-metres-steeplechase,middlelong,male,u20
11,8:05.51,,Getnet WALE,16 JUL 2000,ETH,3,"Stade Louis II, Monaco (MON)",12 JUL 2019,1232,3000-metres-steeplechase,middlelong,male,u20
12,8:05.52,,Brimin Kiprop KIPRUTO,31 JUL 1985,KEN,1,"FBK Stadium, Hengelo (NED)",31 MAY 2004,1232,3000-metres-steeplechase,middlelong,male,u20
13,8:05.89,,Brimin Kiprop KIPRUTO,31 JUL 1985,KEN,5,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2004,1231,3000-metres-steeplechase,middlelong,male,u20
14,8:06.01,,Getnet WALE,16 JUL 2000,ETH,1,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",16 JUN 2019,1230,3000-metres-steeplechase,middlelong,male,u20
15,8:06.10,,Conseslus KIPRUTO,08 DEC 1994,KEN,1,"Estadio Olímpico, Barcelona (ESP)",15 JUL 2012,1230,3000-metres-steeplechase,middlelong,male,u20
16,8:06.11,,Brimin Kiprop KIPRUTO,31 JUL 1985,KEN,2,"Olympic Stadium, Athina (GRE)",24 AUG 2004,1230,3000-metres-steeplechase,middlelong,male,u20
17,8:06.37,,Conseslus KIPRUTO,08 DEC 1994,KEN,2,"Luzhniki Stadion, Moskva (RUS)",15 AUG 2013,1229,3000-metres-steeplechase,middlelong,male,u20
18,8:06.83,,Getnet WALE,16 JUL 2000,ETH,2,"Stadio Olimpico, Roma (ITA)",06 JUN 2019,1226,3000-metres-steeplechase,middlelong,male,u20
19,8:06.92,,Getnet WALE,16 JUL 2000,ETH,1,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2019,1226,3000-metres-steeplechase,middlelong,male,u20
20,8:06.96,,Gilbert KIRUI,22 JAN 1994,KEN,2,"Olympic Stadium, London (GBR)",27 JUL 2013,1226,3000-metres-steeplechase,middlelong,male,u20
21,8:07.18,,Musa Amer OBAID,18 APR 1985,QAT,4,"Olympic Stadium, Athina (GRE)",24 AUG 2004,1225,3000-metres-steeplechase,middlelong,male,u20
22,8:07.47,,Edmund SEREM,27 DEC 2007,KEN,3,"Stade Olympique, Rabat (MAR)",25 MAY 2025,1223,3000-metres-steeplechase,middlelong,male,u20
23,8:07.66,,Lamecha GIRMA,26 NOV 2000,ETH,3,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2019,1223,3000-metres-steeplechase,middlelong,male,u20
24,8:07.69,,Paul Malakwen KOSGEI,22 APR 1978,KEN,5,Stockholm (SWE),07 JUL 1997,1222,3000-metres-steeplechase,middlelong,male,u20
25,8:07.71,,Hillary Kipsang YEGO,02 APR 1992,KEN,3,"Shanghai Stadium, Shanghai (CHN)",15 MAY 2011,1222,3000-metres-steeplechase,middlelong,male,u20
26,8:08.18,,Lamecha GIRMA,26 NOV 2000,ETH,1,Hengelo (NED),17 JUL 2019,1220,3000-metres-steeplechase,middlelong,male,u20
27,8:08.22,,Hillary Kipsang YEGO,02 APR 1992,KEN,7,"Stade Louis II, Monaco (MON)",22 JUL 2011,1220,3000-metres-steeplechase,middlelong,male,u20
28,8:08.37,,Amos KIRUI,09 FEB 1998,KEN,4,"Stadio Olimpico, Roma (ITA)",08 JUN 2017,1219,3000-metres-steeplechase,middlelong,male,u20
29,8:08.50,,Edmund SEREM,27 DEC 2007,KEN,4,"Egret Stadium, Xiamen (CHN)",26 APR 2025,1219,3000-metres-steeplechase,middlelong,male,u20
30,8:08.61,,Leonard Kipkemoi BETT,03 NOV 2000,KEN,3,"Khalifa International Stadium, Doha (QAT)",03 MAY 2019,1218,3000-metres-steeplechase,middlelong,male,u20
