rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,7:28.19,,Yomif KEJELCHA,01 AUG 1997,ETH,1,"Stade de France, Paris-St-Denis (FRA)",27 AUG 2016,1251,3000-metres,middlelong,male,u20
2,7:28.78,,Augustine Kiprono CHOGE,21 JAN 1987,KEN,2,Doha (QAT),13 MAY 2005,1247,3000-metres,middlelong,male,u20
3,7:29.11,,Tariku BEKELE,28 FEB 1987,ETH,2,Rieti (ITA),27 AUG 2006,1245,3000-metres,middlelong,male,u20
4,7:29.74,,Augustine Kiprono CHOGE,21 JAN 1987,KEN,2,Doha (QAT),12 MAY 2006,1241,3000-metres,middlelong,male,u20
5,7:29.99,,Biniam MEHARY,20 DEC 2006,ETH,2,"Arena Stade Couvert, Liévin (FRA) (i)",13 FEB 2025,1265,3000-metres,middlelong,male,u20
6,7:30.36,,Hagos GEBRHIWET,11 MAY 1994,ETH,1,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2013,1237,3000-metres,middlelong,male,u20
7,7:30.43,,Isiah Kiplangat KOECH,19 DEC 1993,KEN,1,"Olympiastadion, Stockholm (SWE)",17 AUG 2012,1236,3000-metres,middlelong,male,u20
8,7:30.67,,Kenenisa BEKELE,13 JUN 1982,ETH,2,Bruxelles (BEL),24 AUG 2001,1235,3000-metres,middlelong,male,u20
9,7:30.91,,Eliud KIPCHOGE,05 NOV 1984,KEN,2,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2003,1233,3000-metres,middlelong,male,u20
10,7:32.17,,Selemon BAREGA,20 JAN 2000,ETH,1,"Bislett Stadion, Oslo (NOR)",13 JUN 2019,1225,3000-metres,middlelong,male,u20
11,7:32.37,,Abraham CHERKOS,23 SEP 1989,ETH,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",11 JUL 2006,1224,3000-metres,middlelong,male,u20
12,7:32.43,,Isiah Kiplangat KOECH,19 DEC 1993,KEN,4,"Suhaim bin Hamad Stadium, Doha (QAT)",11 MAY 2012,1224,3000-metres,middlelong,male,u20
13,7:32.72,,John KIPKOECH,29 DEC 1991,KEN,4,"Stadio Guidobaldi, Rieti (ITA)",29 AUG 2010,1222,3000-metres,middlelong,male,u20
14,7:32.87,,Hagos GEBRHIWET,11 MAY 1994,ETH,1,"Reggie Lewis Center, Boston, MA (USA) (i)",02 FEB 2013,1247,3000-metres,middlelong,male,u20
15,7:32.89,,Isiah Kiplangat KOECH,19 DEC 1993,KEN,2,Liévin (FRA) (i),14 FEB 2012,1247,3000-metres,middlelong,male,u20
16,7:33.00,,Hailu MEKONNEN,04 APR 1980,ETH,2,Stuttgart (GER),06 JUN 1999,1220,3000-metres,middlelong,male,u20
17,7:33.01,,Levi Omari MATEBO,03 NOV 1989,KEN,2,Rieti (ITA),07 SEP 2008,1220,3000-metres,middlelong,male,u20
18,7:33.04,,Biniam MEHARY,20 DEC 2006,ETH,2,"Arena Stade Couvert, Liévin (FRA) (i)",10 FEB 2024,1246,3000-metres,middlelong,male,u20
19,7:33.12,,Cameron MYERS,09 JUN 2006,AUS,3,"The Track at New Balance, Boston, MA (USA) (i)",02 FEB 2025,1245,3000-metres,middlelong,male,u20
20,7:33.55,,Isiah Kiplangat KOECH,19 DEC 1993,KEN,1,Stockholm (SWE) (i),23 FEB 2012,1242,3000-metres,middlelong,male,u20
21,7:33.85,,John KIPKOECH,29 DEC 1991,KEN,4,"Olympiastadion, Berlin (GER)",22 AUG 2010,1215,3000-metres,middlelong,male,u20
22,7:34.32,,Richard LIMO,18 NOV 1980,KEN,4,Bruxelles (BEL),03 SEP 1999,1212,3000-metres,middlelong,male,u20
23,7:34.58,,Sammy KIPKETER,29 SEP 1981,KEN,5,Bruxelles (BEL),03 SEP 1999,1210,3000-metres,middlelong,male,u20
24,7:34.75,,Tadese WORKU,20 JAN 2002,ETH,2,"Bregyó Athletic Center, Székesfehérvár (HUN)",06 JUL 2021,1209,3000-metres,middlelong,male,u20
25,7:35.08,,Sammy KIPKETER,29 SEP 1981,KEN,5,"Stade de France, Paris-St-Denis (FRA)",21 JUL 1999,1207,3000-metres,middlelong,male,u20
26,7:35.52,,Philip MOSIMA,02 JAN 1977,KEN,1,London (GBR),12 JUL 1996,1204,3000-metres,middlelong,male,u20
27,7:35.53,,James Kwalia C'KURUI,12 JUN 1984,KEN,5,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2003,1204,3000-metres,middlelong,male,u20
28,7:35.66,,Albert ROP,17 JUL 1992,KEN,5,"Stadio Guidobaldi, Rieti (ITA)",10 SEP 2011,1203,3000-metres,middlelong,male,u20
29,7:35.72,,Sammy KIPKETER,29 SEP 1981,KEN,8,"Stade Louis II, Monaco (MON)",18 AUG 2000,1203,3000-metres,middlelong,male,u20
30,7:35.78,,Berihu AREGAWI,28 FEB 2001,ETH,5,"Arena Stade Couvert, Liévin (FRA) (i)",19 FEB 2020,1228,3000-metres,middlelong,male,u20
