rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,3:43.13,,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,"Stadio Olimpico, Roma (ITA)",07 JUL 1999,1292,one-mile,middlelong,male,senior
2,3:43.40,,Noah NGENY,02 NOV 1978,KEN,2,"Stadio Olimpico, Roma (ITA)",07 JUL 1999,1288,one-mile,middlelong,male,senior
3,3:43.73,,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,"Hayward Field, Eugene, OR (USA)",16 SEP 2023,1284,one-mile,middlelong,male,senior
4,3:43.97,,Yared NUGUSE,01 JUN 1999,USA,2,"Hayward Field, Eugene, OR (USA)",16 SEP 2023,1280,one-mile,middlelong,male,senior
5,3:44.39,,Noureddine MORCELI,28 FEB 1970,ALG,1,Rieti (ITA),05 SEP 1993,1275,one-mile,middlelong,male,senior
6,3:44.60,,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Nice (FRA),16 JUL 1998,1272,one-mile,middlelong,male,senior
7,3:44.90,,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Oslo (NOR),04 JUL 1997,1268,one-mile,middlelong,male,senior
8,3:44.95,,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,"Stadio Olimpico, Roma (ITA)",29 JUN 2001,1267,one-mile,middlelong,male,senior
9,3:45.14,,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,"Arena Stade Couvert, Liévin (FRA) (i)",13 FEB 2025,1330,one-mile,middlelong,male,senior
10,3:45.19,,Noureddine MORCELI,28 FEB 1970,ALG,1,Zürich (SUI),16 AUG 1995,1264,one-mile,middlelong,male,senior
11,3:45.34,,Josh KERR,08 OCT 1997,GBR,1,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1262,one-mile,middlelong,male,senior
12,3:45.60,,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,2,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1259,one-mile,middlelong,male,senior
13,3:45.64,,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,"Olympiastadion, Berlin (GER)",26 AUG 1997,1258,one-mile,middlelong,male,senior
14,3:45.94,,Niels LAROS,17 APR 2005,NED,1,"Hayward Field, Eugene, OR (USA)",05 JUL 2025,1254,one-mile,middlelong,male,senior
15,3:45.95,,Yared NUGUSE,01 JUN 1999,USA,2,"Hayward Field, Eugene, OR (USA)",05 JUL 2025,1254,one-mile,middlelong,male,senior
16,3:45.96,,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,"Crystal Palace, London (GBR)",05 AUG 2000,1254,one-mile,middlelong,male,senior
17,3:46.22,,Yared NUGUSE,01 JUN 1999,USA,3,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1250,one-mile,middlelong,male,senior
18,3:46.24,,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,"Bislett Stadion, Oslo (NOR)",28 JUL 2000,1250,one-mile,middlelong,male,senior
19,3:46.32,,Steve CRAM,14 OCT 1960,GBR,1,Oslo (NOR),27 JUL 1985,1249,one-mile,middlelong,male,senior
20,3:46.38,,Daniel KOMEN,17 MAY 1976,KEN,2,"Olympiastadion, Berlin (GER)",26 AUG 1997,1248,one-mile,middlelong,male,senior
21,3:46.46,,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,"Bislett Stadion, Oslo (NOR)",16 JUN 2022,1247,one-mile,middlelong,male,senior
22,3:46.63,,Yared NUGUSE,01 JUN 1999,USA,1,"Armory Track&Field Center, New York, NY (USA) (i)",08 FEB 2025,1309,one-mile,middlelong,male,senior
23,3:46.65,,Azeddine HABZ,19 JUL 1993,FRA,3,"Hayward Field, Eugene, OR (USA)",05 JUL 2025,1245,one-mile,middlelong,male,senior
24,3:46.70,,Vénuste NIYONGABO,09 DEC 1973,BDI,3,"Olympiastadion, Berlin (GER)",26 AUG 1997,1244,one-mile,middlelong,male,senior
25,3:46.76,,Saïd AOUITA,02 NOV 1959,MAR,1,Helsinki (FIN),02 JUL 1987,1243,one-mile,middlelong,male,senior
26,3:46.78,,Noureddine MORCELI,28 FEB 1970,ALG,1,"Olympiastadion, Berlin (GER)",27 AUG 1993,1243,one-mile,middlelong,male,senior
27,3:46.90,,Hobbs KESSLER,15 MAR 2003,USA,2,"Armory Track&Field Center, New York, NY (USA) (i)",08 FEB 2025,1305,one-mile,middlelong,male,senior
28,3:46.91,,Alan WEBB,13 JAN 1983,USA,1,Brasschaat (BEL),21 JUL 2007,1241,one-mile,middlelong,male,senior
29,3:46.92,,Saïd AOUITA,02 NOV 1959,MAR,1,"Letzigrund, Zürich (SUI)",21 AUG 1985,1241,one-mile,middlelong,male,senior
30,3:47.01,,Yomif KEJELCHA,01 AUG 1997,ETH,1,"Boston, MA (USA) (i)",03 MAR 2019,1304,one-mile,middlelong,male,senior
31,3:47.10,,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,"Crystal Palace, London (GBR)",07 AUG 1999,1239,one-mile,middlelong,male,senior
32,3:47.22,,Yared NUGUSE,01 JUN 1999,USA,1f1,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 MAR 2025,1301,one-mile,middlelong,male,senior
33,3:47.24,,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1237,one-mile,middlelong,male,senior
34,3:47.28,,Bernard LAGAT,12 DEC 1974,KEN,2,"Stadio Olimpico, Roma (ITA)",29 JUN 2001,1236,one-mile,middlelong,male,senior
