rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,37:44,,Zhen WANG,24 AUG 1991,CHN,1,Beijing (CHN),18 SEP 2010,1227,10-kilometres-race-walk,race-walks,male,u20
2,38:23,,Ding CHEN,05 AUG 1992,CHN,7,Beijing (CHN),18 SEP 2010,1198,10-kilometres-race-walk,race-walks,male,u20
3,38:28,,Stanislav YEMELYANOV,23 OCT 1990,RUS,2,Saransk (RUS),19 SEP 2009,1195,10-kilometres-race-walk,race-walks,male,u20
4,38:48,,Maksim PYANZIN,22 MAY 2003,ANA,1,Cheboksary (RUS),30 MAY 2021,1180,10-kilometres-race-walk,race-walks,male,u20
5,38:55,,Isaac BEACROFT,18 JUL 2007,AUS,1,"Victoria Park, Ballarat (AUS)",24 AUG 2025,1175,10-kilometres-race-walk,race-walks,male,u20
6,39:00,,Yafei CHU,09 MAY 1988,CHN,1,Xi'an (CHN),21 OCT 2006,1171,10-kilometres-race-walk,race-walks,male,u20
7,39:04,,Sergey KOZHEVNIKOV,09 MAY 2001,RUS,1,Sochi (RUS),17 FEB 2020,1168,10-kilometres-race-walk,race-walks,male,u20
8,39:06,,Zelin CAI,11 APR 1991,CHN,13,Beijing (CHN),18 SEP 2010,1167,10-kilometres-race-walk,race-walks,male,u20
9,39:09,,Danila MARTYNOV,01 MAY 2004,RUS,1,Voronovo (RUS),05 SEP 2021,1165,10-kilometres-race-walk,race-walks,male,u20
10,39:13,,Edikt KHAYRULLIN,29 MAY 1989,RUS,1,"Adler, Sochi (RUS)",24 FEB 2008,1162,10-kilometres-race-walk,race-walks,male,u20
11,39:14,,Danila MARTYNOV,01 MAY 2004,RUS,1,Sochi (RUS),31 JAN 2022,1161,10-kilometres-race-walk,race-walks,male,u20
12,39:15,,Aleksey BARTSAYKIN,22 MAR 1989,RUS,2,"Adler, Sochi (RUS)",24 FEB 2008,1160,10-kilometres-race-walk,race-walks,male,u20
13,39:16,,Denis STRELKOV,26 OCT 1990,RUS,3,"Adler, Sochi (RUS)",24 FEB 2008,1159,10-kilometres-race-walk,race-walks,male,u20
13,39:16,,Shengji SHI,19 JAN 2007,CHN,1,Gu'an (CHN),01 JUN 2025,1159,10-kilometres-race-walk,race-walks,male,u20
15,39:17,,Stanislav YEMELYANOV,23 OCT 1990,RUS,4,"Adler, Sochi (RUS)",24 FEB 2008,1159,10-kilometres-race-walk,race-walks,male,u20
15,39:17,,Maksim PYANZIN,22 MAY 2003,RUS,1,Cheboksary (RUS),22 MAY 2022,1159,10-kilometres-race-walk,race-walks,male,u20
17,39:22,,Alberto CRUZ,06 JUN 1972,MEX,1,León (MEX),06 APR 1990,1155,10-kilometres-race-walk,race-walks,male,u20
18,39:23,,Qiejia JIA,01 JAN 2002,CHN,1,Huangshan (CHN),20 MAR 2021,1154,10-kilometres-race-walk,race-walks,male,u20
19,39:25,,Maksim DENISOV,07 MAY 2005,RUS,1,"Avtodrom, Sochi (RUS)",13 FEB 2023,1153,10-kilometres-race-walk,race-walks,male,u20
20,39:26,,Chenjie LI,05 MAY 2005,CHN,1,Taicang (CHN),03 MAR 2024,1152,10-kilometres-race-walk,race-walks,male,u20
21,39:28,,Li XINGFU,18 JUL 2002,CHN,1,Huangshan (CHN),20 MAR 2021,1151,10-kilometres-race-walk,race-walks,male,u20
21,39:28,,Giuseppe DISABATO,01 NOV 2006,ITA,1,"Lázeňský Park, Poděbrady (CZE)",18 MAY 2025,1151,10-kilometres-race-walk,race-walks,male,u20
23,39:29,,Tomohiro NODA,24 JAN 1996,JPN,1,Nomi (JPN),15 MAR 2015,1150,10-kilometres-race-walk,race-walks,male,u20
24,39:32,,Eder SÁNCHEZ,21 MAY 1986,MEX,1,Ciudad de México (MEX),06 AUG 2005,1148,10-kilometres-race-walk,race-walks,male,u20
24,39:32,,Hao WANG,16 AUG 1989,CHN,1,Xintai (CHN),23 OCT 2008,1148,10-kilometres-race-walk,race-walks,male,u20
24,39:32,,Stanislav YEMELYANOV,23 OCT 1990,RUS,1,Penza (RUS),05 SEP 2009,1148,10-kilometres-race-walk,race-walks,male,u20
27,39:34,,Dmitriy GRAMACHKOV,09 MAY 2003,RUS,2,Voronovo (RUS),23 AUG 2020,1146,10-kilometres-race-walk,race-walks,male,u20
27,39:34,,Qian SHENG,28 NOV 2002,CHN,2,Huangshan (CHN),20 MAR 2021,1146,10-kilometres-race-walk,race-walks,male,u20
29,39:35,,Kun WANG,10 MAY 1989,CHN,2,Xintai (CHN),23 OCT 2008,1146,10-kilometres-race-walk,race-walks,male,u20
29,39:35,,Artemiy VERSHININ,03 OCT 2003,RUS,2,Cheboksary (RUS),22 MAY 2022,1146,10-kilometres-race-walk,race-walks,male,u20
29,39:35,,Shengji SHI,19 JAN 2007,CHN,2,Taicang (CHN),03 MAR 2024,1146,10-kilometres-race-walk,race-walks,male,u20
32,39:36,,Han SHULONG,01 APR 2002,CHN,2,Huangshan (CHN),20 MAR 2021,1145,10-kilometres-race-walk,race-walks,male,u20
32,39:36,,Danila MARTYNOV,01 MAY 2004,RUS,1,Cheboksary (RUS),30 MAY 2021,1145,10-kilometres-race-walk,race-walks,male,u20
34,39:37,,Vladimir KANAYKIN,21 MAR 1985,RUS,3,Saransk (RUS),21 JUN 2003,1144,10-kilometres-race-walk,race-walks,male,u20
35,39:38,,Jun ZHANG,20 JUL 1998,CHN,1,Huangshan (CHN),04 MAR 2017,1144,10-kilometres-race-walk,race-walks,male,u20
