rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,3:32:33,,Yohann DINIZ,01 JAN 1978,FRA,1,"Letzigrund, Zürich (SUI)",15 AUG 2014,1269,50-kilometres-race-walk,race-walks,male,senior
2,3:33:12,,Yohann DINIZ,01 JAN 1978,FRA,1,"Olympic Stadium, London (GBR)",13 AUG 2017,1265,50-kilometres-race-walk,race-walks,male,senior
3,3:34:14,,Denis NIZHEGORODOV,26 JUL 1980,RUS,1,Cheboksary (RUS),11 MAY 2008,1258,50-kilometres-race-walk,race-walks,male,senior
4,3:34:38,,Matej TÓTH,10 FEB 1983,SVK,1,Dudince (SVK),21 MAR 2015,1256,50-kilometres-race-walk,race-walks,male,senior
5,3:35:29,,Denis NIZHEGORODOV,26 JUL 1980,RUS,1,Cheboksary (RUS),13 JUN 2004,1251,50-kilometres-race-walk,race-walks,male,senior
6,3:35:47,,Nathan DEAKES,17 AUG 1977,AUS,1,Geelong (AUS),02 DEC 2006,1249,50-kilometres-race-walk,race-walks,male,senior
7,3:36:03,,Robert KORZENIOWSKI,30 JUL 1968,POL,1,"Stade de France, Paris-St-Denis (FRA)",27 AUG 2003,1247,50-kilometres-race-walk,race-walks,male,senior
8,3:36:04,,Alex SCHWAZER,26 NOV 1984,ITA,1,Rosignano Solvay (ITA),11 FEB 2007,1247,50-kilometres-race-walk,race-walks,male,senior
9,3:36:06,,Chaohong YU,03 NOV 1975,CHN,1,Nanjing (CHN),22 OCT 2005,1247,50-kilometres-race-walk,race-walks,male,senior
10,3:36:13,,Chengliang ZHAO,01 JUN 1984,CHN,2,Nanjing (CHN),22 OCT 2005,1246,50-kilometres-race-walk,race-walks,male,senior
11,3:36:20,,Yucheng HAN,16 DEC 1978,CHN,1,Nanning (CHN),27 FEB 2005,1245,50-kilometres-race-walk,race-walks,male,senior
12,3:36:21,,Matej TÓTH,10 FEB 1983,SVK,2,"Letzigrund, Zürich (SUI)",15 AUG 2014,1245,50-kilometres-race-walk,race-walks,male,senior
13,3:36:39,,Robert KORZENIOWSKI,30 JUL 1968,POL,1,München (GER),08 AUG 2002,1244,50-kilometres-race-walk,race-walks,male,senior
14,3:36:42,,German SKURYGIN,15 SEP 1963,RUS,2,"Stade de France, Paris-St-Denis (FRA)",27 AUG 2003,1243,50-kilometres-race-walk,race-walks,male,senior
15,3:36:45,,Masatora KAWANO,23 OCT 1998,JPN,1,Takahata (JPN),27 OCT 2019,1243,50-kilometres-race-walk,race-walks,male,senior
16,3:36:53,,Jared TALLENT,17 OCT 1984,AUS,1,"Olympic Stadium, London (GBR)",11 AUG 2012,1242,50-kilometres-race-walk,race-walks,male,senior
17,3:37:04,,Alex SCHWAZER,26 NOV 1984,ITA,2,Cheboksary (RUS),11 MAY 2008,1241,50-kilometres-race-walk,race-walks,male,senior
18,3:37:09,,Alex SCHWAZER,26 NOV 1984,ITA,1,"National Stadium, Beijing (CHN)",22 AUG 2008,1240,50-kilometres-race-walk,race-walks,male,senior
19,3:37:16,,Tianfeng SI,17 JUN 1984,CHN,2,"Olympic Stadium, London (GBR)",11 AUG 2012,1240,50-kilometres-race-walk,race-walks,male,senior
20,3:37:26,,Valeriy SPITSYN,05 DEC 1965,RUS,1,Moskva (RUS),21 MAY 2000,1239,50-kilometres-race-walk,race-walks,male,senior
21,3:37:39,,Satoshi MARUO,28 NOV 1991,JPN,2,Takahata (JPN),27 OCT 2019,1237,50-kilometres-race-walk,race-walks,male,senior
22,3:37:41,,Andrey PERLOV,12 DEC 1961,URS,1,Leningrad (URS),05 AUG 1989,1237,50-kilometres-race-walk,race-walks,male,senior
22,3:37:41,,Ivan NOSKOV,16 JUL 1988,RUS,3,"Letzigrund, Zürich (SUI)",15 AUG 2014,1237,50-kilometres-race-walk,race-walks,male,senior
24,3:37:43,,Yohann DINIZ,01 JAN 1978,FRA,1,Alytus (LTU),19 MAY 2019,1237,50-kilometres-race-walk,race-walks,male,senior
25,3:37:46,,Andreas ERM,12 MAR 1976,GER,3,"Stade de France, Paris-St-Denis (FRA)",27 AUG 2003,1237,50-kilometres-race-walk,race-walks,male,senior
