rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,18:47.2h,,Sergey KOZHEVNIKOV,09 MAY 2001,RUS,2,Saransk (RUS) (i),29 DEC 2019,1155,5000-metres-race-walk,race-walks,male,u20
2,18:50.7h,,Sergey KOZHEVNIKOV,09 MAY 2001,RUS,1,"Football and athletics Arena, Saransk (RUS) (i)",27 DEC 2020,1150,5000-metres-race-walk,race-walks,male,u20
3,19:00.4h,,Sergey SHIROBOKOV,11 FEB 1999,ANA,1,Saransk (RUS) (i),30 DEC 2016,1135,5000-metres-race-walk,race-walks,male,u20
4,19:03.16,,Diego GARCÍA CARRERA,19 JAN 1996,ESP,3,Plasencia (ESP),24 JUN 2015,1131,5000-metres-race-walk,race-walks,male,u20
5,19:04.02,,Diego GARCÍA CARRERA,19 JAN 1996,ESP,3,Gijón (ESP),25 JUL 2015,1130,5000-metres-race-walk,race-walks,male,u20
6,19:04.5h,,Andriy YURIN,20 JAN 1984,UKR,1,Kyiv (UKR) (i),18 JAN 2003,1129,5000-metres-race-walk,race-walks,male,u20
7,19:09.37,,Giuseppe DISABATO,01 NOV 2006,ITA,1,"Campo Conti, Ancona (ITA)",14 JUN 2025,1122,5000-metres-race-walk,race-walks,male,u20
8,19:14.8h,,Dmitriy GRAMACHKOV,09 MAY 2003,ANA,2,"Ural GUFK, Chelyabinsk (RUS) (i)",28 DEC 2021,1115,5000-metres-race-walk,race-walks,male,u20
9,19:17.50,,Rayen CHERNI,01 NOV 2006,TUN,1,"Stadion Radés, Radés (TUN)",05 JUL 2025,1111,5000-metres-race-walk,race-walks,male,u20
10,19:23.31,,Kirill CHUDAYKIN,15 JUL 2006,RUS,1,"Regional Sport Complex, Brest (BLR)",23 JUL 2024,1102,5000-metres-race-walk,race-walks,male,u20
11,19:23.43,,Daniel MONFORT,25 JAN 2006,ESP,1,"Polideportivo Municipal, Villafranca de los Barros (ESP)",27 JUL 2025,1102,5000-metres-race-walk,race-walks,male,u20
12,19:23.96,,Isaac BEACROFT,18 JUL 2007,AUS,1,"SOPAC, Sydney (AUS)",14 MAR 2024,1101,5000-metres-race-walk,race-walks,male,u20
13,19:24.13,,Diego GARCÍA CARRERA,19 JAN 1996,ESP,3,Cáceres (ESP),02 JUL 2014,1101,5000-metres-race-walk,race-walks,male,u20
14,19:24.48,,Nitin GUPTA,01 JAN 2008,IND,1,"Patliputra Sports Complex, Patna (IND)",10 MAR 2025,1101,5000-metres-race-walk,race-walks,male,u20
15,19:25.18,,Benjamin KUCIŃSKI,01 JUN 1982,POL,3,Poznan (POL),15 SEP 2001,1100,5000-metres-race-walk,race-walks,male,u20
16,19:25.24,,Jacek MÜLLER,03 NOV 1973,POL,1,Spala (POL) (i),27 FEB 1992,1100,5000-metres-race-walk,race-walks,male,u20
17,19:25.86,,Álvaro MARTÍN,18 JUN 1994,ESP,2,Avilés (ESP),15 JUN 2013,1099,5000-metres-race-walk,race-walks,male,u20
18,19:26.51,,Giorgio RUBINO,15 APR 1986,ITA,3,Ancona (ITA) (i),19 FEB 2005,1098,5000-metres-race-walk,race-walks,male,u20
19,19:26.70,,Giuseppe DISABATO,01 NOV 2006,ITA,1,"Palaindoor Ancona, Ancona (ITA) (i)",01 FEB 2025,1097,5000-metres-race-walk,race-walks,male,u20
20,19:26.9h,,Aleksandr PROKHOROV,22 JAN 1986,RUS,1,Chelyabinsk (RUS) (i),06 JAN 2005,1097,5000-metres-race-walk,race-walks,male,u20
21,19:27.3h,,Salavat ILKAYEV,14 SEP 2000,RUS,4,Saransk (RUS) (i),29 DEC 2019,1097,5000-metres-race-walk,race-walks,male,u20
22,19:30.15,,Rui ZHANG,12 JAN 1989,CHN,1,Yantai (CHN),11 OCT 2006,1092,5000-metres-race-walk,race-walks,male,u20
23,19:31.04,,Giovanni DE BENEDICTIS,08 JAN 1968,ITA,1,Ravenna (ITA),27 JUN 1987,1091,5000-metres-race-walk,race-walks,male,u20
24,19:32.37,,Diego GARCÍA CARRERA,19 JAN 1996,ESP,3,Alcorcón (ESP),12 JUL 2014,1089,5000-metres-race-walk,race-walks,male,u20
25,19:32.8h,,Aivars KADAKS,02 NOV 1981,LAT,1,Riga (LAT) (i),31 JAN 1999,1089,5000-metres-race-walk,race-walks,male,u20
26,19:33.1h,,Kiril GRUDKIN,12 OCT 2002,RUS,3,"Ural GUFK, Chelyabinsk (RUS) (i)",28 DEC 2021,1088,5000-metres-race-walk,race-walks,male,u20
