rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,2:54.29,,United States,,USA,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",22 AUG 1993,1288,4x400-metres-relay,relays,male,senior
2,2:54.43,,United States,,USA,1,"Stade de France, Paris (FRA)",10 AUG 2024,1285,4x400-metres-relay,relays,male,senior
3,2:54.53,,Botswana,,BOT,2,"Stade de France, Paris (FRA)",10 AUG 2024,1284,4x400-metres-relay,relays,male,senior
4,2:55.39,,United States,,USA,1,"National Stadium, Beijing (CHN)",23 AUG 2008,1270,4x400-metres-relay,relays,male,senior
5,2:55.56,,United States,,USA,1,"Yanmar Stadium Nagai, Osaka (JPN)",02 SEP 2007,1267,4x400-metres-relay,relays,male,senior
6,2:55.70,,United States,,USA,1,"National Stadium, Tokyo (JPN)",07 AUG 2021,1265,4x400-metres-relay,relays,male,senior
7,2:55.74,,United States,,USA,1,"Estadio Olímpico, Barcelona (ESP)",08 AUG 1992,1264,4x400-metres-relay,relays,male,senior
8,2:55.83,,Great Britain & NI,,GBR,3,"Stade de France, Paris (FRA)",10 AUG 2024,1263,4x400-metres-relay,relays,male,senior
9,2:55.91,,United States,,USA,1,"Olympic Stadium, Athina (GRE)",28 AUG 2004,1262,4x400-metres-relay,relays,male,senior
10,2:55.99,,United States,,USA,1,"Olympic Stadium, Atlanta, GA (USA)",03 AUG 1996,1260,4x400-metres-relay,relays,male,senior
11,2:56.16,,United States,,USA,1,"Estadio Olímpico, Ciudad de México (MEX)",20 OCT 1968,1258,4x400-metres-relay,relays,male,senior
11,2:56.16,,United States,,USA,1,"Olympic Stadium, Seoul (KOR)",01 OCT 1988,1258,4x400-metres-relay,relays,male,senior
13,2:56.17,,United States,,USA,1,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,1257,4x400-metres-relay,relays,male,senior
14,2:56.60,,Great Britain & NI,,GBR,2,"Olympic Stadium, Atlanta, GA (USA)",03 AUG 1996,1251,4x400-metres-relay,relays,male,senior
