rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,26:24,,Rhonex KIPRUTO,12 OCT 1999,KEN,1,Valencia (ESP),12 JAN 2020,1285,10-kilometres,road-running,male,senior
2,26:31,,Yomif KEJELCHA,01 AUG 1997,ETH,1,Castellón (ESP),16 FEB 2025,1273,10-kilometres,road-running,male,senior
3,26:33,,Berihu AREGAWI,28 FEB 2001,ETH,1,Laredo (ESP),11 MAR 2023,1270,10-kilometres,road-running,male,senior
4,26:37,,Yomif KEJELCHA,01 AUG 1997,ETH,1,Laredo (ESP),16 MAR 2024,1263,10-kilometres,road-running,male,senior
5,26:38,,Joshua CHEPTEGEI,12 SEP 1996,UGA,1,Valencia (ESP),01 DEC 2019,1262,10-kilometres,road-running,male,senior
6,26:43,,Rhonex KIPRUTO,12 OCT 1999,KEN,1,Herzogenaurach (GER),12 SEP 2021,1254,10-kilometres,road-running,male,senior
7,26:44,,Leonard Patrick KOMON,10 JAN 1988,KEN,1,Utrecht (NED),26 SEP 2010,1252,10-kilometres,road-running,male,senior
8,26:46,,Rhonex KIPRUTO,12 OCT 1999,KEN,1,Praha (CZE),08 SEP 2018,1249,10-kilometres,road-running,male,senior
9,26:48,,Jacob KIPLIMO,14 NOV 2000,UGA,1,Valencia (ESP),14 JAN 2024,1245,10-kilometres,road-running,male,senior
10,26:49,,Joshua CHEPTEGEI,12 SEP 1996,UGA,1,Cannes (FRA),06 MAR 2022,1244,10-kilometres,road-running,male,senior
10,26:49,,Sabastian Kimaru SAWE,16 MAR 1995,KEN,1,"Adi-Dassler-Straße 1, Herzogenaurach (GER)",29 APR 2023,1244,10-kilometres,road-running,male,senior
12,26:50,,Kibiwott KANDIE,20 JUN 1996,KEN,1,Herzogenaurach (GER),30 APR 2022,1242,10-kilometres,road-running,male,senior
13,26:51,,Kibiwott KANDIE,20 JUN 1996,KEN,1,Genève (SUI),03 OCT 2021,1241,10-kilometres,road-running,male,senior
13,26:51,,Nicholas KIPKORIR,29 SEP 1998,KEN,1,Brasov (ROU),25 SEP 2022,1241,10-kilometres,road-running,male,senior
15,26:53,,Kibiwott KANDIE,20 JUN 1996,KEN,2,"Adi-Dassler-Straße 1, Herzogenaurach (GER)",29 APR 2023,1237,10-kilometres,road-running,male,senior
15,26:53,,Joshua CHEPTEGEI,12 SEP 1996,UGA,2,Laredo (ESP),16 MAR 2024,1237,10-kilometres,road-running,male,senior
15,26:53,,Andreas ALMGREN,12 JUN 1995,SWE,1,Valencia (ESP),12 JAN 2025,1237,10-kilometres,road-running,male,senior
18,26:54,,Sabastian Kimaru SAWE,16 MAR 1995,KEN,2,Herzogenaurach (GER),30 APR 2022,1236,10-kilometres,road-running,male,senior
18,26:54,,Nicholas KIPKORIR,29 SEP 1998,KEN,3,"Adi-Dassler-Straße 1, Herzogenaurach (GER)",29 APR 2023,1236,10-kilometres,road-running,male,senior
18,26:54,,Dominic Lokinyomo LOBALU,16 AUG 1998,SUI,2,Valencia (ESP),12 JAN 2025,1236,10-kilometres,road-running,male,senior
18,26:54,,Birhanu BALEW,27 FEB 1996,BRN,1,Herzogenaurach (GER),26 APR 2025,1236,10-kilometres,road-running,male,senior
18,26:54,,Gemechu DIDA,12 SEP 1999,ETH,2,Herzogenaurach (GER),26 APR 2025,1236,10-kilometres,road-running,male,senior
18,26:54,,Rodrigue KWIZERA,10 OCT 1999,BDI,3,Herzogenaurach (GER),26 APR 2025,1236,10-kilometres,road-running,male,senior
24,26:55,,Weldon LANGAT,24 FEB 1998,KEN,2,Brasov (ROU),25 SEP 2022,1234,10-kilometres,road-running,male,senior
24,26:55,,Isaac Kibet NDIEMA,05 FEB 1999,KEN,3,Brasov (ROU),25 SEP 2022,1234,10-kilometres,road-running,male,senior
24,26:55,,Weldon LANGAT,24 FEB 1998,KEN,1,Valencia (ESP),15 JAN 2023,1234,10-kilometres,road-running,male,senior
24,26:55,,Vincent Kibet LANGAT,06 FEB 2001,KEN,3,Valencia (ESP),12 JAN 2025,1234,10-kilometres,road-running,male,senior
28,26:56,,Tadese WORKU,20 JAN 2002,ETH,2,Herzogenaurach (GER),12 SEP 2021,1233,10-kilometres,road-running,male,senior
28,26:56,,Rodrigue KWIZERA,10 OCT 1999,BDI,3,Herzogenaurach (GER),30 APR 2022,1233,10-kilometres,road-running,male,senior
28,26:56,,Nicholas KIPKORIR,29 SEP 1998,KEN,4,Herzogenaurach (GER),26 APR 2025,1233,10-kilometres,road-running,male,senior
31,26:57,,Felix KIPKOECH,01 FEB 1998,KEN,2,Genève (SUI),03 OCT 2021,1231,10-kilometres,road-running,male,senior
