rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,56:42,,Jacob KIPLIMO,14 NOV 2000,UGA,1,Barcelona (ESP),16 FEB 2025,1323,half-marathon,road-running,male,senior
2,57:30,,Yomif KEJELCHA,01 AUG 1997,ETH,1,Valencia (ESP),27 OCT 2024,1289,half-marathon,road-running,male,senior
3,57:31,,Jacob KIPLIMO,14 NOV 2000,UGA,1,Lisboa (POR),21 NOV 2021,1288,half-marathon,road-running,male,senior
4,57:32,,Kibiwott KANDIE,20 JUN 1996,KEN,1,Valencia (ESP),06 DEC 2020,1288,half-marathon,road-running,male,senior
5,57:37,,Jacob KIPLIMO,14 NOV 2000,UGA,2,Valencia (ESP),06 DEC 2020,1284,half-marathon,road-running,male,senior
6,57:40,,Kibiwott KANDIE,20 JUN 1996,KEN,1,Valencia (ESP),22 OCT 2023,1282,half-marathon,road-running,male,senior
7,57:41,,Yomif KEJELCHA,01 AUG 1997,ETH,2,Valencia (ESP),22 OCT 2023,1281,half-marathon,road-running,male,senior
7,57:41,,Hagos GEBRHIWET,11 MAY 1994,ETH,3,Valencia (ESP),22 OCT 2023,1281,half-marathon,road-running,male,senior
9,57:49,,Rhonex KIPRUTO,12 OCT 1999,KEN,3,Valencia (ESP),06 DEC 2020,1276,half-marathon,road-running,male,senior
10,57:50,,Selemon BAREGA,20 JAN 2000,ETH,4,Valencia (ESP),22 OCT 2023,1275,half-marathon,road-running,male,senior
11,57:56,,Jacob KIPLIMO,14 NOV 2000,UGA,1,Ras Al Khaimah (UAE),19 FEB 2022,1271,half-marathon,road-running,male,senior
12,57:59,,Alexander MUNYAO,10 SEP 1996,KEN,4,Valencia (ESP),06 DEC 2020,1269,half-marathon,road-running,male,senior
13,58:01,,Geoffrey KAMWOROR,22 NOV 1992,KEN,1,København (DEN),15 SEP 2019,1267,half-marathon,road-running,male,senior
14,58:05,,Sabastian Kimaru SAWE,16 MAR 1995,KEN,1,Copenhagen (DEN),15 SEP 2024,1265,half-marathon,road-running,male,senior
15,58:07,,Abel KIPCHUMBA,03 FEB 1994,KEN,1,Valencia (ESP),24 OCT 2021,1263,half-marathon,road-running,male,senior
16,58:09,,Rhonex KIPRUTO,12 OCT 1999,KEN,2,Valencia (ESP),24 OCT 2021,1262,half-marathon,road-running,male,senior
16,58:09,,Jacob KIPLIMO,14 NOV 2000,UGA,2,Copenhagen (DEN),15 SEP 2024,1262,half-marathon,road-running,male,senior
18,58:10,,Kibiwott KANDIE,20 JUN 1996,KEN,1,Valencia (ESP),23 OCT 2022,1261,half-marathon,road-running,male,senior
18,58:10,,Isaia Kipkoech LASOI,12 OCT 1999,KEN,3,Copenhagen (DEN),15 SEP 2024,1261,half-marathon,road-running,male,senior
20,58:11,,Philemon KIPLIMO,10 OCT 1998,KEN,5,Valencia (ESP),06 DEC 2020,1260,half-marathon,road-running,male,senior
21,58:17,,Daniel MATEIKO,04 AUG 1998,KEN,2,Valencia (ESP),27 OCT 2024,1256,half-marathon,road-running,male,senior
22,58:21,,Isaia Kipkoech LASOI,12 OCT 1999,KEN,3,Valencia (ESP),27 OCT 2024,1254,half-marathon,road-running,male,senior
23,58:23,,Zersenay TADESE,01 JAN 1982,ERI,1,Lisboa (POR),21 MAR 2010,1252,half-marathon,road-running,male,senior
23,58:23,,Nicholas KIPKORIR,29 SEP 1998,KEN,1,Copenhagen (DEN),14 SEP 2025,1252,half-marathon,road-running,male,senior
25,58:24,,Sabastian Kimaru SAWE,16 MAR 1995,KEN,1,Praha (CZE),06 APR 2024,1251,half-marathon,road-running,male,senior
25,58:24,,Vincent Kibet LANGAT,06 FEB 2001,KEN,2,Copenhagen (DEN),14 SEP 2025,1251,half-marathon,road-running,male,senior
27,58:26,,Daniel MATEIKO,04 AUG 1998,KEN,3,Valencia (ESP),24 OCT 2021,1250,half-marathon,road-running,male,senior
28,58:27,,Gilbert Kipkosgei KIPROTICH,12 MAY 2000,KEN,1,Málaga (ESP),23 MAR 2025,1249,half-marathon,road-running,male,senior
29,58:28,,Kennedy KIMUTAI,03 JUN 1999,KEN,4,Valencia (ESP),24 OCT 2021,1249,half-marathon,road-running,male,senior
30,58:29,,Sabastian Kimaru SAWE,16 MAR 1995,KEN,5,Valencia (ESP),22 OCT 2023,1248,half-marathon,road-running,male,senior
30,58:29,,Jacob KIPLIMO,14 NOV 2000,UGA,1,Buenos Aires (ARG),24 AUG 2025,1248,half-marathon,road-running,male,senior
32,58:31,,Zersenay TADESE,01 JAN 1982,ERI,1,Lisboa (POR),20 MAR 2011,1247,half-marathon,road-running,male,senior
33,58:32,,Yomif KEJELCHA,01 AUG 1997,ETH,2,Valencia (ESP),23 OCT 2022,1246,half-marathon,road-running,male,senior
34,58:33,,Samuel Kamau WANJIRU,10 NOV 1986,KEN,1,The Hague (NED),17 MAR 2007,1245,half-marathon,road-running,male,senior
34,58:33,,Jemal MEKONEN,11 SEP 1996,ETH,1,Valencia (ESP),28 OCT 2018,1245,half-marathon,road-running,male,senior
36,58:34,,Philemon KIPLIMO,10 OCT 1998,KEN,5,Valencia (ESP),24 OCT 2021,1245,half-marathon,road-running,male,senior
37,58:35,,Keneth Kiprop RENJU,01 JUL 1996,KEN,2,Ras Al Khaimah (UAE),19 FEB 2022,1244,half-marathon,road-running,male,senior
38,58:36,,Seifu TURA,19 JUN 1997,ETH,3,Ras Al Khaimah (UAE),19 FEB 2022,1243,half-marathon,road-running,male,senior
38,58:36,,Daniel MATEIKO,04 AUG 1998,KEN,1,Larne (GBR),27 AUG 2023,1243,half-marathon,road-running,male,senior
40,58:38,,Kibiwott KANDIE,20 JUN 1996,KEN,1,Praha (CZE),05 SEP 2020,1242,half-marathon,road-running,male,senior
40,58:38,,Jemal MEKONEN,11 SEP 1996,ETH,2,Larne (GBR),27 AUG 2023,1242,half-marathon,road-running,male,senior
42,58:39,,Gemechu DIDA,12 SEP 1999,ETH,4,Valencia (ESP),27 OCT 2024,1241,half-marathon,road-running,male,senior
43,58:40,,Abraham CHEROBEN,11 OCT 1992,BRN,1,København (DEN),17 SEP 2017,1240,half-marathon,road-running,male,senior
43,58:40,,Muktar EDRIS,14 JAN 1994,ETH,6,Valencia (ESP),24 OCT 2021,1240,half-marathon,road-running,male,senior
43,58:40,,Amedework WALELEGN,11 MAR 1999,ETH,4,Ras Al Khaimah (UAE),19 FEB 2022,1240,half-marathon,road-running,male,senior
43,58:40,,Daniel MATEIKO,04 AUG 1998,KEN,3,Valencia (ESP),23 OCT 2022,1240,half-marathon,road-running,male,senior
47,58:41,,Vincent Kibet LANGAT,06 FEB 2001,KEN,5,Valencia (ESP),27 OCT 2024,1240,half-marathon,road-running,male,senior
48,58:42,,Bedan KAROKI,21 AUG 1990,KEN,1,Ras Al Khaimah (UAE),09 FEB 2018,1239,half-marathon,road-running,male,senior
48,58:42,,Eric Kiprono KIPTANUI,19 APR 1990,KEN,1,Berlin (GER),08 APR 2018,1239,half-marathon,road-running,male,senior
48,58:42,,Stephen KIPROP,08 SEP 1999,KEN,1,Ras Al Khaimah (UAE),08 FEB 2019,1239,half-marathon,road-running,male,senior
48,58:42,,Kelvin KIPTUM,02 DEC 1999,KEN,6,Valencia (ESP),06 DEC 2020,1239,half-marathon,road-running,male,senior
52,58:43,,Mathew Kipkorir KIMELI,04 JAN 1998,KEN,7,Valencia (ESP),24 OCT 2021,1238,half-marathon,road-running,male,senior
52,58:43,,Gemechu DIDA,12 SEP 1999,ETH,1,Berlin (GER),06 APR 2025,1238,half-marathon,road-running,male,senior
54,58:44,,Abadi HADIS,06 NOV 1997,ETH,2,Valencia (ESP),28 OCT 2018,1238,half-marathon,road-running,male,senior
54,58:44,,Abadi HADIS,06 NOV 1997,ETH,2,Ras Al Khaimah (UAE),08 FEB 2019,1238,half-marathon,road-running,male,senior
54,58:44,,Geoffrey KAMWOROR,22 NOV 1992,KEN,2,Barcelona (ESP),16 FEB 2025,1238,half-marathon,road-running,male,senior
54,58:44,,Patrick MOSIN,06 JUN 2000,KEN,2,Málaga (ESP),23 MAR 2025,1238,half-marathon,road-running,male,senior
58,58:45,,Daniel MATEIKO,04 AUG 1998,KEN,5,Ras Al Khaimah (UAE),19 FEB 2022,1237,half-marathon,road-running,male,senior
58,58:45,,Benard Kibet KOECH,25 NOV 1999,KEN,1,Ras Al Khaimah (UAE),18 FEB 2023,1237,half-marathon,road-running,male,senior
58,58:45,,Daniel MATEIKO,04 AUG 1998,KEN,1,Ras Al Khaimah (UAE),24 FEB 2024,1237,half-marathon,road-running,male,senior
61,58:46,,Mathew Kipkoech KISORIO,16 MAY 1989,KEN,1,"Philadelphia, PA (USA)",18 SEP 2011,1236,half-marathon,road-running,male,senior
62,58:47,,Atsedu TSEGAY,17 DEC 1991,ETH,1,Praha (CZE),31 MAR 2012,1236,half-marathon,road-running,male,senior
62,58:47,,Tadese WORKU,20 JAN 2002,ETH,4,Valencia (ESP),23 OCT 2022,1236,half-marathon,road-running,male,senior
62,58:47,,Amos KURGAT,07 MAR 1992,KEN,4,Copenhagen (DEN),15 SEP 2024,1236,half-marathon,road-running,male,senior
65,58:48,,Sammy KITWARA,26 NOV 1986,KEN,2,"Philadelphia, PA (USA)",18 SEP 2011,1235,half-marathon,road-running,male,senior
65,58:48,,Abraham CHEROBEN,11 OCT 1992,KEN,1,Valencia (ESP),19 OCT 2014,1235,half-marathon,road-running,male,senior
65,58:48,,Jorum OKOMBO,10 DEC 1997,KEN,2,København (DEN),17 SEP 2017,1235,half-marathon,road-running,male,senior
65,58:48,,Abel KIPCHUMBA,03 FEB 1994,KEN,1,Herzogenaurach (GER),12 SEP 2021,1235,half-marathon,road-running,male,senior
65,58:48,,Alexander MUNYAO,10 SEP 1996,KEN,6,Ras Al Khaimah (UAE),19 FEB 2022,1235,half-marathon,road-running,male,senior
70,58:49,,Jacob KIPLIMO,14 NOV 2000,UGA,1,Gdynia (POL),17 OCT 2020,1234,half-marathon,road-running,male,senior
70,58:49,,Daniel MATEIKO,04 AUG 1998,KEN,2,Ras Al Khaimah (UAE),18 FEB 2023,1234,half-marathon,road-running,male,senior
70,58:49,,Isaia Kipkoech LASOI,12 OCT 1999,KEN,3,Copenhagen (DEN),14 SEP 2025,1234,half-marathon,road-running,male,senior
73,58:50,,John KORIR,02 DEC 1996,KEN,2,Ras Al Khaimah (UAE),24 FEB 2024,1234,half-marathon,road-running,male,senior
74,58:51,,Alex KORIO,20 NOV 1990,KEN,3,København (DEN),17 SEP 2017,1233,half-marathon,road-running,male,senior
75,58:52,,Patrick Makau MUSYOKI,02 MAR 1985,KEN,1,Ras Al Khaimah (UAE),20 FEB 2009,1232,half-marathon,road-running,male,senior
76,58:53,,Samuel Kamau WANJIRU,10 NOV 1986,KEN,1,Ras Al Khaimah (UAE),09 FEB 2007,1232,half-marathon,road-running,male,senior
76,58:53,,Amedework WALELEGN,11 MAR 1999,ETH,1,New Delhi (IND),29 NOV 2020,1232,half-marathon,road-running,male,senior
76,58:53,,Charles Kipkkurui LANGAT,28 APR 1996,KEN,1,Barcelona (ESP),19 FEB 2023,1232,half-marathon,road-running,male,senior
76,58:53,,Hillary Kipchirchir CHEPKWONY,04 MAR 1999,KEN,6,Valencia (ESP),22 OCT 2023,1232,half-marathon,road-running,male,senior
80,58:54,,Stephen KIBET,09 NOV 1986,KEN,1,Den Haag (NED),11 MAR 2012,1231,half-marathon,road-running,male,senior
80,58:54,,Geoffrey KAMWOROR,22 NOV 1992,KEN,1,Ras Al Khaimah (UAE),15 FEB 2013,1231,half-marathon,road-running,male,senior
80,58:54,,Kibiwott KANDIE,20 JUN 1996,KEN,2,Gdynia (POL),17 OCT 2020,1231,half-marathon,road-running,male,senior
80,58:54,,Andamlak BELIHU,20 NOV 1998,ETH,2,New Delhi (IND),29 NOV 2020,1231,half-marathon,road-running,male,senior
80,58:54,,Rodrigue KWIZERA,10 OCT 1999,BDI,1,Praha (CZE),05 APR 2025,1231,half-marathon,road-running,male,senior
85,58:55,,Haile GEBRSELASSIE,18 APR 1973,ETH,1,"Tempe, AZ (USA)",15 JAN 2006,1230,half-marathon,road-running,male,senior
85,58:55,,Alex KIBET,10 NOV 1990,KEN,1,Berlin (GER),03 APR 2022,1230,half-marathon,road-running,male,senior
85,58:55,,Hagos GEBRHIWET,11 MAY 1994,ETH,1,Granollers (ESP),05 FEB 2023,1230,half-marathon,road-running,male,senior
85,58:55,,Isaia Kipkoech LASOI,12 OCT 1999,KEN,3,Ras Al Khaimah (UAE),24 FEB 2024,1230,half-marathon,road-running,male,senior
89,58:56,,Patrick Makau MUSYOKI,02 MAR 1985,KEN,1,Berlin (GER),01 APR 2007,1230,half-marathon,road-running,male,senior
89,58:56,,Stanley Kipleting BIWOTT,21 APR 1986,KEN,2,Ras Al Khaimah (UAE),15 FEB 2013,1230,half-marathon,road-running,male,senior
89,58:56,,Stephen KISSA,01 DEC 1988,UGA,3,New Delhi (IND),29 NOV 2020,1230,half-marathon,road-running,male,senior
89,58:56,,Isaia Kipkoech LASOI,12 OCT 1999,KEN,2,Praha (CZE),05 APR 2025,1230,half-marathon,road-running,male,senior
93,58:57,,Felix KIPKOECH,01 FEB 1998,KEN,1,Berlin (GER),22 AUG 2021,1229,half-marathon,road-running,male,senior
93,58:57,,Selemon BAREGA,20 JAN 2000,ETH,6,Valencia (ESP),27 OCT 2024,1229,half-marathon,road-running,male,senior
95,58:58,,Sammy KITWARA,26 NOV 1986,KEN,1,Rotterdam (NED),13 SEP 2009,1228,half-marathon,road-running,male,senior
95,58:58,,Geoffrey MUTAI,07 OCT 1981,KEN,3,Ras Al Khaimah (UAE),15 FEB 2013,1228,half-marathon,road-running,male,senior
95,58:58,,Kibiwott KANDIE,20 JUN 1996,KEN,1,Ras Al Khaimah (UAE),21 FEB 2020,1228,half-marathon,road-running,male,senior
95,58:58,,Milkesa MENGESHA,16 APR 2000,ETH,1,København (DEN),18 SEP 2022,1228,half-marathon,road-running,male,senior
95,58:58,,Sabastian Kimaru SAWE,16 MAR 1995,KEN,1,Manama (BRN),23 DEC 2022,1228,half-marathon,road-running,male,senior
100,58:59,,Zersenay TADESE,01 JAN 1982,ERI,1,Udine (ITA),14 OCT 2007,1227,half-marathon,road-running,male,senior
100,58:59,,Wilson Kipsang KIPROTICH,15 MAR 1982,KEN,2,Ras Al Khaimah (UAE),20 FEB 2009,1227,half-marathon,road-running,male,senior
100,58:59,,Birhanu LEGESE,11 SEP 1994,ETH,2,Barcelona (ESP),19 FEB 2023,1227,half-marathon,road-running,male,senior
103,59:00,,Jemal MEKONEN,11 SEP 1996,ETH,2,Ras Al Khaimah (UAE),09 FEB 2018,1227,half-marathon,road-running,male,senior
103,59:00,,Sabastian Kimaru SAWE,16 MAR 1995,KEN,1,Berlin (GER),02 APR 2023,1227,half-marathon,road-running,male,senior
103,59:00,,Mathew Kipkorir KIMELI,04 JAN 1998,KEN,7,Valencia (ESP),22 OCT 2023,1227,half-marathon,road-running,male,senior
106,59:01,,Kenneth Kiprop KIPKEMOI,02 AUG 1984,KEN,2,Valencia (ESP),19 OCT 2014,1226,half-marathon,road-running,male,senior
107,59:02,,Patrick Makau MUSYOKI,02 MAR 1985,KEN,2,Udine (ITA),14 OCT 2007,1225,half-marathon,road-running,male,senior
107,59:02,,Jonathan MAIYO,05 MAY 1988,KEN,2,Den Haag (NED),11 MAR 2012,1225,half-marathon,road-running,male,senior
107,59:02,,Kelvin KIPTUM,02 DEC 1999,KEN,8,Valencia (ESP),24 OCT 2021,1225,half-marathon,road-running,male,senior
110,59:04,,Muktar EDRIS,14 JAN 1994,ETH,4,New Delhi (IND),29 NOV 2020,1224,half-marathon,road-running,male,senior
110,59:04,,Jemal MEKONEN,11 SEP 1996,ETH,1,Larne (GBR),28 AUG 2022,1224,half-marathon,road-running,male,senior
