rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,2:00:35,,Kelvin KIPTUM,02 DEC 1999,KEN,1,"Chicago, IL (USA)",08 OCT 2023,1307,marathon,road-running,male,senior
2,2:01:09,,Eliud KIPCHOGE,05 NOV 1984,KEN,1,Berlin (GER),25 SEP 2022,1296,marathon,road-running,male,senior
3,2:01:25,,Kelvin KIPTUM,02 DEC 1999,KEN,1,London (GBR),23 APR 2023,1291,marathon,road-running,male,senior
4,2:01:39,,Eliud KIPCHOGE,05 NOV 1984,KEN,1,Berlin (GER),16 SEP 2018,1286,marathon,road-running,male,senior
5,2:01:41,,Kenenisa BEKELE,13 JUN 1982,ETH,1,Berlin (GER),29 SEP 2019,1286,marathon,road-running,male,senior
6,2:01:48,,Sisay LEMMA,12 DEC 1990,ETH,1,Valencia (ESP),03 DEC 2023,1283,marathon,road-running,male,senior
7,2:01:53,,Kelvin KIPTUM,02 DEC 1999,KEN,1,Valencia (ESP),04 DEC 2022,1282,marathon,road-running,male,senior
8,2:02:05,,Sabastian Kimaru SAWE,16 MAR 1995,KEN,1,Valencia (ESP),01 DEC 2024,1278,marathon,road-running,male,senior
9,2:02:16,,Benson KIPRUTO,17 MAR 1991,KEN,1,Tokyo (JPN),03 MAR 2024,1274,marathon,road-running,male,senior
10,2:02:27,,Sabastian Kimaru SAWE,16 MAR 1995,KEN,1,London (GBR),27 APR 2025,1271,marathon,road-running,male,senior
11,2:02:37,,Eliud KIPCHOGE,05 NOV 1984,KEN,1,London (GBR),28 APR 2019,1268,marathon,road-running,male,senior
12,2:02:38,,Deresa GELETA,14 JAN 1996,ETH,2,Valencia (ESP),01 DEC 2024,1267,marathon,road-running,male,senior
13,2:02:40,,Eliud KIPCHOGE,05 NOV 1984,KEN,1,Tokyo (JPN),06 MAR 2022,1267,marathon,road-running,male,senior
14,2:02:42,,Eliud KIPCHOGE,05 NOV 1984,KEN,1,Berlin (GER),24 SEP 2023,1266,marathon,road-running,male,senior
15,2:02:44,,John KORIR,02 DEC 1996,KEN,1,"Chicago, IL (USA)",13 OCT 2024,1265,marathon,road-running,male,senior
16,2:02:48,,Birhanu LEGESE,11 SEP 1994,ETH,2,Berlin (GER),29 SEP 2019,1264,marathon,road-running,male,senior
17,2:02:55,,Mosinet GEREMEW,12 FEB 1992,ETH,2,London (GBR),28 APR 2019,1262,marathon,road-running,male,senior
17,2:02:55,,Timothy KIPLAGAT,18 SEP 1993,KEN,2,Tokyo (JPN),03 MAR 2024,1262,marathon,road-running,male,senior
19,2:02:57,,Dennis KIMETTO,22 APR 1984,KEN,1,Berlin (GER),28 SEP 2014,1261,marathon,road-running,male,senior
20,2:03:00,,Evans CHEBET,10 NOV 1988,KEN,1,Valencia (ESP),06 DEC 2020,1260,marathon,road-running,male,senior
20,2:03:00,,Gabriel Gerald GEAY,10 SEP 1996,TAN,2,Valencia (ESP),04 DEC 2022,1260,marathon,road-running,male,senior
22,2:03:03,,Kenenisa BEKELE,13 JUN 1982,ETH,1,Berlin (GER),25 SEP 2016,1259,marathon,road-running,male,senior
23,2:03:04,,Lawrence CHERONO,07 AUG 1988,KEN,2,Valencia (ESP),06 DEC 2020,1259,marathon,road-running,male,senior
24,2:03:05,,Eliud KIPCHOGE,05 NOV 1984,KEN,1,London (GBR),24 APR 2016,1259,marathon,road-running,male,senior
25,2:03:11,,Alexander MUNYAO,10 SEP 1996,KEN,2,Valencia (ESP),03 DEC 2023,1257,marathon,road-running,male,senior
26,2:03:13,,Emmanuel MUTAI,12 OCT 1984,KEN,2,Berlin (GER),28 SEP 2014,1256,marathon,road-running,male,senior
26,2:03:13,,Wilson Kipsang KIPROTICH,15 MAR 1982,KEN,2,Berlin (GER),25 SEP 2016,1256,marathon,road-running,male,senior
26,2:03:13,,Amos KIPRUTO,16 SEP 1992,KEN,2,Tokyo (JPN),06 MAR 2022,1256,marathon,road-running,male,senior
26,2:03:13,,Vincent Kipkemoi NGETICH,03 JAN 1999,KEN,2,Berlin (GER),24 SEP 2023,1256,marathon,road-running,male,senior
30,2:03:16,,Mule WASIHUN,20 OCT 1993,ETH,3,London (GBR),28 APR 2019,1255,marathon,road-running,male,senior
30,2:03:16,,Birhanu LEGESE,11 SEP 1994,ETH,3,Valencia (ESP),06 DEC 2020,1255,marathon,road-running,male,senior
32,2:03:17,,Milkesa MENGESHA,16 APR 2000,ETH,1,Berlin (GER),29 SEP 2024,1255,marathon,road-running,male,senior
33,2:03:22,,CyBrian KOTUT,06 JUN 1992,KEN,2,Berlin (GER),29 SEP 2024,1253,marathon,road-running,male,senior
34,2:03:23,,Wilson Kipsang KIPROTICH,15 MAR 1982,KEN,1,Berlin (GER),29 SEP 2013,1253,marathon,road-running,male,senior
34,2:03:23,,Tadese TAKELE,03 AUG 2002,ETH,1,Tokyo (JPN),02 MAR 2025,1253,marathon,road-running,male,senior
36,2:03:24,,Tadese TAKELE,03 AUG 2002,ETH,3,Berlin (GER),24 SEP 2023,1253,marathon,road-running,male,senior
37,2:03:27,,Deresa GELETA,14 JAN 1996,ETH,1,Sevilla (ESP),18 FEB 2024,1252,marathon,road-running,male,senior
38,2:03:29,,Alexander MUNYAO,10 SEP 1996,KEN,3,Valencia (ESP),04 DEC 2022,1251,marathon,road-running,male,senior
39,2:03:30,,Amos KIPRUTO,16 SEP 1992,KEN,4,Valencia (ESP),06 DEC 2020,1251,marathon,road-running,male,senior
40,2:03:31,,Haymanot ALEW,11 NOV 1997,ETH,3,Berlin (GER),29 SEP 2024,1250,marathon,road-running,male,senior
41,2:03:32,,Eliud KIPCHOGE,05 NOV 1984,KEN,1,Berlin (GER),24 SEP 2017,1250,marathon,road-running,male,senior
42,2:03:34,,Getaneh MOLLA,10 JAN 1994,ETH,1,Dubai (UAE),25 JAN 2019,1249,marathon,road-running,male,senior
43,2:03:36,,Sisay LEMMA,12 DEC 1990,ETH,3,Berlin (GER),29 SEP 2019,1249,marathon,road-running,male,senior
43,2:03:36,,Bashir ABDI,10 FEB 1989,BEL,1,Rotterdam (NED),24 OCT 2021,1249,marathon,road-running,male,senior
45,2:03:37,,Stephen KIPROP,08 SEP 1999,KEN,4,Berlin (GER),29 SEP 2024,1249,marathon,road-running,male,senior
45,2:03:37,,Jacob KIPLIMO,14 NOV 2000,UGA,2,London (GBR),27 APR 2025,1249,marathon,road-running,male,senior
47,2:03:38,,Patrick Makau MUSYOKI,02 MAR 1985,KEN,1,Berlin (GER),25 SEP 2011,1248,marathon,road-running,male,senior
48,2:03:39,,Tamirat TOLA,11 AUG 1991,ETH,1,Amsterdam (NED),17 OCT 2021,1248,marathon,road-running,male,senior
49,2:03:40,,Herpasa NEGASA,11 SEP 1993,ETH,2,Dubai (UAE),25 JAN 2019,1248,marathon,road-running,male,senior
49,2:03:40,,Tamirat TOLA,11 AUG 1991,ETH,4,Valencia (ESP),04 DEC 2022,1248,marathon,road-running,male,senior
51,2:03:42,,Wilson Kipsang KIPROTICH,15 MAR 1982,KEN,1,Frankfurt (GER),30 OCT 2011,1247,marathon,road-running,male,senior
52,2:03:45,,Dennis KIMETTO,22 APR 1984,KEN,1,"Chicago, IL (USA)",13 OCT 2013,1246,marathon,road-running,male,senior
53,2:03:46,,Guye Idemo ADOLA,20 OCT 1990,ETH,2,Berlin (GER),24 SEP 2017,1246,marathon,road-running,male,senior
53,2:03:46,,Amos KIPRUTO,16 SEP 1992,KEN,1,Hamburg (GER),27 APR 2025,1246,marathon,road-running,male,senior
55,2:03:47,,Bashir ABDI,10 FEB 1989,BEL,1,Rotterdam (NED),16 APR 2023,1245,marathon,road-running,male,senior
55,2:03:47,,Morhad AMDOUNI,21 JUN 1988,FRA,2,Sevilla (ESP),18 FEB 2024,1245,marathon,road-running,male,senior
57,2:03:48,,Dawit WOLDE,19 MAY 1991,ETH,3,Valencia (ESP),03 DEC 2023,1245,marathon,road-running,male,senior
58,2:03:50,,Timothy KIPLAGAT,18 SEP 1993,KEN,2,Rotterdam (NED),16 APR 2023,1244,marathon,road-running,male,senior
59,2:03:51,,Stanley Kipleting BIWOTT,21 APR 1986,KEN,2,London (GBR),24 APR 2016,1244,marathon,road-running,male,senior
59,2:03:51,,Kinde ATANAW,15 APR 1993,ETH,1,Valencia (ESP),01 DEC 2019,1244,marathon,road-running,male,senior
59,2:03:51,,Deresa GELETA,14 JAN 1996,ETH,2,Tokyo (JPN),02 MAR 2025,1244,marathon,road-running,male,senior
62,2:03:52,,Emmanuel MUTAI,12 OCT 1984,KEN,2,"Chicago, IL (USA)",13 OCT 2013,1244,marathon,road-running,male,senior
63,2:03:55,,Reuben Kiprop KIPYEGO,21 AUG 1996,KEN,1,Milano (ITA),16 MAY 2021,1243,marathon,road-running,male,senior
64,2:03:58,,Wilson Kipsang KIPROTICH,15 MAR 1982,KEN,1,Tokyo (JPN),26 FEB 2017,1242,marathon,road-running,male,senior
65,2:03:59,,Haile GEBRSELASSIE,18 APR 1973,ETH,1,Berlin (GER),28 SEP 2008,1242,marathon,road-running,male,senior
66,2:04:00,,Eliud KIPCHOGE,05 NOV 1984,KEN,1,Berlin (GER),27 SEP 2015,1241,marathon,road-running,male,senior
66,2:04:00,,Mosinet GEREMEW,12 FEB 1992,ETH,1,Dubai (UAE),26 JAN 2018,1241,marathon,road-running,male,senior
66,2:04:00,,Vincent Kipkemoi NGETICH,03 JAN 1999,KEN,3,Tokyo (JPN),02 MAR 2025,1241,marathon,road-running,male,senior
69,2:04:01,,Sisay LEMMA,12 DEC 1990,ETH,1,London (GBR),03 OCT 2021,1241,marathon,road-running,male,senior
69,2:04:01,,Alexander MUNYAO,10 SEP 1996,KEN,1,London (GBR),21 APR 2024,1241,marathon,road-running,male,senior
69,2:04:01,,Philemon KIPLIMO,10 OCT 1998,KEN,2,Hamburg (GER),27 APR 2025,1241,marathon,road-running,male,senior
72,2:04:02,,Leul GEBRESILASE,20 SEP 1992,ETH,2,Dubai (UAE),26 JAN 2018,1241,marathon,road-running,male,senior
72,2:04:02,,Benson KIPRUTO,17 MAR 1991,KEN,2,"Chicago, IL (USA)",08 OCT 2023,1241,marathon,road-running,male,senior
74,2:04:04,,Marius KIPSEREM,17 MAY 1988,KEN,2,Rotterdam (NED),24 OCT 2021,1240,marathon,road-running,male,senior
75,2:04:05,,Eliud KIPCHOGE,05 NOV 1984,KEN,2,Berlin (GER),29 SEP 2013,1240,marathon,road-running,male,senior
76,2:04:06,,Tamirat TOLA,11 AUG 1991,ETH,3,Dubai (UAE),26 JAN 2018,1239,marathon,road-running,male,senior
76,2:04:06,,Asefa MENGSTU,12 JAN 1988,ETH,4,Dubai (UAE),26 JAN 2018,1239,marathon,road-running,male,senior
76,2:04:06,,Lawrence CHERONO,07 AUG 1988,KEN,1,Amsterdam (NED),21 OCT 2018,1239,marathon,road-running,male,senior
79,2:04:08,,Sisay LEMMA,12 DEC 1990,ETH,5,Dubai (UAE),26 JAN 2018,1239,marathon,road-running,male,senior
80,2:04:09,,Bernard Kiprop KOECH,31 JAN 1988,KEN,2,Amsterdam (NED),17 OCT 2021,1238,marathon,road-running,male,senior
80,2:04:09,,Bernard Kiprop KOECH,31 JAN 1988,KEN,1,Hamburg (GER),23 APR 2023,1238,marathon,road-running,male,senior
82,2:04:11,,Eliud KIPCHOGE,05 NOV 1984,KEN,1,"Chicago, IL (USA)",12 OCT 2014,1238,marathon,road-running,male,senior
82,2:04:11,,Tamirat TOLA,11 AUG 1991,ETH,1,Dubai (UAE),20 JAN 2017,1238,marathon,road-running,male,senior
82,2:04:11,,Marius KIPSEREM,17 MAY 1988,KEN,1,Rotterdam (NED),07 APR 2019,1238,marathon,road-running,male,senior
85,2:04:12,,Reuben Kiprop KIPYEGO,21 AUG 1996,KEN,5,Valencia (ESP),06 DEC 2020,1237,marathon,road-running,male,senior
85,2:04:12,,Leul GEBRESILASE,20 SEP 1992,ETH,3,Amsterdam (NED),17 OCT 2021,1237,marathon,road-running,male,senior
87,2:04:13,,Tesfaye DERIBA,11 SEP 1998,ETH,1,Barcelona (ESP),16 MAR 2025,1237,marathon,road-running,male,senior
88,2:04:14,,Tamirat TOLA,11 AUG 1991,ETH,3,Tokyo (JPN),06 MAR 2022,1237,marathon,road-running,male,senior
89,2:04:15,,Geoffrey MUTAI,07 OCT 1981,KEN,1,Berlin (GER),30 SEP 2012,1237,marathon,road-running,male,senior
89,2:04:15,,Birhanu LEGESE,11 SEP 1994,ETH,6,Dubai (UAE),26 JAN 2018,1237,marathon,road-running,male,senior
89,2:04:15,,Birhanu LEGESE,11 SEP 1994,ETH,1,Tokyo (JPN),01 MAR 2020,1237,marathon,road-running,male,senior
89,2:04:15,,Kenenisa BEKELE,13 JUN 1982,ETH,2,London (GBR),21 APR 2024,1237,marathon,road-running,male,senior
93,2:04:16,,Dennis KIMETTO,22 APR 1984,KEN,2,Berlin (GER),30 SEP 2012,1236,marathon,road-running,male,senior
93,2:04:16,,Kaan Kigen ÖZBILEN,15 JAN 1986,TUR,2,Valencia (ESP),01 DEC 2019,1236,marathon,road-running,male,senior
95,2:04:17,,Eliud KIPCHOGE,05 NOV 1984,KEN,1,London (GBR),22 APR 2018,1236,marathon,road-running,male,senior
95,2:04:17,,Barnabas KIPTUM,08 DEC 1986,KEN,2,Milano (ITA),16 MAY 2021,1236,marathon,road-running,male,senior
97,2:04:18,,Vincent Kipkemoi NGETICH,03 JAN 1999,KEN,3,Tokyo (JPN),03 MAR 2024,1236,marathon,road-running,male,senior
98,2:04:19,,Kenenisa BEKELE,13 JUN 1982,ETH,4,Valencia (ESP),03 DEC 2023,1235,marathon,road-running,male,senior
99,2:04:20,,Alexander MUNYAO,10 SEP 1996,KEN,3,London (GBR),27 APR 2025,1235,marathon,road-running,male,senior
99,2:04:20,,Abdi NAGEEYE,02 MAR 1989,NED,4,London (GBR),27 APR 2025,1235,marathon,road-running,male,senior
101,2:04:21,,Elisha ROTICH,12 APR 1990,KEN,1,Paris (FRA),17 OCT 2021,1235,marathon,road-running,male,senior
102,2:04:22,,Ronald KORIR,10 APR 1991,KEN,4,Berlin (GER),24 SEP 2023,1234,marathon,road-running,male,senior
103,2:04:23,,Ayele ABSHERO,28 DEC 1990,ETH,1,Dubai (UAE),27 JAN 2012,1234,marathon,road-running,male,senior
103,2:04:23,,Geoffrey KAMWOROR,22 NOV 1992,KEN,2,London (GBR),23 APR 2023,1234,marathon,road-running,male,senior
105,2:04:24,,Tesfaye ABERA,31 MAR 1992,ETH,1,Dubai (UAE),22 JAN 2016,1234,marathon,road-running,male,senior
105,2:04:24,,Asefa MENGSTU,12 JAN 1988,ETH,3,Dubai (UAE),25 JAN 2019,1234,marathon,road-running,male,senior
105,2:04:24,,Benson KIPRUTO,17 MAR 1991,KEN,1,"Chicago, IL (USA)",09 OCT 2022,1234,marathon,road-running,male,senior
105,2:04:24,,Bernard Kiprop KOECH,31 JAN 1988,KEN,1,Hamburg (GER),28 APR 2024,1234,marathon,road-running,male,senior
105,2:04:24,,Daniel MATEIKO,04 AUG 1998,KEN,3,Valencia (ESP),01 DEC 2024,1234,marathon,road-running,male,senior
110,2:04:26,,Haile GEBRSELASSIE,18 APR 1973,ETH,1,Berlin (GER),30 SEP 2007,1233,marathon,road-running,male,senior
111,2:04:27,,Duncan KIBET,25 APR 1978,KEN,1,Rotterdam (NED),05 APR 2009,1233,marathon,road-running,male,senior
111,2:04:27,,James Kipsang KWAMBAI,28 FEB 1983,KEN,2,Rotterdam (NED),05 APR 2009,1233,marathon,road-running,male,senior
111,2:04:27,,Dawit WOLDE,19 MAY 1991,ETH,3,Rotterdam (NED),24 OCT 2021,1233,marathon,road-running,male,senior
114,2:04:28,,Sammy KITWARA,26 NOV 1986,KEN,2,"Chicago, IL (USA)",12 OCT 2014,1232,marathon,road-running,male,senior
114,2:04:28,,Vincent KIPCHUMBA,03 AUG 1990,KEN,2,London (GBR),03 OCT 2021,1232,marathon,road-running,male,senior
116,2:04:29,,Wilson Kipsang KIPROTICH,15 MAR 1982,KEN,1,London (GBR),13 APR 2014,1232,marathon,road-running,male,senior
116,2:04:29,,Seifu TURA,19 JUN 1997,ETH,3,Milano (ITA),16 MAY 2021,1232,marathon,road-running,male,senior
118,2:04:30,,Eliud KIPCHOGE,05 NOV 1984,KEN,1,Enschede (NED),18 APR 2021,1232,marathon,road-running,male,senior
118,2:04:30,,Erick Kiplagat SANG,15 SEP 2000,KEN,3,Hamburg (GER),27 APR 2025,1232,marathon,road-running,male,senior
120,2:04:31,,Leul GEBRESILASE,20 SEP 1992,ETH,1,Valencia (ESP),02 DEC 2018,1231,marathon,road-running,male,senior
120,2:04:31,,Leul GEBRESILASE,20 SEP 1992,ETH,4,Milano (ITA),16 MAY 2021,1231,marathon,road-running,male,senior
122,2:04:32,,Tsegaye MEKONNEN,15 JUN 1995,ETH,1,Dubai (UAE),24 JAN 2014,1231,marathon,road-running,male,senior
122,2:04:32,,Dickson CHUMBA,27 OCT 1986,KEN,3,"Chicago, IL (USA)",12 OCT 2014,1231,marathon,road-running,male,senior
122,2:04:32,,Jonathan Kipleting KORIR,20 NOV 1986,KEN,4,Amsterdam (NED),17 OCT 2021,1231,marathon,road-running,male,senior
122,2:04:32,,Bashir ABDI,10 FEB 1989,BEL,3,"Chicago, IL (USA)",08 OCT 2023,1231,marathon,road-running,male,senior
126,2:04:33,,Lemi BERHANU,13 SEP 1994,ETH,2,Dubai (UAE),22 JAN 2016,1231,marathon,road-running,male,senior
126,2:04:33,,Joshua BELET,10 FEB 1998,KEN,2,Hamburg (GER),23 APR 2023,1231,marathon,road-running,male,senior
126,2:04:33,,Gabriel Gerald GEAY,10 SEP 1996,TAN,5,Valencia (ESP),03 DEC 2023,1231,marathon,road-running,male,senior
126,2:04:33,,Geoffrey KAMWOROR,22 NOV 1992,KEN,1,Rotterdam (NED),13 APR 2025,1231,marathon,road-running,male,senior
130,2:04:34,,CyBrian KOTUT,06 JUN 1992,KEN,1,Amsterdam (NED),15 OCT 2023,1231,marathon,road-running,male,senior
131,2:04:35,,Hiskel TEWELDE,15 SEP 1986,ERI,5,Amsterdam (NED),17 OCT 2021,1230,marathon,road-running,male,senior
