rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,19.19,-0.3,Usain BOLT,21 AUG 1986,JAM,1,"Olympiastadion, Berlin (GER)",20 AUG 2009,1352,200-metres,sprints,male,senior
2,19.26,+0.7,Yohan BLAKE,26 DEC 1989,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",16 SEP 2011,1339,200-metres,sprints,male,senior
3,19.30,-0.9,Usain BOLT,21 AUG 1986,JAM,1,"National Stadium, Beijing (CHN)",20 AUG 2008,1338,200-metres,sprints,male,senior
4,19.31,+0.4,Noah LYLES,18 JUL 1997,USA,1,"Hayward Field, Eugene, OR (USA)",21 JUL 2022,1331,200-metres,sprints,male,senior
5,19.32,+0.4,Michael JOHNSON,13 SEP 1967,USA,1,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,1329,200-metres,sprints,male,senior
5,19.32,+0.4,Usain BOLT,21 AUG 1986,JAM,1,"Olympic Stadium, London (GBR)",09 AUG 2012,1329,200-metres,sprints,male,senior
7,19.40,+0.8,Usain BOLT,21 AUG 1986,JAM,1,"DS, Daegu (KOR)",03 SEP 2011,1316,200-metres,sprints,male,senior
8,19.44,+0.4,Yohan BLAKE,26 DEC 1989,JAM,2,"Olympic Stadium, London (GBR)",09 AUG 2012,1310,200-metres,sprints,male,senior
9,19.46,+0.8,Noah LYLES,18 JUL 1997,USA,1,"Stade Louis II, Monaco (MON)",10 AUG 2022,1306,200-metres,sprints,male,senior
9,19.46,+0.4,Letsile TEBOGO,07 JUN 2003,BOT,1,"Stade de France, Paris (FRA)",08 AUG 2024,1306,200-metres,sprints,male,senior
11,19.47,+1.6,Noah LYLES,18 JUL 1997,USA,1,"Olympic Stadium, London (GBR)",23 JUL 2023,1305,200-metres,sprints,male,senior
12,19.49,+1.4,Erriyon KNIGHTON,29 JAN 2004,USA,1f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",30 APR 2022,1302,200-metres,sprints,male,senior
13,19.50,-0.1,Noah LYLES,18 JUL 1997,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2019,1300,200-metres,sprints,male,senior
13,19.50,+1.6,Letsile TEBOGO,07 JUN 2003,BOT,2,"Olympic Stadium, London (GBR)",23 JUL 2023,1300,200-metres,sprints,male,senior
15,19.51,+1.0,Noah LYLES,18 JUL 1997,USA,1sf3,"National Stadium, Tokyo (JPN)",18 SEP 2025,1298,200-metres,sprints,male,senior
16,19.52,+1.5,Noah LYLES,18 JUL 1997,USA,1,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1297,200-metres,sprints,male,senior
16,19.52,-0.6,Noah LYLES,18 JUL 1997,USA,1,"Letzigrund, Zürich (SUI)",08 SEP 2022,1300,200-metres,sprints,male,senior
16,19.52,-0.2,Noah LYLES,18 JUL 1997,USA,1,"Nemzeti Atlétikai Központ, Budapest (HUN)",25 AUG 2023,1298,200-metres,sprints,male,senior
16,19.52,0.0,Noah LYLES,18 JUL 1997,USA,1f1,"National Stadium, Tokyo (JPN)",19 SEP 2025,1297,200-metres,sprints,male,senior
20,19.53,+0.7,Walter DIX,31 JAN 1986,USA,2,"Boudewijnstadion, Bruxelles (BEL)",16 SEP 2011,1295,200-metres,sprints,male,senior
20,19.53,+0.5,Noah LYLES,18 JUL 1997,USA,1,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1295,200-metres,sprints,male,senior
22,19.54,0.0,Yohan BLAKE,26 DEC 1989,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",07 SEP 2012,1293,200-metres,sprints,male,senior
23,19.55,-0.1,Usain BOLT,21 AUG 1986,JAM,1,"National Stadium, Beijing (CHN)",27 AUG 2015,1292,200-metres,sprints,male,senior
23,19.55,+0.4,Letsile TEBOGO,07 JUN 2003,BOT,1,"Letzigrund, Zürich (SUI)",05 SEP 2024,1292,200-metres,sprints,male,senior
25,19.56,-0.8,Usain BOLT,21 AUG 1986,JAM,1,Kingston (JAM),01 MAY 2010,1294,200-metres,sprints,male,senior
25,19.56,+1.3,Noah LYLES,18 JUL 1997,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2022,1290,200-metres,sprints,male,senior
27,19.57,0.0,Usain BOLT,21 AUG 1986,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2009,1289,200-metres,sprints,male,senior
27,19.57,+0.4,Justin GATLIN,10 FEB 1982,USA,1,"Hayward Field, Eugene, OR (USA)",28 JUN 2015,1289,200-metres,sprints,male,senior
27,19.57,+0.4,Kenneth BEDNAREK,14 OCT 1998,USA,2,"Letzigrund, Zürich (SUI)",05 SEP 2024,1289,200-metres,sprints,male,senior
30,19.58,+1.3,Tyson GAY,09 AUG 1982,USA,1,"Icahn Stadium, New York, NY (USA)",30 MAY 2009,1287,200-metres,sprints,male,senior
30,19.58,+1.4,Usain BOLT,21 AUG 1986,JAM,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",23 AUG 2012,1287,200-metres,sprints,male,senior
30,19.58,0.0,Kenneth BEDNAREK,14 OCT 1998,USA,2f1,"National Stadium, Tokyo (JPN)",19 SEP 2025,1287,200-metres,sprints,male,senior
33,19.59,-0.9,Usain BOLT,21 AUG 1986,JAM,1f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",07 JUL 2009,1290,200-metres,sprints,male,senior
33,19.59,+0.5,Kenneth BEDNAREK,14 OCT 1998,USA,2,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1285,200-metres,sprints,male,senior
35,19.61,+1.3,Noah LYLES,18 JUL 1997,USA,1,"Icahn Stadium, New York, NY (USA)",12 JUN 2022,1282,200-metres,sprints,male,senior
36,19.62,-0.3,Tyson GAY,09 AUG 1982,USA,1,"Indianapolis, IN (USA)",24 JUN 2007,1282,200-metres,sprints,male,senior
36,19.62,-0.5,Andre DE GRASSE,10 NOV 1994,CAN,1,"National Stadium, Tokyo (JPN)",04 AUG 2021,1284,200-metres,sprints,male,senior
36,19.62,+1.1,Noah LYLES,18 JUL 1997,USA,1sf2,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1281,200-metres,sprints,male,senior
36,19.62,+0.4,Kenneth BEDNAREK,14 OCT 1998,USA,2,"Stade de France, Paris (FRA)",08 AUG 2024,1281,200-metres,sprints,male,senior
40,19.63,+0.4,Xavier CARTER,08 DEC 1985,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",11 JUL 2006,1279,200-metres,sprints,male,senior
40,19.63,-0.9,Usain BOLT,21 AUG 1986,JAM,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 SEP 2008,1284,200-metres,sprints,male,senior
40,19.63,+1.2,Reynier MENA,21 NOV 1996,CUB,1f1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",03 JUL 2022,1279,200-metres,sprints,male,senior
40,19.63,+0.2,Noah LYLES,18 JUL 1997,USA,1,"Hayward Field, Eugene, OR (USA)",03 AUG 2025,1279,200-metres,sprints,male,senior
44,19.64,+0.9,Letsile TEBOGO,07 JUN 2003,BOT,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1277,200-metres,sprints,male,senior
44,19.64,0.0,Bryan LEVELL,23 DEC 2003,JAM,3f1,"National Stadium, Tokyo (JPN)",19 SEP 2025,1277,200-metres,sprints,male,senior
46,19.65,0.0,Wallace SPEARMON,24 DEC 1984,USA,1,Daegu (KOR),28 SEP 2006,1276,200-metres,sprints,male,senior
46,19.65,+0.9,Noah LYLES,18 JUL 1997,USA,1,"Stade Louis II, Monaco (MON)",20 JUL 2018,1276,200-metres,sprints,male,senior
46,19.65,+0.2,Noah LYLES,18 JUL 1997,USA,1,"Stade Charléty, Paris (FRA)",24 AUG 2019,1276,200-metres,sprints,male,senior
46,19.65,0.0,Letsile TEBOGO,07 JUN 2003,BOT,4f1,"National Stadium, Tokyo (JPN)",19 SEP 2025,1276,200-metres,sprints,male,senior
50,19.66,+1.7,Michael JOHNSON,13 SEP 1967,USA,1,"Atlanta, GA (USA)",23 JUN 1996,1274,200-metres,sprints,male,senior
50,19.66,0.0,Usain BOLT,21 AUG 1986,JAM,1,"Letzigrund, Zürich (SUI)",30 AUG 2012,1274,200-metres,sprints,male,senior
50,19.66,0.0,Usain BOLT,21 AUG 1986,JAM,1,"Luzhniki Stadion, Moskva (RUS)",17 AUG 2013,1274,200-metres,sprints,male,senior
53,19.67,-0.5,Usain BOLT,21 AUG 1986,JAM,1,"Olympic Stadium, Athina (GRE)",13 JUL 2008,1275,200-metres,sprints,male,senior
53,19.67,-0.2,Noah LYLES,18 JUL 1997,USA,1,"Letzigrund, Zürich (SUI)",30 AUG 2018,1273,200-metres,sprints,male,senior
53,19.67,-0.3,Noah LYLES,18 JUL 1997,USA,1,"Hayward Field, Eugene, OR (USA)",26 JUN 2022,1273,200-metres,sprints,male,senior
53,19.67,+0.3,Noah LYLES,18 JUL 1997,USA,1,"National Stadium, Kingston (JAM)",03 JUN 2023,1272,200-metres,sprints,male,senior
53,19.67,+1.7,Kenneth BEDNAREK,14 OCT 1998,USA,1,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2024,1272,200-metres,sprints,male,senior
53,19.67,+0.7,Kenneth BEDNAREK,14 OCT 1998,USA,1,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2024,1272,200-metres,sprints,male,senior
53,19.67,+0.2,Kenneth BEDNAREK,14 OCT 1998,USA,2,"Hayward Field, Eugene, OR (USA)",03 AUG 2025,1272,200-metres,sprints,male,senior
60,19.68,+0.4,Frank FREDERICKS,02 OCT 1967,NAM,2,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,1271,200-metres,sprints,male,senior
60,19.68,-0.1,Tyson GAY,09 AUG 1982,USA,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",10 SEP 2006,1271,200-metres,sprints,male,senior
60,19.68,-0.3,Usain BOLT,21 AUG 1986,JAM,1,Thessaloniki (GRE),13 SEP 2009,1272,200-metres,sprints,male,senior
60,19.68,-0.5,Justin GATLIN,10 FEB 1982,USA,1,"Stade Louis II, Monaco (MON)",18 JUL 2014,1274,200-metres,sprints,male,senior
60,19.68,+0.9,Justin GATLIN,10 FEB 1982,USA,1,"Hayward Field, Eugene, OR (USA)",30 MAY 2015,1271,200-metres,sprints,male,senior
60,19.68,-0.5,Kenneth BEDNAREK,14 OCT 1998,USA,2,"National Stadium, Tokyo (JPN)",04 AUG 2021,1274,200-metres,sprints,male,senior
66,19.69,+0.9,Walter DIX,31 JAN 1986,USA,1,"Gainesville, FL (USA)",26 MAY 2007,1269,200-metres,sprints,male,senior
66,19.69,-0.5,Clarence MUNYAI,20 FEB 1998,RSA,1sf1,Pretoria (RSA),16 MAR 2018,1272,200-metres,sprints,male,senior
66,19.69,+2.0,Noah LYLES,18 JUL 1997,USA,1,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1269,200-metres,sprints,male,senior
66,19.69,+0.4,Noah LYLES,18 JUL 1997,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2018,1269,200-metres,sprints,male,senior
66,19.69,-0.3,Erriyon KNIGHTON,29 JAN 2004,USA,2,"Hayward Field, Eugene, OR (USA)",26 JUN 2022,1270,200-metres,sprints,male,senior
66,19.69,-0.4,Bryan LEVELL,23 DEC 2003,JAM,1,"Nemzeti Atlétikai Központ, Budapest (HUN)",12 AUG 2025,1271,200-metres,sprints,male,senior
72,19.70,+0.4,Tyson GAY,09 AUG 1982,USA,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",11 JUL 2006,1268,200-metres,sprints,male,senior
72,19.70,+0.8,Walter DIX,31 JAN 1986,USA,2,"DS, Daegu (KOR)",03 SEP 2011,1268,200-metres,sprints,male,senior
72,19.70,+0.7,Michael NORMAN,03 DEC 1997,USA,1,"Stadio Olimpico, Roma (ITA)",06 JUN 2019,1268,200-metres,sprints,male,senior
72,19.70,+0.5,Kenneth BEDNAREK,14 OCT 1998,USA,1,"Letzigrund, Zürich (SUI)",09 SEP 2021,1268,200-metres,sprints,male,senior
72,19.70,+0.4,Noah LYLES,18 JUL 1997,USA,3,"Stade de France, Paris (FRA)",08 AUG 2024,1268,200-metres,sprints,male,senior
77,19.71,+1.8,Michael JOHNSON,13 SEP 1967,USA,1,Pietersburg (RSA),18 MAR 2000,1266,200-metres,sprints,male,senior
77,19.71,0.0,Justin GATLIN,10 FEB 1982,USA,1,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2014,1266,200-metres,sprints,male,senior
77,19.71,-1.5,Courtney LINDSEY,18 NOV 1998,USA,1,"Nyayo National Stadium, Nairobi (KEN)",20 APR 2024,1275,200-metres,sprints,male,senior
77,19.71,-1.5,Letsile TEBOGO,07 JUN 2003,BOT,2,"Nyayo National Stadium, Nairobi (KEN)",20 APR 2024,1275,200-metres,sprints,male,senior
81,19.72,+1.8,Pietro MENNEA,28 JUN 1952,ITA,1,Ciudad de México (MEX),12 SEP 1979,1264,200-metres,sprints,male,senior
81,19.72,+1.8,Walter DIX,31 JAN 1986,USA,1,"Hayward Field, Eugene, OR (USA)",03 JUL 2010,1264,200-metres,sprints,male,senior
81,19.72,+0.1,Tyson GAY,09 AUG 1982,USA,1,"Stade Louis II, Monaco (MON)",22 JUL 2010,1264,200-metres,sprints,male,senior
81,19.72,+0.7,Noah LYLES,18 JUL 1997,USA,2,"Stadio Olimpico, Roma (ITA)",06 JUN 2019,1264,200-metres,sprints,male,senior
81,19.72,+0.5,Andre DE GRASSE,10 NOV 1994,CAN,2,"Letzigrund, Zürich (SUI)",09 SEP 2021,1264,200-metres,sprints,male,senior
81,19.72,-0.1,Erriyon KNIGHTON,29 JAN 2004,USA,1,"Hayward Field, Eugene, OR (USA)",09 JUL 2023,1264,200-metres,sprints,male,senior
87,19.73,-0.2,Michael MARSH,04 AUG 1967,USA,1sf1,"Estadio Olímpico, Barcelona (ESP)",05 AUG 1992,1264,200-metres,sprints,male,senior
87,19.73,+0.2,Usain BOLT,21 AUG 1986,JAM,1,"Stade de France, Paris-St-Denis (FRA)",06 JUL 2013,1263,200-metres,sprints,male,senior
87,19.73,+0.8,Divine ODUDURU,07 OCT 1996,NGR,1,"Austin, TX (USA)",07 JUN 2019,1263,200-metres,sprints,male,senior
87,19.73,+0.2,Andre DE GRASSE,10 NOV 1994,CAN,1sf3,"National Stadium, Tokyo (JPN)",03 AUG 2021,1263,200-metres,sprints,male,senior
87,19.73,+1.6,Zharnel HUGHES,13 JUL 1995,GBR,3,"Olympic Stadium, London (GBR)",23 JUL 2023,1263,200-metres,sprints,male,senior
87,19.73,+1.8,T'Mars MCCALLUM,20 MAY 2004,USA,1f1,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",12 JUL 2025,1263,200-metres,sprints,male,senior
93,19.74,-0.1,Justin GATLIN,10 FEB 1982,USA,2,"National Stadium, Beijing (CHN)",27 AUG 2015,1261,200-metres,sprints,male,senior
93,19.74,+1.4,LaShawn MERRITT,27 JUN 1986,USA,1sf3,"Hayward Field, Eugene, OR (USA)",08 JUL 2016,1261,200-metres,sprints,male,senior
93,19.74,+0.8,Noah LYLES,18 JUL 1997,USA,1,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2019,1261,200-metres,sprints,male,senior
93,19.74,+0.3,Noah LYLES,18 JUL 1997,USA,1,"Hayward Field, Eugene, OR (USA)",27 JUN 2021,1261,200-metres,sprints,male,senior
93,19.74,-0.5,Noah LYLES,18 JUL 1997,USA,3,"National Stadium, Tokyo (JPN)",04 AUG 2021,1264,200-metres,sprints,male,senior
93,19.74,-0.6,Noah LYLES,18 JUL 1997,USA,1,"Letzigrund, Zürich (SUI)",28 AUG 2025,1264,200-metres,sprints,male,senior
99,19.75,+1.5,Carl LEWIS,01 JUL 1961,USA,1,"Indianapolis, IN (USA)",19 JUN 1983,1260,200-metres,sprints,male,senior
99,19.75,+1.7,Joe DELOACH,05 JUN 1967,USA,1,"Olympic Stadium, Seoul (KOR)",28 SEP 1988,1260,200-metres,sprints,male,senior
99,19.75,+0.2,Usain BOLT,21 AUG 1986,JAM,1,Kingston (JAM),24 JUN 2007,1260,200-metres,sprints,male,senior
99,19.75,+1.6,Justin GATLIN,10 FEB 1982,USA,1,"Hayward Field, Eugene, OR (USA)",09 JUL 2016,1260,200-metres,sprints,male,senior
99,19.75,+0.3,Steven GARDINER,12 SEP 1995,BAH,1f1,"Coral Gables, FL (USA)",07 APR 2018,1260,200-metres,sprints,male,senior
99,19.75,-0.2,Erriyon KNIGHTON,29 JAN 2004,USA,2,"Nemzeti Atlétikai Központ, Budapest (HUN)",25 AUG 2023,1261,200-metres,sprints,male,senior
99,19.75,+1.0,Tarsis Gracious OROGOT,24 NOV 2002,UGA,1,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1260,200-metres,sprints,male,senior
106,19.76,-0.8,Tyson GAY,09 AUG 1982,USA,1,"Yanmar Stadium Nagai, Osaka (JPN)",30 AUG 2007,1262,200-metres,sprints,male,senior
106,19.76,-0.4,Usain BOLT,21 AUG 1986,JAM,1,"Crystal Palace, London (GBR)",26 JUL 2008,1260,200-metres,sprints,male,senior
106,19.76,-0.8,Usain BOLT,21 AUG 1986,JAM,1,"Shanghai Stadium, Shanghai (CHN)",23 MAY 2010,1262,200-metres,sprints,male,senior
106,19.76,+1.8,Tyson GAY,09 AUG 1982,USA,2,"Hayward Field, Eugene, OR (USA)",03 JUL 2010,1258,200-metres,sprints,male,senior
106,19.76,+0.7,Ramil GULIYEV,29 MAY 1990,TUR,1,"Olympiastadion, Berlin (GER)",09 AUG 2018,1258,200-metres,sprints,male,senior
106,19.76,+0.8,Divine ODUDURU,07 OCT 1996,NGR,1f5,"Waco, TX (USA)",20 APR 2019,1258,200-metres,sprints,male,senior
106,19.76,+0.7,Noah LYLES,18 JUL 1997,USA,1,"Stade Louis II, Monaco (MON)",14 AUG 2020,1258,200-metres,sprints,male,senior
106,19.76,+2.0,Fred KERLEY,07 MAY 1995,USA,1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",18 SEP 2021,1258,200-metres,sprints,male,senior
