rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,43.87,,Steve LEWIS,16 MAY 1969,USA,1,"Olympic Stadium, Seoul (KOR)",28 SEP 1988,1260,400-metres,sprints,male,u20
2,44.10,,Quincy WILSON,08 JAN 2008,USA,1,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",12 JUL 2025,1243,400-metres,sprints,male,u20
3,44.11,,Steve LEWIS,16 MAY 1969,USA,1sf2,"Indianapolis, IN (USA)",18 JUL 1988,1242,400-metres,sprints,male,u20
4,44.20,,Quincy WILSON,08 JAN 2008,USA,1,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1236,400-metres,sprints,male,u20
5,44.22,,Baboloki THEBE,18 MAR 1997,BOT,1,Gaborone (BOT),21 MAY 2016,1235,400-metres,sprints,male,u20
6,44.25,,Karabo SIBANDA,02 JUL 1998,BOT,5,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016,1232,400-metres,sprints,male,u20
7,44.26,,Steve LEWIS,16 MAY 1969,USA,3f1,"Letzigrund, Zürich (SUI)",17 AUG 1988,1232,400-metres,sprints,male,u20
8,44.27,,Abdalelah HAROUN,01 JAN 1997,QAT,2f1,La Chaux-de-Fonds (SUI),05 JUL 2015,1231,400-metres,sprints,male,u20
9,44.35,,Steve LEWIS,16 MAY 1969,USA,1sf1,"Olympic Stadium, Seoul (KOR)",26 SEP 1988,1225,400-metres,sprints,male,u20
10,44.36,,Kirani JAMES,01 SEP 1992,GRN,1,"Letzigrund, Zürich (SUI)",08 SEP 2011,1225,400-metres,sprints,male,u20
11,44.37,,Steve LEWIS,16 MAY 1969,USA,3,"Indianapolis, IN (USA)",20 JUL 1988,1224,400-metres,sprints,male,u20
12,44.38,,Micahi DANZY,2006,USA,1,"Kentner Stadium Wake Forest University, Winston Salem, NC (USA)",17 MAY 2025,1223,400-metres,sprints,male,u20
13,44.41,,Steve LEWIS,16 MAY 1969,USA,1qf3,"Olympic Stadium, Seoul (KOR)",25 SEP 1988,1221,400-metres,sprints,male,u20
13,44.41,,Samuel OGAZI,14 MAY 2006,NGR,3sf3,"Stade de France, Paris (FRA)",06 AUG 2024,1221,400-metres,sprints,male,u20
15,44.43,,Samuel OGAZI,14 MAY 2006,NGR,1h1,"University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA)",30 MAY 2025,1220,400-metres,sprints,male,u20
16,44.47,,Karabo SIBANDA,02 JUL 1998,BOT,3sf1,"Estádio Olímpico, Rio de Janeiro (BRA)",13 AUG 2016,1217,400-metres,sprints,male,u20
17,44.50,,Samuel OGAZI,14 MAY 2006,NGR,2h4,"Stade de France, Paris (FRA)",04 AUG 2024,1215,400-metres,sprints,male,u20
18,44.52,,Samuel OGAZI,14 MAY 2006,NGR,2,"Hayward Field, Eugene, OR (USA)",07 JUN 2024,1213,400-metres,sprints,male,u20
19,44.53,,Samuel OGAZI,14 MAY 2006,NGR,1h3,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",24 MAY 2024,1213,400-metres,sprints,male,u20
20,44.56,,Aleksey DANILOV,27 AUG 2006,RUS,1,"Regional Sport Complex, Brest (BLR)",21 JUL 2025,1211,400-metres,sprints,male,u20
21,44.58,,Anthony PESELA,09 JUN 2002,BOT,1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",21 AUG 2021,1209,400-metres,sprints,male,u20
21,44.58,,Samuel OGAZI,14 MAY 2006,NGR,2,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1209,400-metres,sprints,male,u20
23,44.59,,Quincy WILSON,08 JAN 2008,USA,3sf2,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1208,400-metres,sprints,male,u20
24,44.60,,Kirani JAMES,01 SEP 1992,GRN,1,"DS, Daegu (KOR)",30 AUG 2011,1208,400-metres,sprints,male,u20
25,44.61,,Steve LEWIS,16 MAY 1969,USA,1qf1,"Indianapolis, IN (USA)",17 JUL 1988,1207,400-metres,sprints,male,u20
25,44.61,,Kirani JAMES,01 SEP 1992,GRN,1,"Crystal Palace, London (GBR)",05 AUG 2011,1207,400-metres,sprints,male,u20
