rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,71.37,,Mika SOSNA,13 JUN 2003,GER,1,"UNION-Stadion, Schönebeck (GER)",10 JUN 2022,,discus-throw-1750kg,throws,male,u20
2,70.13,,Mykyta NESTERENKO,15 APR 1991,UKR,1,Halle (GER),24 MAY 2008,,discus-throw-1750kg,throws,male,u20
3,69.81,,Mykolas ALEKNA,28 SEP 2002,LTU,1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",22 AUG 2021,,discus-throw-1750kg,throws,male,u20
4,69.78,,Mykyta NESTERENKO,15 APR 1991,UKR,1,Kohila (EST),29 MAY 2008,,discus-throw-1750kg,throws,male,u20
5,69.77,,Mykolas ALEKNA,28 SEP 2002,LTU,1,"Vingis Park Stadium, Vilnius (LTU)",29 JUN 2021,,discus-throw-1750kg,throws,male,u20
6,69.49,,Marius KARGES,14 JAN 2003,GER,2,"UNION-Stadion, Schönebeck (GER)",10 JUN 2022,,discus-throw-1750kg,throws,male,u20
7,68.76,,Ruben ROLVINK,25 AUG 2002,NED,1,"De Schothorst, Amersfoort (NED)",11 SEP 2021,,discus-throw-1750kg,throws,male,u20
8,68.48,,Mykyta NESTERENKO,15 APR 1991,UKR,,Halle (GER),24 MAY 2008,,discus-throw-1750kg,throws,male,u20
8,68.48,,Martin MARKOVIĆ,13 JAN 1996,CRO,1,Varaždin (CRO),28 JUN 2015,,discus-throw-1750kg,throws,male,u20
10,68.02,,Bartłomiej STÓJ,15 MAY 1996,POL,1,"Ekängens Friidrottsarena, Eskilstuna (SWE)",19 JUL 2015,,discus-throw-1750kg,throws,male,u20
11,68.00,,Mykolas ALEKNA,28 SEP 2002,LTU,1,"Kadrioru staadion, Tallinn (EST)",18 JUL 2021,,discus-throw-1750kg,throws,male,u20
12,67.84,,Mika SOSNA,13 JUN 2003,GER,1,"Jahnstadion, Neubrandenburg (GER)",01 JUN 2022,,discus-throw-1750kg,throws,male,u20
13,67.71,,Mykolas ALEKNA,28 SEP 2002,LTU,1,"Vingis Park Stadium, Vilnius (LTU)",15 JUN 2021,,discus-throw-1750kg,throws,male,u20
14,67.47,,Martin MARKOVIĆ,13 JAN 1996,CRO,1,Zagreb (CRO),02 MAY 2015,,discus-throw-1750kg,throws,male,u20
15,67.45,,Mykolas ALEKNA,28 SEP 2002,LTU,1,"Vingis Park Stadium, Vilnius (LTU)",03 JUL 2021,,discus-throw-1750kg,throws,male,u20
16,67.40,,Connor BELL,21 JUN 2001,NZL,1,"Nga Puna Wai Sports Hub, Christchurch (NZL)",07 MAR 2020,,discus-throw-1750kg,throws,male,u20
17,67.32,,Margus HUNT,14 JUL 1987,EST,1,"Chaoyang Sport Center, Beijing (CHN)",16 AUG 2006,,discus-throw-1750kg,throws,male,u20
18,67.27,,Steven RICHTER,05 APR 2003,GER,1,"Michael-Hoffmann-Stadion, Mannheim (GER)",02 JUL 2022,,discus-throw-1750kg,throws,male,u20
19,67.11,,Martin MARKOVIĆ,13 JAN 1996,CRO,2,"Ekängens Friidrottsarena, Eskilstuna (SWE)",19 JUL 2015,,discus-throw-1750kg,throws,male,u20
20,66.97,,Marius KARGES,14 JAN 2003,GER,1,"Werferzentrum Brandberge, Halle (GER)",21 MAY 2022,,discus-throw-1750kg,throws,male,u20
21,66.94,,Martin MARKOVIĆ,13 JAN 1996,CRO,1,"Hayward Field, Eugene, OR (USA)",26 JUL 2014,,discus-throw-1750kg,throws,male,u20
22,66.88,,Traves SMIKLE,07 MAY 1992,JAM,1,Kingston (JAM),31 MAR 2011,,discus-throw-1750kg,throws,male,u20
23,66.81,,Matthew DENNY,02 JUN 1996,AUS,1,Brisbane (AUS),23 NOV 2014,,discus-throw-1750kg,throws,male,u20
24,66.74,,Marius KARGES,14 JAN 2003,GER,2,"Jahnstadion, Neubrandenburg (GER)",01 JUN 2022,,discus-throw-1750kg,throws,male,u20
25,66.68,,Margus HUNT,14 JUL 1987,EST,,"Chaoyang Sport Center, Beijing (CHN)",16 AUG 2006,,discus-throw-1750kg,throws,male,u20
25,66.68,,Ralford MULLINGS,22 NOV 2002,JAM,2,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",22 AUG 2021,,discus-throw-1750kg,throws,male,u20
27,66.66,,Matthew DENNY,02 JUN 1996,AUS,1,Halle (GER),16 MAY 2015,,discus-throw-1750kg,throws,male,u20
28,66.61,,Ralford MULLINGS,22 NOV 2002,JAM,1,"National Stadium, Kingston (JAM)",25 JUN 2021,,discus-throw-1750kg,throws,male,u20
29,66.58,,Traves SMIKLE,07 MAY 1992,JAM,1h10,"Miramar, FL (USA)",22 JUL 2011,,discus-throw-1750kg,throws,male,u20
29,66.58,,Mykhailo BRUDIN,03 JAN 2005,UKR,1,"Givat Ram Stadium, Jerusalem (ISR)",08 AUG 2023,,discus-throw-1750kg,throws,male,u20
31,66.48,,Matthew DENNY,02 JUN 1996,AUS,1,Brisbane (AUS),21 NOV 2015,,discus-throw-1750kg,throws,male,u20
32,66.47,,Moaaz Mohamed IBRAHIM,08 FEB 1999,QAT,1,Cape Town (RSA),03 FEB 2018,,discus-throw-1750kg,throws,male,u20
33,66.45,,Gordon WOLF,17 JAN 1990,GER,1,Halle (GER),23 MAY 2009,,discus-throw-1750kg,throws,male,u20
34,66.41,,Roje STONA,26 FEB 1999,JAM,1,Willemstad (AHO),15 APR 2017,,discus-throw-1750kg,throws,male,u20
35,66.35,,Margus HUNT,14 JUL 1987,EST,1q1,"Chaoyang Sport Center, Beijing (CHN)",15 AUG 2006,,discus-throw-1750kg,throws,male,u20
