rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,75.56,,Mykolas ALEKNA,28 SEP 2002,LTU,1f1,"Millican Field at Throw Town, Ramona, OK (USA)",13 APR 2025,1347,discus-throw,throws,male,senior
2,74.89,,Mykolas ALEKNA,28 SEP 2002,LTU,f1,"Millican Field at Throw Town, Ramona, OK (USA)",13 APR 2025,1335,discus-throw,throws,male,senior
3,74.78,,Matthew DENNY,02 JUN 1996,AUS,2f1,"Millican Field at Throw Town, Ramona, OK (USA)",13 APR 2025,1333,discus-throw,throws,male,senior
4,74.35,,Mykolas ALEKNA,28 SEP 2002,LTU,1,"Millican Field at Throw Town, Ramona, OK (USA)",14 APR 2024,1325,discus-throw,throws,male,senior
5,74.25,,Matthew DENNY,02 JUN 1996,AUS,1,"Millican Field at Throw Town, Ramona, OK (USA)",10 APR 2025,1323,discus-throw,throws,male,senior
6,74.08,,Jürgen SCHULT,11 MAY 1960,GDR,1,Neubrandenburg (GDR),06 JUN 1986,1320,discus-throw,throws,male,senior
7,73.88,,Virgilijus ALEKNA,13 FEB 1972,LTU,1,Kaunas (LTU),03 AUG 2000,1316,discus-throw,throws,male,senior
8,73.38,,Gerd KANTER,06 MAY 1979,EST,1,Helsingborg (SWE),04 SEP 2006,1307,discus-throw,throws,male,senior
9,72.36,,Kristjan ČEH,17 FEB 1999,SLO,1,"Športni park, Slovenska Bistrica (SLO)",31 MAY 2025,1288,discus-throw,throws,male,senior
10,72.34,,Kristjan ČEH,17 FEB 1999,SLO,1,"Sports Park Mladost, Zagreb (CRO)",24 MAY 2025,1288,discus-throw,throws,male,senior
11,72.15,,Mykolas ALEKNA,28 SEP 2002,LTU,1,"Palangos Stadionas, Palanga (LTU)",02 AUG 2025,1284,discus-throw,throws,male,senior
12,72.12,,Mykolas ALEKNA,28 SEP 2002,LTU,1q1,"Cushing Stadium, College Station, TX (USA)",30 MAY 2025,1284,discus-throw,throws,male,senior
13,72.11,,Kristjan ČEH,17 FEB 1999,SLO,1,"Mestni stadion, Ptuj (SLO)",25 MAY 2025,1283,discus-throw,throws,male,senior
14,72.07,,Matthew DENNY,02 JUN 1996,AUS,1,"Millican Field at Throw Town, Ramona, OK (USA)",06 APR 2025,1283,discus-throw,throws,male,senior
15,72.02,,Gerd KANTER,06 MAY 1979,EST,1,"Salinas, CA (USA)",03 MAY 2007,1282,discus-throw,throws,male,senior
16,72.01,,Ralford MULLINGS,22 NOV 2002,JAM,1,"Millican Field at Throw Town, Ramona, OK (USA)",16 AUG 2025,1282,discus-throw,throws,male,senior
17,71.88,,Gerd KANTER,06 MAY 1979,EST,1f1,"Salinas, CA (USA)",08 MAY 2008,1279,discus-throw,throws,male,senior
18,71.86,,Yuriy DUMCHEV,05 AUG 1958,URS,1,Moskva (URS),29 MAY 1983,1279,discus-throw,throws,male,senior
18,71.86,,Daniel STÅHL,27 AUG 1992,SWE,1f1,Bottnaryd (SWE),29 JUN 2019,1279,discus-throw,throws,male,senior
18,71.86,,Kristjan ČEH,17 FEB 1999,SLO,1,"Linnastaadion, Jöhvi (EST)",16 JUN 2023,1279,discus-throw,throws,male,senior
21,71.84,,Piotr MAŁACHOWSKI,07 JUN 1983,POL,1,"FBK Stadium, Hengelo (NED)",08 JUN 2013,1278,discus-throw,throws,male,senior
22,71.70,,Róbert FAZEKAS,18 AUG 1975,HUN,1,Szombathely (HUN),14 JUL 2002,1276,discus-throw,throws,male,senior
22,71.70,,Mykolas ALEKNA,28 SEP 2002,LTU,1,"Olympic Stadium, London (GBR)",19 JUL 2025,1276,discus-throw,throws,male,senior
24,71.64,,Gerd KANTER,06 MAY 1979,EST,1,Kohila (EST),25 JUN 2009,1275,discus-throw,throws,male,senior
25,71.56,,Virgilijus ALEKNA,13 FEB 1972,LTU,1,Kaunas (LTU),25 JUL 2007,1273,discus-throw,throws,male,senior
26,71.50,,Lars RIEDEL,28 JUN 1967,GER,1,Wiesbaden (GER),03 MAY 1997,1272,discus-throw,throws,male,senior
27,71.48,,Alex ROSE,17 NOV 1991,SAM,1,"GVSU Track/Lacrosse Stadium, Allendale, MI (USA)",11 MAY 2024,1272,discus-throw,throws,male,senior
28,71.47,,Daniel STÅHL,27 AUG 1992,SWE,1,"Uppsala Friidrottsarena, Uppsala (SWE)",21 JUN 2022,1272,discus-throw,throws,male,senior
