rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,86.74,,Yuriy SEDYKH,11 JUN 1955,URS,1,"Neckarstadion, Stuttgart (GER)",30 AUG 1986,1307,hammer-throw,throws,male,senior
2,86.66,,Yuriy SEDYKH,11 JUN 1955,URS,1,Tallinn (EST),22 JUN 1986,1306,hammer-throw,throws,male,senior
3,86.34,,Yuriy SEDYKH,11 JUN 1955,URS,1,Cork (IRL),03 JUL 1984,1301,hammer-throw,throws,male,senior
4,86.04,,Sergey LITVINOV,23 JAN 1958,URS,1,Dresden (GER),03 JUL 1986,1297,hammer-throw,throws,male,senior
5,85.74,,Sergey LITVINOV,23 JAN 1958,URS,2,"Neckarstadion, Stuttgart (GER)",30 AUG 1986,1292,hammer-throw,throws,male,senior
6,85.68,,Yuriy SEDYKH,11 JUN 1955,URS,1,Budapest (HUN),11 AUG 1986,1291,hammer-throw,throws,male,senior
7,85.60,,Yuriy SEDYKH,11 JUN 1955,URS,1,London (GBR),13 JUL 1984,1290,hammer-throw,throws,male,senior
7,85.60,,Yuriy SEDYKH,11 JUN 1955,URS,1,Moskva (URS),17 AUG 1984,1290,hammer-throw,throws,male,senior
9,85.20,,Sergey LITVINOV,23 JAN 1958,URS,2,Cork (IRL),03 JUL 1984,1283,hammer-throw,throws,male,senior
10,85.14,,Sergey LITVINOV,23 JAN 1958,URS,1,London (GBR),11 JUL 1986,1283,hammer-throw,throws,male,senior
10,85.14,,Yuriy SEDYKH,11 JUN 1955,URS,1,Moskva (URS),04 SEP 1988,1283,hammer-throw,throws,male,senior
12,85.02,,Yuriy SEDYKH,11 JUN 1955,URS,1,Budapest (HUN),20 AUG 1984,1281,hammer-throw,throws,male,senior
13,84.92,,Yuriy SEDYKH,11 JUN 1955,URS,2,Dresden (GER),03 JUL 1986,1279,hammer-throw,throws,male,senior
14,84.90,,Vadim DEVYATOVSKIY,20 MAR 1977,BLR,1,Minsk (BLR),21 JUL 2005,1279,hammer-throw,throws,male,senior
15,84.88,,Sergey LITVINOV,23 JAN 1958,URS,1,"Stadio Olimpico, Roma (ITA)",10 SEP 1986,1279,hammer-throw,throws,male,senior
16,84.86,,Koji MUROFUSHI,08 OCT 1974,JPN,1,"Stadion Juliska, Praha (CZE)",29 JUN 2003,1278,hammer-throw,throws,male,senior
17,84.80,,Sergey LITVINOV,23 JAN 1958,URS,1,"Olympic Stadium, Seoul (KOR)",26 SEP 1988,1277,hammer-throw,throws,male,senior
18,84.72,,Yuriy SEDYKH,11 JUN 1955,URS,1,Moskva (URS),09 JUL 1986,1276,hammer-throw,throws,male,senior
19,84.70,,Ethan KATZBERG,05 APR 2002,CAN,1f1,"National Stadium, Tokyo (JPN)",16 SEP 2025,1276,hammer-throw,throws,male,senior
20,84.64,,Sergey LITVINOV,23 JAN 1958,URS,2,Moskva (URS),09 JUL 1986,1275,hammer-throw,throws,male,senior
21,84.62,,Igor ASTAPKOVICH,04 JAN 1963,BLR,1,Sevilla (ESP),06 JUN 1992,1274,hammer-throw,throws,male,senior
22,84.60,,Yuriy SEDYKH,11 JUN 1955,URS,1,Tokyo (JPN),14 SEP 1984,1274,hammer-throw,throws,male,senior
23,84.58,,Yuriy SEDYKH,11 JUN 1955,URS,1,Leningrad (URS),08 JUN 1986,1274,hammer-throw,throws,male,senior
24,84.51,,Ivan TIKHON,24 JUL 1976,BLR,1,Grodno (BLR),09 JUL 2008,1273,hammer-throw,throws,male,senior
25,84.48,,Igor NIKULIN,14 AUG 1960,URS,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",12 JUL 1990,1272,hammer-throw,throws,male,senior
26,84.46,,Yuriy SEDYKH,11 JUN 1955,URS,1,Vladivostok (URS),14 SEP 1988,1272,hammer-throw,throws,male,senior
26,84.46,,Ivan TIKHON,24 JUL 1976,BLR,1,Minsk (BLR),07 MAY 2004,1272,hammer-throw,throws,male,senior
28,84.40,,Jüri TAMM,05 FEB 1957,URS,1,Banská Bystrica (TCH),09 SEP 1984,1271,hammer-throw,throws,male,senior
29,84.38,,Ethan KATZBERG,05 APR 2002,CAN,1,"Nyayo National Stadium, Nairobi (KEN)",20 APR 2024,1271,hammer-throw,throws,male,senior
30,84.36,,Sergey LITVINOV,23 JAN 1958,URS,2,Tallinn (EST),22 JUN 1986,1270,hammer-throw,throws,male,senior
31,84.32,,Ivan TIKHON,24 JUL 1976,BLR,1,Minsk (BLR),08 AUG 2003,1270,hammer-throw,throws,male,senior
32,84.26,,Yuriy SEDYKH,11 JUN 1955,URS,1,Nice (FRA),15 JUL 1986,1269,hammer-throw,throws,male,senior
32,84.26,,Igor ASTAPKOVICH,04 JAN 1963,URS,1,Reims (FRA),03 JUL 1991,1269,hammer-throw,throws,male,senior
34,84.19,,Adrián ANNUS,28 JUN 1973,HUN,1,Szombathely (HUN),10 AUG 2003,1268,hammer-throw,throws,male,senior
35,84.16,,Jüri TAMM,05 FEB 1957,URS,1,Kharkov (URS),19 JUN 1988,1267,hammer-throw,throws,male,senior
36,84.14,,Sergey LITVINOV,23 JAN 1958,URS,1,Moskva (URS),21 JUN 1983,1267,hammer-throw,throws,male,senior
36,84.14,,Yuriy SEDYKH,11 JUN 1955,URS,1,Helsinki (FIN),07 JUL 1986,1267,hammer-throw,throws,male,senior
36,84.14,,Igor ASTAPKOVICH,04 JAN 1963,URS,1,"Poljud Stadion, Split (CRO)",31 AUG 1990,1267,hammer-throw,throws,male,senior
39,84.12,,Igor ASTAPKOVICH,04 JAN 1963,URS,1,"Seattle, WA (USA)",26 JUL 1990,1267,hammer-throw,throws,male,senior
39,84.12,,Ethan KATZBERG,05 APR 2002,CAN,1,"Stade de France, Paris (FRA)",04 AUG 2024,1267,hammer-throw,throws,male,senior
41,84.08,,Jüri TAMM,05 FEB 1957,URS,1,Budapest (HUN),04 AUG 1985,1266,hammer-throw,throws,male,senior
42,84.04,,Sergey LITVINOV,23 JAN 1958,URS,1,Adler (URS),01 JUN 1988,1265,hammer-throw,throws,male,senior
43,84.02,,Sergey LITVINOV,23 JAN 1958,URS,2,Helsinki (FIN),07 JUL 1986,1265,hammer-throw,throws,male,senior
44,83.98,,Sergey LITVINOV,23 JAN 1958,URS,1,Moskva (URS),04 JUN 1982,1265,hammer-throw,throws,male,senior
45,83.97,,Ivan TIKHON,24 JUL 1976,BLR,1,Minsk (BLR),10 JUL 2004,1264,hammer-throw,throws,male,senior
46,83.96,,Igor NIKULIN,14 AUG 1960,URS,1,Nice (FRA),10 JUL 1990,1264,hammer-throw,throws,male,senior
47,83.93,,Paweł FAJDEK,04 JUN 1989,POL,1,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",09 AUG 2015,1264,hammer-throw,throws,male,senior
48,83.90,,Yuriy SEDYKH,11 JUN 1955,URS,1,Roma (ITA),31 AUG 1984,1263,hammer-throw,throws,male,senior
49,83.78,,Igor NIKULIN,14 AUG 1960,URS,1,Leningrad (URS),18 JUN 1988,1261,hammer-throw,throws,male,senior
50,83.76,,Yuriy SEDYKH,11 JUN 1955,URS,2,"Olympic Stadium, Seoul (KOR)",26 SEP 1988,1261,hammer-throw,throws,male,senior
51,83.69,,Vadim DEVYATOVSKIY,20 MAR 1977,BLR,1,Brest (BLR),03 JUL 2005,1260,hammer-throw,throws,male,senior
52,83.68,,Tibor GÉCSEK,22 SEP 1964,HUN,1,Zalaegerszeg (HUN),19 SEP 1998,1260,hammer-throw,throws,male,senior
53,83.66,,Jüri TAMM,05 FEB 1957,URS,1,Tokyo (JPN),22 SEP 1985,1260,hammer-throw,throws,male,senior
54,83.65,,Adrián ANNUS,28 JUN 1973,HUN,1,Debrecen (HUN),11 JUL 2004,1259,hammer-throw,throws,male,senior
