rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,78.33,,Olli-Pekka KARJALAINEN,07 MAR 1980,FIN,1,Seinäjoki (FIN),05 AUG 1999,1177,hammer-throw,throws,male,u20
2,78.14,,Roland STEUK,05 MAR 1959,GDR,1,Leipzig (GER),30 JUN 1978,1174,hammer-throw,throws,male,u20
3,78.06,,Ármin SZABADOS,11 JAN 2006,HUN,1,"Lantos Mihály Sportközpont, Budapest (HUN)",24 MAY 2025,1172,hammer-throw,throws,male,u20
4,78.00,,Sergey DOROZHON,17 FEB 1964,URS,1,Moskva (URS),06 AUG 1983,1172,hammer-throw,throws,male,u20
5,77.82,,Roland STEUK,05 MAR 1959,GDR,1,Berlin (GER),15 JUN 1978,1169,hammer-throw,throws,male,u20
6,77.78,,Mykhaylo KOKHAN,22 JAN 2001,UKR,3,"Bregyó Athletic Center, Székesfehérvár (HUN)",19 AUG 2020,1168,hammer-throw,throws,male,u20
7,77.70,,Roland STEUK,05 MAR 1959,GDR,1,Potsdam (GDR),24 AUG 1978,1167,hammer-throw,throws,male,u20
8,77.62,,Mykhaylo KOKHAN,22 JAN 2001,UKR,1,Mukachevo (UKR),14 FEB 2020,1166,hammer-throw,throws,male,u20
9,77.49,,Olli-Pekka KARJALAINEN,07 MAR 1980,FIN,2,Lappeenranta (FIN),25 JUL 1999,1164,hammer-throw,throws,male,u20
10,77.48,,Roland STEUK,05 MAR 1959,GDR,1,Erfurt (GER),27 MAY 1978,1163,hammer-throw,throws,male,u20
11,77.39,,Mykhaylo KOKHAN,22 JAN 2001,UKR,5,"Khalifa International Stadium, Doha (QAT)",02 OCT 2019,1162,hammer-throw,throws,male,u20
12,77.24,,Roland STEUK,05 MAR 1959,GDR,2,"Stadion Evžena Rošického, Praha (TCH)",02 SEP 1978,1160,hammer-throw,throws,male,u20
13,77.20,,Ármin SZABADOS,11 JAN 2006,HUN,6q2,"National Stadium, Tokyo (JPN)",15 SEP 2025,1159,hammer-throw,throws,male,u20
14,77.15,,Ármin SZABADOS,11 JAN 2006,HUN,8,"National Stadium, Tokyo (JPN)",16 SEP 2025,1158,hammer-throw,throws,male,u20
15,77.04,,Roland STEUK,05 MAR 1959,GDR,1,Vilnius (LTU),25 JUN 1978,1157,hammer-throw,throws,male,u20
16,76.92,,Roland STEUK,05 MAR 1959,GDR,1,Halle (GER),17 AUG 1978,1155,hammer-throw,throws,male,u20
17,76.76,,Roland STEUK,05 MAR 1959,GDR,1,Potsdam (GDR),18 AUG 1978,1152,hammer-throw,throws,male,u20
