rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,89.34,,Braian TOLEDO,08 SEP 1993,ARG,1,Mar del Plata (ARG),06 MAR 2010,,javelin-throw-700g,throws,male,u18
2,85.64,,Braian TOLEDO,08 SEP 1993,ARG,1,Santa Fé (ARG),19 SEP 2010,,javelin-throw-700g,throws,male,u18
3,85.32,,Braian TOLEDO,08 SEP 1993,ARG,1,Santiago de Chile (CHI),10 OCT 2010,,javelin-throw-700g,throws,male,u18
4,84.85,,Braian TOLEDO,08 SEP 1993,ARG,1,Buenos Aires (ARG),13 FEB 2010,,javelin-throw-700g,throws,male,u18
5,84.52,,Topi PARVIAINEN,28 SEP 2006,FIN,1f1,"Givat Ram Stadium, Jerusalem (ISR)",06 JUL 2022,,javelin-throw-700g,throws,male,u18
6,83.94,,Niklas KAUL,11 FEB 1998,GER,1,Halle (GER),17 MAY 2015,,javelin-throw-700g,throws,male,u18
7,83.86,,Brendon SKINNER,04 FEB 1999,RSA,1,Pretoria (RSA),15 OCT 2016,,javelin-throw-700g,throws,male,u18
8,83.42,,Yuriy KUSHNIRUK,06 DEC 1994,UKR,1,Trabzon (TUR),29 JUL 2011,,javelin-throw-700g,throws,male,u18
9,83.29,,Toni KERÄNEN,16 JUN 1998,FIN,1,Liminka (FIN),19 AUG 2015,,javelin-throw-700g,throws,male,u18
10,83.16,,Morné MOOLMAN,01 SEP 1994,RSA,1q2,Lille (FRA),09 JUL 2011,,javelin-throw-700g,throws,male,u18
11,83.08,,Braian TOLEDO,08 SEP 1993,ARG,1,Buenos Aires (ARG),26 SEP 2010,,javelin-throw-700g,throws,male,u18
12,83.02,,Valeriy IORDAN,14 FEB 1992,RUS,1,Vladimir (RUS),17 MAY 2009,,javelin-throw-700g,throws,male,u18
13,82.96,,Reinhardt VAN ZYL,07 FEB 1994,RSA,1,Lille (FRA),10 JUL 2011,,javelin-throw-700g,throws,male,u18
14,82.34,,Qingbo WANG,24 MAY 1988,CHN,1,Ningbo (CHN),17 MAY 2005,,javelin-throw-700g,throws,male,u18
15,82.19,,Braian TOLEDO,08 SEP 1993,ARG,1,Uberlandia (BRA),03 APR 2010,,javelin-throw-700g,throws,male,u18
16,82.08,,Artur FELFNER,17 OCT 2003,UKR,1,Mukachevo (UKR),14 FEB 2020,,javelin-throw-700g,throws,male,u18
17,81.85,,Teemu WIRKKALA,14 JAN 1984,FIN,1,Alavieska (FIN),27 JUL 2001,,javelin-throw-700g,throws,male,u18
18,81.78,,Braian TOLEDO,08 SEP 1993,ARG,1f2,Singapore (SGP),22 AUG 2010,,javelin-throw-700g,throws,male,u18
19,81.77,,Morné MOOLMAN,01 SEP 1994,RSA,1,Cape Town (RSA),17 DEC 2011,,javelin-throw-700g,throws,male,u18
19,81.77,,Artur FELFNER,17 OCT 2003,UKR,1,"Avangard Stadium, Lutsk (UKR)",27 AUG 2020,,javelin-throw-700g,throws,male,u18
21,81.60,,Roch KRUKOWSKI,20 JUL 2007,POL,1,"Stadion Śląski, Chorzów (POL)",09 JUL 2023,,javelin-throw-700g,throws,male,u18
22,81.53,,Morné MOOLMAN,01 SEP 1994,RSA,1,Douglas (GBR),11 SEP 2011,,javelin-throw-700g,throws,male,u18
23,81.50,,Cyprian MRZYGŁÓD,02 FEB 1998,POL,1,Stargard (POL),03 OCT 2015,,javelin-throw-700g,throws,male,u18
24,81.48,,Dawid WEGNER,23 APR 2000,POL,1,Gdansk (POL),20 MAY 2017,,javelin-throw-700g,throws,male,u18
25,81.39,,Toni KERÄNEN,16 JUN 1998,FIN,1,Kalajoki (FIN),23 AUG 2015,,javelin-throw-700g,throws,male,u18
26,81.37,,Morné MOOLMAN,01 SEP 1994,RSA,1,Windhoek (NAM),28 MAY 2011,,javelin-throw-700g,throws,male,u18
27,81.19,,Topi PARVIAINEN,28 SEP 2006,FIN,1,"Olympiastadion, Helsinki (FIN)",03 SEP 2022,,javelin-throw-700g,throws,male,u18
28,81.16,,Júlio César MIRANDA DE OLIVEIRA,04 FEB 1986,BRA,1,Sherbrooke (CAN),11 JUL 2003,,javelin-throw-700g,throws,male,u18
29,81.14,,Atte SAILOLA,19 JAN 2000,FIN,1,Pihtipudas (FIN),29 JUN 2017,,javelin-throw-700g,throws,male,u18
30,81.07,,Robert OOSTHUIZEN,23 JAN 1987,RSA,2,Sherbrooke (CAN),11 JUL 2003,,javelin-throw-700g,throws,male,u18
31,80.99,,Morné MOOLMAN,01 SEP 1994,RSA,2,Lille (FRA),10 JUL 2011,,javelin-throw-700g,throws,male,u18
32,80.80,,Artur FELFNER,17 OCT 2003,UKR,1,"Avangard Stadium, Lutsk (UKR)",19 SEP 2020,,javelin-throw-700g,throws,male,u18
33,80.60,,Roch KRUKOWSKI,20 JUL 2007,POL,1,"Stadion MOSiR, Lublin (POL)",06 JUL 2024,,javelin-throw-700g,throws,male,u18
34,80.55,,Xiaobo WANG,18 FEB 2005,CHN,1,Huangshi (CHN),25 OCT 2022,,javelin-throw-700g,throws,male,u18
35,80.52,,Noël MEYER,20 APR 1988,RSA,1,"Sidi Youssef Ben Ali, Marrakech (MAR)",13 JUL 2005,,javelin-throw-700g,throws,male,u18
36,80.44,,György HERCZEG,08 AUG 2004,HUN,1,"Vanyek Béla Sportcentrum, Vác (HUN)",10 OCT 2021,,javelin-throw-700g,throws,male,u18
37,80.40,,Chao-Hong HUANG,25 SEP 2006,TPE,1,Al-Kuwait (KUW),14 OCT 2022,,javelin-throw-700g,throws,male,u18
38,80.34,,Roch KRUKOWSKI,20 JUL 2007,POL,1,"Stadion MOSiR, Kielce (POL)",14 MAY 2023,,javelin-throw-700g,throws,male,u18
38,80.34,,Roch KRUKOWSKI,20 JUL 2007,POL,1,"Mestni stadion, Ptuj (SLO)",11 JUN 2023,,javelin-throw-700g,throws,male,u18
40,80.22,,Harri HAATAINEN,05 JAN 1978,FIN,1,Pihtipudas (FIN),28 JUN 1995,,javelin-throw-700g,throws,male,u18
40,80.22,,Ari MANNIO,23 JUL 1987,FIN,1,Lehtimäki (FIN),05 AUG 2004,,javelin-throw-700g,throws,male,u18
42,80.21,,Shih-Feng HUANG,02 MAR 1992,TPE,1,Doha (QAT),12 DEC 2009,,javelin-throw-700g,throws,male,u18
43,80.11,,Max DEHNING,09 SEP 2004,GER,1,"Wurfplatz Oberaue, Jena (GER)",18 SEP 2021,,javelin-throw-700g,throws,male,u18
44,80.08,,György HERCZEG,08 AUG 2004,HUN,1,"Egyetemi Stadion, Veszprém (HUN)",16 OCT 2021,,javelin-throw-700g,throws,male,u18
45,80.05,,Joni KARVINEN,07 FEB 1994,FIN,2q2,Lille (FRA),09 JUL 2011,,javelin-throw-700g,throws,male,u18
46,80.04,,Simon LITZELL,11 FEB 1997,SWE,1,Östersund (SWE),10 MAY 2014,,javelin-throw-700g,throws,male,u18
47,80.01,,Marek MUCHA,25 FEB 2001,POL,1,"Olimpiai Sportpark, Győr (HUN)",07 JUL 2018,,javelin-throw-700g,throws,male,u18
48,79.96,,Ari MANNIO,23 JUL 1987,FIN,1,Göteborg (SWE),04 SEP 2004,,javelin-throw-700g,throws,male,u18
49,79.94,,Miro MÄÄTTÄNEN,17 JUN 1996,FIN,1,Janakkala (FIN),12 JUN 2013,,javelin-throw-700g,throws,male,u18
50,79.92,,Douw SMIT,12 MAY 1999,RSA,1,Potchefstroom (RSA),22 APR 2016,,javelin-throw-700g,throws,male,u18
51,79.85,,Ewald JANSEN,15 APR 2006,RSA,1,"Hasely Crawford Stadium, Port-of-Spain (TTO)",10 AUG 2023,,javelin-throw-700g,throws,male,u18
52,79.82,,Norbert RIVASZ-TÓTH,06 MAY 1996,HUN,1,Tiszaújváros (HUN),12 MAY 2013,,javelin-throw-700g,throws,male,u18
53,79.75,,Guisheng ZHANG,03 OCT 1995,CHN,1,Chengdu (CHN),30 MAR 2011,,javelin-throw-700g,throws,male,u18
54,79.71,,Tuomas LAAKSONEN,09 MAR 1990,FIN,1,Ostrava (CZE),12 JUL 2007,,javelin-throw-700g,throws,male,u18
55,79.65,,Joachim KITEAU,23 JUN 1982,FRA,1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",17 JUL 1999,,javelin-throw-700g,throws,male,u18
56,79.58,,Braian TOLEDO,08 SEP 1993,ARG,1,Buenos Aires (ARG),06 MAY 2010,,javelin-throw-700g,throws,male,u18
57,79.40,,Roch KRUKOWSKI,20 JUL 2007,POL,1,"Atletski stadion Poljane, Maribor (SLO)",25 JUL 2023,,javelin-throw-700g,throws,male,u18
58,79.39,,Toni KERÄNEN,16 JUN 1998,FIN,1,Liminka (FIN),26 MAY 2015,,javelin-throw-700g,throws,male,u18
58,79.39,,Max DEHNING,09 SEP 2004,GER,1,"Stadion Obervieland, Bremen (GER)",12 SEP 2021,,javelin-throw-700g,throws,male,u18
60,79.38,,Simon LITZELL,11 FEB 1997,SWE,1,Bålsta (SWE),24 MAY 2014,,javelin-throw-700g,throws,male,u18
60,79.38,,Toni KERÄNEN,16 JUN 1998,FIN,1,Pihtipudas (FIN),25 JUN 2015,,javelin-throw-700g,throws,male,u18
62,79.37,,Artur FELFNER,17 OCT 2003,UKR,1,Kyiv (UKR),29 JUN 2019,,javelin-throw-700g,throws,male,u18
63,79.34,,Oliver HELANDER,01 JAN 1997,FIN,1,Helsinki (FIN),30 AUG 2014,,javelin-throw-700g,throws,male,u18
64,79.33,,Lohan RAUTENBACH,06 FEB 1986,RSA,1,Caen (FRA),02 JUN 2002,,javelin-throw-700g,throws,male,u18
65,79.32,,Illia SAIEVSKYI,01 AUG 2006,UKR,1,"Fuar Alanı Atletizm Sahası, Sivas (TUR)",02 SEP 2023,,javelin-throw-700g,throws,male,u18
66,79.29,,Mohd HADEESH,03 MAR 1998,IND,1,Apia (SAM),08 SEP 2015,,javelin-throw-700g,throws,male,u18
66,79.29,,Cyprian MRZYGŁÓD,02 FEB 1998,POL,1,Zielona Góra (POL),19 SEP 2015,,javelin-throw-700g,throws,male,u18
68,79.25,,Robert OOSTHUIZEN,23 JAN 1987,RSA,1,Durban (RSA),13 APR 2003,,javelin-throw-700g,throws,male,u18
68,79.25,,Braian TOLEDO,08 SEP 1993,ARG,1,Córdoba (ARG),17 OCT 2009,,javelin-throw-700g,throws,male,u18
68,79.25,,Simon LITZELL,11 FEB 1997,SWE,1,Sollentuna (SWE),26 JUN 2014,,javelin-throw-700g,throws,male,u18
71,79.22,,Roman AVRAMENKO,23 MAR 1988,UKR,2,"Sidi Youssef Ben Ali, Marrakech (MAR)",13 JUL 2005,,javelin-throw-700g,throws,male,u18
71,79.22,,Zhaoyi YANG,11 DEC 2007,CHN,1,"Sports Center, Yulin (CHN)",13 JUL 2024,,javelin-throw-700g,throws,male,u18
73,79.18,,Valeriy IORDAN,14 FEB 1992,RUS,1,"Adler, Sochi (RUS)",25 MAY 2009,,javelin-throw-700g,throws,male,u18
74,79.11,,Vladislav PALYUNIN,04 DEC 1998,UZB,1,Doha (QAT),10 MAY 2015,,javelin-throw-700g,throws,male,u18
75,79.04,,Hercules VAN VUUREN,15 APR 1998,RSA,1q2,"Pascual Guerrero Stadium, Cali (COL)",18 JUL 2015,,javelin-throw-700g,throws,male,u18
76,79.00,,Toni KERÄNEN,16 JUN 1998,FIN,1,Raahe (FIN),03 AUG 2015,,javelin-throw-700g,throws,male,u18
77,78.93,,Júlio César MIRANDA DE OLIVEIRA,04 FEB 1986,BRA,1,Sâo Caetano do Sul (BRA),21 JUN 2003,,javelin-throw-700g,throws,male,u18
78,78.86,,Johannes SCHLEBUSCH,26 AUG 2000,RSA,1,Bloemfontein (RSA),05 AUG 2017,,javelin-throw-700g,throws,male,u18
79,78.85,,Topias LAINE,12 JUL 2001,FIN,1f1,Buenos Aires (ARG),16 OCT 2018,,javelin-throw-700g,throws,male,u18
80,78.84,,Matija MUHAR,22 JUL 1996,SLO,1,Donetsk (UKR),14 JUL 2013,,javelin-throw-700g,throws,male,u18
81,78.73,,Saku KUUSISTO,09 MAR 1982,FIN,2,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",17 JUL 1999,,javelin-throw-700g,throws,male,u18
82,78.69,,Jiabo XIANG,15 AUG 1997,CHN,1,Bangkok (THA),21 MAY 2014,,javelin-throw-700g,throws,male,u18
83,78.66,,Eryk KOŁODZIEJCZAK,04 FEB 2002,POL,1,Zamość (POL),02 JUN 2019,,javelin-throw-700g,throws,male,u18
84,78.65,,Aleksandr IVANOV,25 MAY 1982,RUS,3,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",17 JUL 1999,,javelin-throw-700g,throws,male,u18
84,78.65,,Lassi SAARINEN,10 MAR 1997,FIN,1q1,Donetsk (UKR),12 JUL 2013,,javelin-throw-700g,throws,male,u18
86,78.64,,Robert OOSTHUIZEN,23 JAN 1987,RSA,1,Port Elizabeth (RSA),29 MAR 2003,,javelin-throw-700g,throws,male,u18
