rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,23.00,,Jacko GILL,20 DEC 1994,NZL,1,Auckland (NZL),18 AUG 2013,,shot-put-6kg,throws,male,u20
2,22.96,,Konrad BUKOWIECKI,17 MAR 1997,POL,1,Spala (POL) (i),29 DEC 2016,,shot-put-6kg,throws,male,u20
3,22.94,,Konrad BUKOWIECKI,17 MAR 1997,POL,1,Bojanowo (POL),01 MAY 2016,,shot-put-6kg,throws,male,u20
4,22.73,,David STORL,27 JUL 1990,GER,1,Osterode (GER),14 JUL 2009,,shot-put-6kg,throws,male,u20
5,22.62,,Konrad BUKOWIECKI,17 MAR 1997,POL,1,"Ekängens Friidrottsarena, Eskilstuna (SWE)",16 JUL 2015,,shot-put-6kg,throws,male,u20
6,22.61,,Konrad BUKOWIECKI,17 MAR 1997,POL,1,Białystok (POL),01 JUN 2016,,shot-put-6kg,throws,male,u20
6,22.61,,Konrad BUKOWIECKI,17 MAR 1997,POL,1,"Stadion OPO Cetniewo, Władysławowo (POL)",12 JUL 2016,,shot-put-6kg,throws,male,u20
8,22.56,,David STORL,27 JUL 1990,GER,1,Thum (GER),28 AUG 2009,,shot-put-6kg,throws,male,u20
9,22.54,,Jacko GILL,20 DEC 1994,NZL,1,Auckland (NZL),04 AUG 2013,,shot-put-6kg,throws,male,u20
10,22.48,,Konrad BUKOWIECKI,17 MAR 1997,POL,1,Toruń (POL) (i),08 JAN 2016,,shot-put-6kg,throws,male,u20
11,22.40,,David STORL,27 JUL 1990,GER,1,"Karađorđe Stadium, Novi Sad (SRB)",25 JUL 2009,,shot-put-6kg,throws,male,u20
12,22.38,,Konrad BUKOWIECKI,17 MAR 1997,POL,1,Toruń (POL) (i),24 JAN 2015,,shot-put-6kg,throws,male,u20
13,22.35,,David STORL,27 JUL 1990,GER,1,Rochlitz (GER) (i),20 DEC 2009,,shot-put-6kg,throws,male,u20
13,22.35,,Konrad BUKOWIECKI,17 MAR 1997,POL,1,Spala (POL) (i),30 DEC 2016,,shot-put-6kg,throws,male,u20
15,22.34,,David STORL,27 JUL 1990,GER,1,Mannheim (GER),13 JUN 2009,,shot-put-6kg,throws,male,u20
16,22.32,,Jacko GILL,20 DEC 1994,NZL,1,Brisbane (AUS),20 JUL 2013,,shot-put-6kg,throws,male,u20
17,22.31,,Jacko GILL,20 DEC 1994,NZL,1,Auckland (NZL),05 DEC 2011,,shot-put-6kg,throws,male,u20
18,22.30,,Jacko GILL,20 DEC 1994,NZL,1,Waitakere (NZL),24 MAR 2012,,shot-put-6kg,throws,male,u20
19,22.29,,Konrad BUKOWIECKI,17 MAR 1997,POL,1,Suwalki (POL),03 JUL 2016,,shot-put-6kg,throws,male,u20
20,22.21,,Konrad BUKOWIECKI,17 MAR 1997,POL,1q1,Biala Podlaska (POL),28 JUN 2015,,shot-put-6kg,throws,male,u20
21,22.20,,Jacko GILL,20 DEC 1994,NZL,1,"Estadio Olímpico, Barcelona (ESP)",11 JUL 2012,,shot-put-6kg,throws,male,u20
22,22.15,,Aleh TAMASHEVICH,31 MAY 2000,BLR,1,Vitebsk (BLR) (i),20 JAN 2019,,shot-put-6kg,throws,male,u20
23,22.12,,Konrad BUKOWIECKI,17 MAR 1997,POL,1,Biala Podlaska (POL),28 JUN 2015,,shot-put-6kg,throws,male,u20
24,22.07,,Kyle BLIGNAUT,09 NOV 1999,RSA,1,"Ratinan Stadion, Tampere (FIN)",10 JUL 2018,,shot-put-6kg,throws,male,u20
25,22.06,,Jacko GILL,20 DEC 1994,NZL,1,Christchurch (NZL),04 FEB 2012,,shot-put-6kg,throws,male,u20
25,22.06,,Konrad BUKOWIECKI,17 MAR 1997,POL,1,"Hayward Field, Eugene, OR (USA)",24 JUL 2014,,shot-put-6kg,throws,male,u20
25,22.06,,Adrian PIPERI,20 JAN 1999,USA,2,"Ratinan Stadion, Tampere (FIN)",10 JUL 2018,,shot-put-6kg,throws,male,u20
28,22.02,,David STORL,27 JUL 1990,GER,1,Bad Köstritz (GER),30 AUG 2009,,shot-put-6kg,throws,male,u20
28,22.02,,Jordan GEIST,21 JUL 1998,USA,1,Trujillo (PER),23 JUL 2017,,shot-put-6kg,throws,male,u20
30,21.96,,Edis ELKASEVIĆ,18 FEB 1983,CRO,1,Zagreb (CRO),29 JUN 2002,,shot-put-6kg,throws,male,u20
31,21.90,,John MAURINS,03 AUG 1996,USA,1,"Eugene, OR (USA)",26 JUN 2015,,shot-put-6kg,throws,male,u20
32,21.89,,Jordan GEIST,21 JUL 1998,USA,1,"Greensburg, PA (USA) (i)",07 FEB 2017,,shot-put-6kg,throws,male,u20
33,21.84,,Jackson CANTWELL,2008,USA,1,"Hayward Field, Eugene, OR (USA)",21 JUN 2025,,shot-put-6kg,throws,male,u20
34,21.82,,Konrad BUKOWIECKI,17 MAR 1997,POL,1,Toruń (POL) (i),15 FEB 2015,,shot-put-6kg,throws,male,u20
35,21.81,,Yannick ROLVINK,07 MAY 2005,NED,1,"Atletiekbaan Breda, Breda (NED)",20 JUL 2024,,shot-put-6kg,throws,male,u20
36,21.79,,Mostafa Amr HASSAN,16 DEC 1995,EGY,1,Cairo (EGY),23 APR 2014,,shot-put-6kg,throws,male,u20
37,21.78,,Krzysztof BRZOZOWSKI,15 JUL 1993,POL,2,"Estadio Olímpico, Barcelona (ESP)",11 JUL 2012,,shot-put-6kg,throws,male,u20
38,21.76,,David STORL,27 JUL 1990,GER,1,Schönebeck (GER),17 JUN 2009,,shot-put-6kg,throws,male,u20
39,21.71,,Jacko GILL,20 DEC 1994,NZL,1,Auckland (NZL),22 DEC 2011,,shot-put-6kg,throws,male,u20
40,21.68,,Marin PREMERU,29 AUG 1990,CRO,1,Rijeka (CRO),19 MAY 2009,,shot-put-6kg,throws,male,u20
41,21.67,,Andrei Rares TOADER,26 MAY 1997,ROU,1,Bucureşti (ROU) (i),09 JAN 2016,,shot-put-6kg,throws,male,u20
42,21.65,,Kyle BLIGNAUT,09 NOV 1999,RSA,1,Boksburg (RSA),28 APR 2018,,shot-put-6kg,throws,male,u20
43,21.63,,Marin PREMERU,29 AUG 1990,CRO,1,Zagreb (CRO),27 JUN 2009,,shot-put-6kg,throws,male,u20
44,21.61,,Marin PREMERU,29 AUG 1990,CRO,1,Zagreb (CRO),03 JUN 2009,,shot-put-6kg,throws,male,u20
45,21.60,,Konrad BUKOWIECKI,17 MAR 1997,POL,1,Łódź (POL),13 SEP 2014,,shot-put-6kg,throws,male,u20
46,21.59,,David STORL,27 JUL 1990,GER,1,Neubrandenburg (GER) (i),14 FEB 2009,,shot-put-6kg,throws,male,u20
46,21.59,,Konrad BUKOWIECKI,17 MAR 1997,POL,1q1,Suwalki (POL),02 JUL 2016,,shot-put-6kg,throws,male,u20
