rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,12.12,0.9,Tobi AMUSAN,1997-04-23,NGR,1sf1,"Hayward Field, Eugene, OR (USA)",2022-07-24,1272.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.12,USA,25.0,2022
2,12.17,2.0,Masai RUSSELL,2000-06-17,USA,1,"Ansin Sports Complex, Miramar, FL (USA)",2025-05-02,1265.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.17,USA,24.0,2025
3,12.19,1.4,Masai RUSSELL,2000-06-17,USA,1,"Stadion Śląski, Chorzów (POL)",2025-08-16,1262.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.19,POL,25.0,2025
3,12.19,2.0,Tia JONES,2000-09-08,USA,2,"Ansin Sports Complex, Miramar, FL (USA)",2025-05-02,1262.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.19,USA,24.0,2025
5,12.2,0.3,Kendra HARRISON,1992-09-18,USA,1,"Olympic Stadium, London (GBR)",2016-07-22,1261.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.2,GBR,23.0,2016
6,12.21,0.7,Yordanka DONKOVA,1961-09-28,BUL,1,Stara Zagora (BUL),1988-08-20,1259.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.21,BUL,26.0,1988
6,12.21,0.7,Grace STARK,2001-05-06,USA,1,"Stade Charléty, Paris (FRA)",2025-06-20,1259.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.21,FRA,24.0,2025
8,12.22,0.7,Masai RUSSELL,2000-06-17,USA,1,"Hayward Field, Eugene, OR (USA)",2025-08-02,1258.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.22,USA,25.0,2025
9,12.24,0.7,Tobi AMUSAN,1997-04-23,NGR,2,"Stade Charléty, Paris (FRA)",2025-06-20,1255.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.24,FRA,28.0,2025
9,12.24,0.9,Yordanka DONKOVA,1961-09-28,BUL,1sf,Stara Zagora (BUL),1988-08-28,1255.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.24,BUL,26.0,1988
9,12.24,0.1,Kendra HARRISON,1992-09-18,USA,1h3,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-22,1255.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.24,HUN,30.0,2023
9,12.24,0.7,Kendra HARRISON,1992-09-18,USA,1,"Hayward Field, Eugene, OR (USA)",2016-05-28,1255.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.24,USA,23.0,2016
9,12.24,-0.1,Ditaji KAMBUNDJI,2002-05-20,SUI,1,"National Stadium, Tokyo (JPN)",2025-09-15,1255.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.24,JPN,23.0,2025
9,12.24,1.4,Tonea MARSHALL,1998-10-17,USA,2,"Stadion Śląski, Chorzów (POL)",2025-08-16,1255.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.24,POL,26.0,2025
9,12.24,-0.4,Ackera NUGENT,2002-04-29,JAM,1,"Stadio Olimpico, Roma (ITA)",2024-08-30,1257.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.24,ITA,22.0,2024
16,12.25,0.7,Masai RUSSELL,2000-06-17,USA,1,"Hayward Field, Eugene, OR (USA)",2024-06-30,1253.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.25,USA,24.0,2024
16,12.25,1.4,Tobi AMUSAN,1997-04-23,NGR,3,"Stadion Śląski, Chorzów (POL)",2025-08-16,1253.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.25,POL,28.0,2025
16,12.25,1.4,Ginka ZAGORCHEVA,1958-04-12,BUL,1,Drama (GRE),1987-08-08,1253.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.25,GRE,29.0,1987
16,12.25,1.5,Masai RUSSELL,2000-06-17,USA,1h2,"Hayward Field, Eugene, OR (USA)",2025-08-02,1253.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.25,USA,25.0,2025
20,12.26,-0.2,Jasmine CAMACHO-QUINN,1996-08-21,PUR,1sf3,"National Stadium, Tokyo (JPN)",2021-08-01,1253.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.26,JPN,24.0,2021
20,12.26,1.7,Lyudmila NAROZHILENKO,1964-04-21,RUS,1f1,Sevilla (ESP),1992-06-06,1252.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.26,ESP,28.0,1992
20,12.26,1.5,Yordanka DONKOVA,1961-09-28,BUL,1,Ljubljana (SLO),1986-09-07,1252.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.26,SLO,24.0,1986
20,12.26,1.2,Brianna MCNEAL,1991-08-18,USA,1,"Drake Stadium, Des Moines, IA (USA)",2013-06-22,1252.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.26,USA,21.0,2013
24,12.27,0.1,Jasmine CAMACHO-QUINN,1996-08-21,PUR,1,"Boudewijnstadion, Bruxelles (BEL)",2022-09-02,1251.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.27,BEL,26.0,2022
24,12.27,-1.2,Yordanka DONKOVA,1961-09-28,BUL,1,Stara Zagora (BUL),1988-08-28,1258.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.27,BUL,26.0,1988
24,12.27,0.9,Kendra HARRISON,1992-09-18,USA,2sf1,"Hayward Field, Eugene, OR (USA)",2022-07-24,1251.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.27,USA,29.0,2022
27,12.28,0.9,Lyudmila NAROZHILENKO,1964-04-21,RUS,1f2,Sevilla (ESP),1992-06-06,1249.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.28,ESP,28.0,1992
27,12.28,1.8,Lyudmila NAROZHILENKO,1964-04-21,URS,1,Kiev (URS),1991-07-11,1249.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.28,URS,27.0,1991
27,12.28,1.1,Nadine VISSER,1995-02-09,NED,1h2,"Stadion Śląski, Chorzów (POL)",2025-08-16,1249.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.28,POL,30.0,2025
27,12.28,0.1,Kendra HARRISON,1992-09-18,USA,1f1,"Bregyó Athletic Center, Székesfehérvár (HUN)",2017-07-04,1249.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.28,HUN,24.0,2017
27,12.28,0.5,Ackera NUGENT,2002-04-29,JAM,1,"National Stadium, Kingston (JAM)",2024-06-30,1249.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.28,JAM,22.0,2024
27,12.28,1.1,Sally PEARSON,1986-09-19,AUS,1,"DS, Daegu (KOR)",2011-09-03,1249.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.28,KOR,24.0,2011
33,12.29,-0.1,Tobi AMUSAN,1997-04-23,NGR,2,"National Stadium, Tokyo (JPN)",2025-09-15,1248.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.29,JPN,28.0,2025
33,12.29,-0.4,Yordanka DONKOVA,1961-09-28,BUL,1,Köln (GER),1986-08-17,1250.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.29,GER,24.0,1986
33,12.29,-0.5,Ackera NUGENT,2002-04-29,JAM,1,"Stadion Śląski, Chorzów (POL)",2024-08-25,1251.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.29,POL,22.0,2024
33,12.29,-0.3,Tobi AMUSAN,1997-04-23,NGR,1,"Letzigrund, Zürich (SUI)",2022-09-08,1249.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.29,SUI,25.0,2022
37,12.3,0.7,Ackera NUGENT,2002-04-29,JAM,3,"Stade Charléty, Paris (FRA)",2025-06-20,1246.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.3,FRA,23.0,2025
37,12.3,-0.6,Ackera NUGENT,2002-04-29,JAM,1,"Letzigrund, Zürich (SUI)",2025-08-28,1249.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.3,SUI,23.0,2025
37,12.3,0.6,Nia ALI,1988-10-23,USA,1,"Stade Louis II, Monaco (MON)",2023-07-21,1246.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.3,MON,34.0,2023
37,12.3,0.6,Ackera NUGENT,2002-04-29,JAM,1h2,"Stadion Śląski, Chorzów (POL)",2024-08-25,1246.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.3,POL,22.0,2024
37,12.3,-0.2,Tobi AMUSAN,1997-04-23,NGR,1,"Alexander Stadium, Birmingham (GBR)",2022-08-07,1247.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.3,GBR,25.0,2022
42,12.31,0.3,Britany ANDERSON,2001-01-03,JAM,1sf3,"Hayward Field, Eugene, OR (USA)",2022-07-24,1245.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.31,USA,21.0,2022
42,12.31,1.4,Danielle WILLIAMS,1992-09-14,JAM,4,"Stadion Śląski, Chorzów (POL)",2025-08-16,1245.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.31,POL,32.0,2025
42,12.31,0.7,Grace STARK,2001-05-06,USA,3,"Hayward Field, Eugene, OR (USA)",2024-06-30,1245.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.31,USA,23.0,2024
42,12.31,-0.4,Masai RUSSELL,2000-06-17,USA,2,"Stadio Olimpico, Roma (ITA)",2024-08-30,1247.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.31,ITA,24.0,2024
42,12.31,0.7,Grace STARK,2001-05-06,USA,2,"Hayward Field, Eugene, OR (USA)",2025-08-02,1245.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.31,USA,24.0,2025
42,12.31,0.7,Alaysha JOHNSON,1996-07-20,USA,2,"Hayward Field, Eugene, OR (USA)",2024-06-30,1245.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.31,USA,27.0,2024
42,12.31,0.6,Kendra HARRISON,1992-09-18,USA,2,"Stade Louis II, Monaco (MON)",2023-07-21,1245.0,100-metres-hurdles,hurdles,female,senior,100-metres-hurdles,track,12.31,MON,30.0,2023
