rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,7.52,1.4,Galina CHISTYAKOVA,1962-07-26,URS,1,Leningrad (URS),1988-06-11,1333,long-jump,jumps,female,senior,long-jump,field,7.52,URS,25.0,1988
2,7.49,1.7,Jackie JOYNER-KERSEE,1962-03-03,USA,1,Sestriere (ITA),1994-07-31,1327,long-jump,jumps,female,senior,long-jump,field,7.49,ITA,32.0,1994
2,7.49,1.3,Jackie JOYNER-KERSEE,1962-03-03,USA,1,"New York, NY (USA)",1994-05-22,1327,long-jump,jumps,female,senior,long-jump,field,7.49,USA,32.0,1994
4,7.48,0.4,Heike DRECHSLER,1964-12-16,GER,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",1992-07-08,1324,long-jump,jumps,female,senior,long-jump,field,7.48,SUI,27.0,1992
4,7.48,1.2,Heike DRECHSLER,1964-12-16,GDR,1,Neubrandenburg (GDR),1988-07-09,1324,long-jump,jumps,female,senior,long-jump,field,7.48,GDR,23.0,1988
6,7.45,1.6,Galina CHISTYAKOVA,1962-07-26,URS,1,Budapest (HUN),1988-08-12,1318,long-jump,jumps,female,senior,long-jump,field,7.45,HUN,26.0,1988
6,7.45,0.6,Jackie JOYNER-KERSEE,1962-03-03,USA,1,"Indianapolis, IN (USA)",1987-08-13,1318,long-jump,jumps,female,senior,long-jump,field,7.45,USA,25.0,1987
6,7.45,1.0,Galina CHISTYAKOVA,1962-07-26,URS,,Leningrad (URS),1988-06-11,1318,long-jump,jumps,female,senior,long-jump,field,7.45,URS,25.0,1988
6,7.45,0.9,Heike DRECHSLER,1964-12-16,GDR,1,Tallinn (EST),1986-06-21,1318,long-jump,jumps,female,senior,long-jump,field,7.45,EST,21.0,1986
6,7.45,1.1,Heike DRECHSLER,1964-12-16,GDR,1,Dresden (GER),1986-07-03,1318,long-jump,jumps,female,senior,long-jump,field,7.45,GER,21.0,1986
11,7.44,2.0,Heike DRECHSLER,1964-12-16,GDR,1,Berlin (GDR),1985-09-22,1316,long-jump,jumps,female,senior,long-jump,field,7.44,GDR,20.0,1985
12,7.43,1.4,Anișoara CUȘMIR,1962-06-28,ROU,1,Bucureşti (ROU),1983-06-04,1313,long-jump,jumps,female,senior,long-jump,field,7.43,ROU,20.0,1983
13,7.42,2.0,Tatyana KOTOVA,1976-12-11,RUS,1,"Parc des Sports, Annecy (FRA)",2002-06-23,1311,long-jump,jumps,female,senior,long-jump,field,7.42,FRA,25.0,2002
14,7.4,0.9,Jackie JOYNER-KERSEE,1962-03-03,USA,1,"Olympic Stadium, Seoul (KOR)",1988-09-29,1307,long-jump,jumps,female,senior,long-jump,field,7.4,KOR,26.0,1988
14,7.4,1.8,Heike DRECHSLER,1964-12-16,GDR,1,Dresden (GER),1984-07-26,1307,long-jump,jumps,female,senior,long-jump,field,7.4,GER,19.0,1984
14,7.4,0.7,Heike DRECHSLER,1964-12-16,GDR,1,Potsdam (GDR),1987-08-21,1307,long-jump,jumps,female,senior,long-jump,field,7.4,GDR,22.0,1987
17,7.39,0.5,Yelena BELEVSKAYA,1963-10-11,URS,1,Bryansk (URS),1987-07-18,1304,long-jump,jumps,female,senior,long-jump,field,7.39,URS,23.0,1987
17,7.39,,Jackie JOYNER-KERSEE,1962-03-03,USA,1,"San Diego, CA (USA)",1988-06-25,1304,long-jump,jumps,female,senior,long-jump,field,7.39,USA,26.0,1988
17,7.39,0.3,Heike DRECHSLER,1964-12-16,GDR,1,"Letzigrund, Zürich (SUI)",1985-08-21,1304,long-jump,jumps,female,senior,long-jump,field,7.39,SUI,20.0,1985
20,7.37,,Inessa KRAVETS,1966-10-05,UKR,1,Kyiv (UKR),1992-06-13,1300,long-jump,jumps,female,senior,long-jump,field,7.37,UKR,25.0,1992
20,7.37,,Heike DRECHSLER,1964-12-16,GDR,1,Wien (AUT) (i),1988-02-13,1300,long-jump,jumps,female,senior,long-jump,field,7.37,AUT,23.0,1988
20,7.37,1.8,Heike DRECHSLER,1964-12-16,GER,1,Sestriere (ITA),1991-07-31,1300,long-jump,jumps,female,senior,long-jump,field,7.37,ITA,26.0,1991
23,7.36,1.8,Yelena BELEVSKAYA,1963-10-11,URS,2,Leningrad (URS),1988-06-11,1298,long-jump,jumps,female,senior,long-jump,field,7.36,URS,24.0,1988
23,7.36,1.8,Heike DRECHSLER,1964-12-16,GER,1,Jena (GER),1992-05-28,1298,long-jump,jumps,female,senior,long-jump,field,7.36,GER,27.0,1992
23,7.36,0.4,Jackie JOYNER-KERSEE,1962-03-03,USA,1,"Stadio Olimpico, Roma (ITA)",1987-09-04,1298,long-jump,jumps,female,senior,long-jump,field,7.36,ITA,25.0,1987
26,7.35,1.9,Galina CHISTYAKOVA,1962-07-26,URS,1,Bratislava (TCH),1990-06-20,1295,long-jump,jumps,female,senior,long-jump,field,7.35,TCH,27.0,1990
27,7.34,0.7,Heike DRECHSLER,1964-12-16,GDR,1f1,Karl Marx Stadt (GDR),1987-06-20,1293,long-jump,jumps,female,senior,long-jump,field,7.34,GDR,22.0,1987
27,7.34,,Yelena BELEVSKAYA,1963-10-11,URS,1,Sukhumi (URS),1987-05-17,1293,long-jump,jumps,female,senior,long-jump,field,7.34,URS,23.0,1987
27,7.34,1.6,Heike DAUTE,1964-12-16,GDR,1,Dresden (GER),1984-05-19,1293,long-jump,jumps,female,senior,long-jump,field,7.34,GER,19.0,1984
27,7.34,1.4,Galina CHISTYAKOVA,1962-07-26,URS,2,Tallinn (EST),1986-06-21,1293,long-jump,jumps,female,senior,long-jump,field,7.34,EST,23.0,1986
