rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,15.74,,Yulimar ROJAS,1995-10-21,VEN,1,"Štark Arena, Beograd (SRB) (i)",2022-03-20,1297,triple-jump,jumps,female,senior,triple-jump,field,15.74,SRB,26.0,2022
2,15.67,0.7,Yulimar ROJAS,1995-10-21,VEN,1,"National Stadium, Tokyo (JPN)",2021-08-01,1290,triple-jump,jumps,female,senior,triple-jump,field,15.67,JPN,25.0,2021
3,15.52,0.6,Yulimar ROJAS,1995-10-21,VEN,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2021-08-26,1274,triple-jump,jumps,female,senior,triple-jump,field,15.52,SUI,25.0,2021
4,15.5,0.9,Inessa KRAVETS,1966-10-05,UKR,1,"Ullevi Stadium, Göteborg (SWE)",1995-08-10,1272,triple-jump,jumps,female,senior,triple-jump,field,15.5,SWE,28.0,1995
5,15.48,0.3,Yulimar ROJAS,1995-10-21,VEN,1,"Letzigrund, Zürich (SUI)",2021-09-09,1270,triple-jump,jumps,female,senior,triple-jump,field,15.48,SUI,25.0,2021
6,15.47,1.9,Yulimar ROJAS,1995-10-21,VEN,1,"Hayward Field, Eugene, OR (USA)",2022-07-18,1269,triple-jump,jumps,female,senior,triple-jump,field,15.47,USA,26.0,2022
7,15.43,,Yulimar ROJAS,1995-10-21,VEN,1,"Gallur, Madrid (ESP) (i)",2020-02-21,1265,triple-jump,jumps,female,senior,triple-jump,field,15.43,ESP,24.0,2020
7,15.43,0.7,Yulimar ROJAS,1995-10-21,VEN,1,"Polideportivo Municipal, Andújar (ESP)",2021-05-22,1265,triple-jump,jumps,female,senior,triple-jump,field,15.43,ESP,25.0,2021
9,15.41,1.5,Yulimar ROJAS,1995-10-21,VEN,1,Andújar (ESP),2019-09-06,1263,triple-jump,jumps,female,senior,triple-jump,field,15.41,ESP,23.0,2019
9,15.41,,Yulimar ROJAS,1995-10-21,VEN,1,"Gallur, Madrid (ESP) (i)",2022-03-02,1263,triple-jump,jumps,female,senior,triple-jump,field,15.41,ESP,26.0,2022
11,15.39,0.5,Francoise MBANGO ETONE,1976-04-14,CMR,1,"National Stadium, Beijing (CHN)",2008-08-17,1260,triple-jump,jumps,female,senior,triple-jump,field,15.39,CHN,32.0,2008
12,15.37,-0.6,Yulimar ROJAS,1995-10-21,VEN,1,"Khalifa International Stadium, Doha (QAT)",2019-10-05,1261,triple-jump,jumps,female,senior,triple-jump,field,15.37,QAT,23.0,2019
13,15.36,,Tatyana LEBEDEVA,1976-07-21,RUS,1,"Sportaréna, Budapest (HUN) (i)",2004-03-06,1257,triple-jump,jumps,female,senior,triple-jump,field,15.36,HUN,27.0,2004
14,15.35,1.2,Yulimar ROJAS,1995-10-21,VEN,1,"Hayward Field, Eugene, OR (USA)",2023-09-16,1256,triple-jump,jumps,female,senior,triple-jump,field,15.35,USA,27.0,2023
15,15.34,-0.5,Tatyana LEBEDEVA,1976-07-21,RUS,1,Herakleion (GRE),2004-07-04,1258,triple-jump,jumps,female,senior,triple-jump,field,15.34,GRE,27.0,2004
16,15.33,1.2,Tatyana LEBEDEVA,1976-07-21,RUS,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",2004-07-06,1254,triple-jump,jumps,female,senior,triple-jump,field,15.33,SUI,27.0,2004
16,15.33,-0.1,Inessa KRAVETS,1966-10-05,UKR,1,"Olympic Stadium, Atlanta, GA (USA)",1996-07-31,1254,triple-jump,jumps,female,senior,triple-jump,field,15.33,USA,29.0,1996
18,15.32,0.5,Tatyana LEBEDEVA,1976-07-21,RUS,1,Yokohama (JPN),2000-09-09,1253,triple-jump,jumps,female,senior,triple-jump,field,15.32,JPN,24.0,2000
18,15.32,0.9,Chrysopigi DEVETZI,1976-01-02,GRE,1q1,"Olympic Stadium, Athina (GRE)",2004-08-21,1253,triple-jump,jumps,female,senior,triple-jump,field,15.32,GRE,28.0,2004
20,15.31,-0.2,Yulimar ROJAS,1995-10-21,VEN,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",2022-08-26,1253,triple-jump,jumps,female,senior,triple-jump,field,15.31,SUI,26.0,2022
20,15.31,0.0,Caterine IBARGUEN,1984-02-12,COL,1,"Stade Louis II, Monaco (MON)",2014-07-18,1252,triple-jump,jumps,female,senior,triple-jump,field,15.31,MON,30.0,2014
22,15.3,0.5,Francoise MBANGO ETONE,1976-04-14,CMR,1,"Olympic Stadium, Athina (GRE)",2004-08-23,1251,triple-jump,jumps,female,senior,triple-jump,field,15.3,GRE,28.0,2004
23,15.29,0.3,Yamilé ALDAMA,1972-08-14,CUB,1,"Stadio Olimpico, Roma (ITA)",2003-07-11,1250,triple-jump,jumps,female,senior,triple-jump,field,15.29,ITA,30.0,2003
24,15.28,0.9,Yargelis SAVIGNE,1984-11-13,CUB,1,"Yanmar Stadium Nagai, Osaka (JPN)",2007-08-31,1249,triple-jump,jumps,female,senior,triple-jump,field,15.28,JPN,22.0,2007
24,15.28,-0.2,Yulimar ROJAS,1995-10-21,VEN,1,"Letzigrund, Zürich (SUI)",2022-09-08,1250,triple-jump,jumps,female,senior,triple-jump,field,15.28,SUI,26.0,2022
24,15.28,0.3,Yamilé ALDAMA,1972-08-14,SUD,1,Linz (AUT),2004-08-02,1249,triple-jump,jumps,female,senior,triple-jump,field,15.28,AUT,31.0,2004
27,15.27,1.2,Yamilé ALDAMA,1972-08-14,CUB,1,"Crystal Palace, London (GBR)",2003-08-08,1248,triple-jump,jumps,female,senior,triple-jump,field,15.27,GBR,31.0,2003
28,15.25,,Tatyana LEBEDEVA,1976-07-21,RUS,,"Sportaréna, Budapest (HUN) (i)",2004-03-06,1246,triple-jump,jumps,female,senior,triple-jump,field,15.25,HUN,27.0,2004
28,15.25,-0.1,Chrysopigi DEVETZI,1976-01-02,GRE,2,"Olympic Stadium, Athina (GRE)",2004-08-23,1246,triple-jump,jumps,female,senior,triple-jump,field,15.25,GRE,28.0,2004
28,15.25,1.7,Olga RYPAKOVA,1984-11-30,KAZ,1,"Poljud Stadion, Split (CRO)",2010-09-04,1246,triple-jump,jumps,female,senior,triple-jump,field,15.25,CRO,25.0,2010
28,15.25,-0.8,Tatyana LEBEDEVA,1976-07-21,RUS,1,"Commonwealth Stadium, Edmonton (CAN)",2001-08-10,1250,triple-jump,jumps,female,senior,triple-jump,field,15.25,CAN,25.0,2001
32,15.23,0.8,Tatyana LEBEDEVA,1976-07-21,RUS,1,Rethymno (GRE),2004-06-23,1244,triple-jump,jumps,female,senior,triple-jump,field,15.23,GRE,27.0,2004
32,15.23,0.6,Tatyana LEBEDEVA,1976-07-21,RUS,1,"Olympic Stadium, Athina (GRE)",2006-07-03,1244,triple-jump,jumps,female,senior,triple-jump,field,15.23,GRE,29.0,2006
34,15.21,1.2,Yamilé ALDAMA,1972-08-14,SUD,2,Rethymno (GRE),2004-06-23,1242,triple-jump,jumps,female,senior,triple-jump,field,15.21,GRE,31.0,2004
35,15.2,-0.3,Tereza MARINOVA,1977-09-25,BUL,1,"Olympic Stadium, Sydney (AUS)",2000-09-24,1242,triple-jump,jumps,female,senior,triple-jump,field,15.2,AUS,23.0,2000
35,15.2,1.3,Yargelis SAVIGNE,1984-11-13,CUB,1,Rethymno (GRE),2008-07-14,1241,triple-jump,jumps,female,senior,triple-jump,field,15.2,GRE,23.0,2008
35,15.2,0.0,Šárka KAŠPÁRKOVÁ,1971-05-20,CZE,1,"Olympic Stadium, Athina (GRE)",1997-08-04,1241,triple-jump,jumps,female,senior,triple-jump,field,15.2,GRE,26.0,1997
38,15.19,0.5,Tatyana LEBEDEVA,1976-07-21,RUS,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",2006-07-11,1240,triple-jump,jumps,female,senior,triple-jump,field,15.19,SUI,29.0,2006
38,15.19,1.4,Yulimar ROJAS,1995-10-21,VEN,,"Estadio Vallehermoso, Madrid (ESP)",2021-06-19,1240,triple-jump,jumps,female,senior,triple-jump,field,15.19,ESP,25.0,2021
40,15.18,0.3,Yulimar ROJAS,1995-10-21,VEN,1,"Stadion Śląski, Chorzów (POL)",2023-07-16,1239,triple-jump,jumps,female,senior,triple-jump,field,15.18,POL,27.0,2023
40,15.18,-0.2,Tatyana LEBEDEVA,1976-07-21,RUS,1,"Stade de France, Paris-St-Denis (FRA)",2003-08-26,1240,triple-jump,jumps,female,senior,triple-jump,field,15.18,FRA,27.0,2003
40,15.18,0.3,Iva PRANDZHEVA,1972-02-15,BUL,2,"Ullevi Stadium, Göteborg (SWE)",1995-08-10,1239,triple-jump,jumps,female,senior,triple-jump,field,15.18,SWE,23.0,1995
43,15.17,0.4,Caterine IBARGUEN,1984-02-12,COL,1,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-14,1238,triple-jump,jumps,female,senior,triple-jump,field,15.17,BRA,32.0,2016
44,15.16,1.1,Yulimar ROJAS,1995-10-21,VEN,1,San Salvador (ESA),2023-07-05,1237,triple-jump,jumps,female,senior,triple-jump,field,15.16,ESA,27.0,2023
44,15.16,,Ashia HANSEN,1971-12-05,GBR,1,"Velódromo Luis Puig, Valencia (ESP) (i)",1998-02-28,1237,triple-jump,jumps,female,senior,triple-jump,field,15.16,ESP,26.0,1998
44,15.16,,Tatyana LEBEDEVA,1976-07-21,RUS,,"Sportaréna, Budapest (HUN) (i)",2004-03-06,1237,triple-jump,jumps,female,senior,triple-jump,field,15.16,HUN,27.0,2004
44,15.16,0.7,Trecia Kaye SMITH,1975-11-05,JAM,2,Linz (AUT),2004-08-02,1237,triple-jump,jumps,female,senior,triple-jump,field,15.16,AUT,28.0,2004
44,15.16,0.1,Rodica MATEESCU,1971-03-13,ROU,2,"Olympic Stadium, Athina (GRE)",1997-08-04,1237,triple-jump,jumps,female,senior,triple-jump,field,15.16,GRE,26.0,1997
49,15.15,0.2,Yulimar ROJAS,1995-10-21,VEN,1,"Letzigrund, Zürich (SUI)",2023-08-31,1236,triple-jump,jumps,female,senior,triple-jump,field,15.15,SUI,27.0,2023
49,15.15,1.7,Ashia HANSEN,1971-12-05,GBR,1,Fukuoka (JPN),1997-09-13,1236,triple-jump,jumps,female,senior,triple-jump,field,15.15,JPN,25.0,1997
49,15.15,2.0,Yulimar ROJAS,1995-10-21,VEN,1,"Suhaim bin Hamad Stadium, Doha (QAT)",2021-05-28,1236,triple-jump,jumps,female,senior,triple-jump,field,15.15,QAT,25.0,2021
49,15.15,1.4,Tatyana LEBEDEVA,1976-07-21,RUS,1,"Ullevi Stadium, Göteborg (SWE)",2006-08-09,1236,triple-jump,jumps,female,senior,triple-jump,field,15.15,SWE,30.0,2006
53,15.14,,Olga RYPAKOVA,1984-11-30,KAZ,1,"Aspire Dome, Doha (QAT) (i)",2010-03-13,1235,triple-jump,jumps,female,senior,triple-jump,field,15.14,QAT,25.0,2010
53,15.14,0.7,Tatyana LEBEDEVA,1976-07-21,RUS,3,"Olympic Stadium, Athina (GRE)",2004-08-23,1235,triple-jump,jumps,female,senior,triple-jump,field,15.14,GRE,28.0,2004
53,15.14,2.0,Yulimar ROJAS,1995-10-21,VEN,1,Ibiza (ESP),2021-05-08,1235,triple-jump,jumps,female,senior,triple-jump,field,15.14,ESP,25.0,2021
