rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,8:44.32,,Beatrice CHEPKOECH,1991-07-06,KEN,1,"Stade Louis II, Monaco (MON)",2018-07-20,1285,3000-metres-steeplechase,middlelong,female,senior,3000-metres-steeplechase,track,524.32,MON,27.0,2018
2,8:44.39,,Winfred YAVI,1999-12-31,BRN,1,"Stadio Olimpico, Roma (ITA)",2024-08-30,1285,3000-metres-steeplechase,middlelong,female,senior,3000-metres-steeplechase,track,524.39,ITA,24.0,2024
3,8:45.25,,Winfred YAVI,1999-12-31,BRN,1,"Hayward Field, Eugene, OR (USA)",2025-07-05,1282,3000-metres-steeplechase,middlelong,female,senior,3000-metres-steeplechase,track,525.25,USA,25.0,2025
4,8:48.03,,Peruth CHEMUTAI,1999-07-10,UGA,2,"Stadio Olimpico, Roma (ITA)",2024-08-30,1275,3000-metres-steeplechase,middlelong,female,senior,3000-metres-steeplechase,track,528.03,ITA,25.0,2024
5,8:48.71,,Faith CHEROTICH,2004-07-13,KEN,2,"Hayward Field, Eugene, OR (USA)",2025-07-05,1273,3000-metres-steeplechase,middlelong,female,senior,3000-metres-steeplechase,track,528.71,USA,20.0,2025
6,8:49.59,,Winfred YAVI,1999-12-31,BRN,1,"Stadion De Veen, Heusden-Zolder (BEL)",2025-07-19,1271,3000-metres-steeplechase,middlelong,female,senior,3000-metres-steeplechase,track,529.59,BEL,25.0,2025
7,8:50.66,,Winfred YAVI,1999-12-31,BRN,1,"Hayward Field, Eugene, OR (USA)",2023-09-16,1268,3000-metres-steeplechase,middlelong,female,senior,3000-metres-steeplechase,track,530.66,USA,23.0,2023
8,8:51.59,,Faith CHEROTICH,2004-07-13,KEN,1,"National Stadium, Tokyo (JPN)",2025-09-17,1266,3000-metres-steeplechase,middlelong,female,senior,3000-metres-steeplechase,track,531.59,JPN,21.0,2025
9,8:51.67,,Beatrice CHEPKOECH,1991-07-06,KEN,2,"Hayward Field, Eugene, OR (USA)",2023-09-16,1266,3000-metres-steeplechase,middlelong,female,senior,3000-metres-steeplechase,track,531.67,USA,32.0,2023
10,8:51.77,,Peruth CHEMUTAI,1999-07-10,UGA,3,"Hayward Field, Eugene, OR (USA)",2025-07-05,1266,3000-metres-steeplechase,middlelong,female,senior,3000-metres-steeplechase,track,531.77,USA,26.0,2025
11,8:52.76,,Winfred YAVI,1999-12-31,BRN,1,"Stade de France, Paris (FRA)",2024-08-06,1263,3000-metres-steeplechase,middlelong,female,senior,3000-metres-steeplechase,track,532.76,FRA,24.0,2024
12,8:52.78,,Ruth JEBET,1996-11-17,BRN,1,"Stade de France, Paris-St-Denis (FRA)",2016-08-27,1263,3000-metres-steeplechase,middlelong,female,senior,3000-metres-steeplechase,track,532.78,FRA,19.0,2016
13,8:53.02,,Norah JERUTO,1995-10-02,KAZ,1,"Hayward Field, Eugene, OR (USA)",2022-07-20,1262,3000-metres-steeplechase,middlelong,female,senior,3000-metres-steeplechase,track,533.02,USA,26.0,2022
14,8:53.34,,Peruth CHEMUTAI,1999-07-10,UGA,2,"Stade de France, Paris (FRA)",2024-08-06,1261,3000-metres-steeplechase,middlelong,female,senior,3000-metres-steeplechase,track,533.34,FRA,25.0,2024
15,8:53.37,,Faith CHEROTICH,2004-07-13,KEN,1,"Stade Charléty, Paris (FRA)",2025-06-20,1261,3000-metres-steeplechase,middlelong,female,senior,3000-metres-steeplechase,track,533.37,FRA,20.0,2025
