rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,1:53.28,,Jarmila KRATOCHVÍLOVÁ,1951-01-26,TCH,1,München (GER),1983-07-26,1286,800-metres,middlelong,female,senior,800-metres,track,113.28,GER,32.0,1983
2,1:53.43,,Nadezhda OLIZARENKO,1953-11-28,URS,1,"Lenin Stadium, Moskva (URS)",1980-07-27,1283,800-metres,middlelong,female,senior,800-metres,track,113.43,URS,26.0,1980
3,1:54.01,,Pamela JELIMO,1989-12-05,KEN,1,"Letzigrund, Zürich (SUI)",2008-08-29,1272,800-metres,middlelong,female,senior,800-metres,track,114.00999999999999,SUI,18.0,2008
1,1:54.01,,Pamela JELIMO,1989-12-05,KEN,1,"Letzigrund, Zürich (SUI)",2008-08-29,1272,800-metres,middlelong,female,u20,800-metres,track,114.00999999999999,SUI,18.0,2008
4,1:54.25,,Caster SEMENYA,1991-01-07,RSA,1,"Stade Charléty, Paris (FRA)",2018-06-30,1267,800-metres,middlelong,female,senior,800-metres,track,114.25,FRA,27.0,2018
5,1:54.44,,Ana Fidelia QUIROT,1963-03-23,CUB,1,"Estadio Olímpico, Barcelona (ESP)",1989-09-09,1264,800-metres,middlelong,female,senior,800-metres,track,114.44,ESP,26.0,1989
6,1:54.60,,Caster SEMENYA,1991-01-07,RSA,1,"Stade Louis II, Monaco (MON)",2018-07-20,1261,800-metres,middlelong,female,senior,800-metres,track,114.6,MON,27.0,2018
7,1:54.61,,Keely HODGKINSON,2002-03-03,GBR,1,"Olympic Stadium, London (GBR)",2024-07-20,1261,800-metres,middlelong,female,senior,800-metres,track,114.61,GBR,22.0,2024
8,1:54.62,,Lilian ODIRA,1999-04-18,KEN,1,"National Stadium, Tokyo (JPN)",2025-09-21,1260,800-metres,middlelong,female,senior,800-metres,track,114.62,JPN,26.0,2025
9,1:54.68,,Jarmila KRATOCHVÍLOVÁ,1951-01-26,TCH,1,"Olympiastadion, Helsinki (FIN)",1983-08-09,1259,800-metres,middlelong,female,senior,800-metres,track,114.68,FIN,32.0,1983
10,1:54.74,,Keely HODGKINSON,2002-03-03,GBR,1,"Stadion Śląski, Chorzów (POL)",2025-08-16,1258,800-metres,middlelong,female,senior,800-metres,track,114.74000000000001,POL,23.0,2025
11,1:54.77,,Caster SEMENYA,1991-01-07,RSA,1,Ostrava (CZE),2018-09-09,1258,800-metres,middlelong,female,senior,800-metres,track,114.77000000000001,CZE,27.0,2018
12,1:54.81,,Olga MINEYEVA,1952-10-01,URS,2,"Lenin Stadium, Moskva (URS)",1980-07-27,1257,800-metres,middlelong,female,senior,800-metres,track,114.81,URS,27.0,1980
