rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,4:07.64,,Faith KIPYEGON,1994-01-10,KEN,1,"Stade Louis II, Monaco (MON)",2023-07-21,1286,one-mile,middlelong,female,senior,one-mile,track,247.64,MON,29.0,2023
2,4:11.88,,Gudaf TSEGAY,1997-01-23,ETH,1,"Olympic Stadium, London (GBR)",2025-07-19,1254,one-mile,middlelong,female,senior,one-mile,track,251.88,GBR,28.0,2025
3,4:12.33,,Sifan HASSAN,1993-01-01,NED,1,"Stade Louis II, Monaco (MON)",2019-07-12,1250,one-mile,middlelong,female,senior,one-mile,track,252.33,MON,26.0,2019
4,4:12.56,,Svetlana MASTERKOVA,1968-01-17,RUS,1,Zürich (SUI),1996-08-14,1249,one-mile,middlelong,female,senior,one-mile,track,252.56,SUI,28.0,1996
5,4:13.31,,Genzebe DIBABA,1991-02-08,ETH,1,"Globe Arena, Stockholm (SWE) (i)",2016-02-17,1273,one-mile,middlelong,female,senior,one-mile,track,253.31,SWE,25.0,2016
6,4:13.68,,Jessica HULL,1996-10-22,AUS,2,"Olympic Stadium, London (GBR)",2025-07-19,1240,one-mile,middlelong,female,senior,one-mile,track,253.68,GBR,28.0,2025
7,4:14.30,,Genzebe DIBABA,1991-02-08,ETH,1,Rovereto (ITA),2016-09-06,1235,one-mile,middlelong,female,senior,one-mile,track,254.3,ITA,25.0,2016
8,4:14.58,,Ciara MAGEEAN,1992-03-12,IRL,2,"Stade Louis II, Monaco (MON)",2023-07-21,1233,one-mile,middlelong,female,senior,one-mile,track,254.58,MON,31.0,2023
9,4:14.71,,Sifan HASSAN,1993-01-01,NED,1,"Olympic Stadium, London (GBR)",2018-07-22,1232,one-mile,middlelong,female,senior,one-mile,track,254.71,GBR,25.0,2018
10,4:14.74,,Sifan HASSAN,1993-01-01,NED,1,"Boudewijnstadion, Bruxelles (BEL)",2021-09-03,1232,one-mile,middlelong,female,senior,one-mile,track,254.74,BEL,28.0,2021
11,4:14.79,,Freweyni HAILU,2001-02-12,ETH,3,"Stade Louis II, Monaco (MON)",2023-07-21,1232,one-mile,middlelong,female,senior,one-mile,track,254.79,MON,22.0,2023
12,4:15.24,,Laura MUIR,1993-05-09,GBR,4,"Stade Louis II, Monaco (MON)",2023-07-21,1228,one-mile,middlelong,female,senior,one-mile,track,255.24,MON,30.0,2023
13,4:15.34,,Jessica HULL,1996-10-22,AUS,5,"Stade Louis II, Monaco (MON)",2023-07-21,1227,one-mile,middlelong,female,senior,one-mile,track,255.34,MON,26.0,2023
14,4:15.61,,Paula IVAN,1963-07-20,ROU,1,Nice (FRA),1989-07-10,1225,one-mile,middlelong,female,senior,one-mile,track,255.61,FRA,25.0,1989
15,4:15.8h,,Natalya ARTYOMOVA,1963-01-05,URS,1,Leningrad (URS),1984-08-05,1224,one-mile,middlelong,female,senior,one-mile,track,255.8,URS,21.0,1984
