rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,8:58.58,,Meseret DEFAR,1983-11-19,ETH,1,"Boudewijnstadion, Bruxelles (BEL)",2007-09-14,1238,two-miles,middlelong,female,senior,two-miles,track,538.58,BEL,23.0,2007
2,8:59.08,,Francine NIYONSABA,1993-05-05,BDI,1,"Hayward Field, Eugene, OR (USA)",2022-05-27,1236,two-miles,middlelong,female,senior,two-miles,track,539.08,USA,29.0,2022
3,9:00.48,,Genzebe DIBABA,1991-02-08,ETH,1,"National Indoor Arena, Birmingham (GBR) (i)",2014-02-15,1257,two-miles,middlelong,female,senior,two-miles,track,540.48,GBR,23.0,2014
4,9:00.75,,Francine NIYONSABA,1993-05-05,BDI,1,"Hayward Field, Eugene, OR (USA)",2021-08-20,1231,two-miles,middlelong,female,senior,two-miles,track,540.75,USA,28.0,2021
5,9:04.84,,Laura MUIR,1993-05-09,GBR,1,"Armory Track&Field Center, New York, NY (USA) (i)",2024-02-11,1243,two-miles,middlelong,female,senior,two-miles,track,544.84,USA,30.0,2024
6,9:06.26,,Meseret DEFAR,1983-11-19,ETH,1,Praha (CZE) (i),2009-02-26,1238,two-miles,middlelong,female,senior,two-miles,track,546.26,CZE,25.0,2009
7,9:06.74,,Letesenbet GIDEY,1998-03-20,ETH,2,"Hayward Field, Eugene, OR (USA)",2021-08-20,1211,two-miles,middlelong,female,senior,two-miles,track,546.74,USA,23.0,2021
8,9:07.12,,Melknat WUDU,2005-01-03,ETH,2,"Armory Track&Field Center, New York, NY (USA) (i)",2024-02-11,1235,two-miles,middlelong,female,senior,two-miles,track,547.12,USA,19.0,2024
9,9:09.70,,Alicia MONSON,1998-05-13,USA,3,"Armory Track&Field Center, New York, NY (USA) (i)",2024-02-11,1227,two-miles,middlelong,female,senior,two-miles,track,549.7,USA,25.0,2024
10,9:10.28,,Ellinor PURRIER,1995-02-20,USA,1,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",2021-02-13,1225,two-miles,middlelong,female,senior,two-miles,track,550.28,USA,26.0,2021
11,9:10.47,,Meseret DEFAR,1983-11-19,ETH,1,"Carson, CA (USA)",2007-05-20,1199,two-miles,middlelong,female,senior,two-miles,track,550.47,USA,23.0,2007
12,9:10.50,,Meseret DEFAR,1983-11-19,ETH,1,"Boston, MA (USA) (i)",2008-01-26,1224,two-miles,middlelong,female,senior,two-miles,track,550.5,USA,24.0,2008
13,9:11.49,,Mercy CHERONO,1991-05-07,KEN,1,"Alexander Stadium, Birmingham (GBR)",2014-08-24,1196,two-miles,middlelong,female,senior,two-miles,track,551.49,GBR,23.0,2014
14,9:12.23,,Tirunesh DIBABA,1985-06-01,ETH,1,"National Indoor Arena, Birmingham (GBR) (i)",2010-02-20,1219,two-miles,middlelong,female,senior,two-miles,track,552.23,GBR,24.0,2010
15,9:12.35,,Vivian Jepkemei CHERUIYOT,1983-09-11,KEN,2,"National Indoor Arena, Birmingham (GBR) (i)",2010-02-20,1218,two-miles,middlelong,female,senior,two-miles,track,552.35,GBR,26.0,2010
16,9:12.59,,Viola Jelagat KIBIWOT,1983-12-22,KEN,2,"Alexander Stadium, Birmingham (GBR)",2014-08-24,1193,two-miles,middlelong,female,senior,two-miles,track,552.59,GBR,30.0,2014
17,9:12.68,,Sentayehu EJIGU,1985-06-28,ETH,3,"National Indoor Arena, Birmingham (GBR) (i)",2010-02-20,1217,two-miles,middlelong,female,senior,two-miles,track,552.68,GBR,24.0,2010
18,9:12.90,,Irene JELAGAT,1988-12-10,KEN,3,"Alexander Stadium, Birmingham (GBR)",2014-08-24,1192,two-miles,middlelong,female,senior,two-miles,track,552.9,GBR,25.0,2014
19,9:13.17,,Tirunesh DIBABA,1985-06-01,ETH,1,"Reggie Lewis Center, Boston, MA (USA) (i)",2013-02-02,1216,two-miles,middlelong,female,senior,two-miles,track,553.17,USA,27.0,2013
20,9:13.27,,Mercy CHERONO,1991-05-07,KEN,1,"Hayward Field, Eugene, OR (USA)",2014-05-31,1190,two-miles,middlelong,female,senior,two-miles,track,553.27,USA,23.0,2014
21,9:13.48,,Viola Jelagat KIBIWOT,1983-12-22,KEN,2,"Hayward Field, Eugene, OR (USA)",2014-05-31,1190,two-miles,middlelong,female,senior,two-miles,track,553.48,USA,30.0,2014
22,9:13.85,,Mimi BELETE,1988-06-09,BRN,3,"Hayward Field, Eugene, OR (USA)",2014-05-31,1189,two-miles,middlelong,female,senior,two-miles,track,553.85,USA,25.0,2014
23,9:13.94,,Kimberley SMITH,1981-11-19,NZL,2,"Boston, MA (USA) (i)",2008-01-26,1213,two-miles,middlelong,female,senior,two-miles,track,553.94,USA,26.0,2008
24,9:14.09,,Priscah Jepleting CHERONO,1980-06-27,KEN,2,"Boudewijnstadion, Bruxelles (BEL)",2007-09-14,1188,two-miles,middlelong,female,senior,two-miles,track,554.09,BEL,27.0,2007
25,9:14.28,,Genzebe DIBABA,1991-02-08,ETH,4,"Alexander Stadium, Birmingham (GBR)",2014-08-24,1187,two-miles,middlelong,female,senior,two-miles,track,554.28,GBR,23.0,2014
26,9:14.55,,Hellen OBIRI,1989-12-13,KEN,3,"Hayward Field, Eugene, OR (USA)",2021-08-20,1186,two-miles,middlelong,female,senior,two-miles,track,554.55,USA,31.0,2021
27,9:14.71,,Beatrice CHEBET,2000-03-05,KEN,2,"Hayward Field, Eugene, OR (USA)",2022-05-27,1186,two-miles,middlelong,female,senior,two-miles,track,554.71,USA,22.0,2022
28,9:15.71,,Emma COBURN,1990-10-19,USA,2,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",2021-02-13,1207,two-miles,middlelong,female,senior,two-miles,track,555.71,USA,30.0,2021
29,9:15.74,,Laura GALVÁN,1991-10-05,MEX,3,"Hayward Field, Eugene, OR (USA)",2022-05-27,1182,two-miles,middlelong,female,senior,two-miles,track,555.74,USA,30.0,2022
30,9:15.80,,Nikki HILTZ,1994-10-23,USA,4,"Armory Track&Field Center, New York, NY (USA) (i)",2024-02-11,1207,two-miles,middlelong,female,senior,two-miles,track,555.8,USA,29.0,2024
31,9:16.62,,Sylvia Jebiwot KIBET,1984-03-28,KEN,3,"Boudewijnstadion, Bruxelles (BEL)",2007-09-14,1180,two-miles,middlelong,female,senior,two-miles,track,556.62,BEL,23.0,2007
32,9:16.73,,Konstanze KLOSTERHALFEN,1997-02-18,GER,4,"Hayward Field, Eugene, OR (USA)",2022-05-27,1179,two-miles,middlelong,female,senior,two-miles,track,556.73,USA,25.0,2022
33,9:16.76,,Nozomi TANAKA,1999-09-04,JPN,5,"Armory Track&Field Center, New York, NY (USA) (i)",2024-02-11,1204,two-miles,middlelong,female,senior,two-miles,track,556.76,USA,24.0,2024
34,9:16.78,,Jenny SIMPSON,1986-08-23,USA,1,"Des Moines, IA (USA)",2018-04-27,1179,two-miles,middlelong,female,senior,two-miles,track,556.78,USA,31.0,2018
35,9:16.95,,Betsy SAINA,1988-06-30,KEN,5,"Alexander Stadium, Birmingham (GBR)",2014-08-24,1179,two-miles,middlelong,female,senior,two-miles,track,556.95,GBR,26.0,2014
36,9:17.62,,Helen SCHLACHTENHAUFEN,1995-03-14,USA,5,"Hayward Field, Eugene, OR (USA)",2022-05-27,1176,two-miles,middlelong,female,senior,two-miles,track,557.62,USA,27.0,2022
37,9:17.75,,Jane HEDENGREN,2006-09-23,USA,1,"Renton Memorial Stadium, Renton, WA (USA)",2025-06-08,1176,two-miles,middlelong,female,senior,two-miles,track,557.75,USA,18.0,2025
38,9:18.16,,Konstanze KLOSTERHALFEN,1997-02-18,GER,4,"Hayward Field, Eugene, OR (USA)",2021-08-20,1175,two-miles,middlelong,female,senior,two-miles,track,558.16,USA,24.0,2021
