rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,11:35.34,,Gillian O'SULLIVAN,1976-08-21,IRL,1,Belfast (GBR) (i),2003-02-15,1213,3000-metres-race-walk,race-walks,female,senior,3000-metres-race-walk,track,695.34,GBR,26.0,2003
2,11:40.33,,Claudia IOVAN,1978-02-25,ROU,1,Bucureşti (ROU) (i),1999-01-30,1203,3000-metres-race-walk,race-walks,female,senior,3000-metres-race-walk,track,700.33,ROU,20.0,1999
3,11:41.85,,Norica CÎMPEAN,1972-03-22,ROU,1,Bucureşti (ROU),1999-02-06,1199,3000-metres-race-walk,race-walks,female,senior,3000-metres-race-walk,track,701.85,ROU,26.0,1999
4,11:44.00,,Alina IVANOVA,1969-03-16,RUS,1,Moskva (RUS) (i),1992-02-07,1195,3000-metres-race-walk,race-walks,female,senior,3000-metres-race-walk,track,704.0,RUS,22.0,1992
5,11:48.24,,Ileana SALVADOR,1962-01-16,ITA,1,Padova (ITA),1993-08-29,1186,3000-metres-race-walk,race-walks,female,senior,3000-metres-race-walk,track,708.24,ITA,31.0,1993
6,11:49.73,,Yelena NIKOLAYEVA,1966-02-01,RUS,1,"The Sky Dome, Toronto (CAN) (i)",1993-03-13,1183,3000-metres-race-walk,race-walks,female,senior,3000-metres-race-walk,track,709.73,CAN,27.0,1993
7,11:49.99,,Alina IVANOVA,1969-03-16,EUN,1,"Palazzo dello Sport, Genova (ITA) (i)",1992-02-29,1182,3000-metres-race-walk,race-walks,female,senior,3000-metres-race-walk,track,709.99,ITA,22.0,1992
8,11:50.08,,Eleonora Anna GIORGI,1989-09-14,ITA,1,Ancona (ITA) (i),2014-02-22,1182,3000-metres-race-walk,race-walks,female,senior,3000-metres-race-walk,track,710.08,ITA,24.0,2014
9,11:50.30,,Marina NOVIKOVA,1989-03-01,RUS,1,Moskva (RUS),2016-07-18,1182,3000-metres-race-walk,race-walks,female,senior,3000-metres-race-walk,track,710.3,RUS,27.0,2016
10,11:50.48,,Melanie SEEGER,1977-01-08,GER,1,Dortmund (GER) (i),2004-02-22,1181,3000-metres-race-walk,race-walks,female,senior,3000-metres-race-walk,track,710.48,GER,27.0,2004
11,11:50.90,,Beate ANDERS,1968-02-04,GER,1,"Palacio de los Deportes, Sevilla (ESP) (i)",1991-03-09,1180,3000-metres-race-walk,race-walks,female,senior,3000-metres-race-walk,track,710.9,ESP,23.0,1991
12,11:52.01,,Beate ANDERS,1968-02-04,GER,1,Lapinlahti (FIN),1993-06-27,1178,3000-metres-race-walk,race-walks,female,senior,3000-metres-race-walk,track,712.01,FIN,25.0,1993
13,11:52.38,,Anežka DRAHOTOVÁ,1995-07-22,CZE,1,"Mestský Stadion, Ostrava (CZE)",2015-05-26,1177,3000-metres-race-walk,race-walks,female,senior,3000-metres-race-walk,track,712.38,CZE,19.0,2015
14,11:53.23,,Ileana SALVADOR,1962-01-16,ITA,2,"Palazzo dello Sport, Genova (ITA) (i)",1992-02-29,1176,3000-metres-race-walk,race-walks,female,senior,3000-metres-race-walk,track,713.23,ITA,30.0,1992
15,11:53.82,,Kerry SAXBY-JUNNA,1961-06-02,AUS,2,"The Sky Dome, Toronto (CAN) (i)",1993-03-13,1174,3000-metres-race-walk,race-walks,female,senior,3000-metres-race-walk,track,713.82,CAN,31.0,1993
16,11:54.32,,Annarita SIDOTI,1969-07-25,ITA,1,"Palais Omnisports de Paris-Bercy, Paris (FRA) (i)",1994-03-11,1173,3000-metres-race-walk,race-walks,female,senior,3000-metres-race-walk,track,714.32,FRA,24.0,1994
17,11:55.30,,Antonella PALMISANO,1991-08-06,ITA,1,Ancona (ITA) (i),2018-02-17,1171,3000-metres-race-walk,race-walks,female,senior,3000-metres-race-walk,track,715.3,ITA,26.0,2018
18,11:55.35,,Ileana SALVADOR,1962-01-16,ITA,3,"The Sky Dome, Toronto (CAN) (i)",1993-03-13,1171,3000-metres-race-walk,race-walks,female,senior,3000-metres-race-walk,track,715.35,CAN,31.0,1993
19,11:55.41,,Beate ANDERS,1968-02-04,GER,3,"Palazzo dello Sport, Genova (ITA) (i)",1992-02-29,1171,3000-metres-race-walk,race-walks,female,senior,3000-metres-race-walk,track,715.41,ITA,24.0,1992
20,11:55.99,,Beate ANDERS,1968-02-04,GER,1,Dortmund (GER) (i),1991-02-16,1170,3000-metres-race-walk,race-walks,female,senior,3000-metres-race-walk,track,715.99,GER,23.0,1991
21,11:56.01,,Beate GUMMELT,1968-02-04,GER,2,"Palais Omnisports de Paris-Bercy, Paris (FRA) (i)",1994-03-11,1170,3000-metres-race-walk,race-walks,female,senior,3000-metres-race-walk,track,716.01,FRA,26.0,1994
22,11:56.59,,Irina YUMANOVA,1990-04-09,RUS,1,Novocheboksarsk (RUS) (i),2014-01-11,1169,3000-metres-race-walk,race-walks,female,senior,3000-metres-race-walk,track,716.59,RUS,23.0,2014
23,11:57.00,,Elisa RIGAUDO,1980-06-17,ITA,1,Genova (ITA),2004-02-21,1168,3000-metres-race-walk,race-walks,female,senior,3000-metres-race-walk,track,717.0,ITA,23.0,2004
