rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,3:50:42,,Yelena LASHMANOVA,1992-04-09,RUS,1.0,Voronovo (RUS),2020-09-05,1295,50-kilometres-race-walk,race-walks,female,senior,50-kilometres-race-walk,track,13842.0,RUS,28.0,2020
2,3:57:08,,Klavdiya AFANASYEVA,1996-01-15,RUS,1.0,Cheboksary (RUS),2019-06-15,1256,50-kilometres-race-walk,race-walks,female,senior,50-kilometres-race-walk,track,14228.0,RUS,23.0,2019
3,3:59:15,,Hong LIU,1987-05-12,CHN,1.0,Huangshan (CHN),2019-03-09,1244,50-kilometres-race-walk,race-walks,female,senior,50-kilometres-race-walk,track,14355.0,CHN,31.0,2019
4,3:59:56,,Margarita NIKIFOROVA,1998-08-19,RUS,2.0,Voronovo (RUS),2020-09-05,1240,50-kilometres-race-walk,race-walks,female,senior,50-kilometres-race-walk,track,14396.0,RUS,22.0,2020
5,4:03:07,,Margarita NIKIFOROVA,1998-08-19,RUS,1.0,Cheboksary (RUS),2021-05-29,1221,50-kilometres-race-walk,race-walks,female,senior,50-kilometres-race-walk,track,14587.0,RUS,22.0,2021
6,4:03:51,,Maocuo LI,1992-10-20,CHN,2.0,Huangshan (CHN),2019-03-09,1216,50-kilometres-race-walk,race-walks,female,senior,50-kilometres-race-walk,track,14631.0,CHN,26.0,2019
7,4:04:36,,Rui LIANG,1994-06-18,CHN,1.0,Taicang (CHN),2018-05-05,1212,50-kilometres-race-walk,race-walks,female,senior,50-kilometres-race-walk,track,14676.0,CHN,23.0,2018
8,4:04:50,,Eleonora Anna GIORGI,1989-09-14,ITA,1.0,Alytus (LTU),2019-05-19,1211,50-kilometres-race-walk,race-walks,female,senior,50-kilometres-race-walk,track,14690.0,LTU,29.0,2019
9,4:05:46,,Júlia TAKÁCS,1989-06-29,ESP,2.0,Alytus (LTU),2019-05-19,1205,50-kilometres-race-walk,race-walks,female,senior,50-kilometres-race-walk,track,14746.0,LTU,29.0,2019
10,4:05:56,,Inês HENRIQUES,1980-05-01,POR,1.0,"Olympic Stadium, London (GBR)",2017-08-13,1204,50-kilometres-race-walk,race-walks,female,senior,50-kilometres-race-walk,track,14756.0,GBR,37.0,2017
11,4:05:58,,Margarita NIKIFOROVA,1998-08-19,RUS,2.0,Cheboksary (RUS),2019-06-15,1204,50-kilometres-race-walk,race-walks,female,senior,50-kilometres-race-walk,track,14758.0,RUS,20.0,2019
12,4:07:30,,Faying MA,1993-08-30,CHN,3.0,Huangshan (CHN),2019-03-09,1195,50-kilometres-race-walk,race-walks,female,senior,50-kilometres-race-walk,track,14850.0,CHN,25.0,2019
13,4:08:26,,Inês HENRIQUES,1980-05-01,POR,1.0,"Circuito Urbano, Porto de Mos (POR)",2017-01-15,1190,50-kilometres-race-walk,race-walks,female,senior,50-kilometres-race-walk,track,14906.0,POR,36.0,2017
14,4:08:58,,Hang YIN,1997-02-07,CHN,2.0,"Olympic Stadium, London (GBR)",2017-08-13,1186,50-kilometres-race-walk,race-walks,female,senior,50-kilometres-race-walk,track,14938.0,GBR,20.0,2017
15,4:09:09,,Hang YIN,1997-02-07,CHN,2.0,Taicang (CHN),2018-05-05,1185,50-kilometres-race-walk,race-walks,female,senior,50-kilometres-race-walk,track,14949.0,CHN,21.0,2018
16,4:09:21,,Inês HENRIQUES,1980-05-01,POR,1.0,"Olympiastadion, Berlin (GER)",2018-08-07,1184,50-kilometres-race-walk,race-walks,female,senior,50-kilometres-race-walk,track,14961.0,GER,38.0,2018
17,4:09:33,,Claire TALLENT,1981-07-06,AUS,3.0,Taicang (CHN),2018-05-05,1183,50-kilometres-race-walk,race-walks,female,senior,50-kilometres-race-walk,track,14973.0,CHN,36.0,2018
18,4:10:59,,Monica SVENSSON,1978-12-26,SWE,1.0,Scanzorosciate (ITA),2007-10-21,1175,50-kilometres-race-walk,race-walks,female,senior,50-kilometres-race-walk,track,15059.0,ITA,28.0,2007
19,4:11:01,,Raquel GONZÁLEZ,1989-11-16,ESP,1.0,El Vendrell (ESP),2019-02-10,1174,50-kilometres-race-walk,race-walks,female,senior,50-kilometres-race-walk,track,15061.0,ESP,29.0,2019
20,4:11:12,,Johana ORDÓŇEZ,1987-12-12,ECU,1.0,"Estadio Atlético de la VIDENA, Lima (PER)",2019-08-11,1173,50-kilometres-race-walk,race-walks,female,senior,50-kilometres-race-walk,track,15072.0,PER,31.0,2019
21,4:12:16,,Yelena GINKO,1976-07-30,BLR,1.0,Scanzorosciate (ITA),2004-10-17,1167,50-kilometres-race-walk,race-walks,female,senior,50-kilometres-race-walk,track,15136.0,ITA,28.0,2004
22,4:12:26,,Rui LIANG,1994-06-18,CHN,1.0,Xi'an (CHN),2018-09-08,1166,50-kilometres-race-walk,race-walks,female,senior,50-kilometres-race-walk,track,15146.0,CHN,24.0,2018
23,4:12:44,,Claire TALLENT,1981-07-06,AUS,,"Santee, CA (USA)",2019-01-26,1165,50-kilometres-race-walk,race-walks,female,senior,50-kilometres-race-walk,track,15164.0,USA,37.0,2019
24,4:12:56,,Paola PÉREZ,1989-12-21,ECU,4.0,Taicang (CHN),2018-05-05,1163,50-kilometres-race-walk,race-walks,female,senior,50-kilometres-race-walk,track,15176.0,CHN,28.0,2018
25,4:13:04,,Júlia TAKÁCS,1989-06-29,ESP,1.0,Burjassot (ESP),2018-02-25,1163,50-kilometres-race-walk,race-walks,female,senior,50-kilometres-race-walk,track,15184.0,ESP,28.0,2018
25,4:13:04,,Maocuo LI,1992-10-20,CHN,1.0,Chifeng (CHN),2018-07-03,1163,50-kilometres-race-walk,race-walks,female,senior,50-kilometres-race-walk,track,15184.0,CHN,25.0,2018
27,4:13:28,,Faying MA,1993-08-30,CHN,5.0,Taicang (CHN),2018-05-05,1160,50-kilometres-race-walk,race-walks,female,senior,50-kilometres-race-walk,track,15208.0,CHN,24.0,2018
