rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,40.82,,United States,,USA,1,"Olympic Stadium, London (GBR)",2012-08-10,1273,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,40.82,GBR,,2012
2,41.01,,United States,,USA,1,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-19,1265,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.01,BRA,,2016
3,41.02,,Jamaica,,JAM,1,"National Stadium, Tokyo (JPN)",2021-08-06,1264,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.02,JPN,,2021
4,41.03,,United States,,USA,1,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-26,1264,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.03,HUN,,2023
5,41.07,,Jamaica,,JAM,1,"National Stadium, Beijing (CHN)",2015-08-29,1262,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.07,CHN,,2015
6,41.14,,United States,,USA,1,"Hayward Field, Eugene, OR (USA)",2022-07-23,1259,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.14,USA,,2022
7,41.18,,Jamaica,,JAM,2,"Hayward Field, Eugene, OR (USA)",2022-07-23,1257,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.18,USA,,2022
8,41.21,,Jamaica,,JAM,2,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-26,1256,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.21,HUN,,2023
9,41.29,,Jamaica,,JAM,1,"Luzhniki Stadion, Moskva (RUS)",2013-08-18,1252,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.29,RUS,,2013
10,41.36,,Jamaica,,JAM,2,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-19,1249,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.36,BRA,,2016
11,41.37,,German Democratic Republic,,GDR,1,"Bruce Stadium, Canberra (AUS)",1985-10-06,1249,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.37,AUS,,1985
12,41.41,,Jamaica,,JAM,2,"Olympic Stadium, London (GBR)",2012-08-10,1247,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.41,GBR,,2012
13,41.44,,Jamaica,,JAM,1,"Khalifa International Stadium, Doha (QAT)",2019-10-05,1246,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.44,QAT,,2019
14,41.45,,United States,,USA,2,"National Stadium, Tokyo (JPN)",2021-08-06,1245,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.45,JPN,,2021
15,41.47,,United States,,USA,1,"Olympic Stadium, Athina (GRE)",1997-08-09,1244,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.47,GRE,,1997
16,41.49,,Russia,,RUS,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",1993-08-22,1243,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.49,GER,,1993
16,41.49,,United States,,USA,2,"Gottlieb-Daimler Stadion, Stuttgart (GER)",1993-08-22,1243,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.49,GER,,1993
18,41.52,,United States,,USA,1sf1,"Olympic Stadium, Athina (GRE)",1997-08-08,1242,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.52,GRE,,1997
19,41.53,,German Democratic Republic,,GDR,1,Berlin (GER),1983-07-31,1242,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.53,GER,,1983
20,41.55,,United States,,USA,1,"Olympiastadion, Berlin (GER)",1987-08-21,1241,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.55,GER,,1987
20,41.55,,Great Britain & NI,,GBR,1,"Olympic Stadium, London (GBR)",2024-07-20,1241,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.55,GBR,,2024
20,41.55,,Great Britain & NI,,GBR,1h1,"National Stadium, Tokyo (JPN)",2021-08-05,1241,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.55,JPN,,2021
20,41.55,,Texas,,INT,1sf3,"Mike A. Myers Stadium, Austin, TX (USA)",2023-06-08,1241,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.55,USA,,2023
24,41.56,,United States,,USA,1,"DS, Daegu (KOR)",2011-09-04,1240,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.56,KOR,,2011
24,41.56,,United States,,USA,1h2,"Hayward Field, Eugene, OR (USA)",2022-07-22,1240,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.56,USA,,2022
26,41.58,,United States,,USA,1,"Stadio Olimpico, Roma (ITA)",1987-09-06,1239,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.58,ITA,,1987
26,41.58,,United States Red,,USA,1,Cottbus (GER),2009-08-08,1239,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.58,GER,,2009
28,41.59,,United States,,USA,1h2,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-25,1239,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.59,HUN,,2023
29,41.6,,German Democratic Republic,,GDR,1,"Lenin Stadium, Moskva (URS)",1980-08-01,1238,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.6,URS,,1980
29,41.6,,United States,,USA,1h2,"National Stadium, Tokyo (JPN)",2025-09-20,1238,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.6,JPN,,2025
29,41.6,,Texas,,INT,1,"Mike A. Myers Stadium, Austin, TX (USA)",2023-06-10,1238,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.6,USA,,2023
29,41.6,,Jamaica,,JAM,1,"Letzigrund, Zürich (SUI)",2015-09-03,1238,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.6,SUI,,2015
33,41.61,,United States,,USA,1,"Colorado Springs, CO (USA)",1983-07-03,1238,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.61,USA,,1983
34,41.62,,Germany,,GER,1,Mannheim (GER),2016-07-29,1238,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.62,GER,,2016
