rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,49:53,,Taylor ROE,2000-10-13,USA,1.0,"Washington, DC (USA)",2025-04-06,1209,10-miles-road,road-running,female,senior,10-miles-road,track,2993.0,USA,24.0,2025
2,50:32,,Evaline CHIRCHIR,1998-02-02,KEN,1.0,Amsterdam (NED),2019-09-22,1190,10-miles-road,road-running,female,senior,10-miles-road,track,3032.0,NED,21.0,2019
3,50:35,,Irine Chepet CHEPTAI,1992-02-04,KEN,2.0,Amsterdam (NED),2019-09-22,1189,10-miles-road,road-running,female,senior,10-miles-road,track,3035.0,NED,27.0,2019
4,50:39,,Linet Chepkwemoi MASAI,1989-12-05,KEN,1.0,Amsterdam (NED),2009-09-20,1187,10-miles-road,road-running,female,senior,10-miles-road,track,3039.0,NED,19.0,2009
5,50:42,,Margaret Chelimo KIPKEMBOI,1993-02-09,KEN,1.0,Amsterdam (NED),2022-09-17,1185,10-miles-road,road-running,female,senior,10-miles-road,track,3042.0,NED,29.0,2022
6,50:43,,Eilish MCCOLGAN,1990-11-25,GBR,1.0,Portsmouth (GBR),2021-10-17,1185,10-miles-road,road-running,female,senior,10-miles-road,track,3043.0,GBR,30.0,2021
7,50:45,,Lonah Chemtai SALPETER,1988-12-12,ISR,1.0,Amsterdam (NED),2018-09-23,1184,10-miles-road,road-running,female,senior,10-miles-road,track,3045.0,NED,29.0,2018
7,50:45,,Sharon KEMBOI,1994-12-12,KEN,2.0,Amsterdam (NED),2022-09-17,1184,10-miles-road,road-running,female,senior,10-miles-road,track,3045.0,NED,27.0,2022
9,50:46,,Dibabe KUMA,1996-09-14,ETH,2.0,Amsterdam (NED),2018-09-23,1183,10-miles-road,road-running,female,senior,10-miles-road,track,3046.0,NED,22.0,2018
10,50:48,,Selamawit TEFERI,1994-03-24,ISR,3.0,Amsterdam (NED),2019-09-22,1182,10-miles-road,road-running,female,senior,10-miles-road,track,3048.0,NED,25.0,2019
11,50:49,,Caroline NYAGA,1993-10-07,KEN,3.0,Amsterdam (NED),2022-09-17,1182,10-miles-road,road-running,female,senior,10-miles-road,track,3049.0,NED,28.0,2022
12,50:51,,Hellen OBIRI,1989-12-13,KEN,1.0,Amsterdam (NED),2025-09-21,1181,10-miles-road,road-running,female,senior,10-miles-road,track,3051.0,NED,35.0,2025
13,50:56,,Asayech AYICHEW,2005-04-03,ETH,2.0,Amsterdam (NED),2025-09-21,1178,10-miles-road,road-running,female,senior,10-miles-road,track,3056.0,NED,20.0,2025
14,51:00,,Sonia O'SULLIVAN,1969-11-28,IRL,1.0,Portsmouth (GBR),2002-09-08,1176,10-miles-road,road-running,female,senior,10-miles-road,track,3060.0,GBR,32.0,2002
14,51:00,,Adane ANMAW,2003-10-21,ETH,,"Washington, DC (USA)",2025-04-06,1176,10-miles-road,road-running,female,senior,10-miles-road,track,3060.0,USA,21.0,2025
16,51:04,,Emma Grace HURLEY,1997-12-19,USA,2.0,"Washington, DC (USA)",2025-04-06,1175,10-miles-road,road-running,female,senior,10-miles-road,track,3064.0,USA,27.0,2025
17,51:11,,Paula RADCLIFFE,1973-12-17,GBR,1.0,Portsmouth (GBR),2008-10-26,1171,10-miles-road,road-running,female,senior,10-miles-road,track,3071.0,GBR,34.0,2008
18,51:14,,Sarah CHELANGAT,2001-06-05,UGA,1.0,"Washington, DC (USA)",2024-04-07,1170,10-miles-road,road-running,female,senior,10-miles-road,track,3074.0,USA,22.0,2024
19,51:16,,Colleen DE REUCK,1964-04-13,RSA,1.0,"Washington, DC (USA)",1998-04-05,1169,10-miles-road,road-running,female,senior,10-miles-road,track,3076.0,USA,34.0,1998
