rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,13:54,,Beatrice CHEBET,2000-03-05,KEN,1,Barcelona (ESP),2024-12-31,1295,5-kilometres,road-running,female,senior,5-kilometres,track,834.0,ESP,24.0,2024
2,14:13,,Beatrice CHEBET,2000-03-05,KEN,1,Barcelona (ESP),2023-12-31,1256,5-kilometres,road-running,female,senior,5-kilometres,track,853.0,ESP,23.0,2023
2,14:13,,Agnes Jebet NGETICH,2001-01-23,KEN,,Valencia (ESP),2024-01-14,1256,5-kilometres,road-running,female,senior,5-kilometres,track,853.0,ESP,22.0,2024
4,14:19,,Ejgayehu TAYE,2000-02-10,ETH,1,Barcelona (ESP),2021-12-31,1244,5-kilometres,road-running,female,senior,5-kilometres,track,859.0,ESP,21.0,2021
4,14:19,,Caroline NYAGA,1993-10-07,KEN,1,"Meijijingu Gaien area, Tokyo (JPN)",2025-05-03,1244,5-kilometres,road-running,female,senior,5-kilometres,track,859.0,JPN,31.0,2025
6,14:21,,Ejgayehu TAYE,2000-02-10,ETH,1,Barcelona (ESP),2022-12-31,1240,5-kilometres,road-running,female,senior,5-kilometres,track,861.0,ESP,22.0,2022
6,14:21,,Ejgayehu TAYE,2000-02-10,ETH,2,Barcelona (ESP),2023-12-31,1240,5-kilometres,road-running,female,senior,5-kilometres,track,861.0,ESP,23.0,2023
8,14:23,,Medina EISA,2005-01-03,ETH,2,Barcelona (ESP),2024-12-31,1236,5-kilometres,road-running,female,senior,5-kilometres,track,863.0,ESP,20.0,2024
9,14:26,,Lilian Kasait RENGERUK,1997-05-03,KEN,3,Barcelona (ESP),2023-12-31,1230,5-kilometres,road-running,female,senior,5-kilometres,track,866.0,ESP,26.0,2023
10,14:28,,Joy CHEPTOYEK,2002-05-15,UGA,4,Barcelona (ESP),2023-12-31,1226,5-kilometres,road-running,female,senior,5-kilometres,track,868.0,ESP,21.0,2023
11,14:29,,Francine NIYONSABA,1993-05-05,BDI,1,"Sechseläutenplatz, Zürich (SUI)",2021-09-08,1224,5-kilometres,road-running,female,senior,5-kilometres,track,869.0,SUI,28.0,2021
12,14:29,,Senbere TEFERI,1995-05-03,ETH,1,Herzogenaurach (GER),2021-09-12,1224,5-kilometres,road-running,female,senior,5-kilometres,track,869.0,GER,26.0,2021
13,14:30,,Hellen OBIRI,1989-12-13,KEN,2,"Sechseläutenplatz, Zürich (SUI)",2021-09-08,1223,5-kilometres,road-running,female,senior,5-kilometres,track,870.0,SUI,31.0,2021
14,14:30,,Hirut MESHESHA,2001-01-20,ETH,1,Lille (FRA),2025-03-16,1222,5-kilometres,road-running,female,senior,5-kilometres,track,870.0,FRA,24.0,2025
15,14:31,,Ejgayehu TAYE,2000-02-10,ETH,3,"Sechseläutenplatz, Zürich (SUI)",2021-09-08,1221,5-kilometres,road-running,female,senior,5-kilometres,track,871.0,SUI,21.0,2021
16,14:32,,Margaret Chelimo KIPKEMBOI,1993-02-09,KEN,4,"Sechseläutenplatz, Zürich (SUI)",2021-09-08,1220,5-kilometres,road-running,female,senior,5-kilometres,track,872.0,SUI,28.0,2021
17,14:32,,Joyciline JEPKOSGEI,1993-12-28,KEN,,Praha (CZE),2017-09-09,1218,5-kilometres,road-running,female,senior,5-kilometres,track,872.0,CZE,23.0,2017
17,14:32,,Beatrice CHEBET,2000-03-05,KEN,1,"Sechseläutenplatz, Zürich (SUI)",2022-09-07,1218,5-kilometres,road-running,female,senior,5-kilometres,track,872.0,SUI,22.0,2022
17,14:32,,Margaret Chelimo KIPKEMBOI,1993-02-09,KEN,2,"Sechseläutenplatz, Zürich (SUI)",2022-09-07,1218,5-kilometres,road-running,female,senior,5-kilometres,track,872.0,SUI,29.0,2022
17,14:32,,Hawi ABERA,2006-12-17,ETH,2,Lille (FRA),2025-03-16,1218,5-kilometres,road-running,female,senior,5-kilometres,track,872.0,FRA,18.0,2025
17,14:32,,Nadia BATTOCLETTI,2000-04-12,ITA,2,"Meijijingu Gaien area, Tokyo (JPN)",2025-05-03,1218,5-kilometres,road-running,female,senior,5-kilometres,track,872.0,JPN,25.0,2025
22,14:33,,Lilian Kasait RENGERUK,1997-05-03,KEN,1,Al Khobar (KSA),2023-12-09,1216,5-kilometres,road-running,female,senior,5-kilometres,track,873.0,KSA,26.0,2023
22,14:33,,Ejgayehu TAYE,2000-02-10,ETH,4,"Sechseläutenplatz, Zürich (SUI)",2022-09-07,1216,5-kilometres,road-running,female,senior,5-kilometres,track,873.0,SUI,22.0,2022
22,14:33,,Gudaf TSEGAY,1997-01-23,ETH,3,"Sechseläutenplatz, Zürich (SUI)",2022-09-07,1216,5-kilometres,road-running,female,senior,5-kilometres,track,873.0,SUI,25.0,2022
22,14:33,,Likina AMEBAW,1997-11-30,ETH,1,Monaco (MON),2025-02-09,1216,5-kilometres,road-running,female,senior,5-kilometres,track,873.0,MON,27.0,2025
26,14:35,,Mekides ABEBE,2001-01-29,ETH,2,Lille (FRA),2023-03-19,1212,5-kilometres,road-running,female,senior,5-kilometres,track,875.0,FRA,22.0,2023
26,14:35,,Likina AMEBAW,1997-11-30,ETH,1,Monaco (MON),2024-02-11,1212,5-kilometres,road-running,female,senior,5-kilometres,track,875.0,MON,26.0,2024
26,14:35,,Beatrice CHEBET,2000-03-05,KEN,1f1,Riga (LAT),2023-10-01,1212,5-kilometres,road-running,female,senior,5-kilometres,track,875.0,LAT,23.0,2023
26,14:35,,Caroline NYAGA,1993-10-07,KEN,1,Lille (FRA),2023-03-19,1212,5-kilometres,road-running,female,senior,5-kilometres,track,875.0,FRA,29.0,2023
30,14:37,,Eva CHERONO,1996-08-15,KEN,5,"Sechseläutenplatz, Zürich (SUI)",2021-09-08,1208,5-kilometres,road-running,female,senior,5-kilometres,track,877.0,SUI,25.0,2021
31,14:37,,Senbere TEFERI,1995-05-03,ETH,1,Herzogenaurach (GER),2022-04-30,1208,5-kilometres,road-running,female,senior,5-kilometres,track,877.0,GER,27.0,2022
32,14:38,,Likina AMEBAW,1997-11-30,ETH,3,Lille (FRA),2025-03-16,1206,5-kilometres,road-running,female,senior,5-kilometres,track,878.0,FRA,27.0,2025
32,14:38,,Sifan HASSAN,1993-01-01,NED,5,"Sechseläutenplatz, Zürich (SUI)",2022-09-07,1206,5-kilometres,road-running,female,senior,5-kilometres,track,878.0,SUI,29.0,2022
32,14:38,,Medina EISA,2005-01-03,ETH,1,"Adi-Dassler-Straße 1, Herzogenaurach (GER)",2024-04-27,1206,5-kilometres,road-running,female,senior,5-kilometres,track,878.0,GER,19.0,2024
32,14:38,,Alicia MONSON,1998-05-13,USA,6,"Sechseläutenplatz, Zürich (SUI)",2022-09-07,1206,5-kilometres,road-running,female,senior,5-kilometres,track,878.0,SUI,24.0,2022
32,14:38,,Edinah JEBITOK,2001-11-10,KEN,1,Lille (FRA),2024-03-17,1206,5-kilometres,road-running,female,senior,5-kilometres,track,878.0,FRA,22.0,2024
37,14:39,,Lilian Kasait RENGERUK,1997-05-03,KEN,2f1,Riga (LAT),2023-10-01,1204,5-kilometres,road-running,female,senior,5-kilometres,track,879.0,LAT,26.0,2023
37,14:39,,Dawit SEYAUM,1996-07-27,ETH,1,Lille (FRA),2021-11-06,1204,5-kilometres,road-running,female,senior,5-kilometres,track,879.0,FRA,25.0,2021
37,14:39,,Diane VAN ES,1999-03-22,NED,2,Monaco (MON),2025-02-09,1204,5-kilometres,road-running,female,senior,5-kilometres,track,879.0,MON,25.0,2025
40,14:40,,Likina AMEBAW,1997-11-30,ETH,2,Lille (FRA),2024-03-17,1202,5-kilometres,road-running,female,senior,5-kilometres,track,880.0,FRA,26.0,2024
40,14:40,,Caroline NYAGA,1993-10-07,KEN,1,Paris (FRA),2024-04-05,1202,5-kilometres,road-running,female,senior,5-kilometres,track,880.0,FRA,30.0,2024
40,14:40,,Maurine Jepkoech CHEBOR,2004-05-28,KEN,3,"Meijijingu Gaien area, Tokyo (JPN)",2025-05-03,1202,5-kilometres,road-running,female,senior,5-kilometres,track,880.0,JPN,20.0,2025
40,14:40,,Melknat WUDU,2005-01-03,ETH,2,"Adi-Dassler-Straße 1, Herzogenaurach (GER)",2024-04-27,1202,5-kilometres,road-running,female,senior,5-kilometres,track,880.0,GER,19.0,2024
40,14:40,,Doris LEMNGOLE,2002-02-05,KEN,3,Lille (FRA),2023-03-19,1202,5-kilometres,road-running,female,senior,5-kilometres,track,880.0,FRA,21.0,2023
40,14:40,,Medina EISA,2005-01-03,ETH,5,Barcelona (ESP),2023-12-31,1202,5-kilometres,road-running,female,senior,5-kilometres,track,880.0,ESP,19.0,2023
40,14:40,,Ejgayehu TAYE,2000-02-10,ETH,3f1,Riga (LAT),2023-10-01,1202,5-kilometres,road-running,female,senior,5-kilometres,track,880.0,LAT,23.0,2023
47,14:41,,Elizabeth POTTER,1991-12-27,GBR,1f6,Barrowford (GBR),2021-04-03,1200,5-kilometres,road-running,female,senior,5-kilometres,track,881.0,GBR,29.0,2021
47,14:41,,Medina EISA,2005-01-03,ETH,4f1,Riga (LAT),2023-10-01,1200,5-kilometres,road-running,female,senior,5-kilometres,track,881.0,LAT,18.0,2023
47,14:41,,Fotyen TESFAY,1998-02-17,ETH,3,"Adi-Dassler-Straße 1, Herzogenaurach (GER)",2024-04-27,1200,5-kilometres,road-running,female,senior,5-kilometres,track,881.0,GER,26.0,2024
47,14:41,,Asmarech ANLEY,,ETH,2,Lille (FRA),2023-11-18,1200,5-kilometres,road-running,female,senior,5-kilometres,track,881.0,FRA,,2023
47,14:41,,Wubrist ASCHAL,2005-03-10,ETH,1,Lille (FRA),2023-11-18,1200,5-kilometres,road-running,female,senior,5-kilometres,track,881.0,FRA,18.0,2023
52,14:42,,Norah JERUTO,1995-10-02,KEN,2,Lille (FRA),2021-11-06,1198,5-kilometres,road-running,female,senior,5-kilometres,track,882.0,FRA,26.0,2021
53,14:43,,Aleshign BAWEKE,2006-01-23,ETH,4,Lille (FRA),2025-03-16,1196,5-kilometres,road-running,female,senior,5-kilometres,track,883.0,FRA,19.0,2025
