rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,6.56,,Gwen TORRENCE,1965-06-12,USA,1,"Oklahoma City, OK (USA) (i)",1987-03-14,1202,55-metres,sprints,female,senior,55-metres,track,6.56,USA,21.0,1987
2,6.58,,Dawn SOWELL,1966-03-27,USA,1,"Baton Rouge, LA (USA) (i)",1989-02-26,1194,55-metres,sprints,female,senior,55-metres,track,6.58,USA,22.0,1989
2,6.58,,Beatrice UTONDU-OKOYE,1969-11-23,NGR,1,"Monroe, NC (USA) (i)",1990-02-11,1194,55-metres,sprints,female,senior,55-metres,track,6.58,USA,20.0,1990
4,6.6,,Gwen TORRENCE,1965-06-12,USA,1,"Gainesville, FL (USA) (i)",1987-03-01,1187,55-metres,sprints,female,senior,55-metres,track,6.6,USA,21.0,1987
4,6.6,,Gwen TORRENCE,1965-06-12,USA,1,"East Rutherford, NJ (USA) (i)",1988-02-13,1187,55-metres,sprints,female,senior,55-metres,track,6.6,USA,22.0,1988
4,6.6,,Gwen TORRENCE,1965-06-12,USA,1,"Walker Track, Johnson City, TN (USA) (i)",1995-01-28,1187,55-metres,sprints,female,senior,55-metres,track,6.6,USA,29.0,1995
7,6.61,,Gwen TORRENCE,1965-06-12,USA,1,"New York, NY (USA) (i)",1989-02-24,1183,55-metres,sprints,female,senior,55-metres,track,6.61,USA,23.0,1989
7,6.61,,Gwen TORRENCE,1965-06-12,USA,1,"East Rutherford, NJ (USA) (i)",1987-02-14,1183,55-metres,sprints,female,senior,55-metres,track,6.61,USA,21.0,1987
7,6.61,,Michelle BURRELL-FINN,1965-05-08,USA,1,"New York, NY (USA) (i)",1990-02-23,1183,55-metres,sprints,female,senior,55-metres,track,6.61,USA,24.0,1990
10,6.62,,Marlies GÖHR,1958-03-21,GDR,1h1,"New York, NY (USA) (i)",1986-02-28,1180,55-metres,sprints,female,senior,55-metres,track,6.62,USA,27.0,1986
10,6.62,,Gwen TORRENCE,1965-06-12,USA,1,"Oklahoma City, OK (USA) (i)",1986-03-14,1180,55-metres,sprints,female,senior,55-metres,track,6.62,USA,20.0,1986
10,6.62,,Dawn SOWELL,1966-03-27,USA,1,"Indianapolis, IN (USA) (i)",1989-03-11,1180,55-metres,sprints,female,senior,55-metres,track,6.62,USA,22.0,1989
13,6.63,,Gwen TORRENCE,1965-06-12,USA,1h1,"Oklahoma City, OK (USA) (i)",1986-03-14,1176,55-metres,sprints,female,senior,55-metres,track,6.63,USA,20.0,1986
14,6.64,,Chandra CHEESEBOROUGH,1959-01-10,USA,1sf2,"New York, NY (USA) (i)",1983-02-25,1173,55-metres,sprints,female,senior,55-metres,track,6.64,USA,24.0,1983
14,6.64,,Gwen TORRENCE,1965-06-12,USA,1,"New York, NY (USA) (i)",1987-01-30,1173,55-metres,sprints,female,senior,55-metres,track,6.64,USA,21.0,1987
14,6.64,,Anelia NUNEVA,1962-06-30,BUL,1,"New York, NY (USA) (i)",1987-02-27,1173,55-metres,sprints,female,senior,55-metres,track,6.64,USA,24.0,1987
14,6.64,,Gwen TORRENCE,1965-06-12,USA,1,"New York, NY (USA) (i)",1988-02-05,1173,55-metres,sprints,female,senior,55-metres,track,6.64,USA,22.0,1988
14,6.64,,Alice BROWN,1960-09-20,USA,3,"New York, NY (USA) (i)",1986-02-28,1173,55-metres,sprints,female,senior,55-metres,track,6.64,USA,25.0,1986
14,6.64,,Alice BROWN,1960-09-20,USA,1,"Inglewood, CA (USA) (i)",1985-02-08,1173,55-metres,sprints,female,senior,55-metres,track,6.64,USA,24.0,1985
20,6.65,,Alice BROWN,1960-09-20,USA,1sf3,"New York, NY (USA) (i)",1984-02-24,1169,55-metres,sprints,female,senior,55-metres,track,6.65,USA,23.0,1984
20,6.65,,Evelyn ASHFORD,1957-04-15,USA,2sf2,"New York, NY (USA) (i)",1983-02-25,1169,55-metres,sprints,female,senior,55-metres,track,6.65,USA,25.0,1983
20,6.65,,Jeanette BOLDEN,1960-01-26,USA,2,"New York, NY (USA) (i)",1982-02-12,1169,55-metres,sprints,female,senior,55-metres,track,6.65,USA,22.0,1982
20,6.65,,Alice BROWN,1960-09-20,USA,2h1,"New York, NY (USA) (i)",1986-02-28,1169,55-metres,sprints,female,senior,55-metres,track,6.65,USA,25.0,1986
20,6.65,,Nelli COOMAN,1964-06-06,NED,2,"New York, NY (USA) (i)",1987-01-30,1169,55-metres,sprints,female,senior,55-metres,track,6.65,USA,22.0,1987
20,6.65,,Gwen TORRENCE,1965-06-12,USA,1,"Dallas, TX (USA) (i)",1987-02-07,1169,55-metres,sprints,female,senior,55-metres,track,6.65,USA,21.0,1987
20,6.65,,Gwen TORRENCE,1965-06-12,USA,1h2,"Oklahoma City, OK (USA) (i)",1987-03-13,1169,55-metres,sprints,female,senior,55-metres,track,6.65,USA,21.0,1987
20,6.65,,Gwen TORRENCE,1965-06-12,USA,1h1,"East Rutherford, NJ (USA) (i)",1988-02-13,1169,55-metres,sprints,female,senior,55-metres,track,6.65,USA,22.0,1988
20,6.65,,Gwen TORRENCE,1965-06-12,USA,1,"East Rutherford, NJ (USA) (i)",1989-02-10,1169,55-metres,sprints,female,senior,55-metres,track,6.65,USA,23.0,1989
20,6.65,,Dawn SOWELL,1966-03-27,USA,2,"New York, NY (USA) (i)",1990-02-23,1169,55-metres,sprints,female,senior,55-metres,track,6.65,USA,23.0,1990
20,6.65,,Savatheda FYNES,1974-10-17,BAH,1,"Indianapolis, IN (USA) (i)",1997-03-08,1169,55-metres,sprints,female,senior,55-metres,track,6.65,USA,22.0,1997
31,6.66,,Evelyn ASHFORD,1957-04-15,USA,1,"Albuquerque, NM (USA) (i)",1981-01-24,1165,55-metres,sprints,female,senior,55-metres,track,6.66,USA,23.0,1981
31,6.66,,Evelyn ASHFORD,1957-04-15,USA,2,"Dallas, TX (USA) (i)",1982-01-30,1165,55-metres,sprints,female,senior,55-metres,track,6.66,USA,24.0,1982
31,6.66,,Gwen TORRENCE,1965-06-12,USA,1,"Johnson City, TN (USA) (i)",1992-01-25,1165,55-metres,sprints,female,senior,55-metres,track,6.66,USA,26.0,1992
31,6.66,,Michelle FREEMAN,1969-05-05,JAM,1,"Johnson City, TN (USA) (i)",1993-01-30,1165,55-metres,sprints,female,senior,55-metres,track,6.66,USA,23.0,1993
31,6.66,,Alice BROWN,1960-09-20,USA,1,"Dallas, TX (USA) (i)",1985-02-02,1165,55-metres,sprints,female,senior,55-metres,track,6.66,USA,24.0,1985
31,6.66,,Alice BROWN,1960-09-20,USA,1,"East Rutherford, NJ (USA) (i)",1985-02-09,1165,55-metres,sprints,female,senior,55-metres,track,6.66,USA,24.0,1985
31,6.66,,Alice BROWN,1960-09-20,USA,1,"San Diego, CA (USA) (i)",1985-02-15,1165,55-metres,sprints,female,senior,55-metres,track,6.66,USA,24.0,1985
