rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,76.8,,Gabriele REINSCH,1963-09-23,GDR,1,Neubrandenburg (GDR),1988-07-09,1382,discus-throw,throws,female,senior,discus-throw,field,76.8,GDR,24.0,1988
2,74.56,,Zdeňka ŠILHAVÁ,1954-06-15,TCH,1,Nitra (TCH),1984-08-26,1341,discus-throw,throws,female,senior,discus-throw,field,74.56,TCH,30.0,1984
2,74.56,,Ilke WYLUDDA,1969-03-28,GDR,1,Neubrandenburg (GDR),1989-07-23,1341,discus-throw,throws,female,senior,discus-throw,field,74.56,GDR,20.0,1989
4,74.44,,Gabriele REINSCH,1963-09-23,GDR,1,Berlin (GER),1988-09-13,1338,discus-throw,throws,female,senior,discus-throw,field,74.44,GER,24.0,1988
1,74.4,,Ilke WYLUDDA,1969-03-28,GDR,2,Berlin (GER),1988-09-13,1338,discus-throw,throws,female,u20,discus-throw,field,74.4,GER,19.0,1988
5,74.4,,Ilke WYLUDDA,1969-03-28,GDR,2,Berlin (GER),1988-09-13,1338,discus-throw,throws,female,senior,discus-throw,field,74.4,GER,19.0,1988
6,74.08,,Diana GANSKY,1963-12-14,GDR,1,Karl Marx Stadt (GDR),1987-06-20,1332,discus-throw,throws,female,senior,discus-throw,field,74.08,GDR,23.0,1987
7,73.9,,Diana GANSKY,1963-12-14,GDR,1,Praha (TCH),1987-06-27,1328,discus-throw,throws,female,senior,discus-throw,field,73.9,TCH,23.0,1987
8,73.84,,Daniela COSTIAN,1965-04-30,ROU,1,Bucureşti (ROU),1988-04-30,1327,discus-throw,throws,female,senior,discus-throw,field,73.84,ROU,23.0,1988
9,73.78,,Daniela COSTIAN,1965-04-30,ROU,1,Bucureşti (ROU),1988-04-24,1326,discus-throw,throws,female,senior,discus-throw,field,73.78,ROU,23.0,1988
10,73.52,,Valarie ALLMAN,1995-02-23,USA,1f1,"Millican Field at Throw Town, Ramona, OK (USA)",2025-04-12,1321,discus-throw,throws,female,senior,discus-throw,field,73.52,USA,30.0,2025
11,73.42,,Gabriele REINSCH,1963-09-23,GDR,1,Karl Marx Stadt (GDR),1988-06-12,1319,discus-throw,throws,female,senior,discus-throw,field,73.42,GDR,24.0,1988
