rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,22.63,,Natalya LISOVSKAYA,1962-07-16,URS,1,Moskva (URS),1987-06-07,1372.0,shot-put,throws,female,senior,shot-put,field,22.63,URS,24.0,1987
2,22.6,,Natalya LISOVSKAYA,1962-07-16,URS,,Moskva (URS),1987-06-07,1371.0,shot-put,throws,female,senior,shot-put,field,22.6,URS,24.0,1987
3,22.55,,Natalya LISOVSKAYA,1962-07-16,URS,1,Tallinn (EST),1988-07-05,1367.0,shot-put,throws,female,senior,shot-put,field,22.55,EST,25.0,1988
4,22.53,,Natalya LISOVSKAYA,1962-07-16,URS,1,Sochi (URS),1984-05-27,1366.0,shot-put,throws,female,senior,shot-put,field,22.53,URS,21.0,1984
4,22.53,,Natalya LISOVSKAYA,1962-07-16,URS,1,Kiev (URS),1988-08-14,1366.0,shot-put,throws,female,senior,shot-put,field,22.53,URS,26.0,1988
6,22.5,,Helena FIBINGEROVÁ,1949-07-13,TCH,1,Jablonec (TCH) (i),1977-02-19,1364.0,shot-put,throws,female,senior,shot-put,field,22.5,TCH,27.0,1977
7,22.45,,Ilona SLUPIANEK,1956-09-24,GDR,1,Potsdam (GDR),1980-05-11,1361.0,shot-put,throws,female,senior,shot-put,field,22.45,GDR,23.0,1980
8,22.41,,Ilona SLUPIANEK,1956-09-24,GDR,1,"Lenin Stadium, Moskva (URS)",1980-07-24,1359.0,shot-put,throws,female,senior,shot-put,field,22.41,URS,23.0,1980
9,22.4,,Ilona SLUPIANEK,1956-09-24,GDR,1,Berlin (GER),1983-06-03,1358.0,shot-put,throws,female,senior,shot-put,field,22.4,GER,26.0,1983
10,22.38,,Ilona SLUPIANEK,1956-09-24,GDR,1,Karl Marx Stadt (GDR),1980-05-25,1357.0,shot-put,throws,female,senior,shot-put,field,22.38,GDR,23.0,1980
11,22.36,,Ilona SLUPIANEK,1956-09-24,GDR,1,Celje (SLO),1980-05-02,1355.0,shot-put,throws,female,senior,shot-put,field,22.36,SLO,23.0,1980
12,22.34,,Ilona SLUPIANEK,1956-09-24,GDR,1,Berlin (GER),1980-05-07,1354.0,shot-put,throws,female,senior,shot-put,field,22.34,GER,23.0,1980
12,22.34,,Ilona SLUPIANEK,1956-09-24,GDR,1,Cottbus (GER),1980-07-18,1354.0,shot-put,throws,female,senior,shot-put,field,22.34,GER,23.0,1980
14,22.32,,Helena FIBINGEROVÁ,1949-07-13,TCH,1,Nitra (TCH),1977-08-20,1353.0,shot-put,throws,female,senior,shot-put,field,22.32,TCH,28.0,1977
15,22.24,,Natalya LISOVSKAYA,1962-07-16,URS,1,"Olympic Stadium, Seoul (KOR)",1988-10-01,1348.0,shot-put,throws,female,senior,shot-put,field,22.24,KOR,26.0,1988
16,22.22,,Ilona SLUPIANEK,1956-09-24,GDR,1,Potsdam (GDR),1980-07-13,1347.0,shot-put,throws,female,senior,shot-put,field,22.22,GDR,23.0,1980
17,22.19,,Claudia LOSCH,1960-01-10,FRG,1,Hainfeld (AUT),1987-08-23,1345.0,shot-put,throws,female,senior,shot-put,field,22.19,AUT,27.0,1987
18,22.14,,Natalya LISOVSKAYA,1962-07-16,URS,1,Penza (URS) (i),1987-02-07,1342.0,shot-put,throws,female,senior,shot-put,field,22.14,URS,24.0,1987
19,22.13,,Ilona SLUPIANEK,1956-09-24,GDR,1,Split (CRO),1980-04-29,1341.0,shot-put,throws,female,senior,shot-put,field,22.13,CRO,23.0,1980
