rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,2.45,,Javier SOTOMAYOR,1967-10-13,CUB,1,Salamanca (ESP),1993-07-27,1314,high-jump,jumps,male,senior,high-jump,field,2.45,ESP,25.0,1993
2,2.44,,Javier SOTOMAYOR,1967-10-13,CUB,1,San Juan (PUR),1989-07-29,1305,high-jump,jumps,male,senior,high-jump,field,2.44,PUR,21.0,1989
3,2.43,,Javier SOTOMAYOR,1967-10-13,CUB,1,Salamanca (ESP),1988-09-08,1296,high-jump,jumps,male,senior,high-jump,field,2.43,ESP,20.0,1988
3,2.43,,Javier SOTOMAYOR,1967-10-13,CUB,1,"Budapest Sportcsarnok, Budapest (HUN) (i)",1989-03-04,1296,high-jump,jumps,male,senior,high-jump,field,2.43,HUN,21.0,1989
3,2.43,,Mutaz Essa BARSHIM,1991-06-24,QAT,1,"Boudewijnstadion, Bruxelles (BEL)",2014-09-05,1296,high-jump,jumps,male,senior,high-jump,field,2.43,BEL,23.0,2014
6,2.42,,Carlo THRÄNHARDT,1957-07-05,FRG,1,Berlin (GER) (i),1988-02-26,1287,high-jump,jumps,male,senior,high-jump,field,2.42,GER,30.0,1988
6,2.42,,Patrik SJÖBERG,1965-01-05,SWE,1,Stockholm (SWE),1987-06-30,1287,high-jump,jumps,male,senior,high-jump,field,2.42,SWE,22.0,1987
6,2.42,,Mutaz Essa BARSHIM,1991-06-24,QAT,2,"Icahn Stadium, New York, NY (USA)",2014-06-14,1287,high-jump,jumps,male,senior,high-jump,field,2.42,USA,22.0,2014
6,2.42,,Bohdan BONDARENKO,1989-08-30,UKR,1,"Icahn Stadium, New York, NY (USA)",2014-06-14,1287,high-jump,jumps,male,senior,high-jump,field,2.42,USA,24.0,2014
6,2.42,,Javier SOTOMAYOR,1967-10-13,CUB,1,Sevilla (ESP),1994-06-05,1287,high-jump,jumps,male,senior,high-jump,field,2.42,ESP,26.0,1994
11,2.41,,Igor PAKLIN,1963-06-15,URS,1,Kobe (JPN),1985-09-04,1278,high-jump,jumps,male,senior,high-jump,field,2.41,JPN,22.0,1985
11,2.41,,Mutaz Essa BARSHIM,1991-06-24,QAT,1,Athlone (IRL) (i),2015-02-18,1278,high-jump,jumps,male,senior,high-jump,field,2.41,IRL,23.0,2015
11,2.41,,Mutaz Essa BARSHIM,1991-06-24,QAT,1,"Hayward Field, Eugene, OR (USA)",2015-05-30,1278,high-jump,jumps,male,senior,high-jump,field,2.41,USA,23.0,2015
11,2.41,,Javier SOTOMAYOR,1967-10-13,CUB,1,La Habana (CUB),1994-06-25,1278,high-jump,jumps,male,senior,high-jump,field,2.41,CUB,26.0,1994
11,2.41,,Javier SOTOMAYOR,1967-10-13,CUB,1,"Crystal Palace, London (GBR)",1994-07-15,1278,high-jump,jumps,male,senior,high-jump,field,2.41,GBR,26.0,1994
11,2.41,,Bohdan BONDARENKO,1989-08-30,UKR,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",2013-07-04,1278,high-jump,jumps,male,senior,high-jump,field,2.41,SUI,23.0,2013
11,2.41,,Patrik SJÖBERG,1965-01-05,SWE,1,Pireaus (GRE) (i),1987-02-01,1278,high-jump,jumps,male,senior,high-jump,field,2.41,GRE,22.0,1987
11,2.41,,Bohdan BONDARENKO,1989-08-30,UKR,1,"Luzhniki Stadion, Moskva (RUS)",2013-08-15,1278,high-jump,jumps,male,senior,high-jump,field,2.41,RUS,23.0,2013
11,2.41,,Mutaz Essa BARSHIM,1991-06-24,QAT,1,Eberstadt (GER),2014-08-22,1278,high-jump,jumps,male,senior,high-jump,field,2.41,GER,23.0,2014
11,2.41,,Javier SOTOMAYOR,1967-10-13,CUB,1,"The Sky Dome, Toronto (CAN) (i)",1993-03-14,1278,high-jump,jumps,male,senior,high-jump,field,2.41,CAN,25.0,1993
11,2.41,,Mutaz Essa BARSHIM,1991-06-24,QAT,1,"Stadio Olimpico, Roma (ITA)",2014-06-05,1278,high-jump,jumps,male,senior,high-jump,field,2.41,ITA,22.0,2014
22,2.4,,Patrik SJÖBERG,1965-01-05,SWE,1,Bruxelles (BEL),1989-08-05,1269,high-jump,jumps,male,senior,high-jump,field,2.4,BEL,24.0,1989
22,2.4,,Javier SOTOMAYOR,1967-10-13,CUB,1,Bogotá (COL),1989-08-13,1269,high-jump,jumps,male,senior,high-jump,field,2.4,COL,21.0,1989
22,2.4,,Mutaz Essa BARSHIM,1991-06-24,QAT,1f1,Banská Bystrica (SVK) (i),2015-02-04,1269,high-jump,jumps,male,senior,high-jump,field,2.4,SVK,23.0,2015
22,2.4,,Mutaz Essa BARSHIM,1991-06-24,QAT,1,"Suhaim bin Hamad Stadium, Doha (QAT)",2018-05-04,1269,high-jump,jumps,male,senior,high-jump,field,2.4,QAT,26.0,2018
22,2.4,,Javier SOTOMAYOR,1967-10-13,CUB,1,Paris-St-Denis (FRA),1991-07-19,1269,high-jump,jumps,male,senior,high-jump,field,2.4,FRA,23.0,1991
22,2.4,,Charles AUSTIN,1967-12-19,USA,1,"Letzigrund, Zürich (SUI)",1991-08-07,1269,high-jump,jumps,male,senior,high-jump,field,2.4,SUI,23.0,1991
22,2.4,,Javier SOTOMAYOR,1967-10-13,CUB,1,La Habana (CUB),1993-05-22,1269,high-jump,jumps,male,senior,high-jump,field,2.4,CUB,25.0,1993
22,2.4,,Bohdan BONDARENKO,1989-08-30,UKR,2,"Boudewijnstadion, Bruxelles (BEL)",2014-09-05,1269,high-jump,jumps,male,senior,high-jump,field,2.4,BEL,25.0,2014
22,2.4,,Bohdan BONDARENKO,1989-08-30,UKR,1,"Stade Louis II, Monaco (MON)",2014-07-18,1269,high-jump,jumps,male,senior,high-jump,field,2.4,MON,24.0,2014
22,2.4,,Andrii PROTSENKO,1988-05-20,UKR,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",2014-07-03,1269,high-jump,jumps,male,senior,high-jump,field,2.4,SUI,26.0,2014
22,2.4,,Mutaz Essa BARSHIM,1991-06-24,QAT,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",2018-07-02,1269,high-jump,jumps,male,senior,high-jump,field,2.4,HUN,27.0,2018
22,2.4,,Vyacheslav VORONIN,1974-04-05,RUS,1,"Crystal Palace, London (GBR)",2000-08-05,1269,high-jump,jumps,male,senior,high-jump,field,2.4,GBR,26.0,2000
22,2.4,,Javier SOTOMAYOR,1967-10-13,CUB,1,"Crystal Palace, London (GBR)",1994-09-11,1269,high-jump,jumps,male,senior,high-jump,field,2.4,GBR,26.0,1994
22,2.4,,Mutaz Essa BARSHIM,1991-06-24,QAT,1,Opole (POL),2016-06-11,1269,high-jump,jumps,male,senior,high-jump,field,2.4,POL,24.0,2016
22,2.4,,Bohdan BONDARENKO,1989-08-30,UKR,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",2014-07-03,1269,high-jump,jumps,male,senior,high-jump,field,2.4,SUI,24.0,2014
22,2.4,,Aleksey DMITRIK,1984-04-12,RUS,1,Arnstadt (GER) (i),2014-02-08,1269,high-jump,jumps,male,senior,high-jump,field,2.4,GER,29.0,2014
22,2.4,,Derek DROUIN,1990-03-06,CAN,1,"Des Moines, IA (USA)",2014-04-25,1269,high-jump,jumps,male,senior,high-jump,field,2.4,USA,24.0,2014
22,2.4,,Stefan HOLM,1976-05-25,SWE,1,"Palacio de Deportes, Madrid (ESP) (i)",2005-03-06,1269,high-jump,jumps,male,senior,high-jump,field,2.4,ESP,28.0,2005
