rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,18.29,1.3,Jonathan EDWARDS,1966-05-10,GBR,1,"Ullevi Stadium, Göteborg (SWE)",1995-08-07,1303,triple-jump,jumps,male,senior,triple-jump,field,18.29,SWE,29.0,1995
2,18.21,0.2,Christian TAYLOR,1990-06-18,USA,1,"National Stadium, Beijing (CHN)",2015-08-27,1294,triple-jump,jumps,male,senior,triple-jump,field,18.21,CHN,25.0,2015
3,18.18,-0.3,Jordan A. DÍAZ FORTUN,2001-02-23,ESP,1,"Stadio Olimpico, Roma (ITA)",2024-06-11,1292,triple-jump,jumps,male,senior,triple-jump,field,18.18,ITA,23.0,2024
4,18.14,0.4,Will CLAYE,1991-06-13,USA,1,"Long Beach, CA (USA)",2019-06-29,1287,triple-jump,jumps,male,senior,triple-jump,field,18.14,USA,28.0,2019
5,18.11,0.8,Christian TAYLOR,1990-06-18,USA,1,"Hayward Field, Eugene, OR (USA)",2017-05-27,1283,triple-jump,jumps,male,senior,triple-jump,field,18.11,USA,26.0,2017
6,18.09,-0.4,Kenny HARRISON,1965-02-13,USA,1,"Olympic Stadium, Atlanta, GA (USA)",1996-07-27,1283,triple-jump,jumps,male,senior,triple-jump,field,18.09,USA,31.0,1996
7,18.08,0.0,Pedro PICHARDO,1993-06-30,CUB,1,La Habana (CUB),2015-05-28,1280,triple-jump,jumps,male,senior,triple-jump,field,18.08,CUB,21.0,2015
8,18.07,,Hugues Fabrice ZANGO,1993-06-25,BUR,1,"Stadium Jean-Pellez, Aubière (FRA) (i)",2021-01-16,1279,triple-jump,jumps,male,senior,triple-jump,field,18.07,FRA,27.0,2021
9,18.06,1.1,Christian TAYLOR,1990-06-18,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",2015-07-09,1278,triple-jump,jumps,male,senior,triple-jump,field,18.06,SUI,25.0,2015
9,18.06,0.8,Pedro PICHARDO,1993-06-30,CUB,1,"Suhaim bin Hamad Stadium, Doha (QAT)",2015-05-15,1278,triple-jump,jumps,male,senior,triple-jump,field,18.06,QAT,21.0,2015
9,18.06,0.4,Will CLAYE,1991-06-13,USA,1,"Stade Charléty, Paris (FRA)",2019-08-24,1278,triple-jump,jumps,male,senior,triple-jump,field,18.06,FRA,28.0,2019
12,18.04,-0.6,Pedro PICHARDO,1993-06-30,POR,2,"Stadio Olimpico, Roma (ITA)",2024-06-11,1279,triple-jump,jumps,male,senior,triple-jump,field,18.04,ITA,30.0,2024
12,18.04,0.3,Teddy TAMGHO,1989-06-15,FRA,1,"Luzhniki Stadion, Moskva (RUS)",2013-08-18,1276,triple-jump,jumps,male,senior,triple-jump,field,18.04,RUS,24.0,2013
12,18.04,0.8,Christian TAYLOR,1990-06-18,USA,2,"Suhaim bin Hamad Stadium, Doha (QAT)",2015-05-15,1276,triple-jump,jumps,male,senior,triple-jump,field,18.04,QAT,24.0,2015
15,18.01,0.4,Jonathan EDWARDS,1966-05-10,GBR,1,"Bislett Stadion, Oslo (NOR)",1998-07-09,1273,triple-jump,jumps,male,senior,triple-jump,field,18.01,NOR,32.0,1998
16,18.0,1.3,Jonathan EDWARDS,1966-05-10,GBR,1,London (GBR),1995-08-27,1272,triple-jump,jumps,male,senior,triple-jump,field,18.0,GBR,29.0,1995
17,17.99,1.8,Pedro PICHARDO,1993-06-30,CUB,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",2015-07-09,1271,triple-jump,jumps,male,senior,triple-jump,field,17.99,SUI,22.0,2015
17,17.99,0.5,Jonathan EDWARDS,1966-05-10,GBR,1,"Népstadion, Budapest (HUN)",1998-08-23,1271,triple-jump,jumps,male,senior,triple-jump,field,17.99,HUN,32.0,1998
19,17.98,1.2,Teddy TAMGHO,1989-06-15,FRA,1,"Icahn Stadium, New York, NY (USA)",2010-06-12,1269,triple-jump,jumps,male,senior,triple-jump,field,17.98,USA,21.0,2010
19,17.98,0.0,Pedro PICHARDO,1993-06-30,POR,1,"National Stadium, Tokyo (JPN)",2021-08-05,1269,triple-jump,jumps,male,senior,triple-jump,field,17.98,JPN,28.0,2021
