rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,1:12.81,,Johnny GRAY,1960-06-19,USA,1,"Santa Monica, CA (USA)",1986-05-24,1239,600-metres,middlelong,male,senior,600-metres,track,72.81,USA,25,1986
2,1:12.84,,Josh HOEY,1999-11-01,USA,1,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",2025-12-06,1319,600-metres,middlelong,male,senior,600-metres,track,72.84,USA,26,2025
3,1:13.10,,David RUDISHA,1988-12-17,KEN,1,"Alexander Stadium, Birmingham (GBR)",2016-06-05,1226,600-metres,middlelong,male,senior,600-metres,track,73.1,GBR,27,2016
4,1:13.21,,Pierre-Ambroise BOSSE,1992-05-11,FRA,2,"Alexander Stadium, Birmingham (GBR)",2016-06-05,1222,600-metres,middlelong,male,senior,600-metres,track,73.21000000000001,GBR,24,2016
5,1:13.28,,Duane SOLOMON,1984-12-28,USA,1,Burnaby (CAN),2013-07-01,1219,600-metres,middlelong,male,senior,600-metres,track,73.28,CAN,28,2013
6,1:13.49,,Joseph Mwengi MUTUA,1978-12-10,KEN,1,Liège (BEL),2002-08-27,1209,600-metres,middlelong,male,senior,600-metres,track,73.49,BEL,23,2002
7,1:13.71,,David RUDISHA,1988-12-17,KEN,1,"Alexander Stadium, Birmingham (GBR)",2014-08-24,1200,600-metres,middlelong,male,senior,600-metres,track,73.71000000000001,GBR,25,2014
8,1:13.72,,Joseph Mwengi MUTUA,1978-12-10,KEN,1,Naimette-Xhovémont (BEL),2003-09-02,1200,600-metres,middlelong,male,senior,600-metres,track,73.72,BEL,24,2003
9,1:13.77,,Donavan BRAZIER,1997-04-15,USA,1,"New York, NY (USA) (i)",2019-02-24,1277,600-metres,middlelong,male,senior,600-metres,track,73.77,USA,21,2019
10,1:13.80,,Earl JONES,1964-07-17,USA,2,"Santa Monica, CA (USA)",1986-05-24,1196,600-metres,middlelong,male,senior,600-metres,track,73.8,USA,21,1986
11,1:13.97,,Donavan BRAZIER,1997-04-15,USA,1,"The Podium, Spokane, WA (USA) (i)",2022-02-11,1268,600-metres,middlelong,male,senior,600-metres,track,73.97,USA,24,2022
11,1:13.97,,Ryan SÁNCHEZ,1998-09-22,PUR,1,"Pista Basilio Rodriguez, Carolina (PUR)",2023-03-18,1189,600-metres,middlelong,male,senior,600-metres,track,73.97,PUR,24,2023
13,1:13.99,,Ryan SÁNCHEZ,1998-09-22,PUR,1,Carolina (PUR),2022-03-19,1188,600-metres,middlelong,male,senior,600-metres,track,73.99,PUR,23,2022
14,1:14.01,,Gabriel TUAL,1998-04-09,FRA,1,"Parc des Sports C. Ehrmann, Nice (FRA)",2025-05-31,1187,600-metres,middlelong,male,senior,600-metres,track,74.01,FRA,27,2025
15,1:14.03,,Brandon MILLER,2002-01-30,USA,1,"Convention Center, Albuquerque, NM (USA) (i)",2024-02-09,1265,600-metres,middlelong,male,senior,600-metres,track,74.03,USA,22,2024
16,1:14.04,,Will SUMNER,2003-10-22,USA,1,"Armory Track&Field Center, New York, NY (USA) (i)",2025-02-08,1265,600-metres,middlelong,male,senior,600-metres,track,74.03999999999999,USA,21,2025
17,1:14.15,,David MACK,1961-05-30,USA,3,"Santa Monica, CA (USA)",1986-05-24,1181,600-metres,middlelong,male,senior,600-metres,track,74.15,USA,25,1986
18,1:14.16,,Johnny GRAY,1960-06-19,USA,1,"Sacramento, CA (USA)",1984-07-21,1181,600-metres,middlelong,male,senior,600-metres,track,74.16,USA,24,1984
19,1:14.17,,Isaiah JEWETT,1997-02-06,USA,2,"Armory Track&Field Center, New York, NY (USA) (i)",2025-02-08,1259,600-metres,middlelong,male,senior,600-metres,track,74.17,USA,28,2025
20,1:14.33,,Charles JOCK,1989-11-23,USA,1,"Portland, OR (USA)",2015-06-14,1173,600-metres,middlelong,male,senior,600-metres,track,74.33,USA,25,2015
21,1:14.36,,Djamel SEDJATI,1999-05-03,ALG,1,"DP de Villiers Stadium, Sasolburg (RSA)",2023-03-11,1172,600-metres,middlelong,male,senior,600-metres,track,74.36,RSA,23,2023
21,1:14.36,,Michael CHERRY,1995-03-23,USA,2,"Pista Basilio Rodriguez, Carolina (PUR)",2023-03-18,1172,600-metres,middlelong,male,senior,600-metres,track,74.36,PUR,28,2023
23,1:14.37,,Brandon MILLER,2002-01-30,USA,3,"Armory Track&Field Center, New York, NY (USA) (i)",2025-02-08,1250,600-metres,middlelong,male,senior,600-metres,track,74.37,USA,23,2025
24,1:14.39,,Donavan BRAZIER,1997-04-15,USA,1,"Reggie Lewis Center, Boston, MA (USA) (i)",2020-01-25,1249,600-metres,middlelong,male,senior,600-metres,track,74.39,USA,22,2020
25,1:14.41,,Matthew SCHERER,1983-11-21,USA,1,"Eugene, OR (USA)",2008-06-15,1170,600-metres,middlelong,male,senior,600-metres,track,74.41,USA,24,2008
26,1:14.43,,Duane SOLOMON,1984-12-28,USA,1,"Orlando, FL (USA)",2014-03-29,1169,600-metres,middlelong,male,senior,600-metres,track,74.43,USA,29,2014
27,1:14.47,,Nick SYMMONDS,1983-12-30,USA,2,"Eugene, OR (USA)",2008-06-15,1168,600-metres,middlelong,male,senior,600-metres,track,74.47,USA,24,2008
27,1:14.47,,Eliott CRESTAN,1999-02-22,BEL,1,"Stade Naimette-Xhovémont, Liège (BEL)",2024-06-19,1168,600-metres,middlelong,male,senior,600-metres,track,74.47,BEL,25,2024
29,1:14.52,,Ryan SÁNCHEZ,1998-09-22,PUR,1,Gurabo (PUR),2019-03-16,1165,600-metres,middlelong,male,senior,600-metres,track,74.52,PUR,20,2019
29,1:14.52,,Slimane MOULA,1999-02-25,ALG,1,"McArthur Stadium, Potchefstroom (RSA)",2024-03-14,1165,600-metres,middlelong,male,senior,600-metres,track,74.52,RSA,25,2024
31,1:14.55,,Adam KSZCZOT,1989-09-02,POL,1,Lahti (FIN),2009-08-05,1164,600-metres,middlelong,male,senior,600-metres,track,74.55,FIN,19,2009
32,1:14.56,,Tobias GRØNSTAD,2002-07-06,NOR,1f2,"Schönbuchstadion, Pliezhausen (GER)",2024-05-05,1164,600-metres,middlelong,male,senior,600-metres,track,74.56,GER,21,2024
