rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,3:43.13,,Hicham EL GUERROUJ,1974-09-14,MAR,1,"Stadio Olimpico, Roma (ITA)",1999-07-07,1292,one-mile,middlelong,male,senior,one-mile,track,223.13,ITA,24.0,1999
2,3:43.40,,Noah NGENY,1978-11-02,KEN,2,"Stadio Olimpico, Roma (ITA)",1999-07-07,1288,one-mile,middlelong,male,senior,one-mile,track,223.4,ITA,20.0,1999
3,3:43.73,,Jakob INGEBRIGTSEN,2000-09-19,NOR,1,"Hayward Field, Eugene, OR (USA)",2023-09-16,1284,one-mile,middlelong,male,senior,one-mile,track,223.73,USA,23.0,2023
4,3:43.97,,Yared NUGUSE,1999-06-01,USA,2,"Hayward Field, Eugene, OR (USA)",2023-09-16,1280,one-mile,middlelong,male,senior,one-mile,track,223.97,USA,24.0,2023
5,3:44.39,,Noureddine MORCELI,1970-02-28,ALG,1,Rieti (ITA),1993-09-05,1275,one-mile,middlelong,male,senior,one-mile,track,224.39,ITA,23.0,1993
6,3:44.60,,Hicham EL GUERROUJ,1974-09-14,MAR,1,Nice (FRA),1998-07-16,1272,one-mile,middlelong,male,senior,one-mile,track,224.6,FRA,23.0,1998
7,3:44.90,,Hicham EL GUERROUJ,1974-09-14,MAR,1,Oslo (NOR),1997-07-04,1268,one-mile,middlelong,male,senior,one-mile,track,224.9,NOR,22.0,1997
8,3:44.95,,Hicham EL GUERROUJ,1974-09-14,MAR,1,"Stadio Olimpico, Roma (ITA)",2001-06-29,1267,one-mile,middlelong,male,senior,one-mile,track,224.95,ITA,26.0,2001
9,3:45.14,,Jakob INGEBRIGTSEN,2000-09-19,NOR,1,"Arena Stade Couvert, Liévin (FRA) (i)",2025-02-13,1330,one-mile,middlelong,male,senior,one-mile,track,225.14,FRA,24.0,2025
10,3:45.19,,Noureddine MORCELI,1970-02-28,ALG,1,Zürich (SUI),1995-08-16,1264,one-mile,middlelong,male,senior,one-mile,track,225.19,SUI,25.0,1995
11,3:45.34,,Josh KERR,1997-10-08,GBR,1,"Hayward Field, Eugene, OR (USA)",2024-05-25,1262,one-mile,middlelong,male,senior,one-mile,track,225.34,USA,26.0,2024
12,3:45.60,,Jakob INGEBRIGTSEN,2000-09-19,NOR,2,"Hayward Field, Eugene, OR (USA)",2024-05-25,1259,one-mile,middlelong,male,senior,one-mile,track,225.6,USA,23.0,2024
13,3:45.64,,Hicham EL GUERROUJ,1974-09-14,MAR,1,"Olympiastadion, Berlin (GER)",1997-08-26,1258,one-mile,middlelong,male,senior,one-mile,track,225.64,GER,22.0,1997
14,3:45.94,,Niels LAROS,2005-04-17,NED,1,"Hayward Field, Eugene, OR (USA)",2025-07-05,1254,one-mile,middlelong,male,senior,one-mile,track,225.94,USA,20.0,2025
15,3:45.95,,Yared NUGUSE,1999-06-01,USA,2,"Hayward Field, Eugene, OR (USA)",2025-07-05,1254,one-mile,middlelong,male,senior,one-mile,track,225.95,USA,26.0,2025
16,3:45.96,,Hicham EL GUERROUJ,1974-09-14,MAR,1,"Crystal Palace, London (GBR)",2000-08-05,1254,one-mile,middlelong,male,senior,one-mile,track,225.96,GBR,25.0,2000
