rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,7:54.10,,Jakob INGEBRIGTSEN,2000-09-19,NOR,1,"Stade Charléty, Paris (FRA)",2023-06-09,1304,two-miles,middlelong,male,senior,two-miles,track,474.1,FRA,22.0,2023
2,7:58.61,,Daniel KOMEN,1976-05-17,KEN,1,Hechtel (BEL),1997-07-19,1276,two-miles,middlelong,male,senior,two-miles,track,478.61,BEL,21.0,1997
3,7:58.91,,Daniel KOMEN,1976-05-17,KEN,1,Sydney (AUS),1998-02-28,1275,two-miles,middlelong,male,senior,two-miles,track,478.90999999999997,AUS,21.0,1998
4,8:00.67,,Josh KERR,1997-10-08,GBR,1,"Armory Track&Field Center, New York, NY (USA) (i)",2024-02-11,1310,two-miles,middlelong,male,senior,two-miles,track,480.67,USA,26.0,2024
5,8:01.08,,Haile GEBRSELASSIE,1973-04-18,ETH,1,"FBK Stadium, Hengelo (NED)",1997-05-31,1262,two-miles,middlelong,male,senior,two-miles,track,481.08,NED,24.0,1997
6,8:01.72,,Haile GEBRSELASSIE,1973-04-18,ETH,1,"Crystal Palace, London (GBR)",1999-08-07,1258,two-miles,middlelong,male,senior,two-miles,track,481.72,GBR,26.0,1999
7,8:01.86,,Haile GEBRSELASSIE,1973-04-18,ETH,1,"FBK Stadium, Hengelo (NED)",1999-05-30,1257,two-miles,middlelong,male,senior,two-miles,track,481.86,NED,26.0,1999
8,8:03.40,,Mo FARAH,1983-03-23,GBR,1,"Barclaycard Arena, Birmingham (GBR) (i)",2015-02-21,1293,two-miles,middlelong,male,senior,two-miles,track,483.4,GBR,31.0,2015
9,8:03.50,,Craig MOTTRAM,1980-06-18,AUS,1,"Eugene, OR (USA)",2007-06-10,1247,two-miles,middlelong,male,senior,two-miles,track,483.5,USA,26.0,2007
10,8:03.54,,Daniel KOMEN,1976-05-17,KEN,1,Lappeenranta (FIN),1996-07-14,1247,two-miles,middlelong,male,senior,two-miles,track,483.54,FIN,20.0,1996
11,8:03.62,,Grant FISHER,1997-04-22,USA,2,"Armory Track&Field Center, New York, NY (USA) (i)",2024-02-11,1292,two-miles,middlelong,male,senior,two-miles,track,483.62,USA,26.0,2024
12,8:04.35,,Kenenisa BEKELE,1982-06-13,ETH,1,"National Indoor Arena, Birmingham (GBR) (i)",2008-02-16,1287,two-miles,middlelong,male,senior,two-miles,track,484.35,GBR,25.0,2008
