rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,18:21,,Robert KORZENIOWSKI,1968-07-30,POL,,Bad Salzdefürth (GER),1990-09-15,1194,5-kilometres-race-walk,race-walks,male,senior,5-kilometres-race-walk,track,1101.0,GER,22.0,1990
2,18:24,,Valdas KAZLAUSKAS,1958-02-23,LTU,,Bad Salzdefürth (GER),1990-09-15,1189,5-kilometres-race-walk,race-walks,male,senior,5-kilometres-race-walk,track,1104.0,GER,32.0,1990
3,18:33,,Erik TYSSE,1980-12-04,NOR,1.0,Bergen (NOR),2006-08-23,1176,5-kilometres-race-walk,race-walks,male,senior,5-kilometres-race-walk,track,1113.0,NOR,25.0,2006
4,18:37,,Vasiliy MIZINOV,1997-12-29,ANA,1.0,Voronovo (RUS),2019-08-24,1170,5-kilometres-race-walk,race-walks,male,senior,5-kilometres-race-walk,track,1117.0,RUS,21.0,2019
5,18:45,,Maksim KRASNOV,1996-02-10,RUS,2.0,Voronovo (RUS),2019-08-24,1158,5-kilometres-race-walk,race-walks,male,senior,5-kilometres-race-walk,track,1125.0,RUS,23.0,2019
6,18:57,,Ivan TROTSKI,1976-05-27,BLR,1.0,Hildesheim (GER),2003-09-14,1140,5-kilometres-race-walk,race-walks,male,senior,5-kilometres-race-walk,track,1137.0,GER,27.0,2003
7,19:01,,Erik TYSSE,1980-12-04,NOR,2.0,Hildesheim (GER),2003-09-14,1135,5-kilometres-race-walk,race-walks,male,senior,5-kilometres-race-walk,track,1141.0,GER,22.0,2003
7,19:01,,Anton KUČMÍN,1984-06-07,SVK,1.0,Nitra (SVK),2013-10-04,1135,5-kilometres-race-walk,race-walks,male,senior,5-kilometres-race-walk,track,1141.0,SVK,29.0,2013
9,19:02,,Kirill FROLOV,1993-09-29,RUS,3.0,Voronovo (RUS),2019-08-24,1133,5-kilometres-race-walk,race-walks,male,senior,5-kilometres-race-walk,track,1142.0,RUS,25.0,2019
10,19:04,,Matej TÓTH,1983-02-10,SVK,2.0,Nitra (SVK),2013-10-04,1130,5-kilometres-race-walk,race-walks,male,senior,5-kilometres-race-walk,track,1144.0,SVK,30.0,2013
