rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,1:49.23,,Jamaica U18,,JAM,1,Donetsk (UKR),2013-07-14,,medley-relay,relays,male,u18,medley-relay,track,109.22999999999999,UKR,,2013
2,1:49.47,,United States U18,,USA,1,Lille (FRA),2011-07-10,,medley-relay,relays,male,u18,medley-relay,track,109.47,FRA,,2011
3,1:50.14,,United States U18,,USA,2,Donetsk (UKR),2013-07-14,,medley-relay,relays,male,u18,medley-relay,track,110.14,UKR,,2013
4,1:50.33,,United States U18,,USA,1,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-12,,medley-relay,relays,male,u18,medley-relay,track,110.33,ITA,,2009
5,1:50.46,,Poland U18,,POL,1f1,Debrecen (HUN),2001-07-15,,medley-relay,relays,male,u18,medley-relay,track,110.46000000000001,HUN,,2001
6,1:50.52,,Japan U18,,JPN,3,Donetsk (UKR),2013-07-14,,medley-relay,relays,male,u18,medley-relay,track,110.52000000000001,UKR,,2013
7,1:50.69,,Japan U18,,JPN,2,Lille (FRA),2011-07-10,,medley-relay,relays,male,u18,medley-relay,track,110.69,FRA,,2011
8,1:50.90,,United States U18,,USA,2f1,Debrecen (HUN),2001-07-15,,medley-relay,relays,male,u18,medley-relay,track,110.9,HUN,,2001
9,1:51.19,,United States U18,,USA,1f1,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-17,,medley-relay,relays,male,u18,medley-relay,track,111.19,MAR,,2005
10,1:51.29,,United States U18,,USA,1f1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",1999-07-18,,medley-relay,relays,male,u18,medley-relay,track,111.28999999999999,POL,,1999
11,1:51.34,,United States U18,,USA,1f1,Ostrava (CZE),2007-07-15,,medley-relay,relays,male,u18,medley-relay,track,111.34,CZE,,2007
12,1:51.35,,South Africa U18,,RSA,3f1,Debrecen (HUN),2001-07-15,,medley-relay,relays,male,u18,medley-relay,track,111.35,HUN,,2001
13,1:51.42,,Japan U18,,JPN,2f1,Ostrava (CZE),2007-07-15,,medley-relay,relays,male,u18,medley-relay,track,111.42,CZE,,2007
14,1:51.53,,United States U18,,USA,1h1,Lille (FRA),2011-07-09,,medley-relay,relays,male,u18,medley-relay,track,111.53,FRA,,2011
15,1:51.62,,Poland U18,,POL,1f1,Banská Bystrica (SVK),2024-07-21,,medley-relay,relays,male,u18,medley-relay,track,111.62,SVK,,2024
16,1:51.68,,United States U18,,USA,1h1,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-16,,medley-relay,relays,male,u18,medley-relay,track,111.68,MAR,,2005
17,1:51.81,,France U18,,FRA,3,Lille (FRA),2011-07-10,,medley-relay,relays,male,u18,medley-relay,track,111.81,FRA,,2011
18,1:51.82,,Germany U18,,GER,2f1,Banská Bystrica (SVK),2024-07-21,,medley-relay,relays,male,u18,medley-relay,track,111.82,SVK,,2024
19,1:51.94,,United States U18,,USA,1h2,Ostrava (CZE),2007-07-14,,medley-relay,relays,male,u18,medley-relay,track,111.94,CZE,,2007
20,1:52.02,,Italy U18,,ITA,3f1,Banská Bystrica (SVK),2024-07-21,,medley-relay,relays,male,u18,medley-relay,track,112.02000000000001,SVK,,2024
21,1:52.03,,United States U18,,USA,1f1,Sherbrooke (CAN),2003-07-13,,medley-relay,relays,male,u18,medley-relay,track,112.03,CAN,,2003
22,1:52.11,,Europe U18,,INT,2,Singapore (SGP),2010-08-23,,medley-relay,relays,male,u18,medley-relay,track,112.11,SGP,,2010
23,1:52.18,,Jamaica U18,,JAM,3f1,Ostrava (CZE),2007-07-15,,medley-relay,relays,male,u18,medley-relay,track,112.18,CZE,,2007
