rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,40:42,,Jacob KIPLIMO,2000-11-14,UGA,1.0,Nijmegen (NED),2024-11-17,1272,15-kilometres,road-running,male,senior,15-kilometres,track,2442.0,NED,24.0,2024
2,41:05,,Joshua CHEPTEGEI,1996-09-12,UGA,1.0,Nijmegen (NED),2018-11-18,1248,15-kilometres,road-running,male,senior,15-kilometres,track,2465.0,NED,22.0,2018
2,41:05,,Jacob KIPLIMO,2000-11-14,UGA,1.0,Nijmegen (NED),2023-11-19,1248,15-kilometres,road-running,male,senior,15-kilometres,track,2465.0,NED,23.0,2023
4,41:13,,Leonard Patrick KOMON,1988-01-10,KEN,1.0,Nijmegen (NED),2010-11-21,1240,15-kilometres,road-running,male,senior,15-kilometres,track,2473.0,NED,22.0,2010
5,41:16,,Joshua CHEPTEGEI,1996-09-12,UGA,1.0,Nijmegen (NED),2017-11-19,1237,15-kilometres,road-running,male,senior,15-kilometres,track,2476.0,NED,21.0,2017
6,41:29,,Felix LIMO,1980-08-22,KEN,1.0,Nijmegen (NED),2001-11-11,1223,15-kilometres,road-running,male,senior,15-kilometres,track,2489.0,NED,21.0,2001
6,41:29,,Deriba Merga EJIGU,1980-10-26,ETH,,Ras Al Khaimah (UAE),2009-02-20,1223,15-kilometres,road-running,male,senior,15-kilometres,track,2489.0,UAE,28.0,2009
8,41:38,,Haile GEBRSELASSIE,1973-04-18,ETH,2.0,Nijmegen (NED),2001-11-11,1214,15-kilometres,road-running,male,senior,15-kilometres,track,2498.0,NED,28.0,2001
8,41:38,,Sileshi SIHINE,1983-01-29,ETH,1.0,Nijmegen (NED),2004-11-21,1214,15-kilometres,road-running,male,senior,15-kilometres,track,2498.0,NED,21.0,2004
10,41:49,,Stephen KISSA,1988-12-01,UGA,1.0,Nijmegen (NED),2019-11-17,1203,15-kilometres,road-running,male,senior,15-kilometres,track,2509.0,NED,30.0,2019
11,41:51,,Edwin KIPTOO,1993-08-14,KEN,2.0,Nijmegen (NED),2019-11-17,1201,15-kilometres,road-running,male,senior,15-kilometres,track,2511.0,NED,26.0,2019
12,41:53,,Rhonex KIPRUTO,1999-10-12,KEN,1.0,Le Puy-en-Velay (FRA),2019-05-01,1199,15-kilometres,road-running,male,senior,15-kilometres,track,2513.0,FRA,19.0,2019
13,41:55,,Abel KIPCHUMBA,1994-02-03,KEN,1.0,Valencia (ESP),2019-06-08,1197,15-kilometres,road-running,male,senior,15-kilometres,track,2515.0,ESP,25.0,2019
14,41:57,,Haile GEBRSELASSIE,1973-04-18,ETH,1.0,Nijmegen (NED),2005-11-20,1194,15-kilometres,road-running,male,senior,15-kilometres,track,2517.0,NED,32.0,2005
15,42:00,,Mathew Kipkorir KIMELI,1998-01-04,KEN,1.0,Le Puy-en-Velay (FRA),2017-05-01,1191,15-kilometres,road-running,male,senior,15-kilometres,track,2520.0,FRA,19.0,2017
16,42:01,,Salim KIPSANG,1979-12-22,KEN,3.0,Nijmegen (NED),2001-11-11,1190,15-kilometres,road-running,male,senior,15-kilometres,track,2521.0,NED,21.0,2001
16,42:01,,Abera KUMA,1990-08-31,ETH,2.0,Nijmegen (NED),2010-11-21,1190,15-kilometres,road-running,male,senior,15-kilometres,track,2521.0,NED,20.0,2010
