rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,5.56,,Donovan BAILEY,1967-12-16,CAN,1,"Reno, NV (USA) (i)",1996-02-09,1269,50-metres,sprints,male,senior,50-metres,track,5.56,USA,28.0,1996
1,5.56,,Maurice GREENE,1974-07-23,USA,1,"Los Angeles, CA (USA) (i)",1999-02-13,1269,50-metres,sprints,male,senior,50-metres,track,5.56,USA,24.0,1999
3,5.6,,Michael GREEN,1970-11-07,JAM,,Liévin (FRA) (i),1997-02-16,1241,50-metres,sprints,male,senior,50-metres,track,5.6,FRA,26.0,1997
4,5.61,,James SANFORD,1957-12-27,USA,1,"San Diego, CA (USA) (i)",1981-02-20,1234,50-metres,sprints,male,senior,50-metres,track,5.61,USA,23.0,1981
4,5.61,,Deji ALIU,1975-11-22,NGR,,Liévin (FRA) (i),1999-02-21,1234,50-metres,sprints,male,senior,50-metres,track,5.61,FRA,23.0,1999
4,5.61,,Freddy MAYOLA,1977-11-01,CUB,,Madrid (ESP) (i),2000-02-16,1234,50-metres,sprints,male,senior,50-metres,track,5.61,ESP,22.0,2000
4,5.61,,Jason GARDENER,1975-09-17,GBR,,Madrid (ESP) (i),2000-02-16,1234,50-metres,sprints,male,senior,50-metres,track,5.61,ESP,24.0,2000
8,5.62,,Emmit KING,1959-03-24,USA,1,Kobe (JPN) (i),1986-03-05,1227,50-metres,sprints,male,senior,50-metres,track,5.62,JPN,26.0,1986
8,5.62,,Andre CASON,1969-01-20,USA,1,"Los Angeles, CA (USA) (i)",1992-02-15,1227,50-metres,sprints,male,senior,50-metres,track,5.62,USA,23.0,1992
8,5.62,,Morne NAGEL,1978-03-23,RSA,,Liévin (FRA) (i),2002-02-24,1227,50-metres,sprints,male,senior,50-metres,track,5.62,FRA,23.0,2002
11,5.63,,Stanley FLOYD,1961-06-23,USA,2,"San Diego, CA (USA) (i)",1981-02-20,1220,50-metres,sprints,male,senior,50-metres,track,5.63,USA,19.0,1981
11,5.63,,Jon DRUMMOND,1968-09-09,USA,2,"Los Angeles, CA (USA) (i)",1999-02-13,1220,50-metres,sprints,male,senior,50-metres,track,5.63,USA,30.0,1999
11,5.63,,Pascal MANCINI,1989-04-18,SUI,1f4,"Salle du Centre Mondial du Cyclisme, Aigle (SUI) (i)",2023-01-21,1220,50-metres,sprints,male,senior,50-metres,track,5.63,SUI,33.0,2023
11,5.63,,Ronnie BAKER,1993-10-15,USA,,"Atletická hala, Ostrava (CZE) (i)",2025-02-04,1220,50-metres,sprints,male,senior,50-metres,track,5.63,CZE,31.0,2025
11,5.63,,Henry NEAL,1970-10-28,USA,1,"Reno, NV (USA) (i)",1995-02-10,1220,50-metres,sprints,male,senior,50-metres,track,5.63,USA,24.0,1995
16,5.64,,Davidson EZINWA,1971-11-22,NGR,2,"Los Angeles, CA (USA) (i)",1992-02-15,1214,50-metres,sprints,male,senior,50-metres,track,5.64,USA,20.0,1992
16,5.64,,Bruny SURIN,1967-07-12,CAN,1,Moskva (RUS) (i),1995-01-27,1214,50-metres,sprints,male,senior,50-metres,track,5.64,RUS,27.0,1995
