rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,12.71,+1.3,Britany ANDERSON,03 JAN 2001,JAM,1f1,Joensuu (FIN),24 JUL 2019,1189,100-metres-hurdles,hurdles,female,u20
2,12.74,+1.7,Dior HALL,02 JAN 1996,USA,3,"Eugene, OR (USA)",13 JUN 2015,1185,100-metres-hurdles,hurdles,female,u20
3,12.75,+1.7,Chanel BRISSETT,10 AUG 1999,USA,1,"Palo Alto, CA (USA)",13 MAY 2018,1184,100-metres-hurdles,hurdles,female,u20
3,12.75,-0.1,Kerrica HILL,06 MAR 2005,JAM,1,"National Stadium, Kingston (JAM)",22 APR 2023,1184,100-metres-hurdles,hurdles,female,u20
5,12.76,+1.2,Ackera NUGENT,29 APR 2002,JAM,1h2,"Cushing Stadium, College Station, TX (USA)",29 MAY 2021,1182,100-metres-hurdles,hurdles,female,u20
6,12.77,+0.2,Kerrica HILL,06 MAR 2005,JAM,1,"Pascual Guerrero Stadium, Cali (COL)",06 AUG 2022,1181,100-metres-hurdles,hurdles,female,u20
7,12.78,+0.6,Ackera NUGENT,29 APR 2002,JAM,1h3,"National Stadium, Kingston (JAM)",26 JUN 2021,1180,100-metres-hurdles,hurdles,female,u20
8,12.79,+1.4,Britany ANDERSON,03 JAN 2001,JAM,1h2,Joensuu (FIN),24 JUL 2019,1178,100-metres-hurdles,hurdles,female,u20
9,12.82,+1.3,Britany ANDERSON,03 JAN 2001,JAM,1,"National Training Center, Clermont, FL (USA)",25 JUL 2020,1174,100-metres-hurdles,hurdles,female,u20
10,12.83,+0.4,Tobi AMUSAN,23 APR 1997,NGR,1f1,"El Paso, TX (USA)",30 APR 2016,1173,100-metres-hurdles,hurdles,female,u20
11,12.84,+1.5,Aliuska LÓPEZ,29 AUG 1969,CUB,1,Zagreb (CRO),16 JUL 1987,1171,100-metres-hurdles,hurdles,female,u20
11,12.84,+1.2,Tia JONES,08 SEP 2000,USA,1h1,"Clovis, CA (USA)",25 JUN 2016,1171,100-metres-hurdles,hurdles,female,u20
11,12.84,-0.5,Ackera NUGENT,29 APR 2002,JAM,1sf1,"Hayward Field, Eugene, OR (USA)",10 JUN 2021,1174,100-metres-hurdles,hurdles,female,u20
11,12.84,+0.4,Ackera NUGENT,29 APR 2002,JAM,3,"Hayward Field, Eugene, OR (USA)",12 JUN 2021,1171,100-metres-hurdles,hurdles,female,u20
15,12.85,+2.0,Elvira HERMAN,09 JAN 1997,BLR,1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",24 JUL 2016,1170,100-metres-hurdles,hurdles,female,u20
