rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,50.37,,Sydney MCLAUGHLIN-LEVRONE,07 AUG 1999,USA,1,"Stade de France, Paris (FRA)",08 AUG 2024,1322,400-metres-hurdles,hurdles,female,senior
2,50.65,,Sydney MCLAUGHLIN-LEVRONE,07 AUG 1999,USA,1,"Hayward Field, Eugene, OR (USA)",30 JUN 2024,1313,400-metres-hurdles,hurdles,female,senior
3,50.68,,Sydney MCLAUGHLIN,07 AUG 1999,USA,1,"Hayward Field, Eugene, OR (USA)",22 JUL 2022,1312,400-metres-hurdles,hurdles,female,senior
4,50.95,,Femke BOL,23 FEB 2000,NED,1f1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",14 JUL 2024,1303,400-metres-hurdles,hurdles,female,senior
5,51.30,,Femke BOL,23 FEB 2000,NED,1,"Olympic Stadium, London (GBR)",20 JUL 2024,1291,400-metres-hurdles,hurdles,female,senior
6,51.41,,Sydney MCLAUGHLIN,07 AUG 1999,USA,1,"Hayward Field, Eugene, OR (USA)",25 JUN 2022,1288,400-metres-hurdles,hurdles,female,senior
7,51.45,,Femke BOL,23 FEB 2000,NED,1,"Olympic Stadium, London (GBR)",23 JUL 2023,1286,400-metres-hurdles,hurdles,female,senior
8,51.46,,Sydney MCLAUGHLIN,07 AUG 1999,USA,1,"National Stadium, Tokyo (JPN)",04 AUG 2021,1286,400-metres-hurdles,hurdles,female,senior
9,51.54,,Femke BOL,23 FEB 2000,NED,1,"National Stadium, Tokyo (JPN)",19 SEP 2025,1283,400-metres-hurdles,hurdles,female,senior
10,51.58,,Dalilah MUHAMMAD,07 FEB 1990,USA,2,"National Stadium, Tokyo (JPN)",04 AUG 2021,1282,400-metres-hurdles,hurdles,female,senior
11,51.61,,Sydney MCLAUGHLIN,07 AUG 1999,USA,1f1,"Vanderbilt Track, Nashville, TN (USA)",05 JUN 2022,1281,400-metres-hurdles,hurdles,female,senior
12,51.68,,Sydney MCLAUGHLIN,07 AUG 1999,USA,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",08 AUG 2022,1279,400-metres-hurdles,hurdles,female,senior
13,51.70,,Femke BOL,23 FEB 2000,NED,1,"Nemzeti Atlétikai Központ, Budapest (HUN)",24 AUG 2023,1278,400-metres-hurdles,hurdles,female,senior
14,51.87,,Anna COCKRELL,28 AUG 1997,USA,2,"Stade de France, Paris (FRA)",08 AUG 2024,1273,400-metres-hurdles,hurdles,female,senior
15,51.90,,Sydney MCLAUGHLIN,07 AUG 1999,USA,1,"Hayward Field, Eugene, OR (USA)",27 JUN 2021,1272,400-metres-hurdles,hurdles,female,senior
16,51.91,,Femke BOL,23 FEB 2000,NED,1,"Stadion Śląski, Chorzów (POL)",16 AUG 2025,1271,400-metres-hurdles,hurdles,female,senior
17,51.95,,Femke BOL,23 FEB 2000,NED,1,"Stade Louis II, Monaco (MON)",11 JUL 2025,1270,400-metres-hurdles,hurdles,female,senior
18,51.98,,Femke BOL,23 FEB 2000,NED,1,"Hayward Field, Eugene, OR (USA)",17 SEP 2023,1269,400-metres-hurdles,hurdles,female,senior
19,52.03,,Femke BOL,23 FEB 2000,NED,3,"National Stadium, Tokyo (JPN)",04 AUG 2021,1267,400-metres-hurdles,hurdles,female,senior
20,52.07,,Sydney MCLAUGHLIN-LEVRONE,07 AUG 1999,USA,1,"Ansin Sports Complex, Miramar, FL (USA)",03 MAY 2025,1266,400-metres-hurdles,hurdles,female,senior
21,52.08,,Jasmine JONES,30 NOV 2001,USA,2,"National Stadium, Tokyo (JPN)",19 SEP 2025,1266,400-metres-hurdles,hurdles,female,senior
22,52.10,,Femke BOL,23 FEB 2000,NED,1,"Olympic Stadium, London (GBR)",19 JUL 2025,1265,400-metres-hurdles,hurdles,female,senior
23,52.11,,Femke BOL,23 FEB 2000,NED,1,"Boudewijnstadion, Bruxelles (BEL)",08 SEP 2023,1265,400-metres-hurdles,hurdles,female,senior
23,52.11,,Femke BOL,23 FEB 2000,NED,1,"Olympiastadion, Stockholm (SWE)",15 JUN 2025,1265,400-metres-hurdles,hurdles,female,senior
25,52.13,,Sydney MCLAUGHLIN-LEVRONE,07 AUG 1999,USA,1sf2,"Stade de France, Paris (FRA)",06 AUG 2024,1264,400-metres-hurdles,hurdles,female,senior
25,52.13,,Femke BOL,23 FEB 2000,NED,1,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1264,400-metres-hurdles,hurdles,female,senior
27,52.15,,Femke BOL,23 FEB 2000,NED,3,"Stade de France, Paris (FRA)",08 AUG 2024,1264,400-metres-hurdles,hurdles,female,senior
28,52.16,,Dalilah MUHAMMAD,07 FEB 1990,USA,1,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1263,400-metres-hurdles,hurdles,female,senior
29,52.17,,Sydney MCLAUGHLIN,07 AUG 1999,USA,1sf3,"Hayward Field, Eugene, OR (USA)",20 JUL 2022,1263,400-metres-hurdles,hurdles,female,senior
30,52.18,,Femke BOL,23 FEB 2000,NED,1,"Letzigrund, Zürich (SUI)",28 AUG 2025,1263,400-metres-hurdles,hurdles,female,senior
31,52.20,,Dalilah MUHAMMAD,07 FEB 1990,USA,1,"Drake Stadium, Des Moines, IA (USA)",28 JUL 2019,1262,400-metres-hurdles,hurdles,female,senior
32,52.23,,Sydney MCLAUGHLIN,07 AUG 1999,USA,2,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1261,400-metres-hurdles,hurdles,female,senior
33,52.24,,Femke BOL,23 FEB 2000,NED,1,"Nemzeti Atlétikai Központ, Budapest (HUN)",12 AUG 2025,1261,400-metres-hurdles,hurdles,female,senior
34,52.25,,Femke BOL,23 FEB 2000,NED,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1260,400-metres-hurdles,hurdles,female,senior
35,52.27,,Femke BOL,23 FEB 2000,NED,1,"Olympiastadion, Stockholm (SWE)",30 JUN 2022,1260,400-metres-hurdles,hurdles,female,senior
35,52.27,,Femke BOL,23 FEB 2000,NED,2,"Hayward Field, Eugene, OR (USA)",22 JUL 2022,1260,400-metres-hurdles,hurdles,female,senior
37,52.29,,Jasmine JONES,30 NOV 2001,USA,4,"Stade de France, Paris (FRA)",08 AUG 2024,1259,400-metres-hurdles,hurdles,female,senior
38,52.30,,Femke BOL,23 FEB 2000,NED,1,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,1259,400-metres-hurdles,hurdles,female,senior
39,52.31,,Femke BOL,23 FEB 2000,NED,1sf2,"National Stadium, Tokyo (JPN)",17 SEP 2025,1258,400-metres-hurdles,hurdles,female,senior
40,52.34,,Yulia PECHONKINA,21 APR 1978,RUS,1,Tula (RUS),08 AUG 2003,1257,400-metres-hurdles,hurdles,female,senior
41,52.37,,Femke BOL,23 FEB 2000,NED,1,"Olympiastadion, Stockholm (SWE)",04 JUL 2021,1256,400-metres-hurdles,hurdles,female,senior
42,52.39,,Shamier LITTLE,20 MAR 1995,USA,2,"Olympiastadion, Stockholm (SWE)",04 JUL 2021,1256,400-metres-hurdles,hurdles,female,senior
43,52.42,,Melaine WALKER,01 MAR 1983,JAM,1,"Olympiastadion, Berlin (GER)",20 AUG 2009,1255,400-metres-hurdles,hurdles,female,senior
43,52.42,,Dalilah MUHAMMAD,07 FEB 1990,USA,2,"Hayward Field, Eugene, OR (USA)",27 JUN 2021,1255,400-metres-hurdles,hurdles,female,senior
45,52.43,,Femke BOL,23 FEB 2000,NED,1,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023,1254,400-metres-hurdles,hurdles,female,senior
46,52.45,,Femke BOL,23 FEB 2000,NED,1,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2024,1254,400-metres-hurdles,hurdles,female,senior
47,52.46,,Femke BOL,23 FEB 2000,NED,1,"Stade Olympique, Rabat (MAR)",25 MAY 2025,1253,400-metres-hurdles,hurdles,female,senior
47,52.46,,Savannah SUTHERLAND,07 AUG 2003,CAN,1,"Hayward Field, Eugene, OR (USA)",14 JUN 2025,1253,400-metres-hurdles,hurdles,female,senior
49,52.47,,Lashinda DEMUS,10 MAR 1983,USA,1,"DS, Daegu (KOR)",01 SEP 2011,1253,400-metres-hurdles,hurdles,female,senior
50,52.48,,Sydney MCLAUGHLIN-LEVRONE,07 AUG 1999,USA,1sf1,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1253,400-metres-hurdles,hurdles,female,senior
51,52.49,,Femke BOL,23 FEB 2000,NED,1,"Stadio Olimpico, Roma (ITA)",11 JUN 2024,1253,400-metres-hurdles,hurdles,female,senior
52,52.51,,Rushell CLAYTON,18 OCT 1992,JAM,1,"National Stadium, Kingston (JAM)",28 JUN 2024,1252,400-metres-hurdles,hurdles,female,senior
52,52.51,,Femke BOL,23 FEB 2000,NED,1,"FBK Stadium, Hengelo (NED)",09 JUN 2025,1252,400-metres-hurdles,hurdles,female,senior
54,52.57,,Femke BOL,23 FEB 2000,NED,1sf3,"Stade de France, Paris (FRA)",06 AUG 2024,1250,400-metres-hurdles,hurdles,female,senior
55,52.58,,Dalilah MUHAMMAD,07 FEB 1990,USA,2,"Stade Louis II, Monaco (MON)",11 JUL 2025,1250,400-metres-hurdles,hurdles,female,senior
56,52.59,,Anna COCKRELL,28 AUG 1997,USA,1,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1249,400-metres-hurdles,hurdles,female,senior
57,52.61,,Kim BATTEN,29 MAR 1969,USA,1,"Ullevi Stadium, Göteborg (SWE)",11 AUG 1995,1249,400-metres-hurdles,hurdles,female,senior
57,52.61,,Femke BOL,23 FEB 2000,NED,1,"Bislett Stadion, Oslo (NOR)",16 JUN 2022,1249,400-metres-hurdles,hurdles,female,senior
