rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,1.96,,Charmaine WEAVERS,27 FEB 1964,RSA,1,Bloemfontein (RSA),04 APR 1981,1180,high-jump,jumps,female,u18
1,1.96,,Olga TURCHAK,05 MAR 1967,URS,1,Donetsk (URS),07 SEP 1984,1180,high-jump,jumps,female,u18
1,1.96,,Eleanor PATTERSON,22 MAY 1996,AUS,1,Townsville (AUS),07 DEC 2013,1180,high-jump,jumps,female,u18
1,1.96,,Vashti CUNNINGHAM,18 JAN 1998,USA,1,Edmonton (CAN),01 AUG 2015,1180,high-jump,jumps,female,u18
1,1.96,,Yaroslava MAHUCHIKH,19 SEP 2001,UKR,4,Minsk (BLR) (i),22 DEC 2018,1180,high-jump,jumps,female,u18
1,1.96,,Angelina TOPIĆ,26 JUL 2005,SRB,1,"Atletski Stadion, Kruševac (SRB)",26 JUN 2022,1180,high-jump,jumps,female,u18
1,1.96,,Karmen BRUUS,24 JAN 2005,EST,7,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1180,high-jump,jumps,female,u18
8,1.95,,Marina KUPTSOVA,22 DEC 1981,RUS,3,Brno (CZE) (i),31 JAN 1998,1170,high-jump,jumps,female,u18
8,1.95,,Iryna KOVALENKO,17 JUN 1986,UKR,1,Lviv (UKR) (i),27 DEC 2003,1170,high-jump,jumps,female,u18
8,1.95,,Yaroslava MAHUCHIKH,19 SEP 2001,UKR,1f1,Buenos Aires (ARG),15 OCT 2018,1170,high-jump,jumps,female,u18
8,1.95,,Angelina TOPIĆ,26 JUL 2005,SRB,2,"Filothei Stadium, Athina (GRE)",01 JUN 2022,1170,high-jump,jumps,female,u18
8,1.95,,Karmen BRUUS,24 JAN 2005,EST,1,"Pascual Guerrero Stadium, Cali (COL)",06 AUG 2022,1170,high-jump,jumps,female,u18
13,1.94,,Yelena TOPCHINA,28 SEP 1966,URS,1,"Rudolf Tonn Stadion, Schwechat (AUT)",28 AUG 1983,1160,high-jump,jumps,female,u18
13,1.94,,Marina KUPTSOVA,22 DEC 1981,RUS,5,Moskva (RUS) (i),14 FEB 1998,1160,high-jump,jumps,female,u18
13,1.94,,Morgan LAKE,12 MAY 1997,GBR,1ce2,"Hayward Field, Eugene, OR (USA)",22 JUL 2014,1160,high-jump,jumps,female,u18
13,1.94,,Vashti CUNNINGHAM,18 JAN 1998,USA,1f3,"Walnut, CA (USA)",18 APR 2015,1160,high-jump,jumps,female,u18
13,1.94,,Yaroslava MAHUCHIKH,19 SEP 2001,UKR,1,"Olimpiai Sportpark, Győr (HUN)",08 JUL 2018,1160,high-jump,jumps,female,u18
18,1.93,,Andrea BREDER,07 DEC 1964,FRG,1,Koblenz (GER),30 AUG 1981,1150,high-jump,jumps,female,u18
18,1.93,,Olga TURCHAK,05 MAR 1967,URS,1,Plovdiv (BUL),04 AUG 1984,1150,high-jump,jumps,female,u18
18,1.93,,Heike BALCK,19 AUG 1970,GDR,1,Leningrad (URS),20 JUN 1987,1150,high-jump,jumps,female,u18
18,1.93,,Venelina VENEVA-MATEEVA,13 JUN 1974,BUL,1,Dobrich (BUL) (i),23 FEB 1990,1150,high-jump,jumps,female,u18
