rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,7.14,+1.1,Heike DAUTE,16 DEC 1964,GDR,1,Bratislava (TCH),04 JUN 1983,1249,long-jump,jumps,female,u20
2,7.08,+1.0,Heike DAUTE,16 DEC 1964,GDR,1,Leipzig (GER),27 JUL 1983,1236,long-jump,jumps,female,u20
3,7.03,+1.3,Darya KLISHINA,15 JAN 1991,RUS,1,"Meteor, Zhukovskiy (RUS)",26 JUN 2010,1224,long-jump,jumps,female,u20
4,7.01,+2.0,Heike DAUTE,16 DEC 1964,GDR,1,Karl Marx Stadt (GDR),17 JUN 1983,1220,long-jump,jumps,female,u20
5,7.00,-0.2,Birgit GROßHENNIG,21 FEB 1965,GDR,2,Berlin (GER),09 JUN 1984,1219,long-jump,jumps,female,u20
6,6.98,+1.1,Heike DAUTE,16 DEC 1964,GDR,1,Potsdam (GDR),18 AUG 1982,1213,long-jump,jumps,female,u20
7,6.97,+0.3,Heike DAUTE,16 DEC 1964,GDR,1,Jena (GDR),28 MAY 1983,1211,long-jump,jumps,female,u20
8,6.94,-0.5,Magdalena KHRISTOVA,25 FEB 1977,BUL,2,Kalamata (GRE),22 JUN 1996,1208,long-jump,jumps,female,u20
8,6.94,+1.1,Darya KLISHINA,15 JAN 1991,RUS,1,Yerino (RUS),11 JUN 2010,1205,long-jump,jumps,female,u20
10,6.91,0.0,Anișoara CUȘMIR,28 JUN 1962,ROU,1,Bucureşti (ROU),23 MAY 1981,1198,long-jump,jumps,female,u20
10,6.91,+1.0,Heike DAUTE,16 DEC 1964,GDR,1,Jena (GDR),09 AUG 1981,1198,long-jump,jumps,female,u20
10,6.91,,Larissa IAPICHINO,18 JUL 2002,ITA,1,"Palaindoor Ancona, Ancona (ITA) (i)",20 FEB 2021,1198,long-jump,jumps,female,u20
13,6.90,+1.4,Beverly KINCH,14 JAN 1964,GBR,,"Olympiastadion, Helsinki (FIN)",14 AUG 1983,1196,long-jump,jumps,female,u20
14,6.88,,Heike DAUTE,16 DEC 1964,GDR,1,Berlin (GER) (i),01 FEB 1983,1191,long-jump,jumps,female,u20
14,6.88,+0.6,Natalya SHEVCHENKO,28 DEC 1966,URS,2,Sochi (URS),26 MAY 1984,1191,long-jump,jumps,female,u20
16,6.87,,Darya KLISHINA,15 JAN 1991,RUS,1,Moskva (RUS) (i),07 FEB 2010,1189,long-jump,jumps,female,u20
17,6.86,,Heike DAUTE,16 DEC 1964,GDR,1,Senftenberg (GER) (i),19 FEB 1983,1187,long-jump,jumps,female,u20
17,6.86,+0.1,Alyssa JONES,06 FEB 2004,USA,2,"Mike A. Myers Stadium, Austin, TX (USA)",08 JUN 2023,1187,long-jump,jumps,female,u20
17,6.86,+1.0,Sophia BECKMON,17 AUG 2005,USA,1,"Demirjian Park, Champaign, IL (USA)",04 MAY 2024,1187,long-jump,jumps,female,u20
20,6.84,,Larisa BALUTA,13 AUG 1965,URS,2,Krasnodar (URS),06 AUG 1983,1183,long-jump,jumps,female,u20
21,6.83,+1.7,Kate HALL,12 JAN 1997,USA,1,"Greensboro, NC (USA)",21 JUN 2015,1180,long-jump,jumps,female,u20
22,6.82,,Natalya SHEVCHENKO,28 DEC 1966,URS,1,Novokuznetsk (RUS),17 JUL 1983,1178,long-jump,jumps,female,u20
