rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,4.71,,Wilma MURTO,11 JUN 1998,FIN,1,Zweibrücken (GER) (i),31 JAN 2016,1180,pole-vault,jumps,female,u20
2,4.66,,Wilma MURTO,11 JUN 1998,FIN,1,Tignes (FRA) (i),06 JAN 2017,1164,pole-vault,jumps,female,u20
3,4.65,,Wilma MURTO,11 JUN 1998,FIN,,Zweibrücken (GER) (i),31 JAN 2016,1161,pole-vault,jumps,female,u20
3,4.65,,Hana MOLL,31 JAN 2005,USA,2q2,"Nemzeti Atlétikai Központ, Budapest (HUN)",21 AUG 2023,1161,pole-vault,jumps,female,u20
5,4.64,,Eliza MCCARTNEY,11 DEC 1996,NZL,1,Auckland (NZL),19 DEC 2015,1158,pole-vault,jumps,female,u20
5,4.64,,Hana MOLL,31 JAN 2005,USA,1,"Dempsey Indoor, Seattle, WA (USA) (i)",27 JAN 2024,1158,pole-vault,jumps,female,u20
7,4.63,,Angelica BENGTSSON,08 JUL 1993,SWE,2,Stockholm (SWE) (i),22 FEB 2011,1155,pole-vault,jumps,female,u20
7,4.63,,Amanda MOLL,31 JAN 2005,USA,5,"Hayward Field, Eugene, OR (USA)",30 JUN 2024,1155,pole-vault,jumps,female,u20
7,4.63,,Hana MOLL,31 JAN 2005,USA,6,"Hayward Field, Eugene, OR (USA)",30 JUN 2024,1155,pole-vault,jumps,female,u20
10,4.61,,Alyona LUTKOVSKAYA,15 MAR 1996,RUS,1,Irkutsk (RUS),21 MAY 2015,1148,pole-vault,jumps,female,u20
10,4.61,,Amanda MOLL,31 JAN 2005,USA,1,"Reno Livestock Events Center, Reno, NV (USA) (i)",13 JAN 2023,1148,pole-vault,jumps,female,u20
10,4.61,,Hana MOLL,31 JAN 2005,USA,3,"Hayward Field, Eugene, OR (USA)",09 JUL 2023,1148,pole-vault,jumps,female,u20
13,4.60,,Hanna SHELEKH,14 JUL 1993,UKR,3,Donetsk (UKR) (i),11 FEB 2012,1145,pole-vault,jumps,female,u20
13,4.60,,Roberta BRUNI,08 MAR 1994,ITA,1,Ancona (ITA) (i),17 FEB 2013,1145,pole-vault,jumps,female,u20
13,4.60,,Robeilys PEINADO,26 NOV 1997,VEN,1,Barquisimeto (VEN),20 MAY 2015,1145,pole-vault,jumps,female,u20
13,4.60,,Lisa GUNNARSSON,20 AUG 1999,SWE,2,"Austin, TX (USA)",31 MAR 2018,1145,pole-vault,jumps,female,u20
13,4.60,,Hana MOLL,31 JAN 2005,USA,1,"The Track at New Balance, Boston, MA (USA) (i)",08 MAR 2024,1145,pole-vault,jumps,female,u20
13,4.60,,Hana MOLL,31 JAN 2005,USA,1,"Hilmer Lodge Stadium, Walnut, CA (USA)",20 APR 2024,1145,pole-vault,jumps,female,u20
19,4.59,,Nina KENNEDY,05 APR 1997,AUS,1,Perth (AUS),14 FEB 2015,1142,pole-vault,jumps,female,u20
20,4.58,,Angelica BENGTSSON,08 JUL 1993,SWE,,Stockholm (SWE) (i),22 FEB 2011,1139,pole-vault,jumps,female,u20
20,4.58,,Angelica BENGTSSON,08 JUL 1993,SWE,1,Sollentuna (SWE),05 JUL 2012,1139,pole-vault,jumps,female,u20
20,4.58,,Hana MOLL,31 JAN 2005,USA,1,"Potts Field, Boulder, CO (USA)",12 MAY 2024,1139,pole-vault,jumps,female,u20
23,4.57,,Angelica BENGTSSON,08 JUL 1993,SWE,1,"Kadrioru staadion, Tallinn (EST)",23 JUL 2011,1136,pole-vault,jumps,female,u20
23,4.57,,Angelica MOSER,09 OCT 1997,SUI,1f1,Frauenkappelen (SUI),01 AUG 2016,1136,pole-vault,jumps,female,u20
25,4.56,,Robeilys PEINADO,26 NOV 1997,VEN,1,Budapest (HUN),10 JUN 2016,1133,pole-vault,jumps,female,u20
26,4.55,,Wilma MURTO,11 JUN 1998,FIN,1,Turku (FIN) (i),17 JAN 2016,1130,pole-vault,jumps,female,u20
26,4.55,,Robeilys PEINADO,26 NOV 1997,VEN,1,Montreuil-sous-Bois (FRA),07 JUN 2016,1130,pole-vault,jumps,female,u20
26,4.55,,Angelica MOSER,09 OCT 1997,SUI,1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",21 JUL 2016,1130,pole-vault,jumps,female,u20
26,4.55,,Lisa GUNNARSSON,20 AUG 1999,SWE,6,"Kombank Arena, Beograd (SRB) (i)",04 MAR 2017,1130,pole-vault,jumps,female,u20
26,4.55,,Lisa GUNNARSSON,20 AUG 1999,SWE,2,Blois (FRA),17 JUN 2017,1130,pole-vault,jumps,female,u20
26,4.55,,Aksana GATAULLINA,17 JUL 2000,ANA,1,St. Petersburg (RUS) (i),23 FEB 2018,1130,pole-vault,jumps,female,u20
26,4.55,,Aksana GATAULLINA,17 JUL 2000,ANA,2,Kazan (RUS),20 JUL 2018,1130,pole-vault,jumps,female,u20
33,4.54,,Alyona LUTKOVSKAYA,15 MAR 1996,RUS,1,Zweibrücken (GER) (i),28 FEB 2015,1127,pole-vault,jumps,female,u20
33,4.54,,Hana MOLL,31 JAN 2005,USA,1f2,"Dempsey Indoor, Seattle, WA (USA) (i)",28 JAN 2023,1127,pole-vault,jumps,female,u20
35,4.53,,Angelica BENGTSSON,08 JUL 1993,SWE,,Stockholm (SWE) (i),22 FEB 2011,1124,pole-vault,jumps,female,u20
35,4.53,,Molly CAUDERY,17 MAR 2000,GBR,1,Mannheim (GER),23 JUN 2018,1124,pole-vault,jumps,female,u20
35,4.53,,Lisa GUNNARSSON,20 AUG 1999,SWE,1,Castres (FRA),25 JUL 2018,1124,pole-vault,jumps,female,u20
35,4.53,,Chloe TIMBERG,24 JUN 2003,USA,3,"Cregger Track, Columbia, SC (USA)",23 APR 2022,1124,pole-vault,jumps,female,u20
35,4.53,,Amanda MOLL,31 JAN 2005,USA,2,"Potts Field, Boulder, CO (USA)",12 MAY 2024,1124,pole-vault,jumps,female,u20
40,4.52,,Angelica BENGTSSON,08 JUL 1993,SWE,1,Sätra (SWE) (i),20 FEB 2011,1120,pole-vault,jumps,female,u20
40,4.52,,Hanna SHELEKH,14 JUL 1993,UKR,4,Liévin (FRA) (i),14 FEB 2012,1120,pole-vault,jumps,female,u20
40,4.52,,Katie BYRES,11 SEP 1993,GBR,2f1,Nevers (FRA) (i),18 FEB 2012,1120,pole-vault,jumps,female,u20
40,4.52,,Robeilys PEINADO,26 NOV 1997,VEN,6,Clermont-Ferrand (FRA) (i),21 FEB 2016,1120,pole-vault,jumps,female,u20
40,4.52,,Wilma MURTO,11 JUN 1998,FIN,2,Turku (FIN),29 JUN 2016,1120,pole-vault,jumps,female,u20
40,4.52,,Wilma MURTO,11 JUN 1998,FIN,1,Zweibrücken (GER) (i),25 FEB 2017,1120,pole-vault,jumps,female,u20
40,4.52,,Anna WILLIS,25 JAN 2006,USA,2,"USD Lillibridge Track Complex, Vermillion, SD (USA)",15 MAY 2025,1120,pole-vault,jumps,female,u20
40,4.52,,Allika Inkeri MOSER,27 MAR 2008,EST,1,"Athletic track of National Arena Philip II, Skopje (MKD)",21 JUL 2025,1120,pole-vault,jumps,female,u20
48,4.51,,Roberta BRUNI,08 MAR 1994,ITA,1,Fermo (ITA) (i),02 FEB 2013,1117,pole-vault,jumps,female,u20
48,4.51,,Lisa GUNNARSSON,20 AUG 1999,SWE,1,Bordeaux (FRA) (i),18 FEB 2017,1117,pole-vault,jumps,female,u20
48,4.51,,Lisa GUNNARSSON,20 AUG 1999,SWE,1,Moulins (FRA),24 JUN 2017,1117,pole-vault,jumps,female,u20
48,4.51,,Amálie ŠVÁBÍKOVÁ,22 NOV 1999,CZE,1,"Ratinan Stadion, Tampere (FIN)",12 JUL 2018,1117,pole-vault,jumps,female,u20
48,4.51,,Amanda MOLL,31 JAN 2005,USA,1f1,"Mike A. Myers Stadium, Austin, TX (USA)",25 MAR 2022,1117,pole-vault,jumps,female,u20
48,4.51,,Hana MOLL,31 JAN 2005,USA,3,"Reno Livestock Events Center, Reno, NV (USA) (i)",13 JAN 2023,1117,pole-vault,jumps,female,u20
48,4.51,,Hana MOLL,31 JAN 2005,USA,5,"Convention Center, Albuquerque, NM (USA) (i)",18 FEB 2023,1117,pole-vault,jumps,female,u20
48,4.51,,Amanda MOLL,31 JAN 2005,USA,8,"Convention Center, Albuquerque, NM (USA) (i)",18 FEB 2023,1117,pole-vault,jumps,female,u20
48,4.51,,Hana MOLL,31 JAN 2005,USA,1,"Veterans Memorial Stadium, Clovis, CA (USA)",27 APR 2024,1117,pole-vault,jumps,female,u20
