rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,14.62,+1.0,Tereza MARINOVA,25 SEP 1977,BUL,1,"SIAC Homebush, Sydney (AUS)",25 AUG 1996,1181,triple-jump,jumps,female,u20
2,14.57,+0.2,Qiuyan HUANG,25 JAN 1980,CHN,1,Shanghai (CHN),19 OCT 1997,1176,triple-jump,jumps,female,u20
3,14.53,+0.5,Leyanis PÉREZ HERNÁNDEZ,10 JAN 2002,CUB,3,Castellón (ESP),29 JUN 2021,1172,triple-jump,jumps,female,u20
4,14.52,+0.6,Anastasiya ILYINA,16 JAN 1982,RUS,1q1,"E.Nacional, Santiago de Chile (CHI)",20 OCT 2000,1171,triple-jump,jumps,female,u20
5,14.48,+1.1,Yekaterina EKTOVA,30 AUG 1992,KAZ,2,Almaty (KAZ),27 JUL 2011,1167,triple-jump,jumps,female,u20
5,14.48,+1.4,Leyanis PÉREZ HERNÁNDEZ,10 JAN 2002,CUB,2,"Estadio Panamericano, La Habana (CUB)",29 MAY 2021,1167,triple-jump,jumps,female,u20
7,14.46,+1.0,Fengmei PENG,02 JUL 1979,CHN,1,Chengdu (CHN),18 APR 1998,1165,triple-jump,jumps,female,u20
8,14.43,+0.6,Kaire LEIBAK,21 MAY 1988,EST,1,"Chaoyang Sport Center, Beijing (CHN)",17 AUG 2006,1161,triple-jump,jumps,female,u20
9,14.39,+0.3,Leyanis PÉREZ HERNÁNDEZ,10 JAN 2002,CUB,1,"Pascual Guerrero Stadium, Cali (COL)",03 DEC 2021,1157,triple-jump,jumps,female,u20
10,14.38,-0.7,Limei XIE,27 JUN 1986,CHN,1,Incheon (KOR),01 SEP 2005,1160,triple-jump,jumps,female,u20
11,14.37,,Ruiping REN,01 FEB 1976,CHN,3,"Palau Sant Jordi, Barcelona (ESP) (i)",11 MAR 1995,1155,triple-jump,jumps,female,u20
11,14.37,0.0,Tereza MARINOVA,25 SEP 1977,BUL,1,Bucureşti (ROU),06 JUL 1996,1155,triple-jump,jumps,female,u20
13,14.36,0.0,Ruiping REN,01 FEB 1976,CHN,1,Beijing (CHN),01 JUN 1994,1154,triple-jump,jumps,female,u20
13,14.36,-0.4,Qiuyan HUANG,25 JAN 1980,CHN,4,Lille (FRA),11 JUL 1998,1156,triple-jump,jumps,female,u20
13,14.36,0.0,Dailenys ALCÁNTARA,10 AUG 1991,CUB,3,La Habana (CUB),29 MAY 2009,1154,triple-jump,jumps,female,u20
16,14.35,,Yana BORODINA,21 APR 1992,RUS,1,Moskva (RUS),15 JUN 2011,1153,triple-jump,jumps,female,u20
17,14.34,+1.7,Ruiping REN,01 FEB 1976,CHN,,"Estadio Universitario, Lisboa (POR)",21 JUL 1994,1152,triple-jump,jumps,female,u20
