rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,30:26.50,,Linet Chepkwemoi MASAI,05 DEC 1989,KEN,3,"National Stadium, Beijing (CHN)",15 AUG 2008,1223,10000-metres,middlelong,female,u20
2,30:28.82,,Yenawa NBRET,18 MAY 2007,ETH,1,"Bislett Stadion, Oslo (NOR)",11 JUN 2025,1221,10000-metres,middlelong,female,u20
3,30:31.55,,Huina XING,25 FEB 1984,CHN,7,"Stade de France, Paris-St-Denis (FRA)",23 AUG 2003,1219,10000-metres,middlelong,female,u20
4,30:39.41,,Lixin LAN,14 FEB 1979,CHN,2,Shanghai (CHN),19 OCT 1997,1211,10000-metres,middlelong,female,u20
5,30:39.98,,Lili YIN,11 NOV 1979,CHN,3,Shanghai (CHN),19 OCT 1997,1211,10000-metres,middlelong,female,u20
6,30:45.21,,Seira FUWA,25 MAR 2003,JPN,1,"Municipal Nishikyogoku Stadium, Kyoto (JPN)",11 DEC 2021,1206,10000-metres,middlelong,female,u20
7,30:53.53,,Girmawit GEBRZIHAIR,21 NOV 2001,ETH,8,Hengelo (NED),17 JUL 2019,1199,10000-metres,middlelong,female,u20
8,30:57.54,,Tsigie GEBRESELAMA,30 SEP 2000,ETH,9,Hengelo (NED),17 JUL 2019,1195,10000-metres,middlelong,female,u20
9,30:59.39,,Senayet GETACHEW,01 OCT 2005,ETH,8,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",23 JUN 2023,1193,10000-metres,middlelong,female,u20
10,30:59.92,,Merima HASHIM,1981,ETH,3,Hechtel (BEL),05 AUG 2000,1193,10000-metres,middlelong,female,u20
11,31:06.20,,Lucy Kabuu WANGUI,24 MAR 1984,KEN,1,Okayama (JPN),27 SEP 2003,1187,10000-metres,middlelong,female,u20
12,31:06.46,,Sarah CHELANGAT,05 JUN 2001,UGA,2,"FBK Stadium, Hengelo (NED)",10 OCT 2020,1187,10000-metres,middlelong,female,u20
13,31:11.26,,Liqing SONG,20 JAN 1980,CHN,7,Shanghai (CHN),19 OCT 1997,1183,10000-metres,middlelong,female,u20
14,31:14.98,,Linet Chepkwemoi MASAI,05 DEC 1989,KEN,7,Ostrava (CZE),12 JUN 2008,1179,10000-metres,middlelong,female,u20
15,31:15.38,,Sally BARSOSIO,21 MAR 1978,KEN,3,"Gottlieb-Daimler Stadion, Stuttgart (GER)",21 AUG 1993,1179,10000-metres,middlelong,female,u20
