rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,6:07.01,,Fancy CHERONO,02 AUG 2001,KEN,4,"Olympiastadion, Berlin (GER)",01 SEP 2019,1160,2000-metres-steeplechase,middlelong,female,u20
2,6:07.72,,Jolanda KALLABIS,18 FEB 2005,GER,1,"Moselstadion, Trier (GER)",09 SEP 2022,1157,2000-metres-steeplechase,middlelong,female,u20
3,6:11.83,,Korahubish ITAA,28 FEB 1992,ETH,1,"Bressanone, Trentino-Alto Adige (ITA)",10 JUL 2009,1140,2000-metres-steeplechase,middlelong,female,u20
4,6:11.90,,Lucia Kamene MUANGI,26 JUN 1992,KEN,2,"Bressanone, Trentino-Alto Adige (ITA)",10 JUL 2009,1140,2000-metres-steeplechase,middlelong,female,u20
5,6:12.0h,,Rosefline CHEPNGETICH,17 JUN 1997,KEN,1h1,Nairobi (KEN),11 JUN 2013,1140,2000-metres-steeplechase,middlelong,female,u20
6,6:14.29,,Alemnat WALLE,29 JAN 2006,ETH,1,"Levy Mwanawasa Stadion, Ndola (ZAM)",02 MAY 2023,1130,2000-metres-steeplechase,middlelong,female,u20
7,6:14.34,,Tigest Getent MEKONEN,07 JUL 1997,BRN,5,"Olympiastadion, Berlin (GER)",06 SEP 2015,1130,2000-metres-steeplechase,middlelong,female,u20
8,6:14.60,,Rosefline CHEPNGETICH,17 JUN 1997,KEN,1,Donetsk (UKR),14 JUL 2013,1129,2000-metres-steeplechase,middlelong,female,u20
9,6:15.12,,Daisy JEPKEMEI,13 FEB 1996,KEN,2,Donetsk (UKR),14 JUL 2013,1127,2000-metres-steeplechase,middlelong,female,u20
10,6:16.19,,Sandrafelis Chebet TUEI,20 JAN 1998,KEN,1,Nairobi (KEN),17 JUN 2015,1123,2000-metres-steeplechase,middlelong,female,u20
11,6:16.41,,Norah JERUTO,02 OCT 1995,KEN,1,Lille (FRA),10 JUL 2011,1122,2000-metres-steeplechase,middlelong,female,u20
12,6:16.83,,Halima HASSEN BERISO,10 NOV 1992,ETH,3,"Bressanone, Trentino-Alto Adige (ITA)",10 JUL 2009,1120,2000-metres-steeplechase,middlelong,female,u20
13,6:17.15,,Celliphine Chepteek CHESPOL,23 MAR 1999,KEN,1,"Pascual Guerrero Stadium, Cali (COL)",17 JUL 2015,1119,2000-metres-steeplechase,middlelong,female,u20
14,6:17.33,,Ruth JEBET,17 NOV 1996,BRN,1,Manama (BRN),29 OCT 2013,1118,2000-metres-steeplechase,middlelong,female,u20
15,6:17.68,,Fancy CHERONO,02 AUG 2001,KEN,1,Algiers (ALG),27 JUL 2018,1117,2000-metres-steeplechase,middlelong,female,u20
16,6:17.91,,Adia BUDDE,29 JUL 2005,GER,1,"Sportanlage an der Kanalstraße, Zeven (GER)",28 MAY 2023,1116,2000-metres-steeplechase,middlelong,female,u20
17,6:18.12,,Ann GATHONI,05 MAR 1998,KEN,8,"Olympiastadion, Berlin (GER)",06 SEP 2015,1115,2000-metres-steeplechase,middlelong,female,u20
18,6:18.55,,Firehiwot GESESE,01 JAN 2006,ETH,2,"Levy Mwanawasa Stadion, Ndola (ZAM)",02 MAY 2023,1113,2000-metres-steeplechase,middlelong,female,u20
19,6:19.23,,Gréta VARGA,19 DEC 2003,HUN,2,"Iharos Sándor Atlétikai Pálya, Budapest (HUN)",26 JUL 2020,1110,2000-metres-steeplechase,middlelong,female,u20
20,6:19.55,,Oona KETTUNEN,10 FEB 1994,FIN,1,Kotka (FIN),13 JUL 2013,1109,2000-metres-steeplechase,middlelong,female,u20
21,6:19.61,,Sandrafelis Chebet TUEI,20 JAN 1998,KEN,2,"Pascual Guerrero Stadium, Cali (COL)",17 JUL 2015,1109,2000-metres-steeplechase,middlelong,female,u20
22,6:19.8h,,Inna POLUŠKINA,07 JUL 1984,LAT,1,Kaunas (LTU),10 AUG 2003,1108,2000-metres-steeplechase,middlelong,female,u20
23,6:20.10,,Rosefline CHEPNGETICH,17 JUN 1997,KEN,1h,"Olympic Stadium, Nanjing (CHN)",21 AUG 2014,1107,2000-metres-steeplechase,middlelong,female,u20
24,6:20.22,,Jolanda KALLABIS,18 FEB 2005,GER,1f1,"Givat Ram Stadium, Jerusalem (ISR)",06 JUL 2022,1107,2000-metres-steeplechase,middlelong,female,u20
