rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,8:44.32,,Beatrice CHEPKOECH,06 JUL 1991,KEN,1,"Stade Louis II, Monaco (MON)",20 JUL 2018,1285,3000-metres-steeplechase,middlelong,female,senior
2,8:44.39,,Winfred YAVI,31 DEC 1999,BRN,1,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1285,3000-metres-steeplechase,middlelong,female,senior
3,8:45.25,,Winfred YAVI,31 DEC 1999,BRN,1,"Hayward Field, Eugene, OR (USA)",05 JUL 2025,1282,3000-metres-steeplechase,middlelong,female,senior
4,8:48.03,,Peruth CHEMUTAI,10 JUL 1999,UGA,2,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1275,3000-metres-steeplechase,middlelong,female,senior
5,8:48.71,,Faith CHEROTICH,13 JUL 2004,KEN,2,"Hayward Field, Eugene, OR (USA)",05 JUL 2025,1273,3000-metres-steeplechase,middlelong,female,senior
6,8:49.59,,Winfred YAVI,31 DEC 1999,BRN,1,"Stadion De Veen, Heusden-Zolder (BEL)",19 JUL 2025,1271,3000-metres-steeplechase,middlelong,female,senior
7,8:50.66,,Winfred YAVI,31 DEC 1999,BRN,1,"Hayward Field, Eugene, OR (USA)",16 SEP 2023,1268,3000-metres-steeplechase,middlelong,female,senior
8,8:51.59,,Faith CHEROTICH,13 JUL 2004,KEN,1,"National Stadium, Tokyo (JPN)",17 SEP 2025,1266,3000-metres-steeplechase,middlelong,female,senior
9,8:51.67,,Beatrice CHEPKOECH,06 JUL 1991,KEN,2,"Hayward Field, Eugene, OR (USA)",16 SEP 2023,1266,3000-metres-steeplechase,middlelong,female,senior
10,8:51.77,,Peruth CHEMUTAI,10 JUL 1999,UGA,3,"Hayward Field, Eugene, OR (USA)",05 JUL 2025,1266,3000-metres-steeplechase,middlelong,female,senior
11,8:52.76,,Winfred YAVI,31 DEC 1999,BRN,1,"Stade de France, Paris (FRA)",06 AUG 2024,1263,3000-metres-steeplechase,middlelong,female,senior
12,8:52.78,,Ruth JEBET,17 NOV 1996,BRN,1,"Stade de France, Paris-St-Denis (FRA)",27 AUG 2016,1263,3000-metres-steeplechase,middlelong,female,senior
13,8:53.02,,Norah JERUTO,02 OCT 1995,KAZ,1,"Hayward Field, Eugene, OR (USA)",20 JUL 2022,1262,3000-metres-steeplechase,middlelong,female,senior
14,8:53.34,,Peruth CHEMUTAI,10 JUL 1999,UGA,2,"Stade de France, Paris (FRA)",06 AUG 2024,1261,3000-metres-steeplechase,middlelong,female,senior
15,8:53.37,,Faith CHEROTICH,13 JUL 2004,KEN,1,"Stade Charléty, Paris (FRA)",20 JUN 2025,1261,3000-metres-steeplechase,middlelong,female,senior
16,8:53.65,,Norah JERUTO,02 OCT 1995,KEN,1,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1261,3000-metres-steeplechase,middlelong,female,senior
17,8:54.29,,Winfred YAVI,31 DEC 1999,BRN,1,"Nemzeti Atlétikai Központ, Budapest (HUN)",27 AUG 2023,1259,3000-metres-steeplechase,middlelong,female,senior
18,8:54.41,,Peruth CHEMUTAI,10 JUL 1999,UGA,2,"Stade Charléty, Paris (FRA)",20 JUN 2025,1259,3000-metres-steeplechase,middlelong,female,senior
19,8:54.61,,Werkuha GETACHEW,07 DEC 1995,ETH,2,"Hayward Field, Eugene, OR (USA)",20 JUL 2022,1258,3000-metres-steeplechase,middlelong,female,senior
20,8:55.09,,Peruth CHEMUTAI,10 JUL 1999,UGA,1,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1257,3000-metres-steeplechase,middlelong,female,senior
21,8:55.10,,Beatrice CHEPKOECH,06 JUL 1991,KEN,1,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,1257,3000-metres-steeplechase,middlelong,female,senior
22,8:55.15,,Faith CHEROTICH,13 JUL 2004,KEN,3,"Stade de France, Paris (FRA)",06 AUG 2024,1257,3000-metres-steeplechase,middlelong,female,senior
23,8:55.29,,Ruth JEBET,17 NOV 1996,BRN,1,"Letzigrund, Zürich (SUI)",24 AUG 2017,1256,3000-metres-steeplechase,middlelong,female,senior
24,8:55.40,,Beatrice CHEPKOECH,06 JUL 1991,KEN,1,"Egret Stadium, Xiamen (CHN)",20 APR 2024,1256,3000-metres-steeplechase,middlelong,female,senior
25,8:55.58,,Beatrice CHEPKOECH,06 JUL 1991,KEN,1,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1256,3000-metres-steeplechase,middlelong,female,senior
26,8:56.08,,Mekides ABEBE,29 JAN 2001,ETH,3,"Hayward Field, Eugene, OR (USA)",20 JUL 2022,1254,3000-metres-steeplechase,middlelong,female,senior
