rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,8:06.11,,Junxia WANG,09 JAN 1973,CHN,1,Beijing (CHN),13 SEP 1993,1293,3000-metres,middlelong,female,senior
2,8:07.04,,Faith KIPYEGON,10 JAN 1994,KEN,1,"Stadion Śląski, Chorzów (POL)",16 AUG 2025,1290,3000-metres,middlelong,female,senior
3,8:11.56,,Beatrice CHEBET,05 MAR 2000,KEN,1,"Stade Olympique, Rabat (MAR)",25 MAY 2025,1274,3000-metres,middlelong,female,senior
4,8:12.18,,Yunxia QU,25 DEC 1972,CHN,2,Beijing (CHN),13 SEP 1993,1272,3000-metres,middlelong,female,senior
5,8:12.19,,Junxia WANG,09 JAN 1973,CHN,1h2,Beijing (CHN),12 SEP 1993,1272,3000-metres,middlelong,female,senior
6,8:12.27,,Yunxia QU,25 DEC 1972,CHN,2h2,Beijing (CHN),12 SEP 1993,1271,3000-metres,middlelong,female,senior
7,8:16.50,,Linli ZHANG,06 MAR 1973,CHN,3,Beijing (CHN),13 SEP 1993,1256,3000-metres,middlelong,female,senior
8,8:16.60,,Genzebe DIBABA,08 FEB 1991,ETH,1,"Globe Arena, Stockholm (SWE) (i)",06 FEB 2014,1281,3000-metres,middlelong,female,senior
9,8:16.69,,Gudaf TSEGAY,23 JAN 1997,ETH,1,"Utilita Arena Birmingham, Birmingham (GBR) (i)",25 FEB 2023,1281,3000-metres,middlelong,female,senior
10,8:17.11,,Gudaf TSEGAY,23 JAN 1997,ETH,1,"Arena Stade Couvert, Liévin (FRA) (i)",10 FEB 2024,1279,3000-metres,middlelong,female,senior
11,8:18.49,,Sifan HASSAN,01 JAN 1993,NED,1,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1249,3000-metres,middlelong,female,senior
12,8:19.08,,Francine NIYONSABA,05 MAY 1993,BDI,1,"Stade Charléty, Paris (FRA)",28 AUG 2021,1247,3000-metres,middlelong,female,senior
13,8:19.52,,Ejgayehu TAYE,10 FEB 2000,ETH,2,"Stade Charléty, Paris (FRA)",28 AUG 2021,1245,3000-metres,middlelong,female,senior
14,8:19.78,,Liyan MA,06 SEP 1968,CHN,3h2,Beijing (CHN),12 SEP 1993,1244,3000-metres,middlelong,female,senior
15,8:19.98,,Freweyni HAILU,12 FEB 2001,ETH,1,"Arena Stade Couvert, Liévin (FRA) (i)",13 FEB 2025,1269,3000-metres,middlelong,female,senior
16,8:20.07,,Konstanze KLOSTERHALFEN,18 FEB 1997,GER,2,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1243,3000-metres,middlelong,female,senior
17,8:20.27,,Letesenbet GIDEY,20 MAR 1998,ETH,3,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1243,3000-metres,middlelong,female,senior
18,8:20.68,,Hellen OBIRI,13 DEC 1989,KEN,1,"Suhaim bin Hamad Stadium, Doha (QAT)",09 MAY 2014,1241,3000-metres,middlelong,female,senior
19,8:20.87,,Elle ST. PIERRE,20 FEB 1995,USA,1,"Glasgow Arena, Glasgow (GBR) (i)",02 MAR 2024,1265,3000-metres,middlelong,female,senior
20,8:21.13,,Gudaf TSEGAY,23 JAN 1997,ETH,2,"Glasgow Arena, Glasgow (GBR) (i)",02 MAR 2024,1265,3000-metres,middlelong,female,senior
21,8:21.14,,Mercy CHERONO,07 MAY 1991,KEN,2,"Suhaim bin Hamad Stadium, Doha (QAT)",09 MAY 2014,1240,3000-metres,middlelong,female,senior
22,8:21.26,,Liyan MA,06 SEP 1968,CHN,4,Beijing (CHN),13 SEP 1993,1239,3000-metres,middlelong,female,senior
23,8:21.29,,Genzebe DIBABA,08 FEB 1991,ETH,4,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1239,3000-metres,middlelong,female,senior
24,8:21.42,,Gabriela SZABO,14 NOV 1975,ROU,1,"Stade Louis II, Monaco (MON)",19 JUL 2002,1239,3000-metres,middlelong,female,senior
25,8:21.50,,Diribe WELTEJI,13 MAY 2002,ETH,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1238,3000-metres,middlelong,female,senior
26,8:21.53,,Margaret Chelimo KIPKEMBOI,09 FEB 1993,KEN,3,"Stade Charléty, Paris (FRA)",28 AUG 2021,1238,3000-metres,middlelong,female,senior
27,8:21.64,,Sonia O'SULLIVAN,28 NOV 1969,IRL,1,"Crystal Palace, London (GBR)",15 JUL 1994,1238,3000-metres,middlelong,female,senior
28,8:21.84,,Li-rong ZHANG,03 MAR 1973,CHN,5,Beijing (CHN),13 SEP 1993,1237,3000-metres,middlelong,female,senior
29,8:22.06,,Linli ZHANG,06 MAR 1973,CHN,1h1,Beijing (CHN),12 SEP 1993,1236,3000-metres,middlelong,female,senior
30,8:22.20,,Paula RADCLIFFE,17 DEC 1973,GBR,2,"Stade Louis II, Monaco (MON)",19 JUL 2002,1236,3000-metres,middlelong,female,senior
31,8:22.22,,Almaz AYANA,21 NOV 1991,ETH,1,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",14 JUN 2015,1236,3000-metres,middlelong,female,senior
32,8:22.34,,Almaz AYANA,21 NOV 1991,ETH,1,"Letzigrund, Zürich (SUI)",03 SEP 2015,1235,3000-metres,middlelong,female,senior
33,8:22.44,,Li-rong ZHANG,03 MAR 1973,CHN,2h1,Beijing (CHN),12 SEP 1993,1235,3000-metres,middlelong,female,senior
34,8:22.50,,Genzebe DIBABA,08 FEB 1991,ETH,1,Sabadell (ESP) (i),19 FEB 2016,1260,3000-metres,middlelong,female,senior
35,8:22.54,,Hellen OBIRI,13 DEC 1989,KEN,1,"Suhaim bin Hamad Stadium, Doha (QAT)",25 SEP 2020,1235,3000-metres,middlelong,female,senior
36,8:22.62,,Tatyana KAZANKINA,17 DEC 1951,URS,1,Leningrad (URS),26 AUG 1984,1234,3000-metres,middlelong,female,senior
37,8:22.65,,Gudaf TSEGAY,23 JAN 1997,ETH,1,"Gallur, Madrid (ESP) (i)",24 FEB 2021,1259,3000-metres,middlelong,female,senior
