rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,4:07.64,,Faith KIPYEGON,10 JAN 1994,KEN,1,"Stade Louis II, Monaco (MON)",21 JUL 2023,1286,one-mile,middlelong,female,senior
2,4:11.88,,Gudaf TSEGAY,23 JAN 1997,ETH,1,"Olympic Stadium, London (GBR)",19 JUL 2025,1254,one-mile,middlelong,female,senior
3,4:12.33,,Sifan HASSAN,01 JAN 1993,NED,1,"Stade Louis II, Monaco (MON)",12 JUL 2019,1250,one-mile,middlelong,female,senior
4,4:12.56,,Svetlana MASTERKOVA,17 JAN 1968,RUS,1,Zürich (SUI),14 AUG 1996,1249,one-mile,middlelong,female,senior
5,4:13.31,,Genzebe DIBABA,08 FEB 1991,ETH,1,"Globe Arena, Stockholm (SWE) (i)",17 FEB 2016,1273,one-mile,middlelong,female,senior
6,4:13.68,,Jessica HULL,22 OCT 1996,AUS,2,"Olympic Stadium, London (GBR)",19 JUL 2025,1240,one-mile,middlelong,female,senior
7,4:14.30,,Genzebe DIBABA,08 FEB 1991,ETH,1,Rovereto (ITA),06 SEP 2016,1235,one-mile,middlelong,female,senior
8,4:14.58,,Ciara MAGEEAN,12 MAR 1992,IRL,2,"Stade Louis II, Monaco (MON)",21 JUL 2023,1233,one-mile,middlelong,female,senior
9,4:14.71,,Sifan HASSAN,01 JAN 1993,NED,1,"Olympic Stadium, London (GBR)",22 JUL 2018,1232,one-mile,middlelong,female,senior
10,4:14.74,,Sifan HASSAN,01 JAN 1993,NED,1,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2021,1232,one-mile,middlelong,female,senior
11,4:14.79,,Freweyni HAILU,12 FEB 2001,ETH,3,"Stade Louis II, Monaco (MON)",21 JUL 2023,1232,one-mile,middlelong,female,senior
12,4:15.24,,Laura MUIR,09 MAY 1993,GBR,4,"Stade Louis II, Monaco (MON)",21 JUL 2023,1228,one-mile,middlelong,female,senior
13,4:15.34,,Jessica HULL,22 OCT 1996,AUS,5,"Stade Louis II, Monaco (MON)",21 JUL 2023,1227,one-mile,middlelong,female,senior
14,4:15.61,,Paula IVAN,20 JUL 1963,ROU,1,Nice (FRA),10 JUL 1989,1225,one-mile,middlelong,female,senior
15,4:15.8h,,Natalya ARTYOMOVA,05 JAN 1963,URS,1,Leningrad (URS),05 AUG 1984,1224,one-mile,middlelong,female,senior
16,4:16.05,,Genzebe DIBABA,08 FEB 1991,ETH,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 2017,1222,one-mile,middlelong,female,senior
17,4:16.14,,Gudaf TSEGAY,23 JAN 1997,ETH,2,"Olympic Stadium, London (GBR)",22 JUL 2018,1221,one-mile,middlelong,female,senior
18,4:16.15,,Hellen OBIRI,13 DEC 1989,KEN,3,"Olympic Stadium, London (GBR)",22 JUL 2018,1221,one-mile,middlelong,female,senior
19,4:16.16,,Gudaf TSEGAY,23 JAN 1997,ETH,1,"Arena, Toruń (POL) (i)",08 FEB 2023,1251,one-mile,middlelong,female,senior
20,4:16.26,,Sarah HEALY,13 FEB 2001,IRL,3,"Olympic Stadium, London (GBR)",19 JUL 2025,1221,one-mile,middlelong,female,senior
21,4:16.32,,Sinclaire JOHNSON,13 APR 1998,USA,4,"Olympic Stadium, London (GBR)",19 JUL 2025,1220,one-mile,middlelong,female,senior
22,4:16.35,,Nikki HILTZ,23 OCT 1994,USA,6,"Stade Louis II, Monaco (MON)",21 JUL 2023,1220,one-mile,middlelong,female,senior
23,4:16.38,,Melissa COURTNEY-BRYANT,30 AUG 1993,GBR,7,"Stade Louis II, Monaco (MON)",21 JUL 2023,1220,one-mile,middlelong,female,senior
24,4:16.41,,Elle ST. PIERRE,20 FEB 1995,USA,1,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2024,1249,one-mile,middlelong,female,senior
25,4:16.47,,Elise CRANNY,09 MAY 1996,USA,8,"Stade Louis II, Monaco (MON)",21 JUL 2023,1219,one-mile,middlelong,female,senior
26,4:16.56,,Hellen OBIRI,13 DEC 1989,KEN,1,"Olympic Stadium, London (GBR)",09 JUL 2017,1218,one-mile,middlelong,female,senior
27,4:16.71,,Mary SLANEY,04 AUG 1958,USA,1,"Letzigrund, Zürich (SUI)",21 AUG 1985,1217,one-mile,middlelong,female,senior
27,4:16.71,,Faith KIPYEGON,10 JAN 1994,KEN,1,"Boudewijnstadion, Bruxelles (BEL)",11 SEP 2015,1217,one-mile,middlelong,female,senior
29,4:16.85,,Ellinor PURRIER,20 FEB 1995,USA,1,"Armory Track&Field Center, New York, NY (USA) (i)",08 FEB 2020,1246,one-mile,middlelong,female,senior
30,4:17.00,,Natalya ARTYOMOVA,05 JAN 1963,URS,1,Barcelona (ESP),20 SEP 1991,1215,one-mile,middlelong,female,senior
31,4:17.01,,Heather MACLEAN,31 AUG 1995,USA,1f1,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 MAR 2025,1245,one-mile,middlelong,female,senior
32,4:17.13,,Birke HAYLOM,06 JAN 2006,ETH,1,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,1214,one-mile,middlelong,female,senior
33,4:17.14,,Doina MELINTE,27 DEC 1956,ROU,1,"East Rutherford, NJ (USA) (i)",09 FEB 1990,1244,one-mile,middlelong,female,senior
34,4:17.16,,Marta ZENONI,09 MAR 1999,ITA,5,"Olympic Stadium, London (GBR)",19 JUL 2025,1214,one-mile,middlelong,female,senior
35,4:17.25,,Sonia O'SULLIVAN,28 NOV 1969,IRL,1,"Bislett Stadion, Oslo (NOR)",22 JUL 1994,1213,one-mile,middlelong,female,senior
36,4:17.26,,Konstanze KLOSTERHALFEN,18 FEB 1997,GER,2,"Armory Track&Field Center, New York, NY (USA) (i)",08 FEB 2020,1243,one-mile,middlelong,female,senior
37,4:17.30,,Jenny SIMPSON,23 AUG 1986,USA,4,"Olympic Stadium, London (GBR)",22 JUL 2018,1213,one-mile,middlelong,female,senior
38,4:17.33,,Maricica PUICĂ,29 JUL 1950,ROU,2,"Letzigrund, Zürich (SUI)",21 AUG 1985,1212,one-mile,middlelong,female,senior
39,4:17.36,,Freweyni HAILU,12 FEB 2001,ETH,1,"Atletická hala, Ostrava (CZE) (i)",30 JAN 2024,1242,one-mile,middlelong,female,senior
40,4:17.44,,Maricica PUICĂ,29 JUL 1950,ROU,1,Rieti (ITA),16 SEP 1982,1212,one-mile,middlelong,female,senior
41,4:17.55,,Mary DECKER,04 AUG 1958,USA,1,"Houston, TX (USA) (i)",16 FEB 1980,0,one-mile,middlelong,female,senior
42,4:17.57,,Zola BUDD,26 MAY 1966,GBR,3,"Letzigrund, Zürich (SUI)",21 AUG 1985,1211,one-mile,middlelong,female,senior
43,4:17.60,,Laura WEIGHTMAN,01 JUL 1991,GBR,2,"Stade Louis II, Monaco (MON)",12 JUL 2019,1210,one-mile,middlelong,female,senior
44,4:17.75,,Maryam Yusuf JAMAL,16 SEP 1984,BRN,1,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007,1209,one-mile,middlelong,female,senior
45,4:17.78,,Faith KIPYEGON,10 JAN 1994,KEN,1,"Icahn Stadium, New York, NY (USA)",10 OCT 2025,1209,one-mile,middlelong,female,senior
46,4:17.87,,Gabriela DEBUES-STAFFORD,13 SEP 1995,CAN,3,"Stade Louis II, Monaco (MON)",12 JUL 2019,1208,one-mile,middlelong,female,senior
47,4:17.88,,Jemma REEKIE,06 MAR 1998,GBR,3,"Armory Track&Field Center, New York, NY (USA) (i)",08 FEB 2020,1238,one-mile,middlelong,female,senior
48,4:18.03,,Laura MUIR,09 MAY 1993,GBR,2,"Olympic Stadium, London (GBR)",09 JUL 2017,1207,one-mile,middlelong,female,senior
49,4:18.08,,Mary TABB,04 AUG 1958,USA,1,Paris (FRA),09 JUL 1982,1207,one-mile,middlelong,female,senior
50,4:18.11,,Cory Ann MCGEE,29 MAY 1992,USA,2,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,1207,one-mile,middlelong,female,senior
51,4:18.13,,Doina MELINTE,27 DEC 1956,ROU,1,Oslo (NOR),14 JUL 1990,1206,one-mile,middlelong,female,senior
52,4:18.20,,Sifan HASSAN,01 JAN 1993,NED,2,"Boudewijnstadion, Bruxelles (BEL)",11 SEP 2015,1206,one-mile,middlelong,female,senior
53,4:18.23,,Gelete BURKA,23 JAN 1986,ETH,1,Rieti (ITA),07 SEP 2008,1206,one-mile,middlelong,female,senior
54,4:18.24,,Jessica HULL,22 OCT 1996,AUS,3,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,1206,one-mile,middlelong,female,senior
55,4:18.25,,Maricica PUICĂ,29 JUL 1950,ROU,1,Nice (FRA),15 JUL 1986,1206,one-mile,middlelong,female,senior
56,4:18.31,,Gudaf TSEGAY,23 JAN 1997,ETH,4,"Stade Louis II, Monaco (MON)",12 JUL 2019,1205,one-mile,middlelong,female,senior
57,4:18.38,,Nikki HILTZ,23 OCT 1994,USA,4,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,1205,one-mile,middlelong,female,senior
58,4:18.42,,Rababe ARAFI,12 JAN 1991,MAR,5,"Stade Louis II, Monaco (MON)",12 JUL 2019,1204,one-mile,middlelong,female,senior
59,4:18.58,,Axumawit EMBAYE,18 OCT 1994,ETH,6,"Stade Louis II, Monaco (MON)",12 JUL 2019,1203,one-mile,middlelong,female,senior
60,4:18.60,,Faith KIPYEGON,10 JAN 1994,KEN,1,"Bislett Stadion, Oslo (NOR)",09 JUN 2016,1203,one-mile,middlelong,female,senior
61,4:18.65,,Winnie NANYONDO,23 AUG 1993,UGA,7,"Stade Louis II, Monaco (MON)",12 JUL 2019,1203,one-mile,middlelong,female,senior
62,4:18.75,,Laura MUIR,09 MAY 1993,GBR,1,"Arena Birmingham, Birmingham (GBR) (i)",16 FEB 2019,1232,one-mile,middlelong,female,senior
63,4:18.86,,Doina MELINTE,27 DEC 1956,ROU,1,"East Rutherford, NJ (USA) (i)",13 FEB 1988,1231,one-mile,middlelong,female,senior
64,4:18.99,,Paula IVAN,20 JUL 1963,ROU,1,"East Rutherford, NJ (USA) (i)",10 FEB 1989,1230,one-mile,middlelong,female,senior
65,4:19.03,,Ciara MAGEEAN,12 MAR 1992,IRL,8,"Stade Louis II, Monaco (MON)",12 JUL 2019,1200,one-mile,middlelong,female,senior
65,4:19.03,,Jessica HULL,22 OCT 1996,AUS,2,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2024,1229,one-mile,middlelong,female,senior
67,4:19.08,,Agathe GUILLEMOT,11 JUL 1999,FRA,6,"Olympic Stadium, London (GBR)",19 JUL 2025,1199,one-mile,middlelong,female,senior
68,4:19.09,,Worknesh MESELE,11 JUN 2001,ETH,5,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,1199,one-mile,middlelong,female,senior
69,4:19.12,,Laura MUIR,09 MAY 1993,GBR,2,"Bislett Stadion, Oslo (NOR)",09 JUN 2016,1199,one-mile,middlelong,female,senior
70,4:19.16,,Revee WALCOTT-NOLAN,06 MAR 1995,GBR,7,"Olympic Stadium, London (GBR)",19 JUL 2025,1199,one-mile,middlelong,female,senior
71,4:19.18,,Mary DECKER,04 AUG 1958,USA,1,Oslo (NOR),27 JUL 1983,1199,one-mile,middlelong,female,senior
71,4:19.18,,Mary SLANEY,04 AUG 1958,USA,1,Oslo (NOR),27 JUL 1985,1199,one-mile,middlelong,female,senior
73,4:19.28,,Laura MUIR,09 MAY 1993,GBR,5,"Olympic Stadium, London (GBR)",22 JUL 2018,1198,one-mile,middlelong,female,senior
74,4:19.30,,Gabriela SZABO,14 NOV 1975,ROU,1,Bellinzona (SUI),01 JUL 1998,1198,one-mile,middlelong,female,senior
