rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,8:58.58,,Meseret DEFAR,19 NOV 1983,ETH,1,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007,1238,two-miles,middlelong,female,senior
2,8:59.08,,Francine NIYONSABA,05 MAY 1993,BDI,1,"Hayward Field, Eugene, OR (USA)",27 MAY 2022,1236,two-miles,middlelong,female,senior
3,9:00.48,,Genzebe DIBABA,08 FEB 1991,ETH,1,"National Indoor Arena, Birmingham (GBR) (i)",15 FEB 2014,1257,two-miles,middlelong,female,senior
4,9:00.75,,Francine NIYONSABA,05 MAY 1993,BDI,1,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1231,two-miles,middlelong,female,senior
5,9:04.84,,Laura MUIR,09 MAY 1993,GBR,1,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2024,1243,two-miles,middlelong,female,senior
6,9:06.26,,Meseret DEFAR,19 NOV 1983,ETH,1,Praha (CZE) (i),26 FEB 2009,1238,two-miles,middlelong,female,senior
7,9:06.74,,Letesenbet GIDEY,20 MAR 1998,ETH,2,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1211,two-miles,middlelong,female,senior
8,9:07.12,,Melknat WUDU,03 JAN 2005,ETH,2,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2024,1235,two-miles,middlelong,female,senior
9,9:09.70,,Alicia MONSON,13 MAY 1998,USA,3,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2024,1227,two-miles,middlelong,female,senior
10,9:10.28,,Ellinor PURRIER,20 FEB 1995,USA,1,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",13 FEB 2021,1225,two-miles,middlelong,female,senior
11,9:10.47,,Meseret DEFAR,19 NOV 1983,ETH,1,"Carson, CA (USA)",20 MAY 2007,1199,two-miles,middlelong,female,senior
12,9:10.50,,Meseret DEFAR,19 NOV 1983,ETH,1,"Boston, MA (USA) (i)",26 JAN 2008,1224,two-miles,middlelong,female,senior
13,9:11.49,,Mercy CHERONO,07 MAY 1991,KEN,1,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1196,two-miles,middlelong,female,senior
14,9:12.23,,Tirunesh DIBABA,01 JUN 1985,ETH,1,"National Indoor Arena, Birmingham (GBR) (i)",20 FEB 2010,1219,two-miles,middlelong,female,senior
15,9:12.35,,Vivian Jepkemei CHERUIYOT,11 SEP 1983,KEN,2,"National Indoor Arena, Birmingham (GBR) (i)",20 FEB 2010,1218,two-miles,middlelong,female,senior
16,9:12.59,,Viola Jelagat KIBIWOT,22 DEC 1983,KEN,2,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1193,two-miles,middlelong,female,senior
17,9:12.68,,Sentayehu EJIGU,28 JUN 1985,ETH,3,"National Indoor Arena, Birmingham (GBR) (i)",20 FEB 2010,1217,two-miles,middlelong,female,senior
18,9:12.90,,Irene JELAGAT,10 DEC 1988,KEN,3,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1192,two-miles,middlelong,female,senior
19,9:13.17,,Tirunesh DIBABA,01 JUN 1985,ETH,1,"Reggie Lewis Center, Boston, MA (USA) (i)",02 FEB 2013,1216,two-miles,middlelong,female,senior
20,9:13.27,,Mercy CHERONO,07 MAY 1991,KEN,1,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1190,two-miles,middlelong,female,senior
21,9:13.48,,Viola Jelagat KIBIWOT,22 DEC 1983,KEN,2,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1190,two-miles,middlelong,female,senior
22,9:13.85,,Mimi BELETE,09 JUN 1988,BRN,3,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1189,two-miles,middlelong,female,senior
23,9:13.94,,Kimberley SMITH,19 NOV 1981,NZL,2,"Boston, MA (USA) (i)",26 JAN 2008,1213,two-miles,middlelong,female,senior
24,9:14.09,,Priscah Jepleting CHERONO,27 JUN 1980,KEN,2,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007,1188,two-miles,middlelong,female,senior
25,9:14.28,,Genzebe DIBABA,08 FEB 1991,ETH,4,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1187,two-miles,middlelong,female,senior
26,9:14.55,,Hellen OBIRI,13 DEC 1989,KEN,3,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1186,two-miles,middlelong,female,senior
27,9:14.71,,Beatrice CHEBET,05 MAR 2000,KEN,2,"Hayward Field, Eugene, OR (USA)",27 MAY 2022,1186,two-miles,middlelong,female,senior
28,9:15.71,,Emma COBURN,19 OCT 1990,USA,2,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",13 FEB 2021,1207,two-miles,middlelong,female,senior
29,9:15.74,,Laura GALVÁN,05 OCT 1991,MEX,3,"Hayward Field, Eugene, OR (USA)",27 MAY 2022,1182,two-miles,middlelong,female,senior
30,9:15.80,,Nikki HILTZ,23 OCT 1994,USA,4,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2024,1207,two-miles,middlelong,female,senior
31,9:16.62,,Sylvia Jebiwot KIBET,28 MAR 1984,KEN,3,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007,1180,two-miles,middlelong,female,senior
32,9:16.73,,Konstanze KLOSTERHALFEN,18 FEB 1997,GER,4,"Hayward Field, Eugene, OR (USA)",27 MAY 2022,1179,two-miles,middlelong,female,senior
33,9:16.76,,Nozomi TANAKA,04 SEP 1999,JPN,5,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2024,1204,two-miles,middlelong,female,senior
34,9:16.78,,Jenny SIMPSON,23 AUG 1986,USA,1,"Des Moines, IA (USA)",27 APR 2018,1179,two-miles,middlelong,female,senior
35,9:16.95,,Betsy SAINA,30 JUN 1988,KEN,5,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1179,two-miles,middlelong,female,senior
36,9:17.62,,Helen SCHLACHTENHAUFEN,14 MAR 1995,USA,5,"Hayward Field, Eugene, OR (USA)",27 MAY 2022,1176,two-miles,middlelong,female,senior
37,9:17.75,,Jane HEDENGREN,23 SEP 2006,USA,1,"Renton Memorial Stadium, Renton, WA (USA)",08 JUN 2025,1176,two-miles,middlelong,female,senior
38,9:18.16,,Konstanze KLOSTERHALFEN,18 FEB 1997,GER,4,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1175,two-miles,middlelong,female,senior
39,9:18.26,,Viola Jelagat KIBIWOT,22 DEC 1983,KEN,4,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007,1174,two-miles,middlelong,female,senior
40,9:18.29,,Emily MACKAY,30 APR 1998,USA,6,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2024,1199,two-miles,middlelong,female,senior
41,9:18.35,,Jenny SIMPSON,23 AUG 1986,USA,1,"Reggie Lewis Center, Boston, MA (USA) (i)",07 FEB 2015,1199,two-miles,middlelong,female,senior
42,9:18.73,,Elly HENES,13 OCT 1998,USA,6,"Hayward Field, Eugene, OR (USA)",27 MAY 2022,1173,two-miles,middlelong,female,senior
43,9:19.01,,Edinah JEBITOK,10 NOV 2001,KEN,7,"Hayward Field, Eugene, OR (USA)",27 MAY 2022,1172,two-miles,middlelong,female,senior
44,9:19.39,,Jessica AUGUSTO,08 NOV 1981,POR,4,"National Indoor Arena, Birmingham (GBR) (i)",20 FEB 2010,1195,two-miles,middlelong,female,senior
45,9:19.56,,Sonia O'SULLIVAN,28 NOV 1969,IRL,1,Cork City (IRL),27 JUN 1998,1170,two-miles,middlelong,female,senior
46,9:20.17,,Eleanor FULTON,17 MAY 1993,USA,8,"Hayward Field, Eugene, OR (USA)",27 MAY 2022,1168,two-miles,middlelong,female,senior
47,9:20.19,,Whittni MORGAN,22 OCT 1997,USA,9,"Hayward Field, Eugene, OR (USA)",27 MAY 2022,1168,two-miles,middlelong,female,senior
48,9:20.25,,Shannon ROWBURY,19 SEP 1984,USA,4,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1168,two-miles,middlelong,female,senior
49,9:20.81,,Alemitu HAROYE,09 MAY 1995,ETH,6,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1166,two-miles,middlelong,female,senior
50,9:21.04,,Sally KIPYEGO,19 DEC 1985,KEN,1,"Reggie Lewis Center, Boston, MA (USA) (i)",08 FEB 2014,1190,two-miles,middlelong,female,senior
51,9:21.35,,Amy RUDOLPH,18 SEP 1973,USA,2,Cork City (IRL),27 JUN 1998,1165,two-miles,middlelong,female,senior
52,9:21.59,,Hiwot AYALEW,06 MAR 1990,ETH,2,"National Indoor Arena, Birmingham (GBR) (i)",15 FEB 2014,1188,two-miles,middlelong,female,senior
53,9:21.60,,Tirunesh DIBABA,01 JUN 1985,ETH,1,"Boston, MA (USA) (i)",04 FEB 2012,1188,two-miles,middlelong,female,senior
54,9:21.98,,Amy-Eloise MARKOVC,05 AUG 1995,GBR,5,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1163,two-miles,middlelong,female,senior
55,9:22.10,,Sally KIPYEGO,19 DEC 1985,KEN,5,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1162,two-miles,middlelong,female,senior
56,9:22.44,,Elise CRANNY,09 MAY 1996,USA,6,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1161,two-miles,middlelong,female,senior
57,9:22.66,,Julie-Anne STAEHLI,21 DEC 1993,CAN,3,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",13 FEB 2021,1185,two-miles,middlelong,female,senior
58,9:22.89,,Jessica AUGUSTO,08 NOV 1981,POR,5,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007,1160,two-miles,middlelong,female,senior
59,9:23.32,,Belaynesh OLJIRA,26 JUN 1990,ETH,6,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1158,two-miles,middlelong,female,senior
60,9:23.38,,Regina JACOBS,28 AUG 1963,USA,1,"Boston, MA (USA) (i)",27 JAN 2002,1182,two-miles,middlelong,female,senior
61,9:23.52,,Susan KUIJKEN,08 JUL 1986,NED,7,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1158,two-miles,middlelong,female,senior
62,9:23.58,,Emily INFELD,21 MAR 1990,USA,7,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2024,1182,two-miles,middlelong,female,senior
63,9:24.71,,Courtney WAYMENT,04 AUG 1998,USA,8,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2024,1178,two-miles,middlelong,female,senior
64,9:24.89,,Margaret Wangari MURIUKI,21 MAR 1986,KEN,7,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1153,two-miles,middlelong,female,senior
65,9:26.19,,Jenny SIMPSON,23 AUG 1986,USA,2,"Reggie Lewis Center, Boston, MA (USA) (i)",08 FEB 2014,1173,two-miles,middlelong,female,senior
66,9:26.63,,Betsy SAINA,30 JUN 1988,KEN,8,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1148,two-miles,middlelong,female,senior
67,9:26.87,,Emily LIPARI,19 NOV 1992,USA,4,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",13 FEB 2021,1171,two-miles,middlelong,female,senior
68,9:26.95,,Helen SCHLACHTENHAUFEN,14 MAR 1995,USA,5,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",13 FEB 2021,1171,two-miles,middlelong,female,senior
69,9:27.05,,Sentayehu EJIGU,28 JUN 1985,ETH,2,"Reggie Lewis Center, Boston, MA (USA) (i)",07 FEB 2015,1171,two-miles,middlelong,female,senior
70,9:27.18,,Kathy BUTLER,22 OCT 1973,CAN,3,Cork City (IRL),27 JUN 1998,1146,two-miles,middlelong,female,senior
71,9:27.45,,Katrina COOGAN,15 NOV 1993,USA,6,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",13 FEB 2021,1169,two-miles,middlelong,female,senior
72,9:28.15,,Lynn JENNINGS,01 JUL 1960,USA,1,"New York, NY (USA) (i)",28 FEB 1986,1167,two-miles,middlelong,female,senior
73,9:28.29,,Cindy BREMSER,05 MAY 1953,USA,2,"New York, NY (USA) (i)",28 FEB 1986,1167,two-miles,middlelong,female,senior
74,9:28.80,,Renata PLIŚ,05 FEB 1985,POL,8,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1141,two-miles,middlelong,female,senior
75,9:29.03,,Buze DIRIBA,09 FEB 1994,ETH,3,"Reggie Lewis Center, Boston, MA (USA) (i)",07 FEB 2015,1164,two-miles,middlelong,female,senior
76,9:29.17,,Ellinor PURRIER,20 FEB 1995,USA,1,"Reggie Lewis Center, Boston, MA (USA) (i)",25 JAN 2020,1164,two-miles,middlelong,female,senior
77,9:29.6h,,Zola BUDD,26 MAY 1966,GBR,,London (GBR),09 JUN 1985,1139,two-miles,middlelong,female,senior
78,9:30.39,,Clémence CALVIN,17 MAY 1990,FRA,9,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1136,two-miles,middlelong,female,senior
79,9:30.69,,Amy-Eloise MARKOVC,05 AUG 1995,GBR,7,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",13 FEB 2021,1159,two-miles,middlelong,female,senior
80,9:31.38,,Shelby HOULIHAN,08 FEB 1993,USA,1f2,"New York, NY (USA) (i)",24 FEB 2019,1157,two-miles,middlelong,female,senior
81,9:31.41,,Gotytom GEBRESLASE,15 JAN 1995,ETH,4,"Reggie Lewis Center, Boston, MA (USA) (i)",07 FEB 2015,1157,two-miles,middlelong,female,senior
82,9:31.68,,Lidia CHOJECKA,25 JAN 1977,POL,5,"National Indoor Arena, Birmingham (GBR) (i)",20 FEB 2010,1156,two-miles,middlelong,female,senior
83,9:31.7h,,Mary DECKER,04 AUG 1958,USA,1,"Los Angeles, CA (USA) (i)",21 JAN 1983,1156,two-miles,middlelong,female,senior
84,9:31.89,,Rachel SCHNEIDER,18 JUL 1991,USA,2,"Des Moines, IA (USA)",27 APR 2018,1131,two-miles,middlelong,female,senior
85,9:31.98,,Dominique SCOTT,24 JUN 1992,RSA,2,"Reggie Lewis Center, Boston, MA (USA) (i)",25 JAN 2020,1155,two-miles,middlelong,female,senior
86,9:32.00,,Joanne PAVEY,20 SEP 1973,GBR,1,"National Indoor Arena, Birmingham (GBR) (i)",17 FEB 2007,1155,two-miles,middlelong,female,senior
87,9:32.07,,Paula RADCLIFFE,17 DEC 1973,GBR,1,Loughborough (GBR),23 MAY 1999,1131,two-miles,middlelong,female,senior
88,9:32.56,,Taylor WERNER,01 MAY 1998,USA,1,"Armory Track&Field Center, New York, NY (USA) (i)",02 MAR 2024,1153,two-miles,middlelong,female,senior
89,9:32.75,,Zakia Mrisho MOHAMED,19 FEB 1984,TAN,2,Praha (CZE) (i),26 FEB 2009,1152,two-miles,middlelong,female,senior
90,9:32.81,,Emma COBURN,19 OCT 1990,USA,3,"Reggie Lewis Center, Boston, MA (USA) (i)",25 JAN 2020,1152,two-miles,middlelong,female,senior
91,9:32.82,,Brenda MARTINEZ,08 SEP 1987,USA,3,"Des Moines, IA (USA)",27 APR 2018,1129,two-miles,middlelong,female,senior
92,9:32.99,,Nadia BATTOCLETTI,12 APR 2000,ITA,1,"Arena Civica Gianni Brera, Milano (ITA)",23 APR 2022,1128,two-miles,middlelong,female,senior
93,9:33.2h,,Janice MERRILL,18 JUN 1956,USA,1,"New London, CT (USA) (i)",07 DEC 1982,1151,two-miles,middlelong,female,senior
94,9:33.23,,Lidia CHOJECKA,25 JAN 1977,POL,3,Praha (CZE) (i),26 FEB 2009,1151,two-miles,middlelong,female,senior
95,9:33.47,,Maryam Yusuf JAMAL,16 SEP 1984,BRN,10,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1126,two-miles,middlelong,female,senior
96,9:33.70,,Katie MACKEY,12 NOV 1987,USA,2f2,"New York, NY (USA) (i)",24 FEB 2019,1149,two-miles,middlelong,female,senior
97,9:33.78,,Lisa DOBRISKEY,23 DEC 1983,GBR,2,"National Indoor Arena, Birmingham (GBR) (i)",17 FEB 2007,1149,two-miles,middlelong,female,senior
98,9:34.03,,Meseret DEFAR,19 NOV 1983,ETH,2,"Boston, MA (USA) (i)",27 JAN 2002,1148,two-miles,middlelong,female,senior
99,9:34.27,,Ines BIBERNELL-OBST,21 JUL 1965,GDR,3,"New York, NY (USA) (i)",28 FEB 1986,1147,two-miles,middlelong,female,senior
100,9:34.65,,Ellinor PURRIER,20 FEB 1995,USA,3f2,"New York, NY (USA) (i)",24 FEB 2019,1146,two-miles,middlelong,female,senior
101,9:35.04,,Yuko KAWAKAMI,01 AUG 1975,JPN,4,Cork City (IRL),27 JUN 1998,1122,two-miles,middlelong,female,senior
102,9:35.05,,Jordan HASAY,21 SEP 1991,USA,9,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1122,two-miles,middlelong,female,senior
103,9:35.29,,Jennifer RHINES,01 JUL 1974,USA,3,"Boston, MA (USA) (i)",26 JAN 2008,1144,two-miles,middlelong,female,senior
104,9:35.30,,Abby NICHOLS,31 JAN 1997,USA,9,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2024,1144,two-miles,middlelong,female,senior
105,9:35.43,,Alicja KONIECZEK,02 NOV 1994,POL,10,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2024,1144,two-miles,middlelong,female,senior
106,9:35.66,,Amy RUDOLPH,18 SEP 1973,USA,3,"Boston, MA (USA) (i)",27 JAN 2002,1143,two-miles,middlelong,female,senior
107,9:35.67,,Danielle JONES,21 AUG 1996,USA,10,"Hayward Field, Eugene, OR (USA)",27 MAY 2022,1120,two-miles,middlelong,female,senior
108,9:35.83,,Barbara PARKER,08 NOV 1982,GBR,6,"National Indoor Arena, Birmingham (GBR) (i)",20 FEB 2010,1143,two-miles,middlelong,female,senior
109,9:35.89,,Deena KASTOR,14 FEB 1973,USA,1,"Walnut, CA (USA)",19 APR 2002,1119,two-miles,middlelong,female,senior
110,9:36.00,,Jordan HASAY,21 SEP 1991,USA,3,"Reggie Lewis Center, Boston, MA (USA) (i)",08 FEB 2014,1142,two-miles,middlelong,female,senior
111,9:36.52,,Katrina COOGAN,15 NOV 1993,USA,4,"Reggie Lewis Center, Boston, MA (USA) (i)",25 JAN 2020,1140,two-miles,middlelong,female,senior
112,9:36.70,,Roisin FLANAGAN,02 MAY 1997,IRL,11,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2024,1140,two-miles,middlelong,female,senior
113,9:36.79,,Jessica O'CONNELL,10 FEB 1989,CAN,5,"Reggie Lewis Center, Boston, MA (USA) (i)",25 JAN 2020,1139,two-miles,middlelong,female,senior
114,9:36.85,,Yvonne MURRAY,04 OCT 1964,GBR,1,Cosford (GBR) (i),15 MAR 1987,1139,two-miles,middlelong,female,senior
115,9:36.89,,Renata PLIŚ,05 FEB 1985,POL,7,"National Indoor Arena, Birmingham (GBR) (i)",20 FEB 2010,1139,two-miles,middlelong,female,senior
116,9:37.03,,Joan HANSEN,18 JUL 1958,USA,1,"New York, NY (USA) (i)",26 FEB 1982,1139,two-miles,middlelong,female,senior
117,9:37.04,,Megan WRIGHT,27 JAN 1982,CAN,2,"Carson, CA (USA)",20 MAY 2007,1115,two-miles,middlelong,female,senior
118,9:37.41,,Dorcus EWOI,02 OCT 1996,KEN,2,"Armory Track&Field Center, New York, NY (USA) (i)",02 MAR 2024,1137,two-miles,middlelong,female,senior
119,9:37.64,,Brenda WEBB,30 MAY 1954,USA,2,"New York, NY (USA) (i)",26 FEB 1982,1137,two-miles,middlelong,female,senior
120,9:37.65,,Margaret GROOS,27 SEP 1959,USA,3,"New York, NY (USA) (i)",26 FEB 1982,1137,two-miles,middlelong,female,senior
121,9:37.75,,Adrienne HERZOG,30 SEP 1985,NED,8,"National Indoor Arena, Birmingham (GBR) (i)",20 FEB 2010,1136,two-miles,middlelong,female,senior
122,9:37.86,,Stephanie GARCIA,03 MAY 1988,USA,4,"Des Moines, IA (USA)",27 APR 2018,1113,two-miles,middlelong,female,senior
123,9:37.97,,Sheila REID,02 AUG 1989,CAN,2,"Reggie Lewis Center, Boston, MA (USA) (i)",02 FEB 2013,1136,two-miles,middlelong,female,senior
124,9:38.06,,Cheri GODDARD-KENAH,26 DEC 1970,USA,4,"Boston, MA (USA) (i)",27 JAN 2002,1135,two-miles,middlelong,female,senior
125,9:38.1h,,Francie LARRIEU-SMITH,23 NOV 1952,USA,1,"New York, NY (USA) (i)",27 FEB 1981,1135,two-miles,middlelong,female,senior
126,9:38.28,,Jordan HASAY,21 SEP 1991,USA,1,"New York, NY (USA) (i)",31 JAN 2015,1135,two-miles,middlelong,female,senior
127,9:38.3h,,Margaret GROOS,27 SEP 1959,USA,2,"New York, NY (USA) (i)",27 FEB 1981,1135,two-miles,middlelong,female,senior
128,9:38.39,,Helen CLITHEROE,02 JAN 1974,GBR,6,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007,1111,two-miles,middlelong,female,senior
129,9:38.44,,Fatima AOUAM,16 DEC 1959,MAR,1,Padova (ITA),13 SEP 1987,1111,two-miles,middlelong,female,senior
130,9:38.68,,Mary CAIN,03 MAY 1996,USA,3,"Reggie Lewis Center, Boston, MA (USA) (i)",02 FEB 2013,1133,two-miles,middlelong,female,senior
131,9:38.7h,,Janice MERRILL,18 JUN 1956,USA,1,"New London, CT (USA) (i)",06 DEC 1978,1133,two-miles,middlelong,female,senior
132,9:38.78,,Nicole SIFUENTES,30 JUN 1986,CAN,4,"Reggie Lewis Center, Boston, MA (USA) (i)",02 FEB 2013,1133,two-miles,middlelong,female,senior
133,9:38.92,,Una ENGLISH,14 AUG 1970,IRL,5,Cork City (IRL),27 JUN 1998,1110,two-miles,middlelong,female,senior
134,9:39.11,,Stephanie GARCIA,03 MAY 1988,USA,6,"Reggie Lewis Center, Boston, MA (USA) (i)",25 JAN 2020,1132,two-miles,middlelong,female,senior
135,9:39.38,,Nicole TULLY,30 OCT 1986,USA,2,"New York, NY (USA) (i)",31 JAN 2015,1131,two-miles,middlelong,female,senior
136,9:39.4h,,Francie LARRIEU-SMITH,23 NOV 1952,USA,1,"San Diego, CA (USA) (i)",17 FEB 1974,1131,two-miles,middlelong,female,senior
137,9:39.46,,Buze DIRIBA,09 FEB 1994,ETH,3,"New York, NY (USA) (i)",31 JAN 2015,1131,two-miles,middlelong,female,senior
138,9:39.48,,Tara ERDMANN,14 JUN 1989,USA,5,"Reggie Lewis Center, Boston, MA (USA) (i)",02 FEB 2013,1131,two-miles,middlelong,female,senior
