rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,41:45.84,,Elvira KHASANOVA,10 JAN 2000,RUS,1,Cheboksary (RUS),03 AUG 2019,1202,10000-metres-race-walk,race-walks,female,u20
2,42:43.0h,,Svetlana VASILYEVA,24 JUL 1992,RUS,1,Sochi (RUS),27 FEB 2011,1167,10000-metres-race-walk,race-walks,female,u20
3,42:47.25,,Anežka DRAHOTOVÁ,22 JUL 1995,CZE,1,"Hayward Field, Eugene, OR (USA)",23 JUL 2014,1165,10000-metres-race-walk,race-walks,female,u20
4,42:49.7h,,Hongmiao GAO,17 MAR 1974,CHN,4,Jinan (CHN),15 MAR 1992,1163,10000-metres-race-walk,race-walks,female,u20
5,42:53.90,,Lihong TAN,13 FEB 1973,CHN,6,Jinan (CHN),15 MAR 1992,1161,10000-metres-race-walk,race-walks,female,u20
6,42:56.09,,Hongmiao GAO,17 MAR 1974,CHN,2,Tangshan (CHN),27 SEP 1991,1159,10000-metres-race-walk,race-walks,female,u20
7,42:59.48,,Yelena LASHMANOVA,09 APR 1992,RUS,1,"Kadrioru staadion, Tallinn (EST)",21 JUL 2011,1157,10000-metres-race-walk,race-walks,female,u20
8,43:10.4h,,Qinghua ZHANG,06 MAR 1973,CHN,8,Jinan (CHN),15 MAR 1992,1151,10000-metres-race-walk,race-walks,female,u20
9,43:11.34,,Vera SOKOLOVA,23 JUN 1987,RUS,1,"S. Darius & S. Girėnas Stadium, Kaunas (LTU)",24 JUL 2005,1150,10000-metres-race-walk,race-walks,female,u20
10,43:15.1h,,Yan GU,17 MAR 1974,CHN,10,Jinan (CHN),15 MAR 1992,1148,10000-metres-race-walk,race-walks,female,u20
11,43:15.60,,Bingjie JIN,03 JUN 1971,CHN,1,Anshan (CHN),04 SEP 1989,1148,10000-metres-race-walk,race-walks,female,u20
12,43:18.00,,Hong LI,01 JUN 1979,CHN,1,Nanjing (CHN),28 APR 1996,1146,10000-metres-race-walk,race-walks,female,u20
13,43:20.65,,Katie HAYWARD,23 JUL 2000,AUS,1,Sydney (AUS),05 APR 2019,1145,10000-metres-race-walk,race-walks,female,u20
