rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,1:26:52.3h,,Olimpiada IVANOVA,29 AUG 1970,RUS,1,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",06 SEP 2001,1193,20000-metres-race-walk,race-walks,female,senior
2,1:27:49.3h,,Yelena NIKOLAYEVA,01 FEB 1966,RUS,2,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",06 SEP 2001,1176,20000-metres-race-walk,race-walks,female,senior
3,1:29:07.5h,,Mary Luz ANDIA,09 NOV 2000,PER,1,"COTP Stadium, São Paulo (BRA)",29 JUL 2023,1153,20000-metres-race-walk,race-walks,female,senior
4,1:29:32.4h,,Hongjuan SONG,04 JUL 1984,CHN,1,Changsha (CHN),23 OCT 2003,1145,20000-metres-race-walk,race-walks,female,senior
5,1:29:36.4h,,Susana FEITOR,28 JAN 1975,POR,1,Lisboa (POR),21 JUL 2001,1144,20000-metres-race-walk,race-walks,female,senior
6,1:30:38.3h,,Viviane LYRA,29 JUL 1993,BRA,1,"Centro de Treinamento Paralímpico Brasileiro, São Paulo (BRA)",27 JUN 2024,1126,20000-metres-race-walk,race-walks,female,senior
7,1:30:48.3h,,Rossella GIORDANO,01 DEC 1972,ITA,1,Almada (POR),04 AUG 2000,1123,20000-metres-race-walk,race-walks,female,senior
8,1:30:50.00,,Ivana RENIĆ,21 AUG 1996,CRO,1,"Sports Park Mladost, Zagreb (CRO)",11 MAY 2024,1123,20000-metres-race-walk,race-walks,female,senior
9,1:30:52.0h,,Karla JARAMILLO,21 JAN 1997,ECU,1,Lima (PER),25 MAY 2019,1122,20000-metres-race-walk,race-walks,female,senior
10,1:30:52.7h,,Viviane LYRA,29 JUL 1993,BRA,1,"Centro de Treinamento Paralímpico Brasileiro, São Paulo (BRA)",31 JUL 2025,1122,20000-metres-race-walk,race-walks,female,senior
11,1:31:02.25,,Lorena ARENAS,17 SEP 1993,COL,1,Lima (PER),13 JUN 2015,1119,20000-metres-race-walk,race-walks,female,senior
12,1:31:16.18,,Hong LIU,12 MAY 1987,CHN,1,Wuhan (CHN),01 NOV 2007,1115,20000-metres-race-walk,race-walks,female,senior
13,1:31:18.79,,Xiaoling SONG,21 DEC 1987,CHN,2,Wuhan (CHN),01 NOV 2007,1114,20000-metres-race-walk,race-walks,female,senior
14,1:31:23.7h,,Lauren HARRIS,23 JUL 1999,USA,1,"Hayward Field, Eugene, OR (USA)",02 AUG 2025,1113,20000-metres-race-walk,race-walks,female,senior
15,1:31:25.49,,Mary Luz ANDIA,09 NOV 2000,PER,1,"Estadio Atlético de la VIDENA, Lima (PER)",16 JUN 2023,1112,20000-metres-race-walk,race-walks,female,senior
16,1:31:40.1h,,Karla Ximena SERRANO,14 APR 2004,MEX,1,"Parque Olímpico Pista De Atletismo, Luque, Asunción (PAR)",18 AUG 2025,1108,20000-metres-race-walk,race-walks,female,senior
17,1:31:46.9h,,Lorena ARENAS,17 SEP 1993,COL,1,Santiago de Chile (CHI),13 MAR 2014,1106,20000-metres-race-walk,race-walks,female,senior
18,1:31:47.95,,Yanmin BAI,29 JUN 1987,CHN,3,Wuhan (CHN),01 NOV 2007,1106,20000-metres-race-walk,race-walks,female,senior
