rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,21:05,,Xizhen YANG,11 MAR 2006,CHN,1,Taicang (CHN),08 APR 2023,1141,5-kilometres-race-walk,race-walks,female,u18
2,21:06,,Anisiya KORNIKOVA-KIRDYAPKINA,23 OCT 1989,RUS,5,Saransk (RUS),10 JUN 2006,1139,5-kilometres-race-walk,race-walks,female,u18
3,21:10,,Tatyana KALMYKOVA,10 JAN 1990,RUS,1,Cheboksary (RUS),16 JUN 2007,1135,5-kilometres-race-walk,race-walks,female,u18
4,21:16,,Glenda MOREJÓN,30 MAY 2000,ECU,1,Sucúa (ECU),15 APR 2017,1127,5-kilometres-race-walk,race-walks,female,u18
5,21:28,,Tatyana KALMYKOVA,10 JAN 1990,RUS,1,"Adler, Sochi (RUS)",19 FEB 2006,1113,5-kilometres-race-walk,race-walks,female,u18
6,21:30,,Quanming WU,16 NOV 2001,CHN,1,Shangrao (CHN),14 APR 2018,1110,5-kilometres-race-walk,race-walks,female,u18
7,21:33,,Aihua QIN,03 NOV 1987,CHN,1,Yenking (CHN),05 SEP 2004,1107,5-kilometres-race-walk,race-walks,female,u18
8,21:38,,Yekaterina PETROVA,03 MAY 2004,RUS,1,Sochi (RUS),18 FEB 2020,1101,5-kilometres-race-walk,race-walks,female,u18
9,21:41,,Quanming WU,16 NOV 2001,CHN,1,Huangshan (CHN),03 MAR 2018,1097,5-kilometres-race-walk,race-walks,female,u18
10,21:42,,Irina YUMANOVA,09 APR 1990,RUS,2,Cheboksary (RUS),16 JUN 2007,1096,5-kilometres-race-walk,race-walks,female,u18
11,21:44,,Anisiya KORNIKOVA-KIRDYAPKINA,23 OCT 1989,RUS,2,"Adler, Sochi (RUS)",19 FEB 2006,1094,5-kilometres-race-walk,race-walks,female,u18
12,21:45,,Anastasiya PODYACHIKH,10 JAN 2005,RUS,1,Voronovo (RUS),05 SEP 2021,1093,5-kilometres-race-walk,race-walks,female,u18
13,21:47,,Yelena LASHMANOVA,09 APR 1992,RUS,1,Cheboksary (RUS),13 JUN 2009,1090,5-kilometres-race-walk,race-walks,female,u18
13,21:47,,Anastasiya PODYACHIKH,10 JAN 2005,RUS,1,Cheboksary (RUS),30 MAY 2021,1090,5-kilometres-race-walk,race-walks,female,u18
