rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,3:50:42,,Yelena LASHMANOVA,09 APR 1992,RUS,1,Voronovo (RUS),05 SEP 2020,1295,50-kilometres-race-walk,race-walks,female,senior
2,3:57:08,,Klavdiya AFANASYEVA,15 JAN 1996,RUS,1,Cheboksary (RUS),15 JUN 2019,1256,50-kilometres-race-walk,race-walks,female,senior
3,3:59:15,,Hong LIU,12 MAY 1987,CHN,1,Huangshan (CHN),09 MAR 2019,1244,50-kilometres-race-walk,race-walks,female,senior
4,3:59:56,,Margarita NIKIFOROVA,19 AUG 1998,RUS,2,Voronovo (RUS),05 SEP 2020,1240,50-kilometres-race-walk,race-walks,female,senior
5,4:03:07,,Margarita NIKIFOROVA,19 AUG 1998,RUS,1,Cheboksary (RUS),29 MAY 2021,1221,50-kilometres-race-walk,race-walks,female,senior
6,4:03:51,,Maocuo LI,20 OCT 1992,CHN,2,Huangshan (CHN),09 MAR 2019,1216,50-kilometres-race-walk,race-walks,female,senior
7,4:04:36,,Rui LIANG,18 JUN 1994,CHN,1,Taicang (CHN),05 MAY 2018,1212,50-kilometres-race-walk,race-walks,female,senior
8,4:04:50,,Eleonora Anna GIORGI,14 SEP 1989,ITA,1,Alytus (LTU),19 MAY 2019,1211,50-kilometres-race-walk,race-walks,female,senior
9,4:05:46,,Júlia TAKÁCS,29 JUN 1989,ESP,2,Alytus (LTU),19 MAY 2019,1205,50-kilometres-race-walk,race-walks,female,senior
10,4:05:56,,Inês HENRIQUES,01 MAY 1980,POR,1,"Olympic Stadium, London (GBR)",13 AUG 2017,1204,50-kilometres-race-walk,race-walks,female,senior
11,4:05:58,,Margarita NIKIFOROVA,19 AUG 1998,RUS,2,Cheboksary (RUS),15 JUN 2019,1204,50-kilometres-race-walk,race-walks,female,senior
12,4:07:30,,Faying MA,30 AUG 1993,CHN,3,Huangshan (CHN),09 MAR 2019,1195,50-kilometres-race-walk,race-walks,female,senior
13,4:08:26,,Inês HENRIQUES,01 MAY 1980,POR,1,"Circuito Urbano, Porto de Mos (POR)",15 JAN 2017,1190,50-kilometres-race-walk,race-walks,female,senior
14,4:08:58,,Hang YIN,07 FEB 1997,CHN,2,"Olympic Stadium, London (GBR)",13 AUG 2017,1186,50-kilometres-race-walk,race-walks,female,senior
15,4:09:09,,Hang YIN,07 FEB 1997,CHN,2,Taicang (CHN),05 MAY 2018,1185,50-kilometres-race-walk,race-walks,female,senior
16,4:09:21,,Inês HENRIQUES,01 MAY 1980,POR,1,"Olympiastadion, Berlin (GER)",07 AUG 2018,1184,50-kilometres-race-walk,race-walks,female,senior
17,4:09:33,,Claire TALLENT,06 JUL 1981,AUS,3,Taicang (CHN),05 MAY 2018,1183,50-kilometres-race-walk,race-walks,female,senior
18,4:10:59,,Monica SVENSSON,26 DEC 1978,SWE,1,Scanzorosciate (ITA),21 OCT 2007,1175,50-kilometres-race-walk,race-walks,female,senior
19,4:11:01,,Raquel GONZÁLEZ,16 NOV 1989,ESP,1,El Vendrell (ESP),10 FEB 2019,1174,50-kilometres-race-walk,race-walks,female,senior
20,4:11:12,,Johana ORDÓŇEZ,12 DEC 1987,ECU,1,"Estadio Atlético de la VIDENA, Lima (PER)",11 AUG 2019,1173,50-kilometres-race-walk,race-walks,female,senior
21,4:12:16,,Yelena GINKO,30 JUL 1976,BLR,1,Scanzorosciate (ITA),17 OCT 2004,1167,50-kilometres-race-walk,race-walks,female,senior
22,4:12:26,,Rui LIANG,18 JUN 1994,CHN,1,Xi'an (CHN),08 SEP 2018,1166,50-kilometres-race-walk,race-walks,female,senior
23,4:12:44,,Claire TALLENT,06 JUL 1981,AUS,,"Santee, CA (USA)",26 JAN 2019,1165,50-kilometres-race-walk,race-walks,female,senior
24,4:12:56,,Paola PÉREZ,21 DEC 1989,ECU,4,Taicang (CHN),05 MAY 2018,1163,50-kilometres-race-walk,race-walks,female,senior
25,4:13:04,,Júlia TAKÁCS,29 JUN 1989,ESP,1,Burjassot (ESP),25 FEB 2018,1163,50-kilometres-race-walk,race-walks,female,senior
25,4:13:04,,Maocuo LI,20 OCT 1992,CHN,1,Chifeng (CHN),03 JUL 2018,1163,50-kilometres-race-walk,race-walks,female,senior
27,4:13:28,,Faying MA,30 AUG 1993,CHN,5,Taicang (CHN),05 MAY 2018,1160,50-kilometres-race-walk,race-walks,female,senior
28,4:13:56,,Mirna ORTÍZ,28 FEB 1987,GUA,1,Ciudad de Guatemala (GUA),24 FEB 2019,1158,50-kilometres-race-walk,race-walks,female,senior
29,4:13:57,,Inês HENRIQUES,01 MAY 1980,POR,3,Alytus (LTU),19 MAY 2019,1158,50-kilometres-race-walk,race-walks,female,senior
30,4:14:25,,Mária KATERINKA CZAKOVÁ,02 OCT 1988,SVK,1,Dudince (SVK),24 MAR 2018,1155,50-kilometres-race-walk,race-walks,female,senior
31,4:14:28,,Johana ORDÓŇEZ,12 DEC 1987,ECU,6,Taicang (CHN),05 MAY 2018,1155,50-kilometres-race-walk,race-walks,female,senior
32,4:14:31,,Pengqin JIANG,05 SEP 1995,CHN,4,Huangshan (CHN),09 MAR 2019,1154,50-kilometres-race-walk,race-walks,female,senior
33,4:14:38,,Monica SVENSSON,26 DEC 1978,SWE,1,Scanzorosciate (ITA),18 OCT 2009,1154,50-kilometres-race-walk,race-walks,female,senior
34,4:14:47,,Maocuo LI,20 OCT 1992,CHN,7,Taicang (CHN),05 MAY 2018,1153,50-kilometres-race-walk,race-walks,female,senior
35,4:14:49,,Tiantian BAI,14 AUG 1998,CHN,5,Huangshan (CHN),09 MAR 2019,1153,50-kilometres-race-walk,race-walks,female,senior
36,4:15:21,,Mirna ORTÍZ,28 FEB 1987,GUA,2,"Estadio Atlético de la VIDENA, Lima (PER)",11 AUG 2019,1149,50-kilometres-race-walk,race-walks,female,senior
37,4:15:22,,Júlia TAKÁCS,29 JUN 1989,ESP,2,"Olympiastadion, Berlin (GER)",07 AUG 2018,1149,50-kilometres-race-walk,race-walks,female,senior
38,4:15:33,,Yingliu WANG,01 MAY 1992,CHN,6,Huangshan (CHN),09 MAR 2019,1148,50-kilometres-race-walk,race-walks,female,senior
39,4:15:42,,Mayra PÉREZ,20 DEC 1988,GUA,1,"Owego, NY (USA)",09 SEP 2017,1147,50-kilometres-race-walk,race-walks,female,senior
40,4:15:46,,Mar JUÁREZ,27 SEP 1993,ESP,1,Torrevieja (ESP),16 FEB 2020,1147,50-kilometres-race-walk,race-walks,female,senior
41,4:15:50,,Valentyna MYRONCHUK,10 AUG 1994,UKR,4,Alytus (LTU),19 MAY 2019,1147,50-kilometres-race-walk,race-walks,female,senior
42,4:15:51,,Maocuo LI,20 OCT 1992,CHN,2,Xi'an (CHN),08 SEP 2018,1147,50-kilometres-race-walk,race-walks,female,senior
43,4:16:27,,Jolanta DUKURE,20 SEP 1979,LAT,1,Paralepa (EST),09 SEP 2006,1143,50-kilometres-race-walk,race-walks,female,senior
44,4:16:33,,Mária KATERINKA CZAKOVÁ,02 OCT 1988,SVK,1,Dudince (SVK),23 MAR 2019,1143,50-kilometres-race-walk,race-walks,female,senior
45,4:16:37,,Júlia TAKÁCS,29 JUN 1989,ESP,8,Taicang (CHN),05 MAY 2018,1142,50-kilometres-race-walk,race-walks,female,senior
46,4:16:39,,Nastassia YATSEVICH,18 JAN 1985,BLR,5,Alytus (LTU),19 MAY 2019,1142,50-kilometres-race-walk,race-walks,female,senior
