rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,16:27.02,,Nike/Bowerman Track Club,,USA,1,"Jesuit High School Track, Portland, OR (USA)",31 JUL 2020,1260,4x1500-metres-relay,relays,female,senior
2,16:33.58,,Kenya,,KEN,1,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014,1247,4x1500-metres-relay,relays,female,senior
3,16:55.33,,United States,,USA,2,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014,1204,4x1500-metres-relay,relays,female,senior
4,16:59.65,,Providence,,INT,1,"Franklin Field, Philadelphia, PA (USA)",26 APR 2025,1195,4x1500-metres-relay,relays,female,senior
5,17:03.29,,North Carolina St.,,INT,1,"Franklin Field, Philadelphia, PA (USA)",27 APR 2024,1188,4x1500-metres-relay,relays,female,senior
6,17:05.72,,Kenya,,KEN,1,Nairobi (KEN),26 APR 2014,1184,4x1500-metres-relay,relays,female,senior
7,17:08.05,,Virginia,,INT,2,"Franklin Field, Philadelphia, PA (USA)",27 APR 2024,1179,4x1500-metres-relay,relays,female,senior
8,17:08.17,,Kenya,,KEN,1,Nairobi (KEN),04 APR 2014,1179,4x1500-metres-relay,relays,female,senior
9,17:08.34,,Tennessee,,INT,1,"Philadelphia, PA (USA)",24 APR 2009,1178,4x1500-metres-relay,relays,female,senior
10,17:08.65,,Australia,,AUS,3,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014,1178,4x1500-metres-relay,relays,female,senior
11,17:09.59,,Penn State,,INT,3,"Franklin Field, Philadelphia, PA (USA)",27 APR 2024,1176,4x1500-metres-relay,relays,female,senior
12,17:09.75,,Australia,,AUS,1,London (GBR),25 JUN 2000,1176,4x1500-metres-relay,relays,female,senior
13,17:10.88,,Washington,,INT,2,"Franklin Field, Philadelphia, PA (USA)",26 APR 2025,1173,4x1500-metres-relay,relays,female,senior
14,17:11.35,,Providence,,INT,1,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023,1173,4x1500-metres-relay,relays,female,senior
15,17:11.70,,Oklahoma State,,INT,2,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023,1172,4x1500-metres-relay,relays,female,senior
16,17:11.80,,Georgetown,,USA,2,"Philadelphia, PA (USA)",24 APR 2009,1172,4x1500-metres-relay,relays,female,senior
17,17:12.99,,Georgetown,,USA,3,"Franklin Field, Philadelphia, PA (USA)",26 APR 2025,1169,4x1500-metres-relay,relays,female,senior
18,17:13.14,,Penn State,,INT,4,"Franklin Field, Philadelphia, PA (USA)",26 APR 2025,1169,4x1500-metres-relay,relays,female,senior
19,17:14.55,,Washington,,USA,3,"Philadelphia, PA (USA)",24 APR 2009,1166,4x1500-metres-relay,relays,female,senior
20,17:14.75,,Wisconsin,,USA,4,"Franklin Field, Philadelphia, PA (USA)",27 APR 2024,1166,4x1500-metres-relay,relays,female,senior
21,17:14.91,,Tennessee,,USA,1,"Philadelphia, PA (USA)",23 APR 2010,1166,4x1500-metres-relay,relays,female,senior
22,17:15.41,,Villanova,,INT,2,"Philadelphia, PA (USA)",23 APR 2010,1165,4x1500-metres-relay,relays,female,senior
23,17:15.47,,Michigan,,USA,1,"Philadelphia, PA (USA)",26 APR 2013,1165,4x1500-metres-relay,relays,female,senior
24,17:15.62,,Michigan,,INT,1,"Philadelphia, PA (USA)",27 APR 2007,1164,4x1500-metres-relay,relays,female,senior
25,17:15.64,,Washington,,INT,3,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023,1164,4x1500-metres-relay,relays,female,senior
26,17:16.50,,Oregon,,INT,2,"Philadelphia, PA (USA)",26 APR 2013,1163,4x1500-metres-relay,relays,female,senior
27,17:16.52,,Villanova,,USA,1,"Philadelphia, PA (USA)",25 APR 2014,1163,4x1500-metres-relay,relays,female,senior
28,17:16.74,,Stanford,,USA,2,"Philadelphia, PA (USA)",25 APR 2014,1162,4x1500-metres-relay,relays,female,senior
29,17:17.57,,Villanova,,USA,3,"Philadelphia, PA (USA)",26 APR 2013,1161,4x1500-metres-relay,relays,female,senior
30,17:18.10,,Villanova,,INT,1,"Philadelphia, PA (USA)",27 APR 1990,1159,4x1500-metres-relay,relays,female,senior
31,17:18.63,,Stanford,,USA,1,"Philadelphia, PA (USA)",28 APR 2006,1158,4x1500-metres-relay,relays,female,senior
32,17:19.09,,BMC Ireland,,IRL,2,London (GBR),25 JUN 2000,1158,4x1500-metres-relay,relays,female,senior
33,17:19.44,,Georgetown,,INT,4,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023,1157,4x1500-metres-relay,relays,female,senior
34,17:19.95,,Notre Dame,,INT,5,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023,1156,4x1500-metres-relay,relays,female,senior
35,17:20.18,,North Carolina,,INT,1,"Philadelphia, PA (USA)",25 APR 2003,1155,4x1500-metres-relay,relays,female,senior
36,17:20.87,,Dartmouth College,,USA,3,"Philadelphia, PA (USA)",25 APR 2014,1154,4x1500-metres-relay,relays,female,senior
37,17:22.29,,Villanova,,INT,4,"Philadelphia, PA (USA)",24 APR 2009,1151,4x1500-metres-relay,relays,female,senior
38,17:22.30,,Providence College,,IRL,1,"Philadelphia, PA (USA)",26 APR 1991,1151,4x1500-metres-relay,relays,female,senior
39,17:22.57,,St. Peterburg Region,,RUS,1,"Yunost Stadium, Adler, Sochi (RUS)",07 SEP 2013,1151,4x1500-metres-relay,relays,female,senior
40,17:22.58,,Villanova,,INT,1,"Philadelphia, PA (USA)",28 APR 1989,1151,4x1500-metres-relay,relays,female,senior
41,17:22.72,,Wisconsin,,USA,2,"Philadelphia, PA (USA)",27 APR 1990,1151,4x1500-metres-relay,relays,female,senior
42,17:22.82,,Tennessee,,USA,3,"Philadelphia, PA (USA)",27 APR 1990,1150,4x1500-metres-relay,relays,female,senior
43,17:23.72,,Michigan State,,INT,5,"Franklin Field, Philadelphia, PA (USA)",27 APR 2024,1149,4x1500-metres-relay,relays,female,senior
44,17:24.65,,Bashkortostan Region,,RUS,1,"Adler, Sochi (RUS)",06 SEP 2014,1147,4x1500-metres-relay,relays,female,senior
45,17:25.19,,Boston College,,INT,1,"Philadelphia, PA (USA)",29 APR 2011,1146,4x1500-metres-relay,relays,female,senior
46,17:25.27,,Oregon,,INT,3,"Philadelphia, PA (USA)",23 APR 2010,1146,4x1500-metres-relay,relays,female,senior
47,17:25.65,,Georgetown,,USA,2,"Philadelphia, PA (USA)",29 APR 2011,1145,4x1500-metres-relay,relays,female,senior
48,17:25.85,,Villanova,,INT,1,"Philadelphia, PA (USA)",28 APR 2017,1145,4x1500-metres-relay,relays,female,senior
49,17:26.44,,New Mexico,,INT,6,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023,1143,4x1500-metres-relay,relays,female,senior
50,17:26.78,,Moskva Region,,RUS,2,"Yunost Stadium, Adler, Sochi (RUS)",07 SEP 2013,1143,4x1500-metres-relay,relays,female,senior
51,17:26.83,,Wisconsin,,USA,5,"Franklin Field, Philadelphia, PA (USA)",26 APR 2025,1143,4x1500-metres-relay,relays,female,senior
52,17:26.88,,Stanford,,USA,1,"Philadelphia, PA (USA)",23 APR 2004,1143,4x1500-metres-relay,relays,female,senior
53,17:27.25,,Wisconsin,,INT,7,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023,1142,4x1500-metres-relay,relays,female,senior
54,17:27.47,,Stanford,,USA,2,"Philadelphia, PA (USA)",28 APR 2017,1141,4x1500-metres-relay,relays,female,senior
55,17:27.54,,Stanford,,USA,1,"Philadelphia, PA (USA)",24 APR 2015,1141,4x1500-metres-relay,relays,female,senior
56,17:28.00,,Villanova,,INT,2,"Philadelphia, PA (USA)",28 APR 2006,1140,4x1500-metres-relay,relays,female,senior
57,17:28.12,,Villanova,,INT,3,"Philadelphia, PA (USA)",29 APR 2011,1140,4x1500-metres-relay,relays,female,senior
58,17:28.98,,Michigan,,INT,1,"Philadelphia, PA (USA)",24 APR 2008,1139,4x1500-metres-relay,relays,female,senior
59,17:29.00,,Oregon,,INT,1,"Philadelphia, PA (USA)",27 APR 2012,1139,4x1500-metres-relay,relays,female,senior
60,17:29.12,,Tennessee,,INT,2,"Philadelphia, PA (USA)",24 APR 2008,1138,4x1500-metres-relay,relays,female,senior
61,17:29.32,,Villanova,,INT,1,"Philadelphia, PA (USA)",24 APR 1997,1138,4x1500-metres-relay,relays,female,senior
62,17:29.88,,Ireland,,IRL,1,Grangemouth (GBR),17 AUG 2006,1137,4x1500-metres-relay,relays,female,senior
63,17:29.98,,Nike/Bowerman Track Club B,,USA,2,"Jesuit High School Track, Portland, OR (USA)",31 JUL 2020,1137,4x1500-metres-relay,relays,female,senior
64,17:30.10,,Villanova,,INT,2,"Philadelphia, PA (USA)",24 APR 1991,1136,4x1500-metres-relay,relays,female,senior
65,17:30.22,,North Carolina,,INT,2,"Philadelphia, PA (USA)",24 APR 2015,1136,4x1500-metres-relay,relays,female,senior
66,17:30.38,,Villanova,,INT,1,"Philadelphia, PA (USA)",28 APR 2000,1136,4x1500-metres-relay,relays,female,senior
67,17:32.30,,Villanova,,INT,2,"Philadelphia, PA (USA)",25 APR 2003,1132,4x1500-metres-relay,relays,female,senior
68,17:32.53,,St. Peterburg Region,,RUS,2,"Adler, Sochi (RUS)",06 SEP 2014,1132,4x1500-metres-relay,relays,female,senior
69,17:33.64,,Moskva Region,,RUS,1,Sochi (RUS),17 SEP 2008,1130,4x1500-metres-relay,relays,female,senior
70,17:33.67,,North Carolina,,INT,1,"Philadelphia, PA (USA)",26 APR 2002,1130,4x1500-metres-relay,relays,female,senior
71,17:33.79,,Villanova,,INT,1,"Philadelphia, PA (USA)",28 APR 1995,1129,4x1500-metres-relay,relays,female,senior
72,17:34.06,,Providence College,,INT,2,"Philadelphia, PA (USA)",23 APR 2004,1129,4x1500-metres-relay,relays,female,senior
73,17:34.32,,Virginia,,INT,8,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023,1128,4x1500-metres-relay,relays,female,senior
74,17:34.58,,Scotland,,GBR,2,Grangemouth (GBR),17 AUG 2006,1128,4x1500-metres-relay,relays,female,senior
75,17:34.63,,Arkansas,,INT,1,"Philadelphia, PA (USA)",28 APR 2001,1128,4x1500-metres-relay,relays,female,senior
76,17:35.25,,New Mexico,,INT,4,"Philadelphia, PA (USA)",25 APR 2014,1127,4x1500-metres-relay,relays,female,senior
77,17:36.60,,Colorado,,USA,1,"Philadelphia, PA (USA)",26 APR 1996,1124,4x1500-metres-relay,relays,female,senior
78,17:36.66,,Stanford,,INT,2,"Philadelphia, PA (USA)",26 APR 2002,1124,4x1500-metres-relay,relays,female,senior
79,17:36.83,,Georgetown,,USA,3,"Philadelphia, PA (USA)",24 APR 2015,1124,4x1500-metres-relay,relays,female,senior
80,17:37.11,,Arkansas,,INT,2,"Philadelphia, PA (USA)",28 APR 2000,1123,4x1500-metres-relay,relays,female,senior
81,17:37.15,,Wisconsin,,USA,1,"Philadelphia, PA (USA)",23 APR 1999,1123,4x1500-metres-relay,relays,female,senior
82,17:37.21,,Colorado,,USA,2,"Philadelphia, PA (USA)",24 APR 1997,1123,4x1500-metres-relay,relays,female,senior
83,17:37.23,,North Carolina,,INT,3,"Philadelphia, PA (USA)",23 APR 2004,1123,4x1500-metres-relay,relays,female,senior
84,17:37.27,,Stanford,,INT,2,"Philadelphia, PA (USA)",28 APR 2001,1123,4x1500-metres-relay,relays,female,senior
