rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,3:34.14,,Italy U20,,ITA,1h1,"Estadio Atlético de la VIDENA, Lima (PER)",30 AUG 2024,1104,4x400-metres-relay,relays,female,u18
2,3:34.43,,Jamaica U17,,JAM,1,Nassau (BAH),10 APR 2023,1101,4x400-metres-relay,relays,female,u18
3,3:35.47,,Italy U20,,ITA,5f1,"Estadio Atlético de la VIDENA, Lima (PER)",31 AUG 2024,1093,4x400-metres-relay,relays,female,u18
4,3:36.98,,Great Britain & NI U20,,GBR,2,"Wedaustadion, Duisburg (GER)",26 AUG 1973,1080,4x400-metres-relay,relays,female,u18
5,3:37.65,,Jamaica U18,,JAM,1,Fort-de-France (FRA),21 APR 2014,1075,4x400-metres-relay,relays,female,u18
6,3:38.39,,Hungary U20,,HUN,1,Plovdiv (BUL),05 AUG 1984,1069,4x400-metres-relay,relays,female,u18
6,3:38.39,,Jamaica U17,,JAM,1,Nassau (BAH),02 APR 2018,1069,4x400-metres-relay,relays,female,u18
8,3:38.73,,Jamaica U18,,JAM,1,Willemstad (AHO),17 APR 2017,1066,4x400-metres-relay,relays,female,u18
9,3:38.81,,Bahamas U20,,BAH,3,Santo Domingo (DOM),04 JUL 2010,1065,4x400-metres-relay,relays,female,u18
10,3:39.13,,Jamaica U18,,JAM,1,Basseterre (SKN),06 APR 2015,1062,4x400-metres-relay,relays,female,u18
11,3:39.31,,Jamaica U18,,JAM,1,St. George's (GRN),28 MAR 2016,1061,4x400-metres-relay,relays,female,u18
12,3:39.53,,Australia U20,,AUS,5sf1,"Stadio Zecchini, Grosseto (ITA)",17 JUL 2004,1059,4x400-metres-relay,relays,female,u18
13,3:39.65,,Bahamas U18,,BAH,2,Fort-de-France (FRA),21 APR 2014,1058,4x400-metres-relay,relays,female,u18
14,3:39.70,,Bullis School,,USA,1f6,"New York, NY (USA) (i)",12 MAR 2017,1082,4x400-metres-relay,relays,female,u18
15,3:39.95,,Romania U20,,ROU,6,"National Stadium, Kingston (JAM)",21 JUL 2002,1056,4x400-metres-relay,relays,female,u18
15,3:39.95,,Romania U18,,ROU,,Kingston (GBR),21 JUL 2002,1056,4x400-metres-relay,relays,female,u18
