rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,2:03.42,,Jamaica U18,,JAM,1,Lille (FRA),10 JUL 2011,,medley-relay,relays,female,u18
2,2:03.83,,United States U18,,USA,1,Debrecen (HUN),15 JUL 2001,,medley-relay,relays,female,u18
3,2:03.87,,United States U18,,USA,1f1,Sherbrooke (CAN),13 JUL 2003,,medley-relay,relays,female,u18
4,2:03.92,,United States U18,,USA,2,Lille (FRA),10 JUL 2011,,medley-relay,relays,female,u18
5,2:03.93,,United States U18,,USA,1f1,"Sidi Youssef Ben Ali, Marrakech (MAR)",17 JUL 2005,,medley-relay,relays,female,u18
6,2:04.32,,United States U18,,USA,1f1,"Bressanone, Trentino-Alto Adige (ITA)",12 JUL 2009,,medley-relay,relays,female,u18
7,2:04.57,,Italy U18,,ITA,1,"Athletic track of National Arena Philip II, Skopje (MKD)",26 JUL 2025,,medley-relay,relays,female,u18
8,2:05.15,,United States U18,,USA,1,Donetsk (UKR),14 JUL 2013,,medley-relay,relays,female,u18
9,2:05.23,,Italy U18,,ITA,1f1,Banská Bystrica (SVK),21 JUL 2024,,medley-relay,relays,female,u18
10,2:05.54,,Poland U18,,POL,2f1,Banská Bystrica (SVK),21 JUL 2024,,medley-relay,relays,female,u18
11,2:05.59,,Jamaica U18,,JAM,1h2,Lille (FRA),09 JUL 2011,,medley-relay,relays,female,u18
12,2:05.62,,Americas U18,,INT,1,Singapore (SGP),23 AUG 2010,,medley-relay,relays,female,u18
13,2:05.72,,Canada U18,,CAN,3,Lille (FRA),10 JUL 2011,,medley-relay,relays,female,u18
14,2:05.74,,United States U18,,USA,1f1,Ostrava (CZE),15 JUL 2007,,medley-relay,relays,female,u18
15,2:05.93,,Switzerland U18,,SUI,2,"Athletic track of National Arena Philip II, Skopje (MKD)",26 JUL 2025,,medley-relay,relays,female,u18
16,2:06.13,,Romania U18,,ROU,1,"Atletski stadion Poljane, Maribor (SLO)",29 JUL 2023,,medley-relay,relays,female,u18
17,2:06.19,,Africa U18,,INT,2,Singapore (SGP),23 AUG 2010,,medley-relay,relays,female,u18
18,2:06.26,,Nigeria U18,,NGR,4,Lille (FRA),10 JUL 2011,,medley-relay,relays,female,u18
19,2:06.30,,Poland U18,,POL,3,"Athletic track of National Arena Philip II, Skopje (MKD)",26 JUL 2025,,medley-relay,relays,female,u18
20,2:06.45,,Italy U18,,ITA,2,"Atletski stadion Poljane, Maribor (SLO)",29 JUL 2023,,medley-relay,relays,female,u18
21,2:06.54,,United States U18,,USA,1h2,Sherbrooke (CAN),12 JUL 2003,,medley-relay,relays,female,u18
22,2:06.58,,Australia U18,,AUS,2f1,"Sidi Youssef Ben Ali, Marrakech (MAR)",17 JUL 2005,,medley-relay,relays,female,u18
23,2:06.60,,Brazil U18,,BRA,3f1,"Sidi Youssef Ben Ali, Marrakech (MAR)",17 JUL 2005,,medley-relay,relays,female,u18
