rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,30:23,,Asmarech ANLEY,2005,ETH,2,Lille (FRA),16 NOV 2024,1226,10-kilometres,road-running,female,u20
2,30:34,,Senayet GETACHEW,01 OCT 2005,ETH,5,"Adi-Dassler-Straße 1, Herzogenaurach (GER)",29 APR 2023,1216,10-kilometres,road-running,female,u20
3,30:38,,Yenawa NBRET,18 MAY 2007,ETH,7,Brasov (ROU),22 SEP 2024,1213,10-kilometres,road-running,female,u20
3,30:38,,Senayet GETACHEW,01 OCT 2005,ETH,8,Brasov (ROU),22 SEP 2024,1213,10-kilometres,road-running,female,u20
5,30:50,,Bosena MULATIE,21 NOV 2001,ETH,4,Valencia (ESP),12 JAN 2020,1202,10-kilometres,road-running,female,u20
6,30:58,,Debash DESTA,11 MAY 2005,ETH,7,Castellón (ESP),25 FEB 2024,1195,10-kilometres,road-running,female,u20
7,30:59,,Senayet GETACHEW,01 OCT 2005,ETH,8,"Adi-Dassler-Straße 1, Herzogenaurach (GER)",27 APR 2024,1194,10-kilometres,road-running,female,u20
8,31:00,,Debash DESTA,11 MAY 2005,ETH,2,"Kings Park Athletics Stadium, Durban (RSA)",07 JUL 2024,1193,10-kilometres,road-running,female,u20
9,31:01,,Anchinalu DESSIE,09 JAN 2003,ETH,4,Valencia (ESP),09 JAN 2022,1192,10-kilometres,road-running,female,u20
10,31:11,,Agnes Mwikali MUTUKU,15 DEC 2002,KEN,1,Okayama (JPN),19 DEC 2021,1183,10-kilometres,road-running,female,u20
11,31:13,,Obse ABDETA,07 SEP 2000,ETH,3,Valenciennes (FRA),31 MAR 2019,1181,10-kilometres,road-running,female,u20
12,31:15,,Melknat WUDU,03 JAN 2005,ETH,1,"Boston, MA (USA)",23 JUN 2024,1179,10-kilometres,road-running,female,u20
13,31:16,,Lemlem NIBRET,01 JAN 2005,ETH,5,Lille (FRA),16 NOV 2024,1178,10-kilometres,road-running,female,u20
14,31:17,,Senayet GETACHEW,01 OCT 2005,ETH,3,"Boston, MA (USA)",23 JUN 2024,1177,10-kilometres,road-running,female,u20
15,31:20,,Lemlem NIBRET,01 JAN 2005,ETH,12,Brasov (ROU),22 SEP 2024,1175,10-kilometres,road-running,female,u20
16,31:21,,Janeth Nyiva MUTUNGI,27 AUG 2004,KEN,3,Okayama (JPN),19 DEC 2021,1174,10-kilometres,road-running,female,u20
17,31:24,,Mebrat GIDEY,11 MAR 2005,ETH,11,"Adi-Dassler-Straße 1, Herzogenaurach (GER)",29 APR 2023,1171,10-kilometres,road-running,female,u20
18,31:29,,Karoline Bjerkeli GRØVDAL,14 JUN 1990,NOR,1,Oslo (NOR),03 MAY 2009,1167,10-kilometres,road-running,female,u20
19,31:31,,Coreti CHEPKOECH,07 MAR 1994,KEN,2,Montereau (FRA),28 OCT 2012,1165,10-kilometres,road-running,female,u20
20,31:32,,Winnie CHEPKEMOI,09 OCT 1993,KEN,1,Utrecht (NED),25 SEP 2011,1164,10-kilometres,road-running,female,u20
21,31:35,,Ruti AGA,16 JAN 1994,ETH,5,Tilburg (NED),02 SEP 2012,1161,10-kilometres,road-running,female,u20
22,31:39,,Agnes Mwikali MUTUKU,15 DEC 2002,KEN,1,Okayama (JPN),20 DEC 2020,1158,10-kilometres,road-running,female,u20
23,31:40,,Emebet ANTENEH,13 JAN 1992,ETH,2,Tilburg (NED),05 SEP 2010,1157,10-kilometres,road-running,female,u20
24,31:42,,Zola BUDD,26 MAY 1966,GBR,3,Oslo (NOR),06 MAY 1984,1155,10-kilometres,road-running,female,u20
25,31:43,,Rose CHERUIYOT,21 JUL 1976,KEN,1,Toronto (CAN),07 MAY 1995,1154,10-kilometres,road-running,female,u20
25,31:43,,Risper CHEROP,26 MAR 2006,UGA,1,Abbeville (FRA),31 MAY 2025,1154,10-kilometres,road-running,female,u20
27,31:45,,Melknat WUDU,03 JAN 2005,ETH,3,Addis Abeba (ETH),23 JAN 2022,1152,10-kilometres,road-running,female,u20
28,31:47,,Genet YALEW,31 DEC 1992,ETH,4,Tilburg (NED),05 SEP 2010,1151,10-kilometres,road-running,female,u20
29,31:48,,Debash DESTA,11 MAY 2005,ETH,13,"Adi-Dassler-Straße 1, Herzogenaurach (GER)",27 APR 2024,1150,10-kilometres,road-running,female,u20
30,31:49,,Yanan WEI,06 DEC 1981,CHN,1,Beijing (CHN),10 OCT 1999,1149,10-kilometres,road-running,female,u20
30,31:49,,Obse ABDETA,07 SEP 2000,ETH,3,Oelde (GER),09 JUN 2019,1149,10-kilometres,road-running,female,u20
32,31:50,,Ruti AGA,16 JAN 1994,ETH,1,Houilles (FRA),30 DEC 2012,1148,10-kilometres,road-running,female,u20
32,31:50,,Azmera GEBRU,31 OCT 1995,ETH,4,"Boston, MA (USA)",13 OCT 2014,1148,10-kilometres,road-running,female,u20
32,31:50,,Tinebeb ASRES,01 JAN 2006,ETH,4,Langueux (FRA),15 JUN 2024,1148,10-kilometres,road-running,female,u20
35,31:55,,Belaynesh FIKADU,28 MAR 1987,ETH,1,Barcelona (ESP),09 APR 2006,1143,10-kilometres,road-running,female,u20
36,31:56,,Aminet AHMED,11 FEB 2000,ETH,2,Dakhla (MAR),22 DEC 2019,1143,10-kilometres,road-running,female,u20
37,31:57,,Mekedes ALEMESHETE,30 MAR 2006,ETH,10,Lille (FRA),18 NOV 2023,1142,10-kilometres,road-running,female,u20
37,31:57,,Janeth Nyiva MUTUNGI,27 AUG 2004,KEN,2,Okayama (JPN),17 DEC 2023,1142,10-kilometres,road-running,female,u20
39,32:00,,Anchinalu DESSIE,09 JAN 2003,ETH,4,Port Gentil (GAB),25 JUN 2022,1139,10-kilometres,road-running,female,u20
39,32:00,,Janeth Nyiva MUTUNGI,27 AUG 2004,KEN,3,Okayama (JPN),18 DEC 2022,1139,10-kilometres,road-running,female,u20
39,32:00,,Bertukan WELDE,10 MAY 2004,ETH,7,Castellón (ESP),26 FEB 2023,1139,10-kilometres,road-running,female,u20
42,32:02,,Winnie CHEPKEMOI,09 OCT 1993,KEN,3,Taroudant (MAR),11 MAR 2012,1137,10-kilometres,road-running,female,u20
43,32:03,,Shuru BULO,27 JUN 1998,ETH,1,Okayama (JPN),23 DEC 2017,1136,10-kilometres,road-running,female,u20
