rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,49:53,,Taylor ROE,13 OCT 2000,USA,1,"Washington, DC (USA)",06 APR 2025,1209,10-miles-road,road-running,female,senior
2,50:32,,Evaline CHIRCHIR,02 FEB 1998,KEN,1,Amsterdam (NED),22 SEP 2019,1190,10-miles-road,road-running,female,senior
3,50:35,,Irine Chepet CHEPTAI,04 FEB 1992,KEN,2,Amsterdam (NED),22 SEP 2019,1189,10-miles-road,road-running,female,senior
4,50:39,,Linet Chepkwemoi MASAI,05 DEC 1989,KEN,1,Amsterdam (NED),20 SEP 2009,1187,10-miles-road,road-running,female,senior
5,50:42,,Margaret Chelimo KIPKEMBOI,09 FEB 1993,KEN,1,Amsterdam (NED),17 SEP 2022,1185,10-miles-road,road-running,female,senior
6,50:43,,Eilish MCCOLGAN,25 NOV 1990,GBR,1,Portsmouth (GBR),17 OCT 2021,1185,10-miles-road,road-running,female,senior
7,50:45,,Lonah Chemtai SALPETER,12 DEC 1988,ISR,1,Amsterdam (NED),23 SEP 2018,1184,10-miles-road,road-running,female,senior
7,50:45,,Sharon KEMBOI,,KEN,2,Amsterdam (NED),17 SEP 2022,1184,10-miles-road,road-running,female,senior
9,50:46,,Dibabe KUMA,14 SEP 1996,ETH,2,Amsterdam (NED),23 SEP 2018,1183,10-miles-road,road-running,female,senior
10,50:48,,Selamawit TEFERI,24 MAR 1994,ISR,3,Amsterdam (NED),22 SEP 2019,1182,10-miles-road,road-running,female,senior
11,50:49,,Caroline NYAGA,07 OCT 1993,KEN,3,Amsterdam (NED),17 SEP 2022,1182,10-miles-road,road-running,female,senior
12,50:51,,Hellen OBIRI,13 DEC 1989,KEN,1,Amsterdam (NED),21 SEP 2025,1181,10-miles-road,road-running,female,senior
13,50:56,,Asayech AYICHEW,03 APR 2005,ETH,2,Amsterdam (NED),21 SEP 2025,1178,10-miles-road,road-running,female,senior
14,51:00,,Sonia O'SULLIVAN,28 NOV 1969,IRL,1,Portsmouth (GBR),08 SEP 2002,1176,10-miles-road,road-running,female,senior
14,51:00,,Adane ANMAW,21 OCT 2003,ETH,,"Washington, DC (USA)",06 APR 2025,1176,10-miles-road,road-running,female,senior
16,51:04,,Emma Grace HURLEY,19 DEC 1997,USA,2,"Washington, DC (USA)",06 APR 2025,1175,10-miles-road,road-running,female,senior
17,51:11,,Paula RADCLIFFE,17 DEC 1973,GBR,1,Portsmouth (GBR),26 OCT 2008,1171,10-miles-road,road-running,female,senior
18,51:14,,Sarah CHELANGAT,05 JUN 2001,UGA,1,"Washington, DC (USA)",07 APR 2024,1170,10-miles-road,road-running,female,senior
19,51:16,,Colleen DE REUCK,13 APR 1964,RSA,1,"Washington, DC (USA)",05 APR 1998,1169,10-miles-road,road-running,female,senior
20,51:17,,Vivian Jepkemei CHERUIYOT,11 SEP 1983,KEN,1,Portsmouth (GBR),25 OCT 2015,1168,10-miles-road,road-running,female,senior
21,51:18,,Asayech AYICHEW,03 APR 2005,ETH,1,Amsterdam (NED),22 SEP 2024,1168,10-miles-road,road-running,female,senior
22,51:23,,Susan CHEPKEMEI,25 JUN 1975,KEN,1,Amsterdam (NED),23 SEP 2001,1165,10-miles-road,road-running,female,senior
22,51:23,,Keira D'AMATO,21 OCT 1984,USA,1,"Washington, DC (USA)",24 NOV 2020,1165,10-miles-road,road-running,female,senior
24,51:26,,Peninah ARUSEI,23 FEB 1979,KEN,3,Amsterdam (NED),20 SEP 2009,1164,10-miles-road,road-running,female,senior
24,51:26,,Emily DURGIN,15 MAY 1994,USA,2,"Washington, DC (USA)",07 APR 2024,1164,10-miles-road,road-running,female,senior
26,51:27,,Derartu TULU,21 MAR 1972,ETH,1,Portsmouth (GBR),09 OCT 2005,1163,10-miles-road,road-running,female,senior
27,51:30,,Susan KRUMINS,08 JUL 1986,NED,3,Amsterdam (NED),23 SEP 2018,1162,10-miles-road,road-running,female,senior
28,51:34,,Caroline Makandi GITONGA,12 MAY 1996,KEN,3,Amsterdam (NED),21 SEP 2025,1160,10-miles-road,road-running,female,senior
29,51:35,,Vicoty CHEPNGENO,12 NOV 1993,KEN,1,"Flint, MI (USA)",24 AUG 2019,1160,10-miles-road,road-running,female,senior
30,51:36,,Gladys CHEPKURUI,17 AUG 1994,KEN,2,Amsterdam (NED),22 SEP 2024,1159,10-miles-road,road-running,female,senior
31,51:38,,Buze DIRIBA,09 FEB 1994,ETH,1,"Pittsburgh, PA (USA)",06 NOV 2016,1158,10-miles-road,road-running,female,senior
31,51:38,,Eilish MCCOLGAN,25 NOV 1990,GBR,1,Portsmouth (GBR),20 OCT 2019,1158,10-miles-road,road-running,female,senior
31,51:38,,Kasanesh BAZE,23 OCT 1999,ETH,3,"Washington, DC (USA)",07 APR 2024,1158,10-miles-road,road-running,female,senior
34,51:40,,Rose CHERUIYOT,21 JUL 1976,KEN,1,"Washington, DC (USA)",09 APR 1995,1157,10-miles-road,road-running,female,senior
34,51:40,,Belaynesh FIKADU,28 MAR 1987,ETH,4,Amsterdam (NED),20 SEP 2009,1157,10-miles-road,road-running,female,senior
34,51:40,,Rachel SMITH,18 JUL 1991,USA,4,"Washington, DC (USA)",07 APR 2024,1157,10-miles-road,road-running,female,senior
37,51:41,,Jill BOLTZ,14 OCT 1966,GBR,1,"New York, NY (USA)",20 APR 1991,1157,10-miles-road,road-running,female,senior
38,51:42,,Fiona O'KEEFFE,24 MAY 1998,USA,1,"Minneapolis, MN (USA)",02 OCT 2022,1156,10-miles-road,road-running,female,senior
39,51:43,,Iveen CHEPKEMOI,20 AUG 1997,KEN,2,"Flint, MI (USA)",24 AUG 2019,1156,10-miles-road,road-running,female,senior
40,51:44,,Teyba ERKESSO,30 OCT 1982,ETH,1,"Washington, DC (USA)",01 APR 2007,1155,10-miles-road,road-running,female,senior
40,51:44,,Molly HUDDLE,31 AUG 1984,USA,1,St. Paul (USA),04 OCT 2015,1155,10-miles-road,road-running,female,senior
42,51:46,,Isabella OCHICHI,28 OCT 1979,KEN,2,Amsterdam (NED),23 SEP 2001,1154,10-miles-road,road-running,female,senior
43,51:47,,Cathy O'BRIEN,19 JUL 1967,USA,1,"Flint, MI (USA)",26 AUG 1989,1154,10-miles-road,road-running,female,senior
44,51:49,,Hellen KIMAIYO-KIPKOSKEI,08 SEP 1968,KEN,1,Zaandam (NED),17 SEP 1995,1153,10-miles-road,road-running,female,senior
44,51:49,,Tirunesh DIBABA,01 JUN 1985,ETH,1,Portsmouth (GBR),23 OCT 2016,1153,10-miles-road,road-running,female,senior
