rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,44:20,,Letesenbet GIDEY,20 MAR 1998,ETH,1,Nijmegen (NED),17 NOV 2019,1274,15-kilometres,road-running,female,senior
2,45:37,,Joyciline JEPKOSGEI,28 DEC 1993,KEN,,Praha (CZE),01 APR 2017,1232,15-kilometres,road-running,female,senior
3,46:14,,Florence KIPLAGAT,27 FEB 1987,KEN,,Barcelona (ESP),15 FEB 2015,1212,15-kilometres,road-running,female,senior
4,46:28,,Tirunesh DIBABA,01 JUN 1985,ETH,1,Nijmegen (NED),15 NOV 2009,1205,15-kilometres,road-running,female,senior
5,46:33,,Evaline CHIRCHIR,02 FEB 1998,KEN,2,Nijmegen (NED),17 NOV 2019,1202,15-kilometres,road-running,female,senior
6,46:51,,Mizan ALEM,22 JAN 2002,ETH,1,Nijmegen (NED),17 NOV 2024,1193,15-kilometres,road-running,female,senior
7,46:52,,Zeineba YIMER,17 JUN 1998,ETH,1,Valencia (ESP),08 JUN 2019,1192,15-kilometres,road-running,female,senior
8,46:57,,Elana MEYER,10 OCT 1966,RSA,1,Cape Town (RSA),02 NOV 1991,1189,15-kilometres,road-running,female,senior
8,46:57,,Mestawat TUFA,14 SEP 1983,ETH,1,Nijmegen (NED),16 NOV 2008,1189,15-kilometres,road-running,female,senior
10,46:59,,Lornah KIPLAGAT,01 MAY 1974,NED,,Udine (ITA),14 OCT 2007,1188,15-kilometres,road-running,female,senior
10,46:59,,Prisca JEPTOO,24 JUN 1984,KEN,1,Nijmegen (NED),16 NOV 2014,1188,15-kilometres,road-running,female,senior
12,47:00,,Shalane FLANAGAN,08 JUL 1981,USA,1,"Jacksonville, FL (USA)",15 MAR 2014,1188,15-kilometres,road-running,female,senior
13,47:02,,Lydia CHEROMEI,11 MAY 1977,KEN,1,Nijmegen (NED),21 NOV 2004,1187,15-kilometres,road-running,female,senior
14,47:08,,Tirunesh DIBABA,01 JUN 1985,ETH,1,Nijmegen (NED),18 NOV 2012,1184,15-kilometres,road-running,female,senior
15,47:12,,Beatrice CHEPKOECH,06 JUL 1991,KEN,1,Nijmegen (NED),19 NOV 2023,1181,15-kilometres,road-running,female,senior
16,47:15,,Deena KASTOR,14 FEB 1973,USA,1,"Jacksonville, FL (USA)",08 MAR 2003,1180,15-kilometres,road-running,female,senior
17,47:17,,Ingrid KRISTIANSEN,21 MAR 1956,NOR,1,Monaco (MON),21 NOV 1987,1179,15-kilometres,road-running,female,senior
18,47:18,,Beatrice CHEPKOECH,06 JUL 1991,KEN,1,Nijmegen (NED),20 NOV 2022,1178,15-kilometres,road-running,female,senior
19,47:19,,Stella CHESANG,01 DEC 1996,UGA,1,Nijmegen (NED),18 NOV 2018,1178,15-kilometres,road-running,female,senior
20,47:20,,Deena KASTOR,14 FEB 1973,USA,1,"Jacksonville, FL (USA)",10 MAR 2007,1177,15-kilometres,road-running,female,senior
21,47:21,,Evaline CHIRCHIR,02 FEB 1998,KEN,2,Nijmegen (NED),20 NOV 2022,1177,15-kilometres,road-running,female,senior
22,47:22,,Mestawat TUFA,14 SEP 1983,ETH,1,Nijmegen (NED),19 NOV 2006,1176,15-kilometres,road-running,female,senior
23,47:24,,Joyce Chepkemoi TELE,03 MAY 1995,KEN,1,Valencia (ESP),18 SEP 2021,1175,15-kilometres,road-running,female,senior
23,47:24,,Calli HAUGER-THACKERY,09 JAN 1993,GBR,1,"Jacksonville, FL (USA)",01 MAR 2025,1175,15-kilometres,road-running,female,senior
25,47:28,,Emily SISSON,12 OCT 1991,USA,1,"Jacksonville, FL (USA)",05 MAR 2022,1173,15-kilometres,road-running,female,senior
26,47:29,,Tsigie GEBRESELAMA,30 SEP 2000,ETH,1,Heerenberg (NED),01 DEC 2019,1172,15-kilometres,road-running,female,senior
27,47:30,,Caroline Chepkoech KIPKIRUI,26 MAY 1994,KEN,1,"Tyler, TX (USA)",15 MAY 2021,1172,15-kilometres,road-running,female,senior
28,47:31,,Gete WAMI,11 DEC 1974,ETH,2,Nijmegen (NED),19 NOV 2006,1171,15-kilometres,road-running,female,senior
29,47:32,,Emily CHEBET,18 FEB 1986,KEN,2,Nijmegen (NED),16 NOV 2014,1171,15-kilometres,road-running,female,senior
30,47:33,,Dorcas Jepchumba KIMELI,05 JUL 1997,KEN,2,Valencia (ESP),08 JUN 2019,1170,15-kilometres,road-running,female,senior
31,47:35,,Evaline CHIRCHIR,02 FEB 1998,KEN,2,Nijmegen (NED),18 NOV 2018,1169,15-kilometres,road-running,female,senior
32,47:36,,Bezunesh BEKELE,29 JAN 1983,ETH,1,Nijmegen (NED),18 NOV 2007,1169,15-kilometres,road-running,female,senior
33,47:37,,Lornah KIPLAGAT,01 MAY 1974,NED,2,Nijmegen (NED),18 NOV 2007,1168,15-kilometres,road-running,female,senior
33,47:37,,Joan Chelimo MELLY,10 NOV 1990,KEN,2,Heerenberg (NED),01 DEC 2019,1168,15-kilometres,road-running,female,senior
33,47:37,,Stella CHESANG,01 DEC 1996,UGA,3,Nijmegen (NED),20 NOV 2022,1168,15-kilometres,road-running,female,senior
36,47:38,,Lonah Chemtai SALPETER,12 DEC 1988,ISR,1,Valencia (ESP),02 JUN 2018,1168,15-kilometres,road-running,female,senior
37,47:40,,Elana MEYER,10 OCT 1966,RSA,1,Milnerton (RSA),05 OCT 1991,1167,15-kilometres,road-running,female,senior
37,47:40,,Eilish MCCOLGAN,25 NOV 1990,GBR,4,Nijmegen (NED),20 NOV 2022,1167,15-kilometres,road-running,female,senior
37,47:40,,Medina EISA,03 JAN 2005,ETH,1,Heerenberg (NED),03 DEC 2023,1167,15-kilometres,road-running,female,senior
40,47:41,,Susan KRUMINS,08 JUL 1986,NED,3,Nijmegen (NED),18 NOV 2018,1166,15-kilometres,road-running,female,senior
41,47:43,,Liz MCCOLGAN,24 MAY 1964,GBR,1,"Tampa, FL (USA)",13 FEB 1988,1165,15-kilometres,road-running,female,senior
42,47:45,,Aynadis MEBRATU,25 NOV 2004,ETH,2,Heerenberg (NED),03 DEC 2023,1164,15-kilometres,road-running,female,senior
43,47:47,,Yvonne MORWA,12 NOV 1993,KEN,1,Le Puy-en-Velay (FRA),01 MAY 2017,1163,15-kilometres,road-running,female,senior
43,47:47,,Hanna KLEIN,06 APR 1993,GER,5,Nijmegen (NED),20 NOV 2022,1163,15-kilometres,road-running,female,senior
45,47:48,,Berhane ADERE,23 NOV 1973,ETH,1,Nijmegen (NED),20 NOV 2005,1162,15-kilometres,road-running,female,senior
45,47:48,,Bezunesh BEKELE,29 JAN 1983,ETH,2,Nijmegen (NED),15 NOV 2009,1162,15-kilometres,road-running,female,senior
47,47:50,,Molly HUDDLE,31 AUG 1984,USA,1,"Jacksonville, FL (USA)",10 MAR 2018,1161,15-kilometres,road-running,female,senior
48,47:51,,Diane VAN ES,22 MAR 1999,NED,2,Nijmegen (NED),17 NOV 2024,1161,15-kilometres,road-running,female,senior
49,47:52,,Grete WAITZ,01 OCT 1953,NOR,1,"Tampa, FL (USA)",11 FEB 1984,1160,15-kilometres,road-running,female,senior
50,47:53,,Amane Beriso SHANKULE,13 OCT 1991,ETH,3,Heerenberg (NED),03 DEC 2023,1160,15-kilometres,road-running,female,senior
51,47:54,,Genet GETANEH,06 JAN 1986,ETH,1,Nijmegen (NED),21 NOV 2010,1159,15-kilometres,road-running,female,senior
52,47:55,,Lonah Chemtai SALPETER,12 DEC 1988,ISR,2,Nijmegen (NED),19 NOV 2023,1159,15-kilometres,road-running,female,senior
53,47:57,,Edna Ngeringwony KIPLAGAT,15 NOV 1979,KEN,1,"Utica, NY (USA)",11 JUL 2010,1158,15-kilometres,road-running,female,senior
53,47:57,,Pauline Chemning KORIKWIANG,01 MAR 1988,KEN,2,Valencia (ESP),02 JUN 2018,1158,15-kilometres,road-running,female,senior
53,47:57,,Diane VAN ES,22 MAR 1999,NED,6,Nijmegen (NED),20 NOV 2022,1158,15-kilometres,road-running,female,senior
56,48:00,,Rose CHERUIYOT,21 JUL 1976,KEN,2,Nijmegen (NED),20 NOV 2005,1156,15-kilometres,road-running,female,senior
57,48:01,,Grete WAITZ,01 OCT 1953,NOR,1,"Tampa, FL (USA)",09 FEB 1980,1156,15-kilometres,road-running,female,senior
57,48:01,,Ingrid KRISTIANSEN,21 MAR 1956,NOR,1,"Tampa, FL (USA)",08 FEB 1986,1156,15-kilometres,road-running,female,senior
59,48:02,,Stella CHESANG,01 DEC 1996,UGA,3,Nijmegen (NED),19 NOV 2023,1155,15-kilometres,road-running,female,senior
60,48:06,,Berhane ADERE,23 NOV 1973,ETH,1,Nijmegen (NED),19 NOV 2000,1153,15-kilometres,road-running,female,senior
60,48:06,,Catherine NDEREBA,21 JUL 1972,KEN,1,"Utica, NY (USA)",08 JUL 2001,1153,15-kilometres,road-running,female,senior
62,48:08,,Florence KIPLAGAT,27 FEB 1987,KEN,2,Nijmegen (NED),21 NOV 2010,1152,15-kilometres,road-running,female,senior
63,48:09,,Tiki GELANA,22 OCT 1987,ETH,2,Nijmegen (NED),18 NOV 2012,1151,15-kilometres,road-running,female,senior
63,48:09,,Emily SISSON,12 OCT 1991,USA,1,"Jacksonville, FL (USA)",20 MAR 2021,1151,15-kilometres,road-running,female,senior
65,48:10,,Grete WAITZ,01 OCT 1953,NOR,1,"Tampa, FL (USA)",09 FEB 1985,1151,15-kilometres,road-running,female,senior
66,48:11,,Elana MEYER,10 OCT 1966,RSA,1,"Tampa, FL (USA)",26 FEB 1994,1150,15-kilometres,road-running,female,senior
66,48:11,,Elana MEYER,10 OCT 1966,RSA,2,"Utica, NY (USA)",08 JUL 2001,1150,15-kilometres,road-running,female,senior
66,48:11,,Vivian MELLY,01 JAN 2000,KEN,1,Le Puy-en-Velay (FRA),01 MAY 2023,1150,15-kilometres,road-running,female,senior
66,48:11,,Cynthia KOSGEI,12 DEC 1993,KEN,2,Le Puy-en-Velay (FRA),01 MAY 2023,1150,15-kilometres,road-running,female,senior
70,48:12,,Grete WAITZ,01 OCT 1953,NOR,1,"Tampa, FL (USA)",07 FEB 1981,1150,15-kilometres,road-running,female,senior
71,48:13,,Ines CHENONGE,01 FEB 1982,KEN,1,Le Puy-en-Velay (FRA),01 MAY 2009,1149,15-kilometres,road-running,female,senior
72,48:14,,Anne HANNAM,07 JAN 1961,NZL,1,"Tulsa, OK (USA)",29 OCT 1988,1149,15-kilometres,road-running,female,senior
72,48:14,,Ingrid KRISTIANSEN,21 MAR 1956,NOR,1,"Tampa, FL (USA)",11 FEB 1989,1149,15-kilometres,road-running,female,senior
72,48:14,,Deena KASTOR,14 FEB 1973,USA,1,"Jacksonville, FL (USA)",09 MAR 2002,1149,15-kilometres,road-running,female,senior
75,48:15,,Susan CHEPKEMEI,25 JUN 1975,KEN,2,Nijmegen (NED),19 NOV 2000,1148,15-kilometres,road-running,female,senior
75,48:15,,Alice Jemeli TIMBILILI,01 FEB 1983,KEN,2,"Utica, NY (USA)",11 JUL 2010,1148,15-kilometres,road-running,female,senior
75,48:15,,Eva CHERONO,15 AUG 1996,KEN,3,Nijmegen (NED),17 NOV 2019,1148,15-kilometres,road-running,female,senior
75,48:15,,Rachael Zena CHEBET,05 NOV 1996,UGA,2,"Jacksonville, FL (USA)",01 MAR 2025,1148,15-kilometres,road-running,female,senior
79,48:17,,Wendy SLY,05 NOV 1959,GBR,2,"Tampa, FL (USA)",09 FEB 1985,1147,15-kilometres,road-running,female,senior
79,48:17,,Elana MEYER,10 OCT 1966,RSA,1,Bellville (RSA),03 NOV 1990,1147,15-kilometres,road-running,female,senior
81,48:18,,Wendy SLY,05 NOV 1959,GBR,1,"Tampa, FL (USA)",05 FEB 1983,1147,15-kilometres,road-running,female,senior
81,48:18,,Yasemin CAN,11 DEC 1996,TUR,1,Istanbul (TUR),11 NOV 2018,1147,15-kilometres,road-running,female,senior
83,48:19,,Jill BOLTZ,14 OCT 1966,GBR,1,"Utica, NY (USA)",14 JUL 1991,1146,15-kilometres,road-running,female,senior
83,48:19,,Colleen DE REUCK,13 APR 1964,RSA,2,Cape Town (RSA),02 NOV 1991,1146,15-kilometres,road-running,female,senior
83,48:19,,Joan Chelimo MELLY,10 NOV 1990,KEN,2,Le Puy-en-Velay (FRA),01 MAY 2017,1146,15-kilometres,road-running,female,senior
